,dates,chi0224-0000,chi0224-0001,chi0224-0002,chi0224-0003,chi0224-0004,chi0224-0005,chi0224-0006,chi0224-0007,chi0224-0008,chi0224-0009,chi0224-0010,chi0224-0011,chi0224-0012,chi0224-0013
194,2014-06-09 14:37:56+00:00,219.79750865921372,215.52502063076557,223.19122290622082,218.9971397031131,224.04463965668103,221.87379768568198,227.38725480169884,223.10856889278992,230.23749943589888,223.4523651105921,224.71303589108652,222.6451474156313,228.45623975740355,222.0633079667529
195,2014-08-28 14:38:19+00:00,213.65108647412524,212.0306618332078,217.5623315143063,218.04078386874565,218.49121903095644,222.31352849387372,228.7949165887811,230.08037404296516,239.07374339009016,233.7848167842927,245.25196140363212,,,
196,2014-09-05 14:35:54+00:00,218.30571400533816,213.45264721797943,222.50368555972634,221.59333607652042,224.09961113041516,,,226.79340231407772,230.87026015407258,229.11409463680985,237.9937087287446,238.72377305641,227.6071506030914,228.07000153225547
197,2014-12-02 14:38:26+00:00,219.08236812873963,213.93260394024006,218.4742658433834,217.8729786793795,214.8123052446973,213.67753395255707,216.6080189574755,221.08776878132352,231.76071853310842,226.60675479927895,237.0835279207574,215.49806653048913,216.27550661959535,224.98148969705048
198,2015-02-12 14:36:54+00:00,212.54063577049945,210.30843878016464,213.01910549089172,217.16287204463913,219.32559867923743,228.50590996941156,223.49452048536978,221.28157614471152,228.98631254030798,219.0572038706361,225.56652769155417,231.34495161927975,233.02719700426866,224.2421621055546
199,2015-02-20 14:38:04+00:00,214.60056128613974,210.09241550713003,217.25563992860583,215.8941809038288,219.38588793069124,214.07074771834272,220.08163355194807,222.84964553822263,222.8596814546232,223.55791001971033,220.78998456189802,221.20247381568112,215.1744752728823,218.33815389236452
200,2015-02-28 14:37:07+00:00,220.3738241858478,216.30163217758417,219.50194339817378,219.41533465867178,219.52693205566104,218.54459217334482,225.50155079931696,222.06969783004436,229.41488468407576,220.89948210044116,228.75363758468728,223.0467726151903,226.0832772540513,227.0252543019957
201,2015-04-17 14:37:29+00:00,211.73843711411664,209.7549173816524,214.3871105075451,216.02019398803603,222.2600973565838,,225.2305063641479,221.5460763496225,235.38819649122124,228.78695638915818,229.71980925056323,230.57001670293525,236.66164715361805,226.0234905476711
202,2015-06-12 14:37:31+00:00,211.67185835668514,208.4894060307062,215.1165705661346,215.86333044471937,218.74852086079443,220.4845098715893,224.52862797152602,222.41541651972798,230.1434984638359,221.76176855972759,225.8110262769059,223.95666709081456,222.3160573127928,219.98818475563868
203,2015-07-14 14:37:48+00:00,203.5364622819926,205.22959277290204,211.06727289230594,210.564810453764,217.71684773187815,214.13012087381446,221.403567041737,218.72117706624908,228.82274196781003,222.48498334330753,221.18040546034206,220.78177420892064,212.2518024336745,210.5242091677834
204,2015-08-15 14:37:58+00:00,216.74077059381315,206.70225588003032,210.9479783834471,210.55877733098612,215.42108594242487,208.9584870138326,213.11808288268034,210.04887182286964,219.6233266857291,213.51259598509046,223.99382244176098,221.23449016246747,211.0752584908763,210.77331342814816
205,2015-09-08 14:38:08+00:00,201.18900035666752,203.31497415172342,203.31665894277083,206.22510343500502,203.47469363944177,203.97938492525367,201.54513767117942,,209.51639948676555,205.511038793371,211.87685537416553,203.79712810743627,198.13312352449813,209.0679432934615
206,2015-09-24 14:38:13+00:00,211.50565729817794,210.15399789410162,212.61450292761722,215.5592382171781,216.81101332211637,217.26508333308507,226.59927616335395,229.59359602896436,235.99052453528012,221.6448899333612,219.9441026028692,215.6900077874578,206.43598967218733,214.56744071256625
207,2015-10-10 14:38:22+00:00,,205.84374834526182,199.92332516194085,212.12943222775556,209.8285997927236,,,,,,,,,
208,2015-10-26 14:38:38+00:00,202.42711804098786,205.70617718770944,206.68341099345355,208.1998612039277,219.41591014685866,212.37516975063068,217.1707136657608,220.24317220468282,229.51586481370435,223.82636740216918,227.22489672562585,221.99181512998345,214.1008814184707,217.9242892065245
209,2015-11-11 14:38:54+00:00,216.93567112799883,219.3368815549836,226.20691763655384,225.94072066301612,226.16808174078434,,,,,,,,,
210,2015-11-19 14:38:23+00:00,208.91199595171545,205.59481366362283,213.7090159542855,215.33742127360017,213.79442644934272,213.70648584921642,216.83507348337156,221.84279740246956,227.3565623916987,220.47094111738133,224.76643264249174,221.07839029154485,215.80146426896127,225.35571997109957
211,2015-11-27 14:39:08+00:00,215.43133710598835,208.88666536923557,220.0697352200871,220.13780214283167,223.68081306376942,222.21527589536487,224.80128944640933,230.89859145310334,233.96358540243358,228.21004768343096,225.40881673259742,224.86026632162213,226.6777084838516,223.66472745143656
212,2016-02-07 14:38:16+00:00,212.43941756930005,209.5390048481022,216.7615062114428,215.80998339645708,213.935877398787,211.38043068133587,218.36607647343985,215.92405069335712,221.61148312093027,210.69861735688903,209.30515848098796,208.6793169309996,209.23307117104514,221.17135556390718
213,2016-02-23 14:38:09+00:00,,208.95308791434456,218.01685751279715,221.91305065124598,219.62315599530112,211.65700049258282,215.06717036612304,219.28585596208214,216.22741567681518,221.01773179859615,217.44647044641513,213.16382433109004,213.5916427590332,220.8594030921038
214,2016-03-26 14:37:58+00:00,210.81395797752577,212.58312901812891,217.8121666330773,220.60010803076827,219.0806636168817,217.41458014574613,222.24072073837337,221.8466575260886,228.0525083206478,218.49500440336647,221.13372486760613,,,
215,2016-04-19 14:40:33+00:00,211.26398429396534,209.63605394433011,212.45997189375177,211.44523772600562,216.0291924902979,217.96297800174602,216.28108928338168,220.03641548340843,221.528327014779,220.3688978318661,218.43457371458857,218.77259151389774,230.46073142047644,221.4600561691277
216,2016-05-21 14:40:41+00:00,219.85426337739472,215.06871374098947,219.55234230137978,222.43587098622316,223.0147299707193,223.9749321811136,228.74461929519845,229.27319364476028,230.8936254435691,228.80137762707767,,221.67605212484224,226.2148855433541,231.759045043959
217,2016-06-06 14:40:47+00:00,220.67965490210852,215.31954798989727,220.40901811720056,223.92109560321603,228.0573760655798,231.32277867435866,235.71071932839604,227.60837576966475,228.96154700634347,217.80905275920253,224.16331173397282,223.5648933407047,226.2767203047665,243.8786604625313
218,2016-07-08 14:40:49+00:00,210.6101631960471,210.73140766860607,215.5673595327839,,216.6782868683951,222.9430796648454,219.31188478719687,223.80173398581252,226.09988434952777,228.91942054841152,234.83145509595124,225.37781060494333,231.42836008646327,226.3945060696482
219,2016-07-16 14:38:13+00:00,210.55005745548036,208.77674807236627,214.0948884339802,217.8859098667713,216.8254372268391,220.53679531037088,223.1986218973936,222.59716077836987,224.51380755666685,218.7062053427434,222.65669621615788,220.22190985261506,230.35775848796118,216.08526216070197
220,2016-08-01 14:38:16+00:00,213.20779136877445,210.47641098550756,220.52923143596553,216.0209713093683,221.71550300737533,217.90021355349006,225.35141063246576,222.95259170488174,225.28626838464783,224.2346291825541,226.08077155397717,226.2548130189249,228.37797977660443,214.58269751494524
221,2016-08-25 14:40:55+00:00,216.52318555410145,216.6752872513459,224.2872669907681,226.0752190072846,,219.3377571843538,224.67489206906728,231.5348423450269,229.48170506885475,229.8158595146964,221.56792037806548,219.909944084716,217.55920040829938,216.75660324026197
222,2016-09-02 14:38:27+00:00,213.89803689555524,212.71250810562228,214.04700566000542,219.249674303619,223.83790050234785,218.1749182376703,222.44740756731036,223.96286787837232,224.02590238203433,224.56362479299295,229.1002432639282,233.5416174702117,232.4957083453178,219.25469288950674
223,2016-10-04 14:38:31+00:00,,,,218.94283421435944,,,,,,,,,,
224,2016-10-12 14:41:00+00:00,201.66374540437275,199.0697347047172,206.78887833828136,204.02343504000763,212.03108248798236,217.42989090859828,220.3014075013466,224.84149571837904,229.66058323837842,226.7979028212171,234.2358366841086,227.25502791424142,223.37965495397893,213.155679878201
225,2016-10-28 14:40:56+00:00,214.0802294764137,209.33612759699517,218.28450817579505,214.42672425208352,215.99003130560908,214.03931404324368,220.27036145519236,220.12082755817616,225.4025290897339,215.79179254887478,217.1846247492154,217.11736966255162,218.61082229761624,219.00757253543543
226,2016-11-05 14:38:35+00:00,219.1092870367819,215.2387459688191,215.0297740045522,216.1052966251329,219.81212639582228,217.23567942399532,223.73233472760035,220.76918020701245,228.87088261220148,221.66253043790078,219.38501353362304,217.47308586461955,216.91461475451513,217.53450347599943
