dates,satname,nzd0007-0000,nzd0007-0001,nzd0007-0002,nzd0007-0003,nzd0007-0004,nzd0007-0005,nzd0007-0006,nzd0007-0007,nzd0007-0008,nzd0007-0009,nzd0007-0010,nzd0007-0011,nzd0007-0012,nzd0007-0013,nzd0007-0014,nzd0007-0015,nzd0007-0016,nzd0007-0017,nzd0007-0018,nzd0007-0019,nzd0007-0020,nzd0007-0021,nzd0007-0022,nzd0007-0023,nzd0007-0024,nzd0007-0025,nzd0007-0026,nzd0007-0027,nzd0007-0028,nzd0007-0029,nzd0007-0030,nzd0007-0031,nzd0007-0032,nzd0007-0033,nzd0007-0034,nzd0007-0035
2012-06-01 22:11:59+00:00,L7,,,,,,,,,,,,,,,,,331.46,322.60,320.17,311.46,296.80,287.26,283.14,279.52,266.39,261.92,262.40,273.71,279.96,272.81,263.59,281.45,302.58,307.26,318.47,318.07
2012-11-08 22:13:27+00:00,L7,324.15,318.30,316.55,307.64,339.36,357.01,361.44,369.80,378.89,390.45,385.93,378.95,365.87,368.64,366.71,366.28,365.95,356.59,349.52,347.36,332.00,323.11,316.03,318.75,309.27,304.28,305.13,307.86,302.74,297.44,311.62,320.92,332.32,335.70,359.32,351.98
2012-12-10 22:13:38+00:00,L7,,,,,,,,,,400.24,392.99,383.32,372.75,360.99,370.48,371.30,371.44,361.81,350.85,347.61,336.33,326.00,327.16,330.36,310.83,318.67,312.49,306.23,306.25,315.66,316.55,325.40,335.36,352.21,359.87,346.91
2013-05-03 22:13:30+00:00,L7,,,76.45,,,,,,,331.53,,343.19,341.93,435.30,,326.86,319.86,326.94,310.63,,253.43,240.62,,,,,136.98,125.80,98.12,154.60,167.70,,100.80,109.52,,
2013-06-28 22:19:33+00:00,L8,,,,,,,,,,,,,,,,,320.59,312.92,312.63,306.35,293.57,282.82,278.85,272.79,259.46,241.20,258.35,264.60,267.66,266.89,265.09,281.41,303.17,304.38,322.76,320.06
2014-03-27 22:17:50+00:00,L8,,,,,,,,,,,,387.88,371.50,364.71,358.97,354.57,350.31,347.87,329.82,322.45,316.90,311.45,306.06,299.58,297.86,288.58,288.83,281.67,284.99,294.37,296.72,305.21,315.57,329.62,348.58,334.76
2014-05-30 22:17:11+00:00,L8,,,,,,,,,,,,319.89,334.91,325.47,319.27,317.77,305.73,309.26,300.22,289.45,280.24,266.92,271.52,264.59,229.33,243.19,251.54,260.11,256.79,256.71,255.47,275.04,280.47,293.79,306.69,308.78
2014-07-17 22:17:28+00:00,L8,,,,,,,,,,,,,,,316.65,307.31,301.57,306.23,300.81,288.44,279.40,266.16,266.11,262.42,235.77,237.53,251.90,261.48,261.03,260.65,257.05,277.93,280.39,287.45,308.64,305.96
2015-01-09 22:17:38+00:00,L8,293.40,283.14,242.37,287.56,310.13,335.00,330.23,343.20,357.38,362.04,350.94,345.84,335.79,329.43,331.52,332.38,318.33,310.21,308.49,301.52,302.96,307.78,296.50,277.81,274.30,296.10,289.24,273.25,275.38,262.17,257.20,277.19,285.10,310.84,326.76,311.31
2015-06-02 22:16:44+00:00,L8,265.87,,261.79,292.25,324.18,332.84,331.71,336.99,336.96,352.69,350.25,334.85,333.39,330.65,326.75,330.36,326.66,317.42,302.94,302.75,303.86,292.15,283.23,282.98,251.18,267.99,257.82,269.16,265.23,264.77,267.13,277.55,285.77,296.05,314.60,304.41
2016-08-07 22:17:37+00:00,L8,304.31,,287.79,302.51,324.74,339.41,330.44,336.49,345.91,349.41,349.93,344.58,335.26,335.50,330.89,330.38,324.27,322.17,322.09,303.38,304.82,295.51,294.17,279.78,276.01,270.47,273.19,271.55,277.89,275.44,283.98,291.46,,,,
2016-10-10 22:17:54+00:00,L8,311.44,342.27,331.39,324.52,347.50,375.46,361.64,356.88,374.92,385.73,398.71,398.51,369.41,361.32,373.15,372.78,379.37,367.29,357.43,347.24,339.47,348.30,331.73,327.45,324.65,311.00,306.86,311.46,312.33,308.51,312.73,318.78,332.07,337.09,353.99,342.35
2017-06-07 22:17:15+00:00,L8,,,,,,,,,,,,,,,,362.52,354.47,351.46,352.27,350.02,338.31,331.33,332.03,330.56,316.40,318.17,295.99,304.32,295.44,295.00,293.47,306.24,318.47,327.90,333.48,329.27
2017-07-09 22:17:23+00:00,L8,291.14,292.88,301.88,,337.04,358.06,356.53,361.75,379.06,395.61,388.51,,,,,,,,,,,,,,311.18,297.26,277.83,285.97,276.36,259.46,249.93,263.97,288.37,308.66,328.45,319.80
2017-09-11 22:17:42+00:00,L8,,306.25,301.75,,,,,,,,,,,,,,349.83,344.82,338.06,344.60,338.38,328.28,333.54,329.20,313.85,307.01,310.57,301.52,294.74,296.42,298.65,308.92,310.47,328.65,337.34,328.11
2017-10-29 22:17:53+00:00,L8,,,,,,,,403.76,416.83,421.38,424.95,410.17,397.06,384.84,375.92,367.19,362.18,362.95,362.00,360.48,357.19,351.36,344.11,335.33,322.86,321.79,325.01,324.03,319.20,310.89,311.33,313.95,318.40,342.81,358.16,345.75
2018-02-02 22:17:27+00:00,L8,,186.52,174.31,159.21,262.83,276.64,264.33,286.88,280.30,294.47,300.79,295.45,307.89,303.20,302.63,300.26,290.93,284.16,281.36,268.40,258.37,246.71,248.65,231.56,110.57,197.14,228.43,238.20,248.89,235.48,237.30,253.05,271.78,269.03,294.50,291.16
2018-06-10 22:16:26+00:00,L8,,,,,344.38,353.32,350.32,359.61,363.93,370.39,370.38,364.05,360.69,353.75,344.76,341.23,333.42,333.41,327.90,318.65,311.62,309.28,300.34,300.73,276.97,292.37,286.41,284.85,283.80,281.15,285.28,290.93,308.86,313.17,333.71,335.25
2018-08-29 22:17:08+00:00,L8,,263.47,285.79,297.17,322.88,341.08,329.56,334.38,342.24,362.08,356.18,344.39,340.33,328.36,325.18,322.44,312.46,310.18,303.98,296.96,290.02,291.33,282.84,276.36,258.51,268.19,254.07,260.32,261.22,263.40,260.42,278.60,290.96,299.86,319.76,315.15
2018-11-17 22:17:31+00:00,L8,,331.04,336.15,348.92,363.09,388.39,392.44,394.83,408.79,422.08,425.87,427.92,415.67,398.50,376.50,363.22,355.40,357.52,359.96,353.95,349.93,349.73,349.50,358.75,345.83,327.82,316.45,310.53,309.20,306.32,314.81,334.62,338.36,358.31,367.43,364.67
2019-03-25 22:17:09+00:00,L8,311.20,293.50,309.74,313.67,332.79,357.07,359.54,363.98,376.86,392.33,381.10,369.40,365.06,353.86,342.21,333.53,330.57,337.36,331.33,320.25,312.32,312.70,307.76,302.22,294.88,295.62,288.30,283.03,282.27,288.76,283.86,291.07,308.33,318.61,335.74,337.14
