dates,nzd0267-0000,nzd0267-0001,nzd0267-0002,nzd0267-0003,nzd0267-0004,nzd0267-0005,nzd0267-0006,nzd0267-0007,nzd0267-0008,nzd0267-0009,nzd0267-0010,nzd0267-0011,nzd0267-0012,nzd0267-0013,nzd0267-0014,nzd0267-0015,nzd0267-0016,nzd0267-0017,nzd0267-0018,nzd0267-0019,nzd0267-0020,nzd0267-0021,nzd0267-0022,satname
2003-12-30 21:32:48+00:00,304.84,274.19,256.51,253.83,241.47,262.22,288.69,303.14,300.57,303.82,296.29,290.54,279.27,288.54,284.89,281.53,280.15,290.50,272.61,256.10,233.48,251.63,274.77,L5
2004-01-23 21:43:06+00:00,300.49,276.02,273.26,266.26,243.03,254.96,286.01,299.87,292.15,295.15,286.12,279.70,273.31,295.64,,289.61,289.67,292.75,273.32,241.51,223.35,232.58,269.85,L7
2004-02-24 21:43:09+00:00,304.41,287.57,,256.55,251.13,259.72,,,293.76,291.46,289.68,287.05,283.35,299.07,296.68,291.96,297.43,301.65,278.65,256.21,,234.97,267.44,L7
2004-03-27 21:43:21+00:00,318.72,287.32,264.17,268.31,261.04,264.88,293.98,312.32,315.09,,,284.08,288.10,303.17,299.48,297.40,297.05,301.76,278.06,252.87,231.90,242.60,,L7
2004-04-04 21:33:25+00:00,294.61,263.41,242.18,246.43,241.24,253.78,272.05,303.44,300.59,288.51,281.50,272.98,277.86,299.92,293.17,286.09,288.25,285.64,272.90,253.48,236.52,246.82,272.79,L5
2004-05-06 21:34:22+00:00,318.99,281.89,274.60,275.73,267.24,270.18,301.05,320.18,309.34,292.84,286.07,274.50,268.29,292.82,291.47,286.81,290.55,295.67,278.65,252.28,223.35,231.80,275.17,L5
2004-05-30 21:43:12+00:00,309.64,259.74,262.52,247.40,248.92,260.68,282.05,300.86,302.54,292.27,284.42,267.55,263.36,288.34,,283.27,289.48,284.88,269.76,247.82,222.12,245.17,287.00,L7
2004-06-23 21:35:46+00:00,299.42,228.40,247.16,244.83,252.83,259.42,282.11,301.62,301.05,297.71,291.65,284.42,283.35,305.51,300.75,291.00,294.00,297.70,277.64,252.40,236.76,255.19,289.39,L5
2004-07-25 21:36:37+00:00,335.30,266.72,254.74,255.12,254.04,252.57,277.24,305.32,303.73,297.71,290.99,283.19,278.91,298.65,292.27,279.04,284.43,285.45,273.97,250.64,233.25,251.85,277.84,L5
2004-08-02 21:42:52+00:00,324.94,256.19,258.73,259.49,253.72,250.65,282.01,300.84,301.17,,283.30,280.90,273.33,295.90,294.86,289.38,291.12,293.44,280.22,253.72,233.15,251.33,,L7
2004-08-10 21:36:56+00:00,332.00,276.68,253.32,250.09,236.85,245.40,271.03,289.52,291.82,283.08,291.64,285.53,280.29,297.86,293.71,289.78,283.41,286.05,270.70,237.40,227.32,251.02,273.39,L5
2004-09-03 21:42:47+00:00,306.38,229.39,246.84,230.05,225.15,246.64,265.49,,,275.32,281.32,276.10,264.98,293.70,285.86,281.64,287.70,297.07,275.35,247.53,,,264.29,L7
2004-09-19 21:42:41+00:00,300.04,225.07,240.24,216.54,230.93,251.27,268.69,282.12,283.32,281.44,284.79,,,296.12,290.75,286.69,290.08,296.71,275.82,246.78,224.47,234.50,264.15,L7
2004-10-13 21:38:32+00:00,296.40,260.31,231.18,224.96,251.56,265.49,274.35,282.84,278.36,289.79,296.75,286.97,265.99,286.83,288.16,277.22,276.39,281.59,277.60,258.12,231.21,249.97,274.49,L5
2004-11-06 21:42:59+00:00,298.46,265.20,263.48,249.05,250.54,259.42,275.01,,,289.98,292.87,284.13,271.75,299.82,289.98,287.98,295.11,299.55,278.90,260.68,,,269.01,L7
2004-11-22 21:43:05+00:00,273.94,244.13,235.73,219.45,220.29,,,,,,,,,,,,264.30,255.49,249.73,223.72,205.89,,,L7
2004-12-08 21:43:14+00:00,305.41,263.18,254.90,235.51,239.82,247.85,268.81,284.29,274.00,278.97,,,262.59,281.12,283.05,277.25,281.24,281.24,263.60,247.62,224.81,231.65,256.84,L7
2005-01-17 21:40:13+00:00,304.34,263.34,259.26,238.19,233.89,246.66,272.57,285.33,282.34,301.93,291.04,289.87,289.01,301.30,,,,,,,,,,L5
2005-02-10 21:43:38+00:00,318.21,288.80,,,,257.80,283.67,296.37,297.93,300.25,293.72,289.75,280.54,295.29,294.25,289.94,295.92,,,244.66,222.38,227.35,272.47,L7
2005-02-18 21:40:42+00:00,302.31,272.96,268.90,250.66,253.32,259.46,275.52,297.58,305.99,308.16,286.52,276.82,271.81,290.19,289.40,285.06,283.09,291.13,276.84,244.01,225.24,237.70,276.53,L5
2005-02-26 21:43:44+00:00,309.81,282.69,285.12,267.13,258.50,259.76,276.85,294.89,309.28,303.94,292.22,288.49,,301.30,295.76,297.83,299.50,307.32,279.27,254.98,231.38,240.68,,L7
2005-03-22 21:41:05+00:00,293.55,270.84,265.66,245.80,249.78,261.09,276.18,297.74,303.46,293.61,288.19,276.55,271.47,291.77,285.64,284.66,285.11,284.55,273.71,239.43,227.55,240.34,274.23,L5
2005-03-30 21:43:44+00:00,291.30,278.67,278.63,259.38,251.47,258.32,281.95,303.62,300.07,294.59,289.37,,,297.16,294.82,287.16,290.73,295.86,275.02,249.73,229.45,238.34,286.07,L7
2005-04-23 21:41:13+00:00,306.78,267.28,245.04,247.53,249.54,269.27,267.18,299.28,300.81,294.98,282.95,268.44,260.12,291.18,,,,,,,236.09,238.62,270.86,L5
2005-05-01 21:43:39+00:00,300.45,265.77,237.46,234.72,236.87,241.64,259.01,285.97,295.95,,,271.65,259.16,289.91,286.32,281.45,282.06,287.49,270.93,243.45,233.63,244.42,,L7
2005-05-09 21:41:19+00:00,306.82,258.87,248.85,242.67,249.38,251.00,265.37,298.28,302.21,296.32,292.82,281.57,271.62,293.55,291.49,280.20,291.91,295.18,276.72,248.06,238.86,253.56,278.69,L5
2005-05-25 21:41:28+00:00,335.45,275.80,253.29,253.80,257.32,261.39,277.92,299.68,305.80,303.58,299.29,280.25,270.03,292.62,290.20,285.45,290.71,297.38,285.15,260.04,236.08,252.28,290.92,L5
2005-06-02 21:43:36+00:00,289.13,247.42,240.12,235.12,230.13,240.06,244.99,274.74,274.78,277.27,271.92,271.74,,278.33,277.12,268.42,276.06,273.15,258.99,234.49,223.11,232.38,252.22,L7
2005-06-10 21:41:36+00:00,295.58,266.08,231.93,241.00,243.15,254.19,268.32,296.71,304.10,303.71,300.95,294.91,285.07,298.19,291.96,294.07,297.31,307.11,284.02,267.27,242.23,259.15,288.87,L5
2005-06-26 21:41:40+00:00,308.61,257.35,224.74,240.05,234.37,240.09,260.84,276.79,277.52,282.75,283.05,278.81,267.01,303.42,299.92,296.56,301.48,302.12,274.29,245.62,227.16,236.23,273.91,L5
2005-07-12 21:41:47+00:00,308.01,268.02,211.13,228.28,225.17,240.84,261.40,281.19,283.89,289.33,290.14,281.49,261.72,291.12,284.27,278.58,285.34,291.73,278.74,257.51,236.92,251.03,280.62,L5
2005-07-28 21:41:57+00:00,336.63,276.87,226.96,245.40,245.18,260.01,295.18,300.72,297.98,304.27,297.61,279.31,267.43,294.69,292.80,277.99,281.89,305.10,289.11,263.48,245.81,261.52,294.49,L5
2005-08-21 21:43:21+00:00,320.00,289.38,252.79,249.35,239.67,,,304.88,281.70,289.40,297.46,284.91,271.60,298.07,298.91,295.88,295.98,302.43,287.66,,226.93,237.36,282.93,L7
2005-08-29 21:42:10+00:00,317.45,285.21,263.19,245.20,242.01,264.06,284.82,300.85,269.83,273.36,283.60,275.21,271.80,298.74,308.74,300.28,309.73,321.07,296.07,269.37,222.08,233.01,263.02,L5
2005-09-06 21:43:12+00:00,318.43,294.14,277.63,242.65,242.04,259.34,,,283.78,291.54,297.45,290.49,273.68,296.59,295.41,285.37,289.18,293.75,279.80,251.52,,239.96,285.50,L7
2005-10-08 21:43:05+00:00,299.99,275.99,254.00,227.08,233.16,246.71,266.38,286.29,282.23,281.03,,,263.28,290.01,286.45,282.49,286.57,295.09,276.52,245.40,216.48,225.49,258.64,L7
2005-10-24 21:43:19+00:00,305.39,,,243.81,252.93,263.36,284.35,,,,285.60,279.37,272.22,292.42,288.87,281.83,284.80,291.40,277.77,247.60,216.91,,270.59,L7
2005-11-09 21:43:30+00:00,306.50,247.97,,242.94,256.74,268.68,285.45,,,292.97,289.56,284.15,280.93,295.91,291.83,290.16,291.83,300.23,280.67,256.41,226.97,,259.65,L7
2006-02-21 21:44:44+00:00,313.63,275.75,252.99,262.18,256.21,255.42,282.61,310.07,313.49,298.10,292.82,278.86,271.54,293.92,292.93,287.94,287.94,289.09,273.57,256.53,219.14,230.50,270.23,L5
2006-03-09 21:45:04+00:00,302.37,280.87,258.10,234.27,237.49,252.43,270.74,302.58,,,,,,,,,301.59,298.97,,,,,,L5
2006-04-10 21:45:40+00:00,314.25,284.22,268.43,239.68,238.61,251.12,275.77,304.71,297.18,292.64,292.50,288.45,275.91,293.94,291.93,287.28,281.21,286.91,274.39,252.60,233.97,242.38,270.46,L5
2006-04-18 21:44:03+00:00,,,,,234.89,246.81,275.68,304.26,292.60,290.15,290.03,289.40,284.54,303.74,300.83,294.68,,299.48,275.80,247.72,222.02,240.51,273.90,L7
2006-04-26 21:45:56+00:00,308.69,268.99,265.04,250.88,237.06,251.35,268.01,291.98,289.14,277.90,279.19,269.39,263.58,282.65,284.29,289.62,285.76,281.26,269.77,243.81,213.19,225.54,257.40,L5
2006-05-12 21:46:09+00:00,298.54,275.67,259.88,237.77,242.13,248.42,266.08,299.34,289.58,290.53,284.22,276.96,277.65,297.10,294.21,292.62,288.26,285.05,276.26,240.84,223.88,237.40,270.80,L5
2006-05-20 21:44:08+00:00,300.70,276.77,242.68,239.64,242.73,,,292.69,278.72,282.74,284.16,275.73,268.63,295.24,291.60,290.10,292.48,294.98,,,218.92,235.66,268.27,L7
2006-06-05 21:44:06+00:00,314.30,277.01,255.13,242.74,245.23,254.98,272.30,295.77,295.48,291.32,,,270.57,289.51,292.44,283.48,282.70,285.76,271.60,250.61,226.40,241.73,265.05,L7
2006-06-13 21:46:37+00:00,306.89,272.92,233.22,233.83,236.44,248.68,266.02,286.06,288.60,292.70,287.87,278.75,272.57,300.46,290.29,280.34,285.47,286.04,275.51,244.34,226.23,240.83,273.02,L5
2006-07-07 21:43:55+00:00,,,,,,,,,,293.81,291.12,271.66,266.82,293.86,288.96,280.62,285.63,285.82,274.05,249.37,,,277.18,L7
2006-07-23 21:43:47+00:00,289.95,262.29,232.72,222.50,229.63,,,275.94,280.16,282.52,280.99,269.99,255.72,291.82,290.88,281.34,289.63,287.95,275.77,,224.28,241.08,271.06,L7
2006-09-01 21:47:43+00:00,301.72,268.97,270.88,230.14,240.70,263.73,274.27,291.31,291.17,296.09,292.44,287.88,275.24,304.22,299.77,290.34,295.28,295.18,286.21,249.84,222.50,233.02,271.21,L5
