,dates,per0148-0000,per0148-0001,per0148-0002,per0148-0003,per0148-0004,per0148-0005,per0148-0006,per0148-0007,per0148-0008,per0148-0009,per0148-0010,per0148-0011,per0148-0012,per0148-0013,per0148-0014,per0148-0015,per0148-0016,per0148-0017,per0148-0018,per0148-0019,per0148-0020,per0148-0021,per0148-0022,per0148-0023,per0148-0024,per0148-0025,per0148-0026,per0148-0027,per0148-0028,per0148-0029,per0148-0030,per0148-0031,per0148-0032,per0148-0033,per0148-0034,per0148-0035,per0148-0036,per0148-0037,per0148-0038,per0148-0039,per0148-0040,per0148-0041,per0148-0042,per0148-0043,per0148-0044,per0148-0045,per0148-0046,per0148-0047,per0148-0048,per0148-0049,per0148-0050,per0148-0051,per0148-0052,per0148-0053,per0148-0054,per0148-0055,per0148-0056,per0148-0057,per0148-0058,per0148-0059,per0148-0060,per0148-0061
10,1987-03-05 14:32:27+00:00,,,,,,,6.832686966286965,12.280686346820932,26.130056251413006,41.44219077493533,41.419731445482505,46.44440919162881,56.19951093881369,58.97298020502642,64.85301430437427,64.47138632603719,72.39825503899559,76.31480236174299,86.01426319045537,84.2802474254973,86.8825218262604,83.37083375518164,91.54026618548487,91.59442504756264,99.16929233574467,101.55038363167805,102.56805909240958,110.68687674518289,115.61424349311199,128.31435581015023,128.0023209615993,120.85013459505966,118.10579578932155,121.01623326130753,128.1932862363421,132.78196487128048,133.59338646251973,138.0314031319158,137.92310383624812,137.54778392530744,146.76195138852015,145.88644264626384,155.96565956909015,162.12842646600836,176.03148811381078,175.36955085459252,186.572333103975,180.2214432724972,182.6961921911509,174.22546891437582,167.80718083994014,171.89998428609218,172.50569758299775,174.07950792193844,175.6507820476853,176.2371204095645,171.36817780530825,175.37711312558235,178.57949073293872,183.8055740950798,184.76015503319778,190.2786471241281
11,1987-04-06 14:33:36+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,1987-05-24 14:35:00+00:00,,,,,,,,2.1447709527092553,9.841377536261541,23.372281344942714,21.737097749412452,35.935450631695744,40.63153419731746,50.610563116556776,50.61676710324725,51.92529257620389,57.31510667428769,64.88519984994359,66.51379753709793,61.95246860036531,68.59542461086293,58.24667346723115,77.55531861222423,77.89486320481468,80.70852563511542,74.37760341644652,81.01786457285954,86.8314562728928,84.9426815325121,108.39422030420224,109.60584947097524,108.43450652080591,109.62368627773157,114.38786674756221,111.65436172944295,118.3585825347932,116.97250021943957,122.40214416248315,126.95388487724921,127.52506857990255,143.50837748373158,137.1560839508868,150.95951794168025,154.41961596462326,165.70257117497658,172.4434777160552,183.66781540954912,179.64458871069226,177.36327100140323,174.04762681099888,172.43859017461654,177.79297719257767,183.80887665242534,182.15468833682633,180.63809145754465,176.3676965529767,175.99136993026428,178.69478116568467,187.90389815374738,191.97182384175136,186.0467693576888,191.84368698583694
13,1987-06-09 14:35:23+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,1987-07-27 14:36:25+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,1987-11-23 14:45:21+00:00,,,,,,,,,,,,,,,,,,,,,,101.0751413356625,97.51358929544054,104.85694615601405,102.33619348480335,100.72104749053138,100.7037302985714,107.67074490772194,119.24569998452955,127.21241350397761,123.4264627323554,126.28219120728016,133.92061750541637,130.05239114667785,132.92651894362933,134.07033748963286,143.06566673741085,144.182664889052,146.20630918295842,152.99846055691248,156.41510775656226,159.19493946108238,157.65253089741424,162.85772711999778,169.19514386591433,176.02860615091333,185.05339846785188,190.37854530813365,178.78736955486733,174.82419081479026,180.6135536172203,180.86280771343405,180.71609154565684,176.37394136112798,175.49974393429505,175.56792317977815,180.05726011932808,179.44955409430534,192.43556156524176,192.12723581179858,194.0522040226656,198.27759840634383
16,1988-01-03 14:39:48+00:00,,,,,,,12.716502601642762,24.05113505606978,33.02800745387704,52.36762176022616,50.42961673429048,57.795528613458934,64.54372394638989,65.51781989370181,70.49137438702238,72.61872290082036,74.3749621126465,80.17875166288165,85.51949632658012,89.24476727969203,94.81413987584293,94.3493389925978,90.10906680192346,92.2937305948757,94.92700323787088,93.41614752965718,92.85320808802956,98.56260495869158,104.04714147815997,121.87032398584702,124.64133650099348,123.55354977137397,120.36449804422051,122.28985133077842,118.63982879653264,119.87323078827292,129.00783102045492,133.2912257236672,143.4254056508429,149.63361146002276,154.25863187062282,155.2322810639306,156.29752009136394,159.48690616241282,169.06361679540203,170.38273566985822,183.9108124845108,185.05758115279878,175.07899475047435,172.80500625634164,166.57564446369588,171.7875910950121,167.57401815716713,174.7589264241721,174.56260727839697,172.6447710789099,171.64207857114403,172.61677219870273,179.80637751522124,186.75831884731957,189.05936516935202,190.81622006171855
17,1988-01-26 14:46:24+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,138.21094967905194,133.74718608168632,136.85767894371378,138.57708437840398,143.92310392638376,151.7002523244543,148.82337353052193,151.7466539984582,154.93289818250898,166.8775998012444,171.94368204857972,171.42144662109047,173.64284777738823,173.6453236737752,182.44590141658753,186.25265719956872,200.57468350232267,200.39788932080845,197.08305279263777,190.98427996833868,185.46014281881372,188.19882754316887,193.9557816424864,191.6046445676713,194.0361663035858,191.92409029423305,188.29803857181327,184.92988351606465,198.16293444365806,199.52777921304923,203.59474531301368,204.94686290579853
18,1988-03-07 14:40:48+00:00,,,,,,,,,56.43865295297819,77.83947176210623,,92.73932739085797,80.33354060523703,,95.03871719266587,,,,,120.13768306834262,123.7369072199499,127.30615296647481,104.665455070333,89.79958920326341,98.30469691079561,110.74660267204311,119.90273914089562,120.58949445589604,118.09908273072996,140.90944330022737,134.24251601137235,123.76563927436358,122.3991019817017,114.8132312494148,112.05263021740072,116.62295999161725,125.13627729012792,128.86083124363194,139.36484564549363,153.42458126008535,159.50799100352887,150.09277197787955,159.40548601792156,158.9680370244716,163.72823626935926,171.51949986312084,176.6843212911321,172.97967919485103,168.936198710283,163.27695555828308,164.34614603251828,166.67461058989855,161.12662680160858,167.37782041840603,161.34799412294308,162.92856380783806,165.9979750202475,162.4188662757889,169.66211636992307,176.0316142411943,174.57632735323153,184.41488441328315
19,1988-03-23 14:40:56+00:00,,,,,,,,6.766356503137581,20.516425808447313,32.448409724577814,36.79660800082699,42.41885478712141,49.613871755901215,54.28508560702282,61.65325061682419,59.5938213703114,70.83474348417147,75.29196735418904,79.81725938905812,78.4578530933257,79.05207157768002,83.04150891841489,89.40368250013904,90.1222346160072,90.00462884835198,93.1628006163794,88.81811326699872,96.356067444264,104.65228438282857,107.36338873924133,111.81796216979282,110.36189685228756,112.34701186884617,117.1676415887852,118.20566909760336,118.94255502741319,124.44581910645176,132.04433155761296,134.3634749153438,139.1242992409326,145.5146376298776,144.27684660871267,147.5976929063707,151.3767358343288,159.23180682849738,167.77591632013747,174.00254477033744,185.38966367895046,175.98661698219803,173.15799937734187,169.3926680037982,171.15941788001078,169.9043621898843,179.064566940212,175.7445911098946,171.6776350687751,170.42278041642524,174.55515424087042,185.14084120680806,189.0372774652766,187.3801119228958,191.90650791860753
20,1988-04-08 14:41:02+00:00,,,,,,,9.480725218736799,10.313819263819973,26.39344120798507,42.70731710306043,43.46168226793367,46.27773595557703,53.42283112334215,53.53852553018788,60.805325820751115,65.21770487057434,66.43413544292787,74.30968850591812,76.31674074742816,75.46094032099917,81.68653705485761,82.95837677692889,90.98703427314226,97.05591385213637,96.15825522718093,94.67551196287069,92.48967263264336,96.86063120831741,107.61462700032276,112.45290973836119,122.45390891586811,115.12842238323688,115.52231043420409,119.53013383778054,122.3232774379562,124.5870109115699,132.94816791059975,130.74884493794607,131.66209998981049,143.12715103774167,153.63227864732298,154.75953610546003,161.18907753150162,166.97521172388713,171.00376158689244,178.5716776338545,190.565255504243,192.1753816625365,185.99822940423718,181.54440895305262,180.19937491989612,177.49124301238152,177.7289443746251,181.31308089995906,184.5519183250914,182.9488734637528,183.4332362277866,183.40593889144657,193.65224999045734,192.4011374578333,194.51822178213297,196.54262412121165
21,1988-04-24 14:41:07+00:00,,,,,,,,1.1613492047817062,15.39367607014874,20.185619023538898,37.48270300695732,41.618352609026914,48.78451910250655,53.74900798197277,59.76236410860861,61.15078398547589,78.74367103383874,99.01679919818434,101.30949443415767,90.31085780697882,86.21813636194797,67.03045645031591,68.82621887063158,71.7209131276425,78.56434199899894,,,,,,,,141.02587676981886,102.96509790869084,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,1988-05-10 14:41:17+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,1988-06-11 14:41:30+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,1988-06-27 14:41:35+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,1988-09-15 14:41:41+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,1988-11-02 14:41:33+00:00,,,,,,,12.33912569807732,15.7509833396009,28.955924759635828,50.804161478074136,49.952265632239076,50.39458303316122,55.46913077088358,57.606715748972746,69.72787341234584,71.01172222954237,84.48650230392946,87.24166556098714,95.99302596256095,93.35908459546009,98.23624286990716,102.27641484673143,98.3953372147611,98.35221788012919,102.93615622478552,106.259741096145,102.32372777546843,110.40718186599683,112.05823531139089,114.46456985729253,120.73665602479758,124.98913965284305,120.90369474358042,124.22009648077139,127.55728605321312,139.6955341827198,135.21830977897102,140.17036666764352,147.2083329753586,146.6672821699995,156.37182915212068,155.69299161630343,159.81591961102134,162.3700290134617,176.90998114090348,177.72247567401413,187.1187004474773,182.807910000911,175.99285945193768,178.47357216056514,171.18953615078,177.7034036434221,169.51597337812476,171.9655047468936,176.5004625559476,172.00849610822786,167.02017455042525,171.77780452205695,176.56340573811684,186.0349067790899,187.76566453863595,196.24917156819106
27,1989-03-10 14:40:26+00:00,,,,,,,14.167031996724022,18.38908892889883,27.340095741206724,38.68128744657489,55.36799775289138,63.45111175710513,65.9936640726439,85.58520900566523,80.40416491241392,80.63425140823172,81.28564384212666,65.49297734314234,65.1100787256146,75.83031578604044,76.44020460107748,80.46540816747134,87.03738082076487,98.99652674939443,89.76837318520099,86.7581751620846,89.03428205968082,80.34985991564217,93.81478997270554,94.07142767121681,98.90820851771005,110.24775981040176,95.46165126082734,79.64599098818172,,,,,,101.38544225206077,132.18944827337714,113.71339195090692,,126.62255386902947,148.58191822763513,148.94631995655143,158.10766066456972,167.8035219919685,162.97240202945318,162.39311964309115,161.42055119086103,169.26845723405484,164.58310077605432,160.86155445982246,163.9983203643386,157.14425991463105,163.94366717001506,181.4289068354343,183.6044408014813,176.69162540907615,174.11517652187706,175.01932216640103
28,1989-04-27 14:39:44+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,1989-05-13 14:39:30+00:00,,,,,,,,6.029013608621391,14.461572202052714,23.107750500651946,25.537780301526254,40.00848934902547,43.750868432336674,49.864023810252334,53.94895295835889,53.068858741583185,62.6719666916495,66.64381904401881,68.81450673204982,59.649452720205176,66.09324451075726,67.03249253294808,85.90865481392981,85.51235516271927,87.18649843199253,82.56355644598722,86.66735091408344,92.15358551809382,90.69463730641812,101.66225744054714,107.06880080595342,100.90884911266399,99.6238573326495,106.81115193672647,113.08452889343788,116.55995817824953,121.19639679257325,128.10984125171845,128.83939652721494,136.67342773234242,143.18768352538785,142.7839299782208,149.10340512096764,158.35532732879264,166.74819579273031,164.02278006844352,179.5135160690919,179.00705517716221,174.1615448551945,170.00770701280342,173.03343831320967,168.91917140362915,168.41801315965307,172.47872737815874,175.86257230882072,174.93148429551087,166.3783278193883,168.59384529888743,175.82734820097755,187.60362501384807,188.7855528836294,194.299778451633
30,1989-06-14 14:38:51+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,1989-07-16 14:38:17+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,1989-10-04 14:36:35+00:00,,,,,,,,,-0.6381290099949988,23.027114082375615,35.65205418625188,36.73910745574889,38.74658252179586,46.493433094274195,45.350387627803975,46.32806942606063,49.99670726048595,60.91547131649263,76.03934469766631,73.57383090351729,75.68243776687402,74.75957609245215,68.17849067782643,72.38083555280767,79.74038013881915,83.806149695411,79.31731610147928,83.1869668876848,91.53059906825725,96.47821218940771,107.87045018503065,102.0007978154668,110.31960489049295,108.89638821915251,112.71241018335215,116.71743091237528,121.63915277716619,130.44559834853862,135.95406447618365,139.878365616217,149.6987396441372,150.71473887491692,150.14068505211384,156.25776982951655,159.63407376118806,163.69888267077334,167.8621336818734,170.80607857951642,162.19475789350554,160.72194639640776,158.78244314696312,160.68523778186005,167.47766435948265,173.92999263938617,172.46548794387593,164.85873338329338,165.27388523745313,163.45776161190938,171.5677728320959,174.15084741599313,180.17121295937463,181.94994766628383
33,1990-01-24 14:33:08+00:00,,,,,,,8.425984228952576,15.362643921398288,31.702504267142395,35.141867102810764,36.8781951293024,46.269364057227776,50.9417971793402,53.89711812760495,64.98311044943738,66.11473371021575,65.33601101398364,71.17935310073346,85.9947292517424,87.17249114787477,83.99487339494888,83.41796583862528,79.54852662304376,84.80975133094276,89.33940275226465,98.43890659770746,97.94360440370613,108.05603621666604,109.5510216212407,117.28426779048084,117.37515376060944,116.86547487219693,113.16734122678537,115.78098194082705,119.10514746044991,120.77956682915358,127.46783683848463,132.74069403786075,137.0829771083908,140.46066800500213,150.1160357015166,150.38203385144763,151.30904452418076,158.44878747458253,168.22064907735358,169.3229956451438,173.23019002565798,173.97876208412424,167.58299397327255,166.14415595475825,162.6251608462346,169.024580032159,167.9935048042946,178.45488001273526,172.83381789063685,167.998213411368,167.31851914155314,168.4564807243765,175.2859215260529,178.0634215694455,174.61309000769305,180.3117483246467
34,1990-02-09 14:32:37+00:00,,,,,,,,,7.986869650627295,15.500680222316664,20.528010295407267,38.64759999476816,48.61414962938176,69.1988204735726,47.70856743488142,48.923516349561545,54.02384530993795,67.64692274127843,68.66808325284855,70.35389850421777,74.7621383062453,81.30839909316308,59.60580029087193,79.6283905063139,66.47809157220999,90.87315135463578,79.4422106128823,87.23989760963573,94.75245216995357,102.01942375315065,107.28289402020567,100.90952600112661,92.77075442234899,87.68622048078272,104.45330324832189,114.67884297889273,112.15881322083307,112.17018849535688,124.17125325395081,113.98257325787358,124.65810211664976,124.50278200949694,127.43615844614627,133.44930399293526,153.3416146219726,152.56820676409185,163.25459102361327,161.74353258280388,170.96484770034596,160.26810915833937,148.47110760046988,147.26192697627667,144.5274369196597,158.8432959228412,156.12005375623488,158.92213054235944,156.31442907428792,155.40200415202983,163.402130039958,158.99023209984003,161.7539368574284,164.50016681701078
35,1990-03-13 14:31:33+00:00,,,,,,,,1.6731272352226378,14.879377362374012,23.225410982463607,27.540475985069982,44.23242569309174,49.816467453462906,51.95725311196505,57.204640053285814,57.82271220488947,61.094653209263775,60.61509553919804,71.90761515574825,70.12798632094905,71.22651881509628,68.80879848057124,73.0116796412353,74.84712839294572,77.6334836731553,82.44757056253898,86.37813253871684,88.6276405424965,94.99512455347372,107.96204725712556,113.01995823391992,108.03952115656739,102.27022322546833,107.79685534110078,111.56384192834129,117.54307549344958,116.46898194872684,124.2013969827894,129.84759827930543,137.47381241773746,146.3195534332727,145.62803809386483,140.88619719412839,152.34081717413028,157.52959356396116,167.65179878495104,172.96755675034328,174.08102411917037,161.1165777231733,148.61311591372424,156.0015337529432,160.01236696354567,,,,,,,,,191.17807574064148,180.09859817936194
36,1990-03-29 14:31:02+00:00,,,,,,,,6.361643134393001,18.238791035600258,30.678750697039675,33.44046803623765,45.48512053007738,55.625313981804496,60.09433486003674,63.12399805995407,64.0622058419297,70.82781898915721,67.66530204129602,78.38430362464311,78.62730316516897,81.11720754130116,84.20498483752155,88.68270968119528,88.40387575311637,89.88115642076502,97.82189916646443,93.76884564760604,96.71787087746985,103.58878085734601,121.86873298552746,122.4181066445385,117.64631936068037,114.34115356467476,108.98948983587044,120.86412475932391,120.7801322791244,129.10178725209644,136.6808634289377,143.6061459974065,149.0833896590415,153.86896718239535,154.3085501942507,160.4740579285245,163.45969996886345,165.3401923477336,168.6420316335388,167.90522592521,174.91156547636808,169.10491323031104,162.09417463053973,162.79836005916331,166.78277486761988,168.76632279526476,179.90249713871043,180.9443539054496,173.0174817582925,170.037138070217,171.88048472888437,180.88752958251894,176.98737815956497,178.911421694484,190.8082604344088
37,1990-04-14 14:31:10+00:00,,,,,,,,5.3393127705503325,21.92839202803961,21.13298391483923,38.93827638865787,35.832715144814046,47.91799325931149,49.62628375861297,54.238679514607,57.35253505194758,59.82063432342447,68.69285424092415,76.22246042165648,80.09782876197534,76.67459415306978,81.40179112423577,88.7118559877081,91.9862824695345,91.57481504311124,89.70365775761832,85.92879261774556,94.66641346106304,106.29946224138743,111.28857463161596,111.6897923396557,107.05562812565576,108.65842603824905,112.409859061015,124.38025723367464,127.48523027855327,133.6274849059762,142.6662332217792,149.99952754420275,154.53806817393613,156.24731813139726,154.26296326435772,160.19505012790458,161.17373373878638,168.53119932125588,170.3848827709295,176.34432360113857,177.04797802613635,165.92350275909848,164.67910572959974,164.4196256906091,167.4126651262724,166.05947905296873,173.03031897211054,167.2136477404004,165.43211120855108,165.88179014037095,169.44545183859336,173.13607019542565,176.98921771353682,179.5815571471264,186.19987340007268
38,1990-04-30 14:31:01+00:00,,,,,,,,8.305637904535256,13.032540458713266,29.938370242636026,26.442247400348883,36.59109280159149,39.172294314331594,48.94348140217663,51.31832142396689,53.98343252506463,61.461023607245586,65.14718382782367,74.57618774864935,78.76603448552534,81.86774057942054,74.49862589090161,82.58162320518332,90.14062304923033,94.13822758633486,92.90062283877913,91.8968476501564,94.26272935979753,102.13112953835343,111.16562346518288,112.76775444862845,107.71344254461027,105.50325326866854,111.20690059370831,109.76867447115953,119.91943298459529,129.8643956980505,139.64567614955357,140.3267096479601,153.0295182977182,158.56005337523482,157.67635361679012,155.66986514743144,158.355756561306,164.7983683939546,166.08036157339515,173.62156183800806,173.23741977978594,167.71912065658603,159.30814956887332,159.24644918371183,163.38224747096444,166.59647235178625,166.79576919770287,168.8627379628553,163.84494950792217,166.1694650385662,163.8749760455687,170.68040544179573,173.66569203554448,174.5745919785509,180.08329519772226
39,1990-05-16 14:31:13+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,1990-06-17 14:31:06+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,1990-07-03 14:31:05+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,1990-08-04 14:30:57+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,1990-08-20 14:30:53+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,1991-02-12 14:31:42+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,1991-02-28 14:31:58+00:00,,,,,,,6.428555012333223,15.099721134170078,26.128543308314455,37.06709962794484,40.03094627491563,50.77359364544196,55.827745108219005,58.379862373163704,65.0698240201344,67.96203860268841,70.3813699010428,75.0901152997862,79.888789277028,87.9647862127671,89.9035352877818,94.20808283205636,95.4580040889063,93.12661611913909,99.16875664195244,100.81410758719437,103.84441941761425,99.77110542509543,108.94925248137824,110.4010276941777,119.92771529312097,124.176051879641,129.05767796391137,126.16779969370815,128.91507272040056,136.53970838974806,140.94980294227594,143.0178800478366,145.79478227139418,151.770820800744,151.07328942806802,155.15082199397534,151.03386776957683,167.36948424084673,170.81858706974606,176.93500153096528,182.41233131019789,184.20169612193644,175.4320376623112,169.7675063520021,171.99964577616535,165.67443088520636,175.894325809745,176.1557783626987,174.23185878967442,172.1416588016856,177.0170032657169,177.3491572202046,181.96222448804522,182.36781980881233,181.85253754132094,188.74120017692863
46,1991-04-17 14:32:53+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,1991-05-03 14:33:12+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,1991-05-19 14:33:26+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,1991-07-06 14:34:09+00:00,,,,,,177.4463164105368,,,,,,,,,,,,,,,123.08501140693745,128.15365382704934,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,1991-08-07 14:34:28+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,1991-12-13 14:35:24+00:00,,,,,,,,2.7423225735368533,16.38334069984721,35.77287423681588,38.987739520231784,45.44167690546125,49.558039126891245,52.41663673882027,59.605464934530104,66.9236174000473,68.37024221994395,69.19038456706159,86.73179275667258,85.11604658261369,84.34406736871348,84.51177220710089,80.43608515885174,88.49130403288468,95.56828626637912,99.12122299195474,100.58715337663816,101.65262032059199,108.51150203632872,113.13794715408493,116.99349216830828,116.27363089419836,116.54091813606259,118.46690719326877,124.87289553882273,127.77209827887512,130.56799204481345,136.51520648506283,138.16401641352846,141.38938600809615,148.3425857051967,147.28364336532775,147.7588645692513,155.87069994219394,161.12049287299084,165.94713442658644,175.72203908089017,174.59072553397232,169.00049489990485,162.18624847443144,160.57461282135125,159.13371119121246,167.67134823880465,168.043039174958,166.91932276181697,164.06580049903764,167.11133501297275,162.75259203701515,170.21002377340304,172.80223203177894,174.55338605588588,178.60083577732473
52,1991-12-29 14:35:16+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,1992-01-14 14:35:12+00:00,108.24977853880867,,148.10019468159743,,,,,,,,8.392755164844765,78.95258310274423,44.22232406341671,,,,105.01970050749301,,,,,,,,,,,94.67011228288818,,,,,112.00671029993532,62.78165560635034,,,,,,,104.47243249233915,,,,,,,,,,,,,,,,,,,,,
