,dates,aus0035-0000,aus0035-0001,aus0035-0002,aus0035-0003,aus0035-0004,aus0035-0005,aus0035-0006,aus0035-0007,aus0035-0008,aus0035-0009,aus0035-0010,aus0035-0011,aus0035-0012,aus0035-0013,aus0035-0014,aus0035-0015,aus0035-0016,aus0035-0017,aus0035-0018,aus0035-0019,aus0035-0020
545,2020-01-09 23:42:18+00:00,205.37977523515244,213.07798230690918,216.6972745149235,232.07466943350954,251.01443326836602,252.34831284818836,249.56230344686674,250.6208496897423,266.06292762077936,287.7489936467122,,293.4746068201599,294.79793834278087,296.9242940356098,295.4527013557699,263.50819904949446,220.94730645039047,201.74138793740153,187.5669405002906,182.10552097143164,148.9742453071795
546,2020-02-02 23:21:22+00:00,200.9640007145522,207.7580131625017,231.33462862132313,,256.9538854556451,251.24657551346587,247.85467291781094,250.40747372906387,263.1558500585206,260.83221173550453,282.6398327487739,293.4505357104702,295.0451185892895,289.70447462789974,277.8570688912641,227.3008068425342,186.5579601432985,176.40169434155928,170.7109049909553,255.2666914307273,256.87160555144817
547,2020-02-18 23:20:32+00:00,,,197.2074910792073,210.7214416165342,212.85452475091938,217.1136187280507,,,,,,,,,,,,,,222.6474702355159,
548,2020-03-21 23:18:48+00:00,,,,,,241.9149164165213,238.08408656845046,233.32821851018724,231.07475861678202,241.36792908583897,,,,243.16234278552972,,,178.6003345937083,175.07620534195104,,,
549,2020-04-06 23:17:54+00:00,,212.6910388975732,211.9023656381374,224.77666879075363,231.21075028889257,232.77745350659987,222.06175432951895,222.5316168573053,220.3542817841273,207.03071943812307,,,,211.2463532658306,,,179.6819053945482,171.83099440258482,,252.21807969027222,
550,2020-04-22 23:16:58+00:00,235.31655461682578,253.89810608882235,255.82206408567643,261.6878272156884,256.7790728027522,251.77482662899752,,,,,,,,,,,,,312.5546935000954,317.66818416954106,266.5380522378041
551,2020-04-30 23:41:35+00:00,223.84029667779168,233.9342463466125,238.012610233997,240.77886774795064,239.98403589586997,234.17966486216258,228.2598509003951,225.50176070487063,230.4175539694363,237.6480419367738,243.5314167551288,244.25424305729362,241.58717945872655,233.75508931269022,,282.44284483766086,277.3435084027769,,288.60143057689044,288.5753306041211,241.81014299856787
552,2020-05-16 23:41:32+00:00,219.2450830005166,223.98188564995874,221.45635152698839,226.0572061122152,223.05136203940242,212.2682642485928,208.11870243128894,212.21431075266193,214.0378113164958,217.24001333780308,229.43153459186962,236.68574855279476,235.11174045068498,243.38297345695406,264.45207662292563,264.101800735879,255.9065820882827,,263.34443462816074,261.96286316685314,258.3815553186804
553,2020-05-24 23:15:01+00:00,213.11277579336794,216.5413430985674,207.53933874988914,223.8981566926588,,,201.8108425787304,200.70129192139845,210.57841898690344,213.61483099049542,224.5101133045094,231.8881638467397,243.0821491254088,243.86778419325805,268.5733834571282,,,194.46028896012413,,,241.91933905481295
554,2020-06-01 23:41:37+00:00,225.27155466930716,227.16145726834787,228.6055176162679,230.15566096785392,221.03099546316315,208.50308633335737,208.10188529956272,206.5517868512622,213.60213696922656,224.59508283657252,237.9371066406783,244.3109739822954,245.07662810022686,258.64924777394015,265.06416341455855,250.79626209866962,236.15473416375517,,,,
555,2020-06-09 23:14:05+00:00,223.36085353288414,223.71015078240112,234.8322320589112,230.3771253037771,219.16465424420352,,,,,,,,,,,,,262.6204052858003,296.4922606069129,296.13701921069077,271.42780675342163
556,2020-06-17 23:41:47+00:00,217.4111657201081,214.9131272623398,220.07293634338345,224.59269764533383,209.96008583568792,204.9752638516767,201.21707608678818,202.29513725475834,213.33989082583167,223.2038608928358,234.86868351098607,246.0073457177913,255.88636966765637,257.3048414715309,254.94369318962413,234.76597109271415,226.2515508712495,316.4600202831293,320.81396116844076,309.9912218098729,265.09796580236264
557,2020-06-25 23:13:09+00:00,238.08822913796095,228.38879279976285,237.3134508299893,236.033447399359,224.9341087923581,213.2872487984737,216.10992641952762,209.74908820316185,224.14643712438556,230.02891601246208,250.3516559090181,257.5202465670038,266.41000554862694,265.37388151911557,262.4394477049112,238.8844224962006,,316.4280332803427,323.89348727350006,308.56412203614434,273.09469741686786
558,2020-07-03 23:41:55+00:00,238.64913827253042,227.9876252744501,230.93015543653217,230.59104025523052,214.63228042166764,211.18159036011605,208.34940612983112,210.67080321748296,220.88332240147935,230.86493521888858,245.09702941314126,257.8093288258849,264.3857273536211,265.78705269438325,259.2794949644313,239.84758330201703,,339.313753642992,,,
559,2020-07-11 23:12:11+00:00,226.61086636791165,215.6568365268032,218.9952240506177,215.93495600912493,205.10720755566325,,,,,,,,,,,,,,,,276.223962979144
