,dates,usa_CA_0134-0000,usa_CA_0134-0001,usa_CA_0134-0002,usa_CA_0134-0003,usa_CA_0134-0004,usa_CA_0134-0005,usa_CA_0134-0006,usa_CA_0134-0007,usa_CA_0134-0008,usa_CA_0134-0009
1283,2021-02-10 18:40:47+00:00,194.9090253523702,173.08210554754382,179.35952302213138,180.83462162567366,172.54468886945617,171.25348836050574,,167.04174065412877,167.67855806530403,158.16586920544344
1284,2021-02-11 17:49:59+00:00,,,,,,,,,,
1285,2021-02-18 17:55:15+00:00,197.55038403936894,184.88102404453596,188.63822273820313,190.58864396704647,184.57311531588667,192.03358423905408,189.03136748656,196.86979837483702,204.07297367032993,
1286,2021-02-19 18:34:34+00:00,212.24000120570244,191.23664018139078,195.10039428441183,197.94018671944067,194.93323742050643,191.7764522760981,211.73684225909165,203.66065838035274,213.2861179951927,
1287,2021-02-26 18:40:42+00:00,190.52019984565706,170.33280582060718,172.26253583897062,175.27422072684826,174.44937158863814,175.61645416167167,,170.35080823458375,169.769780879961,159.1806101988688
1288,2021-02-27 17:48:46+00:00,,,,,,,,,,
1289,2021-03-22 17:52:44+00:00,192.3126026195368,186.98486254022265,184.9902496924587,189.9212222620432,183.9492177964567,193.51528669692004,197.9646585577877,203.8761171264979,201.37485326492538,213.22166506420433
1290,2021-03-30 18:40:28+00:00,192.74569604884277,180.35408635365337,173.98831484917014,179.7644877943714,182.69971182696213,184.9794721507728,196.12535758087432,178.97390878806132,182.86438383804517,181.35773051785122
1291,2021-03-31 17:46:13+00:00,192.73806766170856,179.69509612826207,180.4635469575157,184.15450893583687,186.11295331231395,186.45442970678752,190.2618322859034,189.97933451159443,186.21520475336803,195.87070731521231
1292,2021-04-07 17:51:25+00:00,193.72701674789917,181.7296822466749,183.11207882779593,188.08092245285172,186.1711944893809,196.9926346699365,192.03090454086106,197.41188811225814,197.88772954734816,203.40266001962266
1293,2021-04-08 18:34:14+00:00,207.65667609342586,192.66425556910934,188.82824961070517,191.70772548079614,194.91013398877158,197.62631306052933,208.52007517517552,202.23453009546955,204.71364342399426,217.0048717137704
1294,2021-04-15 18:40:22+00:00,200.20826611463963,186.71986874792123,187.59036653795772,190.72858139738668,188.88648368418913,197.0460535242678,200.71751659110572,196.99947080038118,198.19176420717372,207.5529525960733
1295,2021-04-16 17:44:53+00:00,,,,,,,,,,
1296,2021-05-01 18:40:13+00:00,208.95177358482658,191.31202831008216,196.21800076154517,195.17206154293166,196.67504863525946,204.87739243948823,217.7205642349869,209.2019891312338,215.49329970862283,245.91184745569646
1297,2021-05-02 17:43:32+00:00,227.8975766457123,200.27144381351798,,,,,,,,
1298,2021-05-09 17:48:44+00:00,,173.26543762307693,169.40482949104484,181.39254404755167,178.55600737508036,174.64149005454732,184.27905560805806,177.45067621386187,183.3995823962996,196.19500684590486
1299,2021-05-18 17:42:12+00:00,222.92166752265683,201.99404972908366,,,,,,,,
1300,2021-05-25 17:47:47+00:00,187.44009425613638,179.13062510331136,176.07538936441793,184.46891923005572,180.5692004619907,184.79269860641375,189.6167127197025,189.28371102834421,200.0241361202005,209.96919683622798
