,dates,chi0488-0000,chi0488-0001,chi0488-0002,chi0488-0003,chi0488-0004,chi0488-0005,chi0488-0006,chi0488-0007,chi0488-0008,chi0488-0009,chi0488-0010,chi0488-0011,chi0488-0012,chi0488-0013,chi0488-0014,chi0488-0015,chi0488-0016,chi0488-0017,chi0488-0018,chi0488-0019,chi0488-0020,chi0488-0021,chi0488-0022,chi0488-0023,chi0488-0024,chi0488-0025,chi0488-0026,chi0488-0027,chi0488-0028,chi0488-0029,chi0488-0030,chi0488-0031,chi0488-0032,chi0488-0033,chi0488-0034,chi0488-0035,chi0488-0036,chi0488-0037,chi0488-0038,chi0488-0039,chi0488-0040,chi0488-0041,chi0488-0042,chi0488-0043,chi0488-0044,chi0488-0045,chi0488-0046
515,2016-09-18 14:42:05+00:00,208.05838231987906,190.59780420575257,156.95301532161665,165.44867062556705,168.4746289838991,145.15745163399512,148.43764324609583,163.65762145680412,177.79955566862503,188.45783119245945,172.9559879855636,161.95408676125285,166.56205826932683,175.95781210265488,181.2256830759686,166.50195250400904,153.72955246804662,157.6997820725907,191.02113598935713,205.53426501645916,202.97666003781276,211.81182862147085,176.6180540781056,163.62585774760268,178.13072864772369,197.26812600421317,214.7533957643288,193.07863641073692,185.30617731219826,196.85892730613156,198.13324524162445,198.80723274854006,181.5052914641696,181.81549023687288,217.00429707875696,224.75064319373996,206.47175029717974,185.7882864458487,184.21378823269382,161.92471022435942,180.7919488224438,209.1954458398294,179.03103107771207,163.3996226188553,176.3993936340148,199.20945771208284,197.08108294212184
516,2016-10-04 14:41:43+00:00,215.19121338611956,184.5115363174675,169.1502515455684,152.41644799264859,167.27231691063284,144.8950427010762,150.31037141010404,147.17405969605255,162.32002676558807,194.69727963374945,168.52634122620543,154.2775892276787,178.69264217245703,176.9286563522748,182.28214990513,161.06570491863664,154.63834220495724,174.82420406495132,182.43699995047672,197.51398279368175,203.94980661188583,203.66141689173296,188.19734145334783,162.90992825075426,160.06930438893136,185.4749437187916,236.50421590023365,183.43876600612364,174.75359436536758,190.08931141326173,208.29472579047513,170.7711448752669,164.43934885451856,199.83282967270938,240.34375611902146,249.17551686946854,220.38980003473804,206.24384297869088,176.80193166063358,156.88889325175987,160.45284457293442,213.87163964320442,189.26687338215467,156.14290935959605,172.07912420704832,210.02572462150698,194.2428938648737
517,2016-10-20 14:42:11+00:00,219.14846079552152,206.8436737813842,188.48146580592208,170.60967644611236,163.17701571259397,174.9067833161624,160.58056794668425,154.7381920312086,175.25530638913608,198.58860582687703,189.75989745225385,162.39771938779919,166.6482659454478,175.57869090841731,180.86044389867357,167.61782888538832,169.19981797983075,177.83288038555426,212.48405421578278,221.25039038632679,212.56501758092656,218.93726416239642,190.59643757876222,191.4431012731421,172.10661049666766,192.53591091927413,216.85576133254304,193.17448173698622,169.0977373641643,186.3755602398345,212.5731565013482,191.64342659374188,183.03188170520076,213.96006241723143,227.2797369373867,245.62214315257037,239.38635317246084,216.21844390057666,183.89041844045744,166.23083782917283,169.86134129392144,200.29399883460923,223.5396545547339,182.44895724374462,181.51554512453026,199.14665386936463,197.13083753389893
518,2016-11-21 14:42:11+00:00,206.42926980903533,199.52654692803605,188.51230306659727,194.84532852221722,184.79696550520873,164.31223303549245,175.63525574669876,149.72684650930967,158.30671626041962,178.8024901901275,187.25342458962763,191.26228317239833,179.98547468074614,171.44935413233114,170.39308409203852,176.41884570921775,181.03998900703158,178.71951713667767,185.6034483905089,191.07144213457747,192.79013021387527,207.62517902343274,230.50966508433712,207.58931636514728,199.57079701387542,177.12913868155246,185.63626870747916,219.97069176866492,185.43700606352914,177.97202581751816,189.96640244088758,206.18134815179278,201.18350721681875,200.83350273810305,203.4601544715934,221.66254285058653,231.12213990475922,214.35498966052788,209.23899856792534,193.00146066627283,158.42736329037248,163.00965819693872,189.5373927294568,191.8154118862421,175.9816177206566,189.63885363063474,187.78092774608538
519,2016-11-29 14:44:21+00:00,,175.11714992487103,190.5655124177644,195.77845049017822,185.36413475995963,152.39087504851562,168.2673276114636,149.57910036298404,,,,,167.76961165999592,158.25707867976345,163.0119396809603,178.06200515380283,165.29862626746137,178.83450522017185,181.8928440713296,,,,222.91351874929984,200.10833593671396,181.13969886401233,179.09038582590918,184.08572156842897,206.26927058007882,176.81392800738308,,,,171.71616109891144,180.79938563650114,182.33242490288416,203.99251676452988,222.19858998706175,212.09187161468455,211.16026433270005,182.74268754935517,,,,,158.7289881935352,166.7625759833929,174.65077277604888
520,2016-11-30 14:36:00+00:00,206.89169713045092,188.8470728169921,202.60008815277482,216.39884964880488,185.4651720065091,158.93767199581416,184.12412120117378,160.80895433244663,154.22052580831817,195.14372257182498,188.10123908436904,198.22239993377562,190.50803578670497,182.61083662702927,179.28421397241297,184.6657416016527,168.215952330909,184.24893813185352,201.7299127737257,204.84414072683498,206.621149536971,237.43365135581658,240.85545679320657,215.28999913481994,204.40779281332559,189.88376806603716,192.95332361897366,215.63676038077168,196.37811027425184,181.57827849311823,191.72310916626887,218.39917633265347,204.54355462884155,203.08579569471343,208.45867676142862,222.6157203616365,237.7292601669225,219.89200638734246,224.0498192829263,209.85145929586304,168.14246209084203,167.9288972706585,190.82934724919755,194.87806216253344,184.97549092600516,194.42215801085433,194.04660375853462
521,2016-12-08 14:38:08+00:00,201.48010129745646,171.58881423936026,180.15367325817067,,,,169.4643077127401,160.73232846222533,147.70368439931391,172.86927619762142,173.65215440096893,190.731149117336,179.8310758568802,,,,,180.3644154108098,176.47985943348817,184.28144272125638,194.24962699417983,220.5450772372596,226.2625663970181,215.97050388931544,,,,208.3161595350553,185.80818964530843,165.58928660105025,177.61966500138885,216.69284400759298,191.9271475201942,187.08009397897342,175.79984737786393,,,,217.15512463645683,207.60653405991323,159.12308780164375,157.0136516341408,177.14109284236235,191.45039455082522,173.22307530954672,179.7892954185588,
522,2016-12-15 14:43:53+00:00,,,,,168.2238414218236,139.45042138640218,150.46528678377433,154.55769487205822,154.1880618658123,165.54857228715196,166.59044278003688,,,,153.11029601552755,160.47294123027592,159.53406833744089,177.44744898228146,178.1321766375175,184.49968037612052,185.40566003021058,,,,181.45473437754694,172.9941345968458,174.09825499650546,195.52754906386508,188.99595833127194,164.80907781427572,180.69765623575003,196.86663083190044,,,,183.556247327181,203.6478771545657,189.50664942607125,192.95753339520593,191.61758665542143,151.51976990542468,147.0794659555006,,,,,167.30428464356942
523,2017-01-01 14:35:52+00:00,221.86136924720455,206.8473030738535,192.51379156213955,189.86976254348923,195.1524976538024,192.5264044331392,170.15594442153886,183.41902305528455,178.0215852945681,167.71593519459765,194.85774202765376,197.53044284581097,195.83909795501683,201.41126435376933,,173.51118976034078,195.28521731384546,191.6915109876045,205.1306892350983,200.05117883370517,199.55619126945328,217.14352786177864,221.6786112310684,221.65362544344615,199.57325422634682,211.7614601020103,201.06739208016631,205.8636101671892,229.94055367704098,187.70376490077746,183.35963082463246,229.98182040107622,206.75328702388524,195.07245456782437,184.5638913997772,225.19309443973378,224.84211748409086,214.25964788390337,222.37698107176416,220.51469822649625,181.72428908666882,159.66165872069863,174.05593746472906,206.3117250830863,184.64729576856104,186.71219760239512,202.501443406409
524,2017-01-09 14:37:52+00:00,,,,173.36350198607454,178.58263175243505,176.50276416184914,159.9326538948037,170.35320498950753,165.1297195491462,151.58096836128425,,,,,,162.5418524671057,183.1145141500816,186.84012819070338,185.34403725838797,188.60907531879,187.78560692457776,,,,,191.76737834675453,204.91833663971838,189.72032154641184,208.45084559002225,185.4173466003801,177.11935303284517,202.87759654154183,,,,205.99665403693467,212.58523480521987,210.87887605709076,211.44222077704868,214.1354377974518,173.82833435169414,144.61266023850848,,,,,
