,dates,usa_HI_0007-0000,usa_HI_0007-0001,usa_HI_0007-0002,usa_HI_0007-0003,usa_HI_0007-0004,usa_HI_0007-0005,usa_HI_0007-0006,usa_HI_0007-0007,usa_HI_0007-0008,usa_HI_0007-0009,usa_HI_0007-0010,usa_HI_0007-0011,usa_HI_0007-0012,usa_HI_0007-0013,usa_HI_0007-0014,usa_HI_0007-0015,usa_HI_0007-0016,usa_HI_0007-0017,usa_HI_0007-0018,usa_HI_0007-0019,usa_HI_0007-0020,usa_HI_0007-0021,usa_HI_0007-0022,usa_HI_0007-0023,usa_HI_0007-0024,usa_HI_0007-0025,usa_HI_0007-0026,usa_HI_0007-0027,usa_HI_0007-0028,usa_HI_0007-0029,usa_HI_0007-0030,usa_HI_0007-0031
196,2015-10-19 20:54:21+00:00,201.3787484712928,199.51743089123212,196.07740544187286,184.86900542467853,193.5058955758395,204.78722942779467,209.72233910469967,187.4682154740366,184.69501607579355,185.58227298456947,,211.39311286147475,,,,169.32612434507348,173.90191847716508,179.73476845622903,185.72125081987807,194.23542515828026,200.24813611624197,202.52033104806154,197.78709766757729,204.785259586624,199.33125033718997,180.61722929832402,192.57655276844523,198.40775585545825,205.31924871494672,190.15576202048024,192.49190476355213,204.8067998469384
197,2015-10-27 20:54:09+00:00,167.6810551801491,170.94221406467508,170.933212954321,154.47328434394174,157.59417921482748,161.509275093935,,155.2970357406468,,124.67576673958916,137.57355241425256,163.87914106770285,174.84286048218684,154.25761227199845,,135.36000580400878,136.4758915445993,138.98715025310327,,156.8004868546567,157.10809496985033,,,162.44292373795128,,152.3993595871723,,,,168.78265729770962,,173.83489242136287
198,2015-11-04 20:54:34+00:00,185.96065639921383,192.8101969064596,187.93963049426273,178.58888062840242,178.51476513740076,188.57285757436497,209.42631061571777,167.52320630573487,163.65742923165195,152.8870824380377,163.41715774877525,181.8133190786544,,,,158.07865389769003,155.4469991879446,165.16640247273244,179.40012960797392,183.94432818587214,178.36857461275056,176.84660337411455,178.1650719146459,187.95221756325375,184.1845955525061,187.28873807122622,191.0542200170372,193.03105811868144,199.8135328500039,193.9031965710253,189.12386260117967,191.12746198937478
199,2015-11-12 20:54:09+00:00,,,,,,,,,,,176.96705624209454,186.62853130719444,196.4998834983794,191.41130677200476,173.0554832836324,167.05031272304657,168.69113652114615,168.5832430394398,176.31499384651786,173.94921408119487,173.1195189121559,179.68445494515166,165.40395058105915,189.23320189647424,183.60954366331748,181.236218171802,174.51317276748844,187.62684269792302,181.37799227968944,155.89726844093127,169.37339093370824,175.5123876691854
200,2015-12-14 20:54:11+00:00,162.98419597300108,176.33643841303308,170.81869748488313,165.5512163493655,181.7309669422033,195.73363334631827,208.82860668702602,186.96820129583168,177.1343436518062,162.74664327921553,175.17539048752596,191.52982141567568,203.03455896737015,182.67963212926642,152.7509838430823,153.3989109449844,143.28888627342744,,142.4430174991464,162.41929013380576,154.1092102383482,162.3846029971685,165.6118427158948,175.5470981958416,176.96012572345342,174.73247929031672,,,,,,
201,2015-12-22 20:55:20+00:00,183.3032747990854,175.51046368226534,180.56107720620184,173.62407470912981,183.8935992104217,192.4592518779345,205.82697593717342,200.24599426855804,186.98647724922907,178.07574482762033,184.98050988107124,201.50490135283704,,,161.63501564220817,155.68860822413734,152.7314032840345,161.05017940867964,166.47136573061078,171.68067389680803,166.0092509414198,155.0316870467236,,,,146.10734421361155,151.14888421784764,,,160.80638673040553,149.26211787614272,160.24268767373337
202,2016-01-07 20:55:35+00:00,173.31170042813656,166.25516484136784,166.38464916903825,164.4018276376434,168.23136765268032,188.08423525944897,201.90964725092243,181.3945185324445,177.8300668934088,157.5906887298832,176.00615497629133,192.90687878612593,,,154.41004585709214,149.4336401727105,148.5082493899649,158.89907494223604,164.01111316101134,174.92609643402233,174.0048260152215,176.03338529163534,167.3485915602629,185.2538685600802,177.47887359382153,184.77944170348098,175.17907116223546,181.41883863225252,181.3406075441756,176.4778955171835,162.76836431592832,188.9483426919508
203,2016-01-31 20:54:07+00:00,,141.37602802115282,135.07350568108808,130.09100937642208,126.9957251128332,152.1558179377558,173.36956293376866,158.78531408381693,158.78816082775168,147.7761280203342,155.16921222532716,171.6360732307526,194.58335232805527,163.2506928185259,148.27666889596796,143.33179256534063,127.60652944400191,148.0726757934586,156.88630543761653,159.47611387422907,151.7214779134215,144.32135001533854,145.59014002780157,171.0832022306473,175.38800536030283,180.14332737348815,174.34242225089307,169.83626251386855,170.464684150814,174.2782744286924,156.23452835967194,169.1681804039999
204,2016-02-08 20:55:55+00:00,148.80011975574388,147.02271941670563,136.7898127812904,125.59935143559852,137.49214774131102,160.074609435545,175.11661440105107,167.30081208964697,146.69870058507664,138.74057658075654,155.2051186067258,176.7093171807454,189.92077923278072,172.5739964132742,152.79625123546285,150.5559448284115,146.43043432619532,156.00145301397944,166.7452511221902,167.4852276546874,156.0640341735714,153.37779700282434,144.91320904971317,171.86299158999452,167.1265372125445,167.88495223306836,174.21708370474173,175.11455953087287,176.2843888544237,175.11166632217956,161.09967580860823,171.77876748730674
205,2016-03-19 20:53:51+00:00,138.70471505440196,139.45897637147797,,108.32546238007316,116.12630689138336,131.96690009629603,150.08230497654796,143.01377353020393,146.8027596585406,136.67994959412093,148.42363205928146,168.3036707000552,176.49600935018842,164.06640696688413,141.2084800204427,140.00180665463324,134.04622483589597,137.0541894744589,156.88877676992604,156.2947184664116,151.12689114266308,139.74249942032802,144.84754128765593,168.83242376068577,162.15002387108024,169.42259482480534,164.73930095531625,163.69052929600542,183.84110020151473,180.5600759661585,157.18217818596344,176.2641492954299
206,2016-03-27 20:56:13+00:00,,154.71776721251408,141.06724397487673,122.48512045524863,125.42640025370333,136.9625028350428,165.13609621977616,164.68901317894642,157.31238808576848,164.98718959203924,,193.40117767347775,191.69529960117129,192.77963970543686,158.56693140499863,150.9897233129588,145.436195568652,159.76990887598637,158.93191623425162,163.813548313683,158.85386560342306,147.69290607507483,153.89648122964257,179.2420140285728,180.11698162554964,186.86038407638327,182.38802028020552,181.31740392956357,185.43437885604737,178.8045474054372,167.58026124620017,185.70183011886343
207,2016-04-12 20:56:18+00:00,143.64505610104337,136.7622636346173,136.09875174927149,96.89333851933436,96.19396656156435,128.57429574609515,161.53424815914641,147.201300635722,145.46862709822514,,149.78266564092337,183.50807424363663,182.98368237950362,168.1341241116242,,,,,,,133.8229156403833,133.63465918451197,138.7246361129651,177.03376886722734,161.3883823613258,173.01806461736663,167.1281138758362,171.12659001725405,163.2607910181892,156.40152863215135,149.6864069660918,159.50248311116798
208,2016-04-20 20:53:36+00:00,146.94135017936784,146.67026757852494,145.29188415313064,110.70236672991571,126.61959794275403,149.01106662069688,175.510003850698,151.97237464043207,154.7873337509332,147.43557904054816,160.10632779131384,189.85377531304803,190.67641955945942,177.44010243321418,144.27694824960543,141.13359085894928,139.93069034135908,142.5204414920215,156.84230493836424,160.36246190971283,151.45698985189722,146.7554087124271,148.72568026505093,174.12789211315993,170.8231927459291,177.79579499245526,165.54702023235254,169.4542291759129,165.47378972669514,165.74532348858577,152.297994372132,155.62117999802317
209,2016-04-28 20:56:25+00:00,153.570620178122,147.21363126777834,148.72055518610517,117.38260881595721,145.3751917256311,175.3172174831565,188.5734681684906,183.6955345470206,180.9375956052262,179.07187926191943,193.661432067193,205.402182421597,213.98161700612283,199.7636818419054,170.93801435158394,167.4194672543716,157.2306838479931,153.75225780113587,156.9183698268659,163.74427288259605,165.6432345811656,160.90195727029445,159.93840424665507,184.2339348731664,187.1511147748564,178.0595399018051,173.76898140597868,176.5027616362454,181.63205808692214,173.6562710292277,164.98810267157,
210,2016-06-07 20:53:44+00:00,185.86514574821197,187.21298778057405,,,172.06084737349514,178.81456534203824,192.90356440287619,170.63560512334146,169.37710000580498,167.76438579641982,188.15335808035007,196.56566676316442,197.23863886138892,192.83755955139864,176.64378523863255,176.85147961627123,171.18579161044815,174.17937341535747,181.68689886687113,179.1116090774676,193.32586133104255,181.6218672035203,174.0638789055735,188.87414441126728,190.82776703366048,173.05812731946185,188.26942715250703,188.4328130862576,192.73263875293875,170.81872118373084,159.90153885098513,173.76494651704792
211,2016-06-15 20:56:36+00:00,180.72527423577094,181.0983292295817,183.95104647784316,171.5946264536108,172.6372294014421,176.33059204351363,174.62055827555213,161.4760977956679,171.14891460076163,181.45395315709365,194.57879812213517,183.39350518423197,184.6127401537739,180.4567295792106,179.06530009165596,188.37847335441282,176.93207457993313,181.69152670551773,,182.28761556302652,184.38158214062125,180.6362263484331,172.88718006629952,190.46420694723736,181.94513347497778,184.16480715528203,184.57910280257644,186.51318619257782,177.82261582388028,174.92586955298393,168.6407016142799,175.64061950086585
212,2016-06-23 20:53:50+00:00,178.52494788226022,184.13307665986963,181.48150952756623,168.1639101175314,168.5257506486035,174.2907137165999,181.45516495534207,170.00710537748597,163.462693227472,167.94250645913894,185.61129395658406,171.87388313228254,179.2414950574813,180.68303647017177,177.54382488786874,180.29070517834555,172.9594125343191,179.62706225855501,182.1434530842947,182.3510506984631,181.94892665757763,177.8295716284103,170.34485863855843,190.08321805521376,185.32249681983444,182.87098882960564,179.7525501956495,180.94423062145398,174.84008915509872,178.7936163217426,168.50544853793454,179.27195628539567
