dates,nzd0020-0000,nzd0020-0001,nzd0020-0002
2008-03-18 22:07:44+00:00,123.83680033107541,138.84533710311914,145.84241044435822
2008-08-09 22:06:47+00:00,107.3353376418591,125.78011238120598,143.37078648071125
2008-09-10 22:06:32+00:00,130.00965557066334,166.324367840901,169.26264101663898
2008-09-26 22:06:23+00:00,116.66621943218884,150.69805378680437,159.14146715105088
2008-10-12 22:06:13+00:00,234.9659363513216,150.81523404384004,154.10259636162516
2008-11-13 22:06:43+00:00,256.91649519245755,146.13396959491897,153.66753324868728
2008-11-21 22:01:05+00:00,,,
2008-11-29 22:06:55+00:00,130.26250870512393,156.3144299578226,
2008-12-15 22:07:05+00:00,272.1177773627391,149.27237114199946,153.5208023148537
2008-12-31 22:07:13+00:00,,,
2009-02-17 22:07:31+00:00,249.64593169409684,168.56653853025415,168.54304507715895
