,dates,jap0023-0000,jap0023-0001,jap0023-0002,jap0023-0003,jap0023-0004,jap0023-0005,jap0023-0006,jap0023-0007,jap0023-0008,jap0023-0009,jap0023-0010,jap0023-0011,jap0023-0012,jap0023-0013,jap0023-0014,jap0023-0015,jap0023-0016,jap0023-0017,jap0023-0018,jap0023-0019,jap0023-0020,jap0023-0021,jap0023-0022,jap0023-0023,jap0023-0024,jap0023-0025,jap0023-0026,jap0023-0027,jap0023-0028,jap0023-0029,jap0023-0030,jap0023-0031,jap0023-0032,jap0023-0033,jap0023-0034,jap0023-0035,jap0023-0036,jap0023-0037,jap0023-0038,jap0023-0039,jap0023-0040,jap0023-0041,jap0023-0042,jap0023-0043,jap0023-0044,jap0023-0045,jap0023-0046,jap0023-0047,jap0023-0048,jap0023-0049,jap0023-0050,jap0023-0051,jap0023-0052,jap0023-0053,jap0023-0054,jap0023-0055,jap0023-0056,jap0023-0057,jap0023-0058,jap0023-0059,jap0023-0060,jap0023-0061,jap0023-0062,jap0023-0063,jap0023-0064,jap0023-0065,jap0023-0066,jap0023-0067,jap0023-0068,jap0023-0069,jap0023-0070,jap0023-0071,jap0023-0072,jap0023-0073,jap0023-0074,jap0023-0075,jap0023-0076,jap0023-0077,jap0023-0078,jap0023-0079,jap0023-0080,jap0023-0081,jap0023-0082,jap0023-0083,jap0023-0084,jap0023-0085,jap0023-0086,jap0023-0087,jap0023-0088,jap0023-0089,jap0023-0090,jap0023-0091,jap0023-0092,jap0023-0093,jap0023-0094,jap0023-0095,jap0023-0096,jap0023-0097,jap0023-0098,jap0023-0099,jap0023-0100
10,1986-09-02 00:15:52+00:00,130.3013410921974,127.12137009612852,130.5837437612879,129.76992018172334,122.75094913605038,117.49236846696893,120.67761114057258,117.29696130685626,116.55655499898543,115.09882204996111,117.59329148248912,119.46857872954021,121.57366960175828,124.77381184727079,122.16985641861714,116.66594469737954,114.09472036935479,110.00288192424466,109.52332133639517,115.39279548740913,118.53793130744027,127.34408675693913,122.43423681614107,115.94732840801339,118.34043731780204,111.93641460584526,110.63752939198567,108.76176715050707,106.86380942548699,107.95417162530325,107.46555500540325,108.84174755941967,108.45574346961948,106.211502738341,103.4795449094065,102.68032023783061,107.35438988359785,109.61273022321035,110.77835691997181,115.27793505489052,117.12568543759741,119.18875639631794,119.14989925147975,122.06113302109053,123.3627823079581,123.40734524915264,122.91824458558366,121.43779522343999,122.1904963633848,128.3068010180656,132.0757688315337,134.49520243508184,138.156856888235,129.09138410500174,128.9372457305518,135.34842369593457,135.6910457880829,126.9488058743297,128.54519826863316,133.30338114266866,128.21755543150135,125.77229462619296,116.51033996291088,108.47854783479154,97.06745606531007,96.72185467335832,95.51552578144106,97.77509511431313,104.11881159845218,89.98168396205216,107.13565314714059,104.05581023016518,110.88222615865348,111.75746418306335,114.97072983362659,110.88085609758014,110.95180622126432,123.6285028605591,118.31076790959602,112.77385843707738,111.37430093469169,,,,,,,,,,,,,,,,,,88.15096584395386,95.84645974621104,101.98523289056479
11,1986-10-20 00:14:19+00:00,135.48241112254618,129.54810753789408,128.01331492290484,131.61943382206488,124.23166985617797,124.48519757570325,120.98676205912278,121.76337418890434,122.16734138904677,119.76266288117957,123.37252915088553,125.45702146035323,127.5532001436045,128.87260074892376,130.22494165709918,123.78153886914264,124.24877361838301,121.1416486111884,125.55376714379663,128.992951083501,134.00679917082655,140.9709644506509,137.57533595844495,127.75366111241642,125.24732438973115,125.61044372712465,116.7551693999301,118.68666321975994,118.25172005813998,111.91822172747949,111.47623418555295,114.06776490428803,119.02125900719153,122.28938385439187,117.87677382119296,122.56122999910151,120.1540342428112,121.46556671382346,124.50443895551226,124.2216652261976,126.53089768307267,126.97398593908567,127.81811748086542,131.2360630390137,136.11604040701081,135.49588974253805,131.34185039888033,132.67046850385782,135.49501887812508,138.99434714353865,144.948674688275,145.46668828961995,147.80415927680357,154.97511806366515,155.38319042029957,158.38822208936548,159.4007988549146,158.55757168315915,157.32765389420533,157.3222874134677,149.26791130339944,141.07562168499254,131.668060276657,131.2486805700079,122.81988357322786,122.91041142343764,123.11588264704758,123.58400121772024,127.38429386456022,116.12501129425198,127.89884837558272,123.01435222917476,123.3657081589752,120.60385229365741,125.58599833644803,128.27231687215146,133.95761199926508,142.50036242737252,140.4820150668565,139.19390376190307,140.25152871582438,137.70337128525074,135.6197418837367,131.60162629843157,131.20452777923455,128.86786891099007,133.82589199003172,137.44092205369753,139.2291940518086,146.70449576578451,147.83377061828176,149.0332533545817,142.17455057085726,134.55054568897708,123.23772417598485,121.63646688638141,120.35577642156383,115.58612295128142,112.97845230582654,119.71103194593351,124.24783549384145
12,1986-11-28 00:19:22+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,68.19640760742901,,,,,
13,1987-04-14 00:17:47+00:00,129.6336407098209,128.24583605761538,136.73010388502064,130.37964333348708,130.48705484248603,124.29602771911861,125.8940643302489,117.09034917653233,117.09662261892763,115.65159917293408,116.39378487872095,114.84173606144121,118.51449510601554,112.13224443591773,,,,,98.57410037500208,94.58941223464656,,,,,,,,,,,,,,,,,,,,,,,,,,,96.89812593338775,101.58245940810151,106.83564592942838,116.59856970055876,112.93183359035191,116.22454821631914,127.6366901980335,121.4576283847874,109.96888800577597,109.11483367220673,115.60279293714292,123.49440379862678,139.44919610623515,,152.12019622076278,,,,99.42633344799624,118.91238499595163,122.84541868547244,127.35029309357422,135.2325682766168,136.16643512627502,135.47762534441347,130.1950703215731,125.18897569963228,120.82477568270565,118.50557456511535,126.40344058147008,129.44904657298736,136.84572276672452,136.87144166153942,127.25828683344415,139.66247090652573,140.3494224659811,138.11409337166435,128.78087053055674,120.43926581036779,,,,,,,149.51433537818343,147.7056733397849,128.8775424031654,124.47517388646804,104.81211908119272,,112.22795380830163,118.99124697132767,118.62762713408857,122.29121235409917
14,1987-05-07 00:24:40+00:00,133.78898038870855,132.16159661124448,131.63367097361487,134.01127961362255,127.41321712895025,128.08086170871323,124.8680396682576,125.24858283713962,119.27449430380568,118.25794220408707,120.12652473270032,121.44229037333875,123.5787416088118,128.17348876764038,123.08014171554727,117.82032220097213,119.21035320167576,120.1578592878376,121.1311910316905,119.72612145468737,119.00700060056256,124.45264439385734,115.4947492928462,117.16805918218724,108.75919609929669,102.61963501126475,105.73474783330543,109.28089135534506,101.31458447309188,100.78065211863895,103.86567454503893,107.93254495047059,106.84922075847457,106.5091107338848,103.00896936334865,103.22135157466174,98.20388473554743,106.2030620611361,108.72269794661403,102.02948462488204,109.31915820573543,117.96262483109841,120.40832455178966,121.22110080904636,111.15859258553365,109.64117536076971,114.79553341863202,122.47693691579744,121.86949628013048,125.84495223181045,124.68209720771944,136.2363379334003,141.49717680701022,141.26484708883117,141.50099326175106,143.3166366304555,140.68138028978058,137.48082110968147,137.82568690114033,140.86603478716683,136.41267069670891,126.7367435811716,121.81181903265325,117.2125887493099,110.72451548904093,106.52360903506487,102.85609755948154,106.65781805278348,108.84826135648726,101.16038553327765,117.75224390497385,114.4838837028899,116.17362037084918,116.49969935651339,120.86388334442981,119.31325434366713,127.51540548577488,138.84675425876836,132.5751636239769,129.6886405353036,131.2125787956695,128.09395042035376,127.86841287813732,121.5534290711397,122.59868833755579,117.77157238281742,124.34732250202993,128.88424996116842,133.37102364398993,142.0789264468218,144.82914160323946,146.04111342610128,137.1362187310186,122.52464520293606,116.87295278690127,111.25420380850895,112.04596725977729,107.3531868111953,103.93617738829471,111.6766322712727,106.39187865920238
15,1987-06-01 00:19:08+00:00,137.88821755252042,133.92396374648908,134.92810126317008,130.43321832674516,126.69488189967637,125.22971766611875,122.73256063512764,122.87494022637463,118.68783886720371,118.06159857934111,122.1157202665047,123.33523539236265,124.81993919911164,127.05062763892192,123.37643551263105,123.67422348358608,120.05147004415258,118.78335499519191,121.02583992842324,125.82887275129045,128.0556136996479,137.14311406841296,130.53528460118747,124.36961452320158,124.22738452336077,116.02689197356017,114.1223102593876,113.47002371114604,109.94966531932523,110.41711429219049,111.69781819151635,114.59642510851987,118.79601755142298,122.50080652950709,117.39397608275812,114.50591500220568,113.30354610863361,115.07503328807243,112.66806094138872,119.659414139456,119.44268796174815,121.03429575688818,123.90559190298134,125.45262922324702,126.93314747168439,129.9988179697798,132.08415473486892,129.83426763557577,132.50807244941666,134.94286303544453,141.9535964387461,145.53104190735183,152.26800200452107,149.86436349039468,150.8739730736172,149.9906522397042,146.0192990169164,139.9326141032363,144.25080462188126,142.52506447442113,139.97204845925577,135.55085950322007,123.15712278181172,119.49575918971362,114.28338839101082,116.07447681714632,116.59219271664408,114.49657615825663,118.95507495191674,113.08401941018728,125.16092502330687,120.72925973102699,121.05127541294463,121.44330658151166,125.0365438618195,128.3268387845805,132.96709520737846,142.85429989430006,137.24032389812504,135.47046159038362,134.2940402674597,133.55669905962714,131.27958277340042,126.34478390712209,125.55854741351041,123.80933059686284,131.09373313018958,135.37368281622886,137.7948091467684,140.41793661809692,148.5455980267779,146.25848119524431,134.89508022922118,125.36723678173615,116.24947359106866,113.65849542060813,111.40241577594236,108.12798724481874,102.76429657831994,109.01796417520154,114.45196130959076
16,1987-12-10 00:23:21+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,1988-01-18 00:30:11+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,1988-05-25 00:31:31+00:00,141.3213011803425,138.20812151598778,138.60083405044082,135.66810794358827,131.5599058644793,130.21217438644618,124.21492395774376,125.72805765482664,123.31977325641901,122.54697766195065,120.79689456515047,125.69769289468714,126.12057566175342,132.24140467410328,129.71418857555182,125.727043687357,126.48029125529827,123.15130235582367,124.67618582022898,125.37428387655822,125.16645208543325,136.4824262790562,128.1087022089328,124.02904199948082,123.23842495140869,118.61664489893928,113.22868359726024,111.70684612066354,111.13953742358514,108.05330955203495,107.59631957543,106.56527558764743,110.35434743482577,115.06966481175613,113.26862534026907,105.59817396192669,107.0482807274491,109.19863907375348,112.52699658935694,113.76575819053171,117.09206821707485,116.61552512634832,122.92052928042345,126.31294815363634,125.56649038966101,125.33929048867722,125.73171121822969,128.79325801654198,131.41196464367965,132.81048925452947,139.63648866441076,141.98341289067787,143.38939085752168,134.75728666205902,136.64083474160844,145.32957346456558,144.41724741360963,137.69040174914517,137.14750274863422,145.58104778450408,139.7261958535202,135.54145491187722,125.25577313284361,118.78477431834875,116.46108476130325,113.86460299853553,111.58912373457375,112.09581169452929,117.905228746343,115.5557148943208,126.29470619483341,123.63304485932414,124.59420595423246,121.74945972115032,126.50935407586599,121.87195290428832,127.72620470931625,131.2646904835638,133.28084670645904,130.0725996840977,127.60259604588244,128.00957364578915,125.01347092806638,126.3533135622312,123.94927577148992,123.62458552377097,126.85806393207139,134.82441364392832,135.1615240282754,144.81990316639207,146.06258027254415,144.5045307227894,130.46062355988406,118.46538387678399,113.53130768979511,106.4505999358291,105.40604404871884,100.46897771874471,96.79401182875426,107.02367713300214,106.2927158017815
19,1988-11-01 00:31:41+00:00,138.338373980419,133.244866661956,137.11115287727722,130.1010395095861,124.67866260681237,123.82795042392277,122.42705593415866,125.03099309507004,122.28921513357609,118.4671194602181,119.66989442261512,123.71677558755258,125.1441583942042,132.15406623473763,129.06009365840998,125.03670174480811,126.9541622473777,123.04218372241715,125.20841478392705,127.96161594771198,130.37045996946352,139.23818155309596,129.79426426492984,123.79422528030356,124.72778653253515,124.37811045600604,115.86757450128914,115.56535963577453,112.86642220209177,115.2055621233739,115.9726864372992,117.90684200877695,119.32004026664177,124.13481971995895,119.37484480648223,119.88472721482694,116.299777105756,110.47709074979679,113.07579342193549,120.66604925960267,122.28511201841849,123.24037405241326,125.69613222860005,125.4626340959582,128.85966533754612,131.82180388515548,135.76205041113855,135.80169601483937,138.06281533592298,141.75509641734013,144.44525662103837,149.39376061358877,152.2022726682933,150.5244643701462,154.03157975562334,147.49981285933586,148.7609229047123,147.16947555780894,145.98811546577136,149.57774030521782,146.87512645248103,139.1611568682211,131.5824000124568,126.32595264369672,121.35869107858382,116.43234921903206,113.93985733687758,121.89617645917812,120.24961363083997,116.54935502467572,127.90935915697577,124.00607514699789,118.91839491696334,120.25863503193433,118.5062463508897,122.25054874192472,132.83053487922982,139.4958165214242,132.80448808718774,131.96794665766765,135.77286276057686,133.57334202992544,130.53564802537613,123.54981400822913,122.16444974352528,123.91091485474688,131.82738386883392,136.56733977344112,141.0118401131522,148.1978012776582,149.2140660182195,149.82602648847927,142.24337499710856,131.68152055091014,118.88945710085812,111.81964254789183,108.82899349044624,107.00436746115483,100.88707391412295,106.31230227980123,115.7850017845706
20,1989-05-12 00:29:40+00:00,137.3479929434065,133.43238622480408,136.26218284354408,129.89162349810576,125.59921378943636,121.93079639286644,120.14387040047018,120.61061412102475,118.64972071405575,117.27507975688191,117.96925772219707,121.86305702614756,124.3875144414205,127.97634953760475,127.44407041334979,123.67371233570978,128.52832984004516,122.73965734394264,120.90097106776456,123.7499771328491,129.04274670418295,132.77124932149073,127.99324784269224,127.95979843226895,124.8481160497625,121.26214679055074,113.34529288068339,116.6551486574803,117.3915159000513,113.47834830389007,114.72052801467412,119.61912700292832,121.13296668147285,120.80678787325654,114.7270101051175,108.44346870106337,107.01902902114261,112.5543071656801,110.28999037849485,108.66882008462571,115.45294498556196,123.08895523677796,126.82632409632645,123.54500425453068,126.82022280210705,121.89805337149157,126.02010631135681,129.61351069658323,132.8791697492262,132.3800515730964,135.62814900015024,140.97966653272357,149.4180453591925,149.3093304200453,137.0369065168297,143.23442245284835,139.83517530013145,140.7810421063419,145.34771482955227,142.29965682324092,139.99011819567662,128.51842959937863,121.92944687988275,117.34196221235567,111.53662821019421,110.75412187809273,116.01906049349027,115.1231534873819,119.61842751434085,113.368784427381,122.40561985088647,116.38126446423666,122.29871271575746,120.60264880629799,124.74546965653121,125.35390339787408,125.92768838505135,130.3687660872529,132.0080429944801,132.15369135962604,134.21282480388635,133.3759993849663,131.21045684481334,127.9449104916939,130.7607440526699,126.10836410109688,131.83175572523874,132.37713190600311,142.14865536121687,149.49650234245948,154.57425054592312,154.14726907199417,138.3012947936947,124.21668888244963,117.36082465459003,112.3746651079609,107.70766662104356,107.03887243925887,102.30824223442242,109.92150049014973,119.23278689246507
21,1989-06-13 00:29:03+00:00,130.12997047283898,128.67046606410844,130.5324031615624,126.96150519471804,120.564598584804,117.75594755229113,107.75286595848968,113.38493068053327,109.13767696444046,107.88119245719176,108.4403262840791,110.65622755519522,113.81162227019914,116.77162795018661,115.30695694204871,111.79575033605852,104.73845201304363,105.32777299643803,105.87678183599245,108.57163766492627,113.58571066126049,122.29833077766922,119.59836528070754,115.70983446811275,118.84010945715016,112.35431642115239,109.66540153582001,108.29531987509293,110.66614331696364,105.6839006674603,104.23897080648285,99.79416736058081,100.96611505097323,107.53863952062252,100.12004259917123,104.07578316845138,98.320407343142,98.12725365064163,105.94172432159507,108.50313255661774,111.52937860497528,116.47270678479745,119.3213689432745,119.20656073683463,123.67058144878217,122.93033592755663,126.34179012721346,128.42307933490878,127.14525426830392,128.88085140716635,136.19323299909996,127.25074484212988,129.64972477042357,133.922065315076,134.93765410142086,141.25502893092613,135.7924923342893,126.60401843522722,126.22647069949392,132.59974707711882,126.93188810223108,120.72459867538618,117.32221099711164,115.24348037395475,106.34631463778038,106.34046617570553,103.86330472317925,106.68716423422373,112.62367537016223,107.71815051162827,114.13400688758023,113.05676705446984,112.7669937626676,110.48291578141324,108.28546646238274,111.92365867834118,118.5977904583178,127.27846195946452,125.64078990979709,125.17298411708515,124.28537467965262,124.04609223667069,126.75539554645104,123.38039710050401,118.2327016447897,113.12089597571725,120.58305846800697,128.070172613725,131.1373545370911,134.85508918266373,139.6161557169985,134.6639322487802,127.26834269830256,121.9693640763724,110.83964124403136,109.78499204163765,104.25273255107669,101.69999274734154,98.19464477926466,107.70871642879332,112.46877136785693
