,dates,chi0066-0000,chi0066-0001,chi0066-0002
46,1989-03-23 14:11:44+00:00,188.97175410559205,186.69546907998088,180.82924262496215
47,1989-04-17 14:05:40+00:00,189.25518322627343,185.03053111280843,175.05767993526183
48,1989-04-24 14:11:42+00:00,184.6657704136643,184.0153134257709,175.13962729180307
49,1989-05-03 14:05:25+00:00,198.13775552370316,183.4454064991993,179.74664218276888
50,1989-05-19 14:05:04+00:00,188.02941080736923,184.72231301539318,173.25371142170286
51,1989-07-13 14:10:14+00:00,194.74401670708647,189.15324829731748,193.62264024839192
52,1989-08-07 14:03:33+00:00,190.30955952900695,185.15207948588125,179.88348281320282
53,1989-08-23 14:03:11+00:00,206.90800665392365,197.99225445472678,204.72396327919222
54,1989-09-08 14:02:49+00:00,199.43204266846308,192.21707372881247,193.16496667832632
55,1989-09-15 14:08:39+00:00,203.0604055581836,192.4342110226474,190.07037605585384
56,1989-09-24 14:02:23+00:00,205.4701433302096,192.66474737973942,191.12544370373593
57,1989-11-27 14:00:36+00:00,208.7304439918915,199.56591740692878,196.1225101430983
58,1989-12-04 14:06:36+00:00,194.026000213411,189.65044982603723,186.62931984382678
59,1989-12-13 14:00:11+00:00,184.80768614285017,183.1190781620225,179.1036457154778
60,1989-12-20 14:06:09+00:00,208.6728781229887,197.3107328057911,195.9548324214626
61,1989-12-29 13:59:41+00:00,195.9338003118369,187.79398568190817,180.72449120793047
62,1990-01-14 13:59:09+00:00,204.0218777461886,195.3486538667998,194.2937036411888
63,1990-01-21 14:05:09+00:00,199.0277907371248,198.54887988003213,191.16643320700092
64,1990-01-30 13:58:39+00:00,185.68460007305902,187.82996245941956,178.10130083707432
65,1990-02-06 14:04:37+00:00,199.21220790795923,192.5197017007363,190.8935847504632
66,1990-02-15 13:58:08+00:00,193.31407600136762,196.80743500001188,195.05706022215742
67,1990-02-22 14:04:06+00:00,208.64343178264434,196.8096109216387,193.5767771789977
68,1990-03-03 13:57:36+00:00,,,190.78449433890626
69,1990-03-10 14:03:32+00:00,199.6184098217929,192.06444138346046,185.0042861044572
70,1990-03-26 14:03:02+00:00,191.33977576815968,186.90789141816242,176.4540178562158
71,1990-04-04 13:56:41+00:00,194.518422015116,195.00438847588137,190.70415521465907
72,1990-04-11 14:03:01+00:00,169.693863684007,,159.5373488349736
73,1990-04-20 13:56:53+00:00,205.14539145823704,199.83805889594024,205.39904959770058
74,1990-04-27 14:03:00+00:00,199.27825106616115,196.83294792685416,188.11250012963444
