,dates,chi0515-0000,chi0515-0001,chi0515-0002,chi0515-0003,chi0515-0004,chi0515-0005,chi0515-0006,chi0515-0007,chi0515-0008,chi0515-0009,chi0515-0010,chi0515-0011,chi0515-0012
15,1999-10-30 14:34:44+00:00,222.6449266377512,221.90314055193437,209.7034965254233,218.56840927891503,219.20372681496423,230.22511959019764,243.78789276737734,243.01541497581673,231.2752693532217,221.47013251154291,228.97698157774377,231.05342183901647,228.52134519479358
16,1999-11-16 14:11:43+00:00,210.86484260071575,202.31979781384905,192.75381914684638,202.32938078045788,206.23058342622392,215.35521711026615,230.11744201111208,231.92450797717768,216.5902705704941,214.16192737179907,211.16053844655417,210.73377946157336,206.392641041351
17,1999-12-09 14:17:22+00:00,234.20009889778026,229.34698201511728,209.17332119567135,208.9231360270827,210.0654661482717,224.0542146393169,261.43615888561686,266.43637994993054,250.91034625079396,226.9417487172932,219.64467527623572,228.97000043933048,244.94232174671805
18,1999-12-10 14:29:00+00:00,240.83353496918852,232.75434733612514,213.38127408174196,210.99064197426594,217.81397487747992,234.15811522023466,262.85468901955926,266.56847752029137,256.1418222143146,234.4596798494067,221.1312748084939,234.16448298609822,248.87605015560976
19,2000-02-19 14:34:30+00:00,248.2242548595374,258.8054383267075,255.57168296253752,226.4511981089478,201.8526263353158,201.47766103692413,223.76306918025753,249.1821455968987,259.89111538677844,257.0855633804655,244.39803226509275,234.44264481641835,241.58706952990354
20,2000-03-31 14:28:35+00:00,217.6972988079338,217.24378978784057,236.03399695505612,231.2609852503814,209.62138644468476,199.5867281618377,197.16281084873265,206.2659789885321,221.39816321327083,233.28737478789412,,229.1225663991276,207.94571568564487
21,2000-04-16 14:28:21+00:00,211.80584536206783,202.1672861474769,231.50515721426743,215.39820314099853,196.67817570179437,202.6025225351299,191.10807670102284,197.75203000040253,208.29198065528746,218.49891968765704,,218.54724650064543,202.52550033569554
22,2000-05-09 14:34:22+00:00,201.41421897421066,,,238.53278679567134,239.7834567788901,,,215.76456342383312,215.97069633235103,225.15034339350197,233.29375472217728,225.0604425860432,211.59975678679731
23,2000-05-18 14:28:09+00:00,,,,,,173.02328681288768,170.64209080685703,190.67808215210232,,,,,
24,2000-06-26 14:33:57+00:00,221.96948578559503,,,,,,,200.72505048076997,209.21008621495264,200.00013261741674,198.93224047623752,198.11632887423121,162.4992056840617
25,2000-07-28 14:33:02+00:00,,,,,,,,200.10428706151856,,,,163.69073457366477,168.0128157503611
26,2000-08-06 14:27:10+00:00,,,,,,,,,,,,,
27,2000-08-22 14:27:04+00:00,192.86560186278376,,,,,182.16645724485286,177.9280685992833,199.80945747359962,192.80727931786436,,,166.9352818038259,158.05902579950134
28,2000-12-19 14:32:40+00:00,235.96475787820185,237.4543326720498,235.34024250641016,239.49773375042722,227.2455973064422,210.99872541611796,211.93787586178962,218.8300292511482,219.61751234281797,216.8120678931621,211.52451227721966,200.9736440379441,201.54022410117267
29,2001-02-14 14:26:29+00:00,212.34578329989776,194.6975032209246,,216.17746609941378,229.22020386496644,200.20830520874082,171.18725212411786,,175.58042312041724,197.0799644910809,202.89700353006467,207.80118377553256,197.12413603496543
