,dates,jap0290-0000,jap0290-0001,jap0290-0002,jap0290-0003,jap0290-0004,jap0290-0005
18,1986-12-24 01:00:24+00:00,149.7116185923464,161.83087266987405,179.660277113104,193.15253068363057,195.5214547992402,194.32312741174292
19,1987-02-10 01:01:56+00:00,170.22625742607983,190.09783011658394,,205.91841618026012,204.73517290559775,198.4773392822993
20,1987-02-26 01:02:33+00:00,159.68638222549197,175.68481302745525,194.27943436377566,203.2594858039014,204.53899726355894,201.64845896085868
21,1987-06-18 01:05:58+00:00,149.64557335698635,168.82503047014507,187.42388427240002,186.32462694253047,193.39261150748956,181.75854085337483
22,1987-11-09 01:09:17+00:00,149.39436908330464,163.50125324275473,172.33703265506196,178.6914505882377,190.42505536375256,186.36916862899915
23,1987-11-25 01:09:36+00:00,151.017940147997,177.0630465622538,193.7557718995373,199.53539689409425,203.58422102159602,197.10664387818056
24,1988-09-08 01:12:07+00:00,164.91507325208312,179.5859075378194,183.69989499228905,189.86136119698506,194.7191195035835,188.923057248646
25,1988-10-26 01:11:54+00:00,160.40554569820677,175.32061398989055,192.05574532643192,201.10597296268242,203.89482647604615,199.44461071346376
26,1988-12-13 01:11:44+00:00,175.01386764337713,196.01186006129507,215.3635388503116,220.7527359344306,227.42360383259893,216.83860712537438
27,1989-01-30 01:11:21+00:00,159.80764401889513,181.25275435972512,198.95605993879443,202.57061060886912,201.98542832336346,202.86954991626013
28,1989-09-27 01:07:04+00:00,148.4201315575947,164.58215029622303,177.15694663609133,189.11027313396693,189.4688240736733,181.2296553853482
29,1989-10-13 01:06:36+00:00,155.055057018839,169.35479687342996,187.2623720624092,200.04519405973755,197.5009240902562,194.97648432963805
30,1989-11-14 01:05:34+00:00,158.9199180903518,186.26801064145639,,,,
31,1989-11-30 01:05:14+00:00,173.87740533408908,193.01289262152346,207.82284872644996,211.6166638665876,213.33187199694146,209.9616759673164
32,1989-12-16 01:04:47+00:00,179.92099859436675,193.46233242820057,214.57432080021894,221.2908183963833,226.68761325839222,221.34555268638232
33,1990-01-17 01:03:46+00:00,176.12293943365395,192.43622378639492,215.4934158002682,222.83438280306441,217.4904423091535,213.86777499555384
34,1990-02-02 01:03:15+00:00,165.85498702461305,184.4012637334538,200.31817194805004,210.35915353593145,212.1956876331055,209.9742587732847
35,1990-03-06 01:02:12+00:00,169.81425059495248,189.56284244668737,202.8867075931946,213.89512065450907,212.30588964605596,206.1985431767338
36,1990-05-09 01:01:33+00:00,156.70174163811504,172.48587701400837,191.16518857928997,198.52440793374524,202.43743756371828,195.98350562517723
37,1990-05-25 01:01:30+00:00,162.51542700559776,175.439563682968,194.60073348089492,202.28287640755292,207.5655146549087,193.9271297501464
38,1990-10-16 01:00:55+00:00,170.31742645804414,184.90903505577714,196.9380319941022,201.9550749330426,209.5570388559012,187.24662125432826
39,1990-11-01 01:00:45+00:00,173.6601939187374,182.1144616048264,199.36197160420485,210.73007864861302,212.83919807139193,196.0916090518021
40,1990-12-03 01:00:31+00:00,166.05963926322028,177.5695218408052,197.51748302909556,200.733677021343,201.80621104304205,187.0106928795792
41,1990-12-19 01:00:51+00:00,163.98637624466286,184.9162653440934,,207.5009097266053,207.7726248596147,201.2981192573196
