dates,nzd0455-0000,nzd0455-0001,nzd0455-0002,nzd0455-0003,nzd0455-0004,nzd0455-0005,nzd0455-0006,nzd0455-0007,nzd0455-0008,nzd0455-0009,nzd0455-0010,nzd0455-0011,nzd0455-0012,nzd0455-0013,nzd0455-0014,nzd0455-0015,nzd0455-0016,nzd0455-0017,nzd0455-0018,nzd0455-0019,nzd0455-0020,satname
2012-10-14 22:22:17+00:00,377.83,355.63,359.21999999999997,,,381.99857142857144,370.07,363.46999999999997,361.71999999999997,360.45,357.33272727272725,360.82,356.8127272727273,347.77,343.33272727272725,349.33272727272725,343.97,347.33272727272725,341.9,,,L7
2012-12-17 22:22:40+00:00,,,,352.59,353.75,359.26142857142855,355.91999999999996,352.82,355.77,346.78999999999996,350.10636363636365,347.06,341.0263636363636,343.4066666666667,336.9563636363636,337.30636363636364,333.6666666666667,328.17636363636365,,339.17636363636365,339.48636363636365,L7
2013-04-08 22:22:36+00:00,394.09999999999997,369.4423076923077,,,380.27,386.34285714285716,381.96,380.53,375.59999999999997,370.62,376.3954545454546,365.98999999999995,366.23545454545456,363.45,358.29545454545456,363.49545454545455,350.02,343.0954545454546,349.16999999999996,,362.04545454545456,L7
2013-05-02 22:28:22+00:00,409.26,344.84615384615387,338.61,347.2,351.66,355.9328571428572,365.81,359.64,361.31,360.24,363.35,353.95,346.8,349.43,338.87,339.34,344.7,327.32,342.33,344.25,340.42,L8
2013-05-10 22:22:26+00:00,385.94,364.2561538461539,367.93,371.81,377.63,381.7657142857143,381.24,379.06,377.88,374.57,375.4063636363636,378.32,,372.1666666666667,365.1563636363636,363.4063636363636,359.9066666666667,354.54636363636365,363.48,365.2263636363636,358.1963636363636,L7
2013-06-27 22:22:08+00:00,,,,,359.79,361.43142857142857,373.15,368.46,365.2,379.5,360.0336363636364,,369.76363636363635,369.89,365.24363636363637,,,351.93363636363637,,,349.39363636363635,L7
2013-08-22 22:28:36+00:00,387.11,351.6146153846154,347.9,350.38,383.47,,,,,358.05,355.47090909090906,350.26,344.0609090909091,341.6366666666667,345.29090909090905,347.21090909090907,337.44666666666666,339.8809090909091,341.49,341.18090909090904,333.5109090909091,L8
2013-08-30 22:22:01+00:00,376.25,355.1838461538461,350.92,357.03,361.22,368.6557142857143,376.15,,,366.13,367.83181818181816,357.56,351.8618181818182,350.7766666666667,351.6518181818182,350.8818181818182,342.56666666666666,342.2318181818182,342.83,343.0918181818182,339.1218181818182,L7
2013-11-10 22:28:18+00:00,385.84,340.58,337.55,348.74,352.6,362.72857142857146,350.66,358.59,355.83,350.45,347.4718181818182,338.59,330.6718181818182,336.8566666666667,343.51181818181817,332.9818181818182,322.4566666666667,330.6018181818182,322.33,328.3518181818182,323.9918181818182,L8
2013-11-18 22:22:44+00:00,377.41,357.4923076923077,363.03000000000003,367.66,376.22,380.66,376.66,372.94,363.51000000000005,356.20000000000005,358.9045454545454,359.76000000000005,360.46454545454543,,356.67454545454547,356.33454545454543,345.11,343.50454545454545,352.15000000000003,344.82454545454544,356.08454545454543,L7
2014-01-13 22:27:45+00:00,365.28000000000003,,,,,,,,,,,346.36,350.2845454545454,343.4633333333333,342.86454545454546,348.2345454545454,340.8233333333333,337.19454545454545,334.14,340.44454545454545,338.69454545454545,L8
