dates,nzd0316-0000,nzd0316-0001,nzd0316-0002,nzd0316-0003,nzd0316-0004,nzd0316-0005,nzd0316-0006,nzd0316-0007,nzd0316-0008,nzd0316-0009,nzd0316-0010,nzd0316-0011,nzd0316-0012,nzd0316-0013,nzd0316-0014,nzd0316-0015,nzd0316-0016,nzd0316-0017,nzd0316-0018,nzd0316-0019,nzd0316-0020,nzd0316-0021,nzd0316-0022,nzd0316-0023,nzd0316-0024,nzd0316-0025,nzd0316-0026,nzd0316-0027,nzd0316-0028,nzd0316-0029,nzd0316-0030,nzd0316-0031,nzd0316-0032,nzd0316-0033,nzd0316-0034,nzd0316-0035,nzd0316-0036,nzd0316-0037,nzd0316-0038,nzd0316-0039,nzd0316-0040,nzd0316-0041,nzd0316-0042,nzd0316-0043,nzd0316-0044,nzd0316-0045,nzd0316-0046,satname
2001-11-03 22:01:22+00:00,349.98,344.89,337.74,328.14,328.60,330.91,343.62,343.28,344.15,339.12,330.24,341.87,352.90,348.63,357.16,350.34,351.81,352.36,348.52,352.08,357.29,367.69,365.64,371.36,361.36,361.11,357.87,353.80,348.85,352.43,351.15,357.57,367.85,364.19,368.49,367.81,363.03,359.77,368.34,362.21,353.09,335.66,338.20,348.47,350.12,347.96,348.73,L7
2001-12-21 22:01:41+00:00,364.04,373.06,364.27,357.61,350.95,350.01,353.00,362.89,349.40,344.89,340.70,364.09,388.03,,,374.71,373.08,387.41,374.10,371.60,377.29,388.56,398.82,399.98,385.97,374.00,362.69,354.67,365.98,372.61,397.47,374.60,399.24,391.96,387.44,378.81,378.47,371.37,381.98,384.57,383.72,353.47,384.32,387.21,378.00,382.73,388.63,L7
2002-02-07 22:01:54+00:00,361.62,360.83,353.55,347.73,344.13,348.01,351.17,349.69,343.61,332.36,323.79,334.56,353.11,358.22,366.26,364.26,367.28,369.67,366.51,370.39,378.13,394.82,399.85,387.90,378.37,368.40,365.89,363.53,366.90,370.63,373.45,385.04,386.19,378.36,382.26,379.20,372.26,371.71,379.49,373.55,364.28,345.78,354.83,363.65,356.91,364.19,365.82,L7
2002-03-11 22:01:55+00:00,378.80,381.00,364.89,354.00,344.05,351.12,350.53,352.89,344.74,339.81,333.30,344.96,351.96,355.44,361.07,366.07,365.49,370.32,365.09,366.38,377.56,388.14,387.49,381.58,372.37,370.93,365.75,365.54,361.80,366.53,367.50,371.38,379.99,385.43,377.04,372.96,369.14,374.15,379.37,375.46,367.50,358.44,347.90,359.58,359.28,362.56,366.74,L7
2002-05-30 22:01:37+00:00,372.53,356.05,356.95,359.99,344.56,346.94,342.08,345.05,347.50,342.58,329.72,356.44,361.15,363.90,366.99,371.81,364.91,376.01,366.68,,366.74,380.77,370.88,369.45,377.38,379.84,363.70,365.76,365.60,366.26,367.40,370.11,374.66,364.59,367.42,367.45,367.29,367.87,368.56,358.70,355.07,359.52,376.29,366.90,364.89,366.30,359.76,L7
2002-08-02 22:01:13+00:00,365.01,349.06,355.90,355.63,351.00,360.01,360.06,352.35,347.17,341.56,330.64,362.13,371.57,369.55,392.88,368.79,372.40,372.93,372.92,368.61,379.57,395.10,388.97,388.15,383.22,370.76,365.78,362.35,364.85,371.76,375.86,385.38,394.50,387.67,371.15,359.69,365.74,363.36,363.51,387.53,385.33,366.07,361.68,374.03,364.92,368.56,379.17,L7
2002-10-21 22:00:48+00:00,346.70,335.22,328.82,328.82,329.30,334.24,335.96,332.77,333.88,339.93,329.27,346.28,346.74,347.82,352.17,349.75,354.54,361.00,351.00,350.11,352.27,366.31,353.14,364.40,357.66,360.46,362.08,356.63,355.58,347.53,349.44,341.56,352.80,357.13,358.29,358.75,359.70,349.02,359.61,363.67,349.13,341.54,345.56,353.22,357.31,360.10,355.78,L7
2003-01-25 22:01:30+00:00,349.06,325.93,327.15,329.17,330.92,340.76,342.58,339.69,337.83,333.76,322.73,338.53,355.78,359.94,382.43,361.22,360.60,364.29,363.74,349.47,351.35,360.20,359.37,369.94,367.37,369.09,357.88,353.66,357.35,376.97,371.92,367.13,377.71,371.00,362.85,374.78,369.28,361.03,362.71,371.16,365.98,348.19,367.88,357.65,350.38,349.05,370.16,L7
2003-02-26 22:01:40+00:00,340.67,325.98,324.21,323.13,323.56,341.62,353.97,351.13,340.61,335.27,325.67,330.38,357.53,358.64,365.13,364.37,362.09,366.12,359.19,356.35,362.90,366.37,363.68,368.20,363.32,363.78,365.30,362.92,368.92,372.38,370.79,371.71,374.52,380.71,383.55,371.98,370.33,361.73,375.73,368.48,370.42,367.66,370.63,352.93,353.59,363.12,370.43,L7
2003-04-15 22:01:45+00:00,363.22,358.98,344.41,343.23,352.60,370.37,371.98,368.57,360.02,349.85,346.30,349.85,374.42,376.93,379.31,382.25,382.33,386.33,380.18,377.86,384.87,391.55,387.34,388.23,383.84,385.31,384.76,381.99,377.54,380.74,379.06,375.74,385.40,383.75,385.76,378.35,379.03,374.68,380.35,379.50,383.36,370.31,371.32,371.60,373.75,379.70,392.73,L7
2003-07-20 22:01:32+00:00,,,,,,,328.48,337.16,335.08,331.99,322.07,347.20,349.53,352.23,380.58,367.58,363.96,377.67,,,,379.51,369.10,378.80,371.52,363.33,363.53,363.67,372.40,368.68,365.21,361.74,,,,363.32,357.54,359.68,361.39,382.73,366.49,343.23,357.14,376.62,367.76,,,L7
2003-08-13 21:49:56+00:00,370.89,370.70,355.72,349.98,349.80,358.03,357.29,359.40,359.27,339.89,332.87,366.20,374.71,377.68,385.67,384.41,389.11,380.81,378.30,376.72,382.99,389.69,385.51,389.10,382.11,391.18,387.38,388.58,386.95,389.66,393.00,377.43,378.24,380.75,381.59,377.57,376.22,380.98,398.25,401.16,392.93,375.40,363.90,356.76,357.45,367.37,373.09,L5
2003-08-29 21:50:14+00:00,360.23,356.06,339.26,333.89,337.52,336.72,343.21,342.40,345.26,332.54,327.08,358.56,363.18,370.87,375.55,373.84,370.29,370.65,362.20,360.82,362.93,372.31,372.02,376.28,367.04,371.75,371.52,376.83,374.69,372.74,369.74,372.53,380.76,375.12,375.45,364.84,365.34,365.56,379.84,380.97,375.04,356.74,351.13,346.83,354.79,358.14,355.65,L5
2003-10-16 21:50:55+00:00,397.24,380.46,358.41,354.09,355.77,368.19,381.10,367.26,354.40,339.21,326.31,351.09,388.67,387.52,407.13,380.27,387.03,394.08,375.09,378.30,379.14,383.73,385.02,384.59,371.87,388.91,383.65,384.38,376.77,,,,,,,,,,,,,,,388.87,380.48,385.56,385.79,L5
2003-11-09 22:01:30+00:00,348.85,342.11,328.46,324.87,331.01,,,337.45,339.22,329.24,325.86,336.40,354.69,358.17,362.95,360.32,352.18,359.37,355.39,348.49,,,363.59,370.60,361.86,369.89,368.11,369.83,364.64,364.72,361.53,358.05,366.19,369.04,,,364.82,357.67,362.42,366.79,358.83,349.36,349.99,364.27,358.10,366.49,368.38,L7
2003-12-03 21:51:31+00:00,340.15,334.58,335.28,336.34,335.29,342.28,351.60,356.39,343.27,,,,,,,,,,,,,,,,,,369.89,366.74,358.89,366.41,370.35,369.16,374.32,371.46,384.19,389.91,373.84,359.66,363.23,363.54,355.95,342.75,349.89,358.66,357.04,364.45,373.39,L5
