,dates,jap0106-0000,jap0106-0001,jap0106-0002,jap0106-0003,jap0106-0004,jap0106-0005,jap0106-0006,jap0106-0007,jap0106-0008,jap0106-0009,jap0106-0010,jap0106-0011
53,1996-03-10 00:21:39+00:00,205.17948304463172,211.77755078505447,215.2074418659366,226.95085128062814,223.2658822411118,216.10409727685075,229.59704503751522,228.2596109776979,231.96976590681973,223.51523233026748,215.97889662976064,
54,1996-03-26 00:22:41+00:00,,,,,,,,,,,,
55,1996-05-29 00:26:29+00:00,191.16264871935522,197.93017787650933,191.8277990424034,201.9914160876692,215.45749637942458,211.2965576041442,210.60682012233926,204.554100392094,205.35193504685571,196.88281836863,181.64061664859986,178.73682563314915
56,1996-06-14 00:27:22+00:00,188.6988613647916,200.34726591710822,213.15460562506286,217.46394854104418,213.54169776824568,219.07525104774913,218.57041145812994,217.36699122671385,219.57878066461333,,,
57,1996-12-07 00:36:28+00:00,195.0784723826471,195.31673833609517,205.96793205903882,210.2799580885108,212.53174500688363,209.83265074684508,210.03002538863572,209.72353941249446,205.99252730857765,195.68776969055267,179.20885548526854,166.92709621056926
58,1997-03-29 00:41:20+00:00,173.24447155144344,186.13667907544686,194.588066778344,194.75108843764178,202.66520887293606,202.05265410643491,188.057920021582,203.20724327898364,199.56893960882334,173.22625679693675,172.70690495501083,172.59647014649397
59,1997-10-23 00:48:06+00:00,262.1742164833553,257.35965113505705,258.3775610702021,258.8300674669984,257.0369695498477,249.5896604850758,246.14280643810008,,255.72943743215137,,,
60,1997-11-08 00:48:30+00:00,237.22480340391115,231.8004309482208,229.09817935748617,229.43009031535152,230.32193682172948,228.99652746412542,225.59769990616408,219.19307023255715,220.87371664415753,213.4265643503329,201.71982198176315,215.41907306027352
61,1997-12-26 00:49:38+00:00,247.2085149137566,237.91763690315366,240.60153573726154,243.9109062491391,240.6547517519452,238.81599125291766,233.87520854880415,224.157887293126,230.28682750002372,217.02813281899594,198.52513638157828,191.16729151512862
62,1998-09-08 00:53:19+00:00,242.52908501663276,246.5992254543957,234.54742915505406,223.8376602590864,235.404019764641,239.95413829530932,230.1605310040885,224.5026902727987,220.35106617678397,201.09050576532348,181.46128980199268,177.89431064745278
63,1998-12-29 00:53:43+00:00,,,,,,,,,,,,
64,1999-03-03 00:53:49+00:00,,,,,,,,,,,,
65,1999-04-20 00:53:21+00:00,,,,191.3256542859586,,178.04784238936122,,,163.27060821273648,,150.8374633037939,
66,1999-07-09 00:52:23+00:00,218.6682575620211,,201.85634040372128,219.66756176444343,215.36134021450673,206.0926139649629,206.40683195746195,198.06654879613865,192.63703233168135,173.41430664269515,163.87725649682224,160.77816835062342
67,1999-09-03 01:07:34+00:00,265.12866323916944,262.01403573427467,256.7924590883965,254.69715359766545,250.2888923245702,245.79904228114592,235.72464909919037,218.46982907215934,208.00179488393704,211.57515037538784,188.29555884087313,177.25400457946125
68,1999-11-06 01:07:31+00:00,249.29255350989217,247.86812644650482,232.88498365110988,238.54274396500077,238.15943523402666,241.699155200549,236.06357411128366,229.80308080538964,219.48827934994534,210.3644109253859,199.25188534227456,195.33984814662372
69,1999-11-22 01:07:26+00:00,236.70099874878937,242.044817348208,236.98190607628146,234.61527689657763,232.14073043864266,232.51104966096327,231.44490933852802,225.31252174248226,220.23909257207907,207.74131722441948,194.38308924344562,184.25696347464208
70,2000-01-25 01:07:26+00:00,,,,,,,,,,,,
71,2000-04-30 01:06:56+00:00,200.97798721830807,208.0277128432607,202.6954053048883,197.17243173746968,197.57083265968205,196.7613058574139,195.62637479081718,206.17351729665046,218.2954851460458,,,
72,2000-09-05 01:05:25+00:00,222.40982795136392,217.8685346160089,217.89243268071723,208.34928544121178,209.05804479819983,204.7718883853961,196.19454886717392,193.79991920807475,201.92013027555117,192.98467930872835,187.76923890809627,190.24363287108395
73,2000-09-21 01:05:05+00:00,213.89714664026664,221.80496747031498,214.26783740313667,211.51531940401512,206.90369238888877,202.9672457565712,207.67781109639287,196.2727133540521,192.58019560777998,186.111648562097,175.46627733321466,180.88787152326356
74,2000-11-08 01:04:55+00:00,217.93730655747407,207.1000973523139,,,,,,,,,,
75,2000-11-24 01:04:56+00:00,,,,,212.27375838722767,,,192.40427728133434,191.5132302289196,188.33813145201967,186.4664108245024,193.61453540727138
76,2001-04-17 01:04:45+00:00,197.97543241852568,199.0867457617104,192.56080529717764,195.44026037469376,203.4130926328584,206.0088673457807,204.68221760019577,203.4465878848353,195.65162685174644,197.23474268659095,190.93827600155802,189.33096237664932
77,2001-06-04 01:04:19+00:00,208.03147444739847,211.7708432681642,212.3389317864655,207.1854893144494,223.32790915861221,213.2825595033457,215.26003648010877,226.3644470901232,221.06980484788056,205.73223821141946,200.6041885807268,191.47238897668834
78,2001-06-28 00:54:59+00:00,200.1233706764248,199.62095658542455,204.53732192360195,203.69721842824686,203.6888169689724,201.63879674312327,198.44065502256876,196.92177122207116,197.01863729551118,189.38574959295545,176.9417868215958,169.55973896182903
79,2001-07-22 01:03:55+00:00,211.45599756509506,217.42549269430106,221.50299219169827,218.37579036546398,218.78571467981433,230.24990497958387,224.7308683228504,223.79042396910063,224.35504503631122,210.38888539988702,,
80,2001-08-23 01:03:25+00:00,203.5253885801251,205.67690875609446,197.73403708844614,190.92642287602962,196.79126732625647,,194.6722106988984,187.9236443913967,188.57929202154358,177.2678021639122,177.41344040846303,172.77054299947451
81,2001-09-24 01:03:05+00:00,235.07135574024645,234.67524878397572,223.2483482287698,217.22115185314,214.1062171798212,208.69653584433294,202.48646922096324,199.4518539665901,194.872254030253,184.381538878938,179.78129278740911,186.53695545224534
82,2001-10-26 01:02:55+00:00,217.28861692882964,218.850398212216,211.19232004513376,210.09562518314056,208.4444393251521,204.72762278904187,192.14422756792442,,186.9693468561658,197.21116934800494,200.67232510668768,190.78224534825708
83,2001-11-11 01:03:05+00:00,227.44131696902835,228.78402054891706,216.6864834097322,218.12961023467972,216.77302046255053,211.19893210962425,193.69609390236718,210.70881967508228,209.88576462772096,210.29180277919878,203.3375949294387,200.9534314784964
84,2002-03-19 01:03:24+00:00,,,,,162.63156354738982,181.4488368514361,,185.88286810392592,,,172.5352515717501,180.15394898823502
85,2002-04-20 01:03:24+00:00,196.27719974060818,210.02054152573308,207.7587584184358,199.12999564021771,198.40209843120664,204.65144330903433,209.07184789387014,206.5274875496017,210.82623285802873,197.05751837241132,202.63961515759203,194.26149145642543
86,2002-05-06 01:03:28+00:00,204.21283226018858,198.74669477837602,194.68454097605917,189.0805579988937,,,,,,174.1759238328115,173.04563900046415,170.13640480245974
87,2002-05-22 01:03:19+00:00,199.55867217598177,198.43398704516838,200.28860503399576,189.39972296150938,194.04018073177434,188.32862685289751,,175.4496056593552,194.14305846761428,192.68495347366905,186.9717651614829,177.31320291240496
88,2002-06-07 01:03:13+00:00,229.62818383506647,220.64945506537785,210.51879757866635,201.100518120468,200.8316990941454,201.23452123964975,198.1429496104371,204.96956788469598,205.56985225092464,209.08651005846855,202.90865047822473,191.1435953781112
89,2002-08-26 01:02:38+00:00,209.0197950896945,209.04088221936448,202.64374078477923,196.0002764754578,195.2072204505887,205.51517911413697,192.01329478458217,179.07423862754698,,179.7751572972805,182.45252108920587,165.52011980828965
90,2002-09-11 01:02:34+00:00,230.57171334374596,223.28677494710334,221.1255879754505,213.83031054843673,210.91288272049775,203.9655373360066,193.31681047207087,190.12557117589128,193.58833176229854,184.4432830853802,181.7416320459193,171.165652559137
91,2002-10-13 01:02:16+00:00,226.53726805804845,216.61130456433776,214.24919471300376,199.67272062087315,192.97008666928195,,185.88910897015438,185.90046232414903,,179.65446189428502,175.52066298181268,164.17843906427893
92,2002-10-29 01:02:24+00:00,193.93991052834372,200.07985442724012,,186.70749388874157,,199.55616949987203,197.09565103791945,,169.0362458400805,172.51457313490798,160.46983552026276,156.3723368868782
93,2002-11-30 01:02:52+00:00,,,,,,,,,,,,
