dates,satname,nzd0125-0000,nzd0125-0001,nzd0125-0002,nzd0125-0003,nzd0125-0004,nzd0125-0005,nzd0125-0006,nzd0125-0007,nzd0125-0008,nzd0125-0009,nzd0125-0010,nzd0125-0011,nzd0125-0012,nzd0125-0013,nzd0125-0014,nzd0125-0015,nzd0125-0016,nzd0125-0017,nzd0125-0018,nzd0125-0019,nzd0125-0020,nzd0125-0021,nzd0125-0022,nzd0125-0023,nzd0125-0024,nzd0125-0025,nzd0125-0026
2003-03-30 22:00:31+00:00,L7,395.11,383.32,381.44,377.93,361.99,359.42,370.56,368.21,364.35,358.88,354.04,356.89,384.26,389.13,375.22,340.76,337.66,334.43,334.90,342.05,347.22,346.39,362.89,388.43,359.39,350.35,351.58
2003-04-24 21:54:22+00:00,L7,,,,,,,,383.37,378.12,368.48,367.84,370.93,398.20,408.25,402.48,352.71,347.27,341.94,342.23,347.94,350.80,359.20,373.20,402.44,377.33,347.95,341.59
2003-05-10 21:54:22+00:00,L7,401.99,387.04,389.55,391.16,373.55,374.10,382.94,379.46,377.90,369.33,359.15,366.67,393.00,406.62,400.15,346.52,342.72,339.96,343.56,351.68,351.09,362.34,372.09,397.09,371.67,355.26,359.58
2003-05-26 21:54:19+00:00,L7,356.93,,,,,,,,,,,,152.17,115.38,,,,,,,,,377.60,402.95,,,350.47
2003-07-21 21:42:09+00:00,L5,421.72,399.73,402.24,401.49,383.71,381.30,384.28,382.20,379.48,370.39,368.67,376.52,399.42,413.25,407.52,362.44,363.60,358.75,363.58,374.81,361.55,371.54,383.53,404.46,387.37,364.00,361.74
2003-08-05 22:00:11+00:00,L7,,,,,,369.12,372.82,373.41,371.57,358.71,353.86,364.02,395.01,396.99,,337.67,340.37,339.99,338.56,344.44,351.98,351.12,372.35,391.51,362.77,349.01,350.97
2003-08-06 21:42:27+00:00,L5,398.49,389.72,399.99,393.70,375.04,376.62,384.46,392.16,388.72,375.26,365.64,385.62,406.56,418.38,411.58,348.31,349.10,349.25,352.51,371.02,361.08,368.43,387.67,411.79,385.84,353.96,355.48
2003-08-13 21:48:45+00:00,L5,362.03,378.57,381.14,376.18,355.17,352.84,361.11,361.42,359.36,353.20,344.20,357.09,379.21,377.56,359.71,327.90,328.08,330.05,328.75,335.81,341.68,344.95,362.24,373.51,349.93,342.16,341.86
2003-09-14 21:49:18+00:00,L5,384.66,383.21,,,,,,,,,,,,,,,,,,,334.61,342.39,348.43,370.68,356.69,336.76,342.97
2003-10-25 21:43:40+00:00,L5,380.39,378.38,378.66,380.49,369.42,363.82,373.25,371.94,369.99,362.31,352.79,358.35,382.14,385.43,370.28,338.20,336.59,331.69,328.92,341.99,348.55,358.74,363.42,390.85,367.18,347.43,346.64
2003-11-09 22:00:18+00:00,L7,384.43,381.19,381.17,374.80,362.61,356.09,365.67,366.33,365.85,360.27,353.41,354.23,369.61,377.67,,,,,,,,,,,,,
2003-11-17 21:50:09+00:00,L5,442.43,401.31,402.22,397.62,372.35,366.67,379.83,385.34,378.68,377.58,365.18,372.84,399.78,415.29,,348.11,343.60,338.79,344.76,366.01,369.42,375.34,384.90,410.15,396.64,374.12,366.57
2003-11-18 21:54:15+00:00,L7,,,399.87,394.53,380.89,379.19,388.40,398.05,395.98,388.87,376.72,372.24,397.10,421.47,,357.06,352.11,348.18,347.79,359.45,360.75,377.79,381.25,406.73,387.09,,
2003-12-03 21:50:19+00:00,L5,,,,,393.17,389.88,401.93,404.29,408.83,403.69,400.68,398.00,425.53,451.80,,378.33,370.34,369.55,366.91,387.56,388.97,403.11,391.66,415.72,394.93,362.77,356.72
2003-12-04 21:54:19+00:00,L7,442.35,390.91,394.54,395.25,379.07,376.37,390.12,387.45,396.22,385.08,384.73,383.18,402.10,417.43,390.70,,,,,,,,,,,,
2003-12-12 21:44:10+00:00,L5,390.27,388.60,386.72,393.18,373.04,371.75,378.57,378.62,376.61,365.43,354.72,356.00,378.99,382.40,361.56,337.67,340.43,340.60,333.90,345.02,351.25,360.75,360.08,,374.82,353.81,345.80
2004-01-21 21:54:39+00:00,L7,391.01,392.43,391.99,,,,,,,,,,,,361.03,334.62,336.39,334.53,337.84,349.97,350.19,359.24,352.74,372.77,373.93,357.17,353.55
2004-02-21 21:50:47+00:00,L5,380.49,378.49,381.11,381.42,367.08,364.90,376.29,376.07,378.43,375.03,370.18,370.42,393.96,387.41,357.90,337.28,334.01,334.49,334.81,340.87,348.21,351.94,363.64,381.18,363.87,352.04,346.48
2004-03-25 21:54:54+00:00,L7,395.05,382.04,377.99,,,,,,,,,,,,367.76,339.16,333.76,331.96,334.70,342.19,349.27,357.00,359.87,383.94,367.65,348.31,348.60
2004-04-18 21:45:25+00:00,L5,387.23,385.11,376.95,379.45,357.09,357.99,371.22,375.25,379.99,369.33,367.56,368.31,392.86,395.98,370.39,339.35,342.22,343.17,343.19,347.90,356.28,357.95,372.33,384.70,371.11,359.98,351.81
2004-05-03 22:00:59+00:00,L7,,384.00,385.49,383.10,367.25,364.83,378.19,381.80,386.64,373.91,369.33,373.86,395.34,397.01,379.10,350.51,341.90,,,,,,,,,,
2004-05-12 21:54:49+00:00,L7,380.93,383.28,381.80,378.16,364.83,366.22,374.89,379.30,378.62,368.01,364.78,366.01,391.88,393.03,368.97,345.44,,,,,,,,,,,
2004-05-20 21:46:20+00:00,L5,384.48,376.04,376.08,378.43,359.99,357.00,372.88,370.57,370.52,362.33,355.99,364.23,391.45,388.39,369.65,335.15,334.38,333.15,348.08,343.61,351.72,357.11,367.72,380.99,368.46,355.28,350.47
2004-06-12 21:53:11+00:00,L5,380.21,,405.75,400.14,382.91,383.18,399.36,405.09,,,,,,,,,,,337.05,,,,,,,,
2004-06-21 21:47:16+00:00,L5,393.13,389.42,385.77,379.22,362.96,365.05,379.06,,,,,,,,,,,,,,,,,,,,
2004-06-29 21:54:39+00:00,L7,,,,,377.30,360.43,370.77,375.53,,,,,,,,,,,,,,347.78,373.36,410.24,372.49,348.89,344.53
2004-07-06 22:00:48+00:00,L7,366.34,370.61,367.77,362.03,345.38,348.90,,,,,,,,,,,,340.18,327.15,333.61,336.41,342.53,360.49,365.80,,,
2004-07-07 21:47:45+00:00,L5,,,,,,,,381.70,383.33,375.70,371.66,371.01,393.38,394.74,375.38,343.30,340.81,343.30,341.14,352.59,349.77,358.50,368.70,391.51,372.21,350.02,347.60
2004-07-23 21:48:09+00:00,L5,387.05,383.47,379.93,381.13,362.61,368.18,387.72,381.51,384.56,374.61,371.45,374.84,399.47,406.80,381.61,344.25,343.12,340.66,344.62,352.22,357.22,366.64,377.82,398.60,378.24,357.17,356.76
2004-07-30 21:54:28+00:00,L5,391.20,382.62,385.67,380.54,367.49,368.04,380.11,380.36,382.52,373.93,371.07,375.54,402.84,413.13,406.64,350.02,349.19,350.27,348.83,360.22,358.92,367.28,391.06,400.80,388.05,356.83,351.59
2004-07-31 21:54:28+00:00,L7,375.68,,,,,,,,,349.07,352.31,356.73,375.05,385.91,367.82,331.10,329.44,327.47,329.64,336.61,342.10,347.93,359.49,374.40,362.52,340.63,340.14
2004-08-16 21:54:26+00:00,L7,367.90,373.26,375.07,370.91,353.69,353.35,364.11,367.99,369.02,362.50,353.27,362.89,376.94,386.11,366.02,333.46,,,,,,,,,,,
