,dates,nzd0364-0000,nzd0364-0001,nzd0364-0002,nzd0364-0003,nzd0364-0004,nzd0364-0005,nzd0364-0006,nzd0364-0007,nzd0364-0008,nzd0364-0009,nzd0364-0010,nzd0364-0011,nzd0364-0012,nzd0364-0013,nzd0364-0014,nzd0364-0015,nzd0364-0016,nzd0364-0017,nzd0364-0018
186,2010-10-12 21:57:13+00:00,239.66168628380134,245.10447757093593,253.4147512337655,254.98477953786613,256.1122147733563,250.5037081918694,257.4856174490059,259.4045580783187,260.68418648082917,256.3948527737641,259.3601368958393,260.2358229320967,260.5223155228374,273.50152463285843,,,251.37572221175728,,
187,2010-11-21 22:00:02+00:00,244.3033196216253,239.74597224707193,254.01916180053635,260.76506738750123,261.23249000892173,256.9183101387328,258.7327655773096,,,,,,,,,,,,253.0470129731842
188,2010-12-23 22:00:19+00:00,,,,,236.59532929088954,234.59211639180552,238.92276092403375,238.76378974745953,239.4080698758703,233.41866893824803,231.36750586446982,232.5536170257309,,238.46071044391337,,232.01100105871828,224.31847198486352,,
189,2011-01-16 21:57:09+00:00,234.83620678646602,229.44597696858065,,,,,,,,260.6925588883579,258.69761097910566,253.25209582351872,,263.2413338869191,264.64135687829486,,,,
190,2011-01-24 22:00:35+00:00,247.77394641600443,243.64145784402905,252.67589584775106,255.17164567952284,254.29982367965158,253.26830179942266,259.4772945025506,258.6477706974446,260.34461302130626,255.6699932794931,254.8421954926804,257.25726951365544,263.4858379788803,,264.06964960133354,,,,268.73891177249413
191,2011-02-09 22:00:39+00:00,245.40160180958898,,,,,,,,,264.4674148971253,262.78876121802864,271.95714028518125,270.6844797883571,,272.90215880211014,,,,
192,2011-03-13 22:00:47+00:00,238.84799258196847,237.10838731217808,248.1027281909628,247.192182633867,251.3497902799905,251.2130362596376,256.4038721872984,254.39088012595812,261.0914473812905,249.73757009760016,251.12592442386295,250.86003527464632,261.70272963089565,266.60326838198523,253.64563153681516,249.48364168129757,,,249.6564782990859
193,2011-03-29 22:00:49+00:00,236.17541232391875,237.77665013094565,246.48241060155345,259.76007045172895,259.72842747729777,257.9237673990156,257.82005730098314,261.7363852487402,257.04461225126596,254.30369482973248,,,,,,,230.1983566777821,,
194,2011-04-30 22:00:51+00:00,,236.3712324943235,244.09629620765995,252.02371844773663,250.81306872122778,248.336913951103,248.43883181058348,248.31871369788055,246.9312765037852,245.67968911281727,239.8496512291289,,252.3157640227038,,249.4200152862235,,,235.48228610666098,
195,2011-05-16 22:00:47+00:00,218.38759347577616,,229.5703730050437,233.44827620140973,238.2148020817086,234.9626755982023,236.14027474091355,237.97325236637354,242.1044901174993,233.85867954915315,235.75231224463514,,242.55729342648644,,243.739348062946,,,,
196,2011-07-03 22:00:45+00:00,237.27396863694156,236.66099103707901,247.51921902141353,257.8898646645219,253.23129763561766,249.32225011602844,251.75668190501617,251.58993104773842,256.7949133250477,249.27411807762599,250.8870622928561,247.01105672540942,253.64045952033186,,251.29694273731064,,,,
197,2011-07-19 22:00:44+00:00,236.2005909529574,243.99549332893636,258.4442368891619,254.2525618607373,256.72038071630476,253.84824519243384,259.649793440387,257.5507347638777,258.8699318633017,255.05860432939903,253.87366364789253,,264.91637524274347,275.5912509463074,264.19592883605156,257.3192980473837,,,
198,2011-08-04 22:00:40+00:00,242.62112992442607,,,,,,,,,,,266.1422323450471,273.1352502503302,,,,,,
199,2011-08-20 22:00:37+00:00,242.04963616140702,243.29315931292777,251.39684922491426,253.7255333995369,,,,,,,,,,,,,,,
200,2011-09-05 22:00:33+00:00,226.87703229640456,232.24079440664752,240.99103782114406,250.73355573992635,249.5863729372686,250.62661833482065,250.78327066737413,250.73359378763251,253.24193280590794,249.84401111742153,248.38878906235644,252.6595813423723,259.5460208964692,,257.5865697926027,,,,258.10503741468636
201,2011-09-13 21:55:45+00:00,221.573387926092,220.05642957164244,225.7090627902442,228.50880034338795,229.1535800188406,233.87789231083912,235.3502810822903,237.07167110901173,237.72975144810877,233.3253994721568,,240.69998558499933,244.34432007810364,,235.66655501230298,,210.84546161288452,,236.28010455943277
202,2011-09-21 22:00:29+00:00,233.04230029437917,238.40420881273337,,,,,,,,,,,,,,,,,
203,2011-10-23 22:00:35+00:00,,,,,,,,258.18754164312554,259.03996915425796,254.5307227438354,249.5417856133141,247.89910629022143,258.9465447571345,,255.70537620173644,,226.61676303902664,241.01442890119017,
204,2011-11-24 22:00:55+00:00,,,234.26197569214312,241.56953450771627,240.2391859296736,238.99244872049607,240.57714023531568,244.6358628863994,248.27115747691855,242.3688715068363,242.28412640608903,245.8152050269731,258.72875269669424,,256.80146331626946,,,,241.939650905825
205,2011-12-26 22:01:11+00:00,239.37674239281804,237.6469786275297,246.18073853837808,250.21970355595664,253.74039458026888,248.44731782089175,252.777904097709,257.00140876568753,261.90570363850827,256.4288399276346,254.20339993111799,,258.7728658397415,,253.27490254898171,,,,
206,2012-01-04 21:55:04+00:00,,,,,,,,,,,,,,,272.5502324657075,248.89941362373912,,,
207,2012-01-11 22:01:15+00:00,236.39827194535724,238.9301732783995,249.77772629242145,,,,,,,,,,,,,,,,
