,dates,chi0369-0000,chi0369-0001,chi0369-0002,chi0369-0003,chi0369-0004,chi0369-0005,chi0369-0006,chi0369-0007,chi0369-0008,chi0369-0009,chi0369-0010,chi0369-0011,chi0369-0012,chi0369-0013,chi0369-0014,chi0369-0015,chi0369-0016,chi0369-0017,chi0369-0018,chi0369-0019,chi0369-0020,chi0369-0021,chi0369-0022,chi0369-0023,chi0369-0024,chi0369-0025
883,2020-12-03 13:54:38+00:00,255.54947356329228,259.40635452880997,267.34992943790616,279.76458540579097,290.124349498031,297.17661262998837,303.62235926861695,312.8466621623856,,,,,,,299.7269818197593,299.20997468740467,300.2276433648963,289.66188312033853,286.79817762913376,277.3874333793828,285.8240143246434,,,,,
884,2020-12-11 14:34:25+00:00,263.54684548061886,264.02745108395817,273.98227369119945,288.7953669807512,292.73195819705563,299.8334003767475,305.2368532510135,307.8211059727574,312.9956328536618,317.1079237279556,319.7474249922952,317.1125258877002,315.03680829465293,307.1452362351754,306.2908671489658,306.63366404498635,305.26438764952945,303.95187687848744,299.63712463224283,294.11868321304667,295.83982643181633,280.0975003165159,277.7584228835587,270.28422419243543,273.5955039720828,289.25664077539426
885,2020-12-19 13:53:50+00:00,,258.9518612312272,270.5203683420627,312.7086175161803,,,,,,,,,,,,297.4923552560027,296.18176715733745,288.4696569053535,299.35553471908474,294.8086519093394,284.5305533217083,283.6517426746221,,,,
886,2021-01-04 13:52:19+00:00,249.88162338168001,256.348422345097,267.48758756493817,268.86386601581063,279.7446800565585,288.47680670974654,284.93740211285433,,,,,,,,275.2306815586926,274.84144201194454,271.7956023734298,271.0605436108854,278.74927073662917,278.26315279675873,288.8261074520028,,,,,
887,2021-01-12 14:34:40+00:00,275.78724697157554,285.1655105923227,290.0316403902819,298.38890403986045,304.2813462913147,311.8786948056741,316.8802983264136,319.0942265968045,320.44969303035396,321.1390045488963,316.36487233640725,312.9582164340567,309.3201315386128,298.23141950247367,293.5539882055634,291.6947618582791,290.08050717709716,295.58711432993954,300.57503240313787,301.6957947984226,303.55713458496956,299.11361790565394,286.5724985125712,276.9800917138146,294.74046549372434,294.4895684995856
888,2021-01-28 14:34:12+00:00,288.937471204545,300.7780533662688,308.0272577822495,313.20793794679406,318.22998997544505,325.24644117658863,330.54423016747666,331.0457068751996,332.77856597821665,337.3632768297387,337.32223449727803,333.14683540518047,321.8235965408102,291.3810839914338,292.54850645984067,287.54855313004805,296.12164123459684,299.9343098483651,302.9337249222624,297.6297639705468,302.70073777057877,298.4953259991332,296.59644661130966,292.52359292108747,297.4083933848335,300.7584491544382
889,2021-02-20 14:40:18+00:00,291.2870224362212,301.5340319002129,313.9486670956598,328.34602427435544,336.6137234337175,346.56027322382505,360.9977598379508,358.5268163090273,367.5044810199928,374.36977356415844,372.80027315256297,374.7329646168642,374.41366922453955,370.6890609215751,371.7613591637584,365.09023984206783,361.42911761501654,363.8341627683657,368.37192089196327,346.0328322623269,325.55121894433245,311.7204263279094,305.89374847215646,298.1147471831526,305.01590861162197,303.8949519609805
890,2021-02-28 13:54:27+00:00,283.89891536106023,292.69592122422057,309.30227743642354,316.75623381959514,326.75373976968297,334.4796875641906,344.466839828417,346.92419884294674,,,,363.2211139149048,357.582041362445,352.94244241776374,350.2450926194565,337.5877771265591,351.20069745969954,354.96026869655793,,,355.38762005853283,,,,298.88595878356676,293.4448084874713
891,2021-03-08 14:40:10+00:00,290.81934448495105,296.94598074699945,313.0533441579856,321.547266044676,333.62704410376705,340.09750690908777,347.10872413258625,347.99535211143944,353.6541477718691,362.1858042982211,370.3352661670355,370.2893784709449,372.0428623209822,369.5875143275309,356.96382840451724,355.05696689299623,366.0831923447852,366.7307610224108,369.49663356846554,366.3607374045952,379.0269441703348,367.34789891483285,360.805168344057,335.09971237655344,334.51656833580876,317.73550064007605
892,2021-03-16 13:53:11+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,
