,dates,jap0202-0000,jap0202-0001,jap0202-0002,jap0202-0003,jap0202-0004,jap0202-0005,jap0202-0006,jap0202-0007,jap0202-0008,jap0202-0009,jap0202-0010,jap0202-0011,jap0202-0012,jap0202-0013,jap0202-0014,jap0202-0015,jap0202-0016
308,2013-08-16 01:18:13+00:00,185.18552643389955,159.9425973626246,165.38862432884753,171.5389562053075,,198.31225338530697,198.19800512125934,185.2749119692458,174.69707989757774,190.6432677501735,182.45544672510164,172.58067974193764,168.21782987701062,157.73103589287274,170.79548648033483,,163.51403672630104
309,2013-09-01 01:18:16+00:00,154.4982786574,135.92966633074363,137.39811777747178,151.92212605921256,166.8605684100318,174.6595426003004,165.20624804661716,157.91603253225526,161.0482034867867,167.19217339843806,155.4200423205768,150.79753371692667,143.73151389959676,127.52566746422286,,132.80363626946433,122.58245626651156
310,2013-09-17 01:18:11+00:00,,141.40627641881508,140.34950512304715,139.77242662055545,162.7335421578436,171.55234788753907,155.5697761953406,159.21106577384927,160.14351665179765,160.13974588164734,150.90686120728276,145.29118298830136,137.8164448856693,122.80187556210899,125.72266989273801,121.86836430966454,122.47917865266642
311,2013-10-03 01:18:06+00:00,,135.16063526671346,133.41325000274466,140.7708700378051,154.9119545234253,159.04410887162152,162.29479374027727,144.41913877476455,146.82094568664093,164.57125470865813,148.04528905385976,138.2011142842117,,133.68727053448845,,122.27550330251924,108.67753368338875
312,2013-11-20 01:17:51+00:00,,157.3153718091753,,166.88799031391244,170.915430656271,169.47503117115488,137.60774097400653,,141.20237638841274,138.5469864169347,,137.61588256411997,137.2976452976069,,127.79126914519655,130.78912040184028,107.50615839581842
313,2013-11-21 01:06:14+00:00,195.16586129109044,167.0138886896763,,169.66508043982685,173.744210192377,173.84563940273975,143.06635591858375,149.89574507239888,148.88950131011453,150.2864721392635,,137.78199164407084,,,,,
314,2013-12-14 01:12:34+00:00,193.84787972697598,158.4672242443259,,160.0820856110024,178.5177843669292,170.82415914064183,144.04723536671486,150.46059345152108,152.02242620010583,147.8904896988767,,131.61142796873804,135.51571999590806,120.77238943542004,115.3992112334134,126.16575983532805,98.97182368086986
315,2014-01-07 01:17:32+00:00,202.29405664479287,161.93446775720037,158.97398195911325,162.1282459935086,170.18878153354865,170.85681957254596,167.30982192745796,156.92218308717042,157.78930363996318,161.8180175639063,,147.93433251310915,150.05587598291697,,127.34496179158043,135.03044870941653,120.98661834089813
316,2014-01-23 01:17:21+00:00,,168.7953553171799,160.84622298878116,163.9244359860188,173.1018287838182,184.25651574251398,166.1756787501225,165.35904827590596,165.24891913756665,165.06616577010664,,147.07196585801893,,,128.304793081201,142.18652831210903,122.22394948408603
317,2014-01-31 01:13:05+00:00,184.34191060758198,147.69445026344007,,,,,,,,146.3812814720757,121.09981098050412,124.52953664531736,125.12497524998962,121.51467221816253,113.23471614924992,127.53565278429932,111.76077142641925
318,2014-02-16 01:12:58+00:00,,144.7748416723323,133.69154446831598,126.14334548152756,135.31486754555493,,99.38570403203747,,131.079921722123,136.71112198997687,,129.12143958265702,,,,,
319,2014-02-25 01:06:45+00:00,,,160.0726289773378,158.38159335635405,138.57012943583973,,105.10544058895164,,136.54478781696025,,,,,,,,
320,2014-03-04 01:13:00+00:00,,,,,,,,,,,,,,130.65576460945388,126.66472171509452,133.6067696465636,119.32655597043272
321,2014-03-12 01:16:46+00:00,198.4719633961591,165.7859538120304,156.98269553763038,153.83217395047484,157.3187632001569,154.88434776991227,124.60854965855476,147.52093518891115,135.79548251122134,143.54706917947826,140.8333440758426,143.05659139907397,,132.98900554120877,,133.21906605062682,117.87951562863502
322,2014-03-21 01:10:27+00:00,,163.14621206772185,151.21180171977335,153.1668863209713,161.81339015736606,151.50974508117568,118.1641023591104,,139.94006975807358,151.17216889910708,,133.04310389180145,,129.50065886379693,120.22629444041252,128.84384639812467,113.2391629607237
323,2014-03-28 01:16:27+00:00,210.86086249104847,170.70511708489022,157.84326601098644,157.1445571280101,160.15839925289106,163.83509002899572,146.91197794160848,142.61044859389423,140.04310146942123,149.68698089529434,,131.94106530384812,132.54436447131567,,121.64121687761735,130.8879242897476,112.75745358002173
324,2014-03-29 01:07:00+00:00,206.8814400806365,158.32601330384418,151.35902589537045,152.53935583247937,153.61234909837677,164.07358062341692,137.79378627123697,,124.47748561992657,130.36223651733374,,125.42870613464497,116.88746147029639,108.93851528621933,108.8696528249,116.48335326572055,102.24893406692476
325,2014-05-16 01:07:22+00:00,,151.8869566010988,140.4941588621986,149.43636907781163,152.57792654404625,162.24392956592322,143.57665050380228,148.8242628284897,132.33357641729924,150.36366144834975,,127.04586354081403,110.00534685625136,102.15144621510751,105.18498483842748,115.7077935776965,96.99820324090116
326,2014-05-31 01:15:49+00:00,,,,,,,,,,,,,,,,,
327,2014-06-16 01:15:32+00:00,177.68908652929287,160.34537562727897,152.60875763184512,159.58350611387365,159.76535569713798,158.95333836791397,130.7911263763224,153.78137815986292,151.49291784641446,159.31454632646052,,147.78397983968776,140.1068550366035,122.76057715798109,123.80483675097591,131.56883994518972,111.86344294824617
328,2014-08-03 01:16:13+00:00,186.21054717925128,147.7796716675113,140.44892620092241,145.12912493078136,162.92575535387596,173.33464902471204,160.8949192017769,174.97608486246614,167.60888534284,170.59760961816193,,150.51488852475222,140.51718819419906,124.62726833804437,121.92526613198912,128.1436742764526,113.10931840152654
329,2014-08-19 01:16:18+00:00,,151.99342862293017,138.64732843057348,147.55195283307881,161.79011228266208,175.83224967566008,176.926819262602,159.9878913301684,168.83964647472848,168.79184907021812,,147.3250801914734,132.73539548570156,,125.51940149615837,130.28382094267172,115.75981388929442
330,2014-09-04 01:16:20+00:00,,154.371853213938,149.92097323793243,165.14593450842787,167.83431097012345,185.0403372140264,180.97847485756387,146.59371220059225,168.1167726752978,162.26752153578676,,150.22487027906033,,133.14906956633325,133.77979519135243,138.99144071431755,119.84954720804039
331,2014-09-12 01:13:50+00:00,,137.90966052037106,132.7709106250507,136.53814628387224,152.61224888268666,165.02308494814847,151.6569283214309,160.72580925694024,160.8371910723875,154.6334806469411,,139.55842086528872,,,128.43313552565274,133.56713659276963,111.78927217793404
332,2014-10-14 01:13:47+00:00,,142.07833370171002,153.0931337893631,128.98765729470273,,,,,110.46472548334482,,,132.93264983440667,136.7870776743228,138.04391775686102,125.67446298981096,118.12123138710827,
333,2014-11-07 01:16:03+00:00,174.02623729505112,152.41752771394349,140.90656945101398,142.98757200971247,155.57405808918062,156.92168058030182,135.08171901356752,122.70070018057928,131.54115545569744,138.8356090890829,137.85398676486972,131.15335355561976,126.59066783064728,,113.50754728053192,,
334,2014-11-15 01:14:28+00:00,,,,,,,,,,,,,,,,140.4238457124876,119.76354504626151
335,2014-11-23 01:16:23+00:00,188.96466513210686,152.39101964771828,144.79271373831637,141.3921008897854,159.2314616162225,168.46275771155254,157.22362648713406,158.64885559086932,156.02948136025958,159.45904041748474,,143.1027174436376,,132.29532137302692,,132.75317112541418,113.49748494522575
336,2014-12-09 01:16:20+00:00,194.77764875503004,158.86877044805277,149.4386778422654,,161.18440045076343,175.87769916851462,162.56740430481284,157.98826398734633,160.58735631280388,165.14364642281114,,152.7860869794021,154.39636821188114,137.61796427747421,133.48360782217367,144.8300132423549,119.92016254238956
337,2014-12-10 01:08:26+00:00,,,,,,,,,,,,,,127.8115028327129,,142.7034602218075,116.1184243007471
338,2014-12-17 01:14:43+00:00,171.15625922903834,139.21263759753526,131.35948143338481,118.32807542265317,140.20507076369913,,,123.28203004716269,134.24060593850066,145.77495199283777,,133.87611229424436,136.68804086049474,,110.13860661519409,122.40639023427313,96.83153551040849
339,2014-12-26 01:08:34+00:00,,158.8912276916809,152.242180264423,,166.4256974776015,157.52004345603547,161.67817421773358,159.12532402840276,158.39437496907846,168.53699053042772,,149.45839652983486,,137.86402376580972,,,
340,2015-01-10 01:15:52+00:00,,160.06372540335605,157.39425714611494,170.4132668483481,171.20416305862304,173.97648404981692,173.2202318240164,162.3812491417231,168.6966128732082,173.77539220325613,,152.62430501050537,156.4120085082543,136.2888645884125,,140.69901525777772,120.49019944073004
341,2015-01-18 01:14:23+00:00,,173.54418359244173,168.54081149080713,180.05445713325855,195.70165683454064,197.0748264033412,190.07557299023435,184.25750611415668,178.08217926593858,186.03650151745447,163.67564831447189,154.28308163474313,,146.17730749237123,138.49482758732913,147.46110503517085,125.30804003723617
342,2015-02-03 01:14:54+00:00,,175.62732997248722,163.5100836297733,173.35270284708136,171.01473985631606,184.17555680737118,184.03020972523564,185.0677963470226,178.46957071251205,178.7709153106022,154.87373276253223,149.61093766735993,147.46013551707043,134.92664930675875,126.90458831943259,127.60329848798965,
343,2015-02-19 01:14:34+00:00,210.32361663033578,167.59504538359008,162.27604037250276,166.94678063673894,157.52746949625927,177.55840829334497,183.34683762718225,185.04497095886958,179.06085510239083,181.1124885333652,161.3926489605239,160.36374310021972,159.68531139232977,,,,
344,2015-03-31 01:15:39+00:00,200.4379492633771,162.89542160895795,158.88925109016805,166.87239182778774,168.5087731778079,183.9357887227427,190.06029064980652,176.79413941733804,166.35915664416012,177.68656926206796,165.94503562644655,154.84812252118766,,140.83845769009835,138.69819319398007,140.15161258090478,127.4603445422923
345,2015-04-16 01:15:12+00:00,183.1302975245705,152.70388861284252,149.20023066390942,161.44247385265393,162.19059844950215,179.44124023487865,177.47433528812354,151.51153484116242,148.26877863969713,170.16116351136418,151.26135738953602,148.33957811475568,,138.52849828350008,134.21812925605735,140.0453273952503,127.63043795008005
