,dates,nzd0194-0000,nzd0194-0001,nzd0194-0002,nzd0194-0003,nzd0194-0004,nzd0194-0005,nzd0194-0006,nzd0194-0007,nzd0194-0008,nzd0194-0009,nzd0194-0010,nzd0194-0011,nzd0194-0012
316,2014-10-24 21:57:57+00:00,176.29244719993025,180.17182968265482,167.28775105410105,,212.02116359346965,178.92853094251288,187.1483337251147,,,,,,
317,2014-11-01 22:00:02+00:00,185.9505076949638,200.1930619184561,184.81406248572975,,224.94085624981014,200.45058878108847,200.20801627160955,202.44065085640895,205.1637741786172,209.75167097750085,215.22890166194327,215.90504390561088,202.17378787292878
318,2014-11-08 22:06:16+00:00,178.98437332304516,173.77107069426242,172.35041692247637,,,184.93493075993348,191.88063013753245,191.45647075873677,194.68644522089096,200.78340793135206,191.69933431367284,196.491674943504,192.98149439850332
319,2014-11-17 22:00:02+00:00,181.11485500066001,190.73455703119035,188.03634337405813,,224.37472815788195,189.9164231539627,189.89066460737683,195.8462945446625,197.96614177270155,,202.16286738403102,196.49135321185224,
320,2014-12-02 22:04:24+00:00,193.67979873265222,195.73636227609416,177.60231743131,,,,,194.10562460822814,195.34824149259322,,190.0816129267084,199.9379193826946,202.3262206137867
321,2014-12-18 22:04:33+00:00,,,147.22998459674102,,202.6192387963955,184.67111967965045,188.3894052532148,,,,165.5881143715079,,
322,2015-01-11 22:06:04+00:00,163.2841587102176,167.47931253002113,146.65691810982872,,211.90854617704517,187.8802014843193,184.96902182503982,176.23213307508988,,187.6591313712172,187.70548562332732,184.1378160341925,182.0233559825748
323,2015-01-12 21:58:25+00:00,185.02409661921823,184.4120969454182,175.5140321086494,,231.48633844353927,202.81975665879375,211.96454320258206,201.6559781901795,,,,,
324,2015-02-05 21:59:46+00:00,186.01056222539384,177.714851968619,172.94307733733373,,,197.8687587122662,204.8321350256467,,,218.35535420956376,,,219.3133417799883
325,2015-02-28 22:05:48+00:00,161.78307798300602,166.84847321632031,167.78869940541807,,235.1284786357121,208.6137364346507,204.50129332697358,203.10932411997132,,187.227038800404,190.3471762915063,199.16482380350175,203.4226492113299
