dates,satname,nzd0343-0000,nzd0343-0001,nzd0343-0002,nzd0343-0003,nzd0343-0004,nzd0343-0005,nzd0343-0006,nzd0343-0007,nzd0343-0008,nzd0343-0009,nzd0343-0010,nzd0343-0011,nzd0343-0012,nzd0343-0013,nzd0343-0014,nzd0343-0015,nzd0343-0016,nzd0343-0017,nzd0343-0018,nzd0343-0019,nzd0343-0020,nzd0343-0021,nzd0343-0022,nzd0343-0023,nzd0343-0024,nzd0343-0025,nzd0343-0026,nzd0343-0027,nzd0343-0028,nzd0343-0029,nzd0343-0030,nzd0343-0031,nzd0343-0032,nzd0343-0033,nzd0343-0034,nzd0343-0035,nzd0343-0036,nzd0343-0037,nzd0343-0038,nzd0343-0039,nzd0343-0040,nzd0343-0041,nzd0343-0042,nzd0343-0043
2002-06-17 21:49:09+00:00,L7,305.56,297.05,294.36,300.38,311.31,319.91,328.16,348.83,364.68,353.61,349.33,337.00,340.65,334.90,341.00,342.32,338.88,329.59,325.93,322.35,312.48,308.09,297.36,317.95,311.35,301.44,282.84,295.60,296.16,286.75,301.86,280.89,262.93,286.14,296.40,275.00,266.38,279.52,278.51,284.46,277.40,276.31,279.43,296.13
2002-07-19 21:49:21+00:00,L7,,,,,,,,,,,,,,,,,,,,,331.26,322.87,322.92,333.37,340.36,330.94,312.10,328.75,334.06,332.83,337.21,329.44,307.72,309.18,319.92,313.88,296.22,299.38,299.56,294.73,286.10,286.15,294.23,301.27
2002-08-20 21:48:46+00:00,L7,337.08,325.17,323.26,327.17,325.71,329.48,336.28,364.50,379.85,368.76,364.66,348.19,347.78,357.88,357.26,363.74,352.62,343.86,336.07,340.85,344.19,343.61,336.66,336.31,344.12,337.33,321.45,336.97,347.75,322.27,323.57,319.55,319.24,325.43,329.53,325.76,317.51,307.01,304.59,309.62,295.59,298.67,299.40,306.04
2002-09-05 21:48:38+00:00,L7,352.12,343.66,341.74,331.25,328.76,341.68,358.28,370.07,391.19,379.08,376.04,371.90,375.83,371.25,369.65,374.32,361.64,352.01,348.89,349.86,349.24,345.11,340.10,349.11,355.35,345.62,329.99,348.63,355.36,333.32,335.95,325.82,320.92,325.04,333.28,332.23,317.17,313.94,312.65,309.01,305.70,304.51,306.06,311.63
2002-09-14 21:42:42+00:00,L7,320.08,312.46,314.79,310.00,308.33,320.61,334.17,344.34,358.62,352.04,344.04,338.82,337.27,338.26,334.82,333.51,,326.50,315.26,318.92,317.79,314.31,310.93,316.09,319.34,309.05,296.38,307.59,310.41,,,,,,313.18,302.51,296.28,291.76,293.10,,280.49,277.90,272.82,
2002-10-16 21:42:36+00:00,L7,337.57,321.66,317.81,320.17,330.88,338.61,347.16,357.23,373.30,361.14,358.70,356.74,358.86,358.95,353.26,358.32,339.74,331.42,326.02,321.96,323.62,317.64,319.46,327.01,338.61,334.43,315.69,332.82,340.21,331.54,331.40,319.09,309.61,310.72,320.22,310.26,302.31,300.40,300.24,295.41,289.73,290.19,293.00,298.97
2002-10-23 21:48:51+00:00,L7,339.45,322.16,323.06,328.06,333.94,341.41,355.67,359.37,369.57,359.84,359.50,354.51,360.65,359.38,353.26,359.88,348.02,332.83,329.54,328.68,322.89,318.23,318.50,330.27,331.60,320.37,309.22,321.19,330.20,326.97,323.92,316.58,309.24,304.72,311.05,308.93,302.07,297.28,296.95,295.13,286.40,290.24,292.79,302.21
2002-12-26 21:49:23+00:00,L7,316.53,298.32,288.92,302.31,310.99,321.14,328.16,348.74,367.41,354.19,355.84,351.20,339.81,332.71,330.89,333.06,325.96,321.60,320.39,316.54,314.27,309.67,306.46,318.91,317.39,306.58,291.40,303.74,309.32,311.04,307.42,291.81,290.73,293.83,304.56,297.96,288.49,291.03,290.00,286.83,273.58,275.75,280.35,295.00
2003-01-11 21:49:02+00:00,L7,341.76,319.86,319.64,324.48,329.79,333.80,349.49,360.05,378.47,373.61,367.52,366.44,366.24,360.13,345.84,342.35,330.54,329.09,328.52,327.19,332.32,333.54,330.93,333.19,339.71,329.74,314.08,327.04,333.83,326.20,324.98,312.63,304.17,304.90,321.80,312.94,304.85,303.88,305.03,303.87,296.40,289.67,293.20,302.10
2003-01-27 21:49:33+00:00,L7,340.01,325.81,320.64,324.57,326.99,335.50,346.05,365.52,380.09,373.74,370.20,365.86,353.70,347.42,347.34,346.70,339.70,335.91,334.18,330.39,332.03,337.08,341.41,334.04,335.90,320.03,308.44,325.29,334.30,331.79,324.83,312.39,308.64,309.82,315.48,310.63,303.18,301.60,299.78,295.52,289.90,288.91,294.91,301.08
2003-03-16 21:49:22+00:00,L7,354.45,334.28,327.16,327.46,331.51,334.49,339.46,357.40,376.02,370.47,366.16,365.10,363.93,363.49,362.42,366.66,359.10,353.53,352.27,350.81,353.21,355.84,344.11,348.20,347.84,339.40,323.09,338.41,348.89,347.73,339.55,322.06,312.80,315.83,325.44,319.79,309.93,317.87,312.44,313.82,303.96,301.44,306.50,322.74
2003-05-03 21:49:49+00:00,L7,350.95,330.89,323.64,319.86,323.00,334.78,339.21,349.11,364.67,355.99,354.92,358.20,354.80,356.36,356.93,356.24,347.22,339.98,339.80,336.52,336.08,332.89,329.19,335.82,340.26,334.76,312.71,319.56,330.05,330.62,320.55,305.81,296.98,298.60,304.68,298.14,296.30,298.21,291.34,292.17,294.29,297.92,296.33,308.54
2003-07-23 21:31:26+00:00,L5,343.64,330.40,325.07,327.54,337.73,343.41,350.64,364.80,386.38,371.42,365.67,355.89,362.42,363.35,357.72,357.90,339.45,325.45,325.33,328.55,324.03,325.26,333.32,334.97,337.31,324.78,311.92,324.39,331.39,329.84,323.01,312.61,303.45,299.10,304.96,285.72,283.63,297.44,303.81,299.10,291.98,292.61,296.14,306.20
2003-07-30 21:37:45+00:00,L5,340.32,331.06,330.05,324.67,332.01,334.98,342.66,359.17,383.44,377.60,368.96,362.94,360.16,358.50,355.13,346.36,338.64,326.24,323.59,325.95,323.73,323.94,326.42,336.48,337.20,328.94,310.41,323.04,325.96,324.43,323.17,309.61,295.58,297.25,307.56,299.80,285.52,291.79,300.02,298.92,287.95,289.60,294.63,304.93
2003-08-08 21:31:43+00:00,L5,,,,352.59,,,,,377.90,375.40,365.15,353.88,356.83,358.14,363.41,360.17,,,,,,,,,,,,,,,,,,,,356.40,,325.50,337.66,316.06,307.95,288.00,286.03,299.05
2003-08-15 21:37:36+00:00,L5,329.88,313.99,309.21,308.34,308.55,307.82,319.73,343.98,367.20,366.34,367.49,359.60,339.67,337.86,339.38,335.31,327.66,317.21,320.02,325.72,331.99,327.00,325.66,326.40,332.59,322.73,297.78,303.97,312.82,309.92,305.23,287.51,282.44,287.07,304.57,297.45,289.50,290.66,296.59,297.81,290.66,287.60,295.35,307.01
2003-08-24 21:32:00+00:00,L5,355.65,334.30,322.05,317.56,312.39,317.24,326.65,346.58,367.58,367.64,369.70,382.01,380.57,356.76,351.43,351.95,341.46,319.86,,,,337.11,326.96,339.69,349.57,338.85,321.85,333.43,343.16,325.14,316.12,309.91,310.17,306.96,316.37,307.23,303.52,306.47,317.39,305.15,293.93,288.55,300.60,316.92
2003-09-24 21:48:50+00:00,L7,351.28,325.17,312.69,309.83,305.00,314.22,331.40,346.29,362.77,360.96,360.61,360.04,363.31,369.98,,,,353.89,,,,,,,,,,,,,,,,,,,,322.96,327.65,325.04,317.45,307.66,306.08,311.87
2003-10-18 21:39:00+00:00,L5,333.32,309.86,301.11,299.62,300.30,314.69,329.27,344.35,356.58,340.81,341.01,339.82,348.00,352.20,351.12,356.40,352.05,344.98,339.51,340.95,347.58,347.82,341.41,330.60,328.73,317.16,302.50,313.54,319.25,307.79,305.05,304.50,307.83,309.55,314.36,310.68,302.26,304.69,314.92,310.75,306.32,291.32,292.14,299.14
2003-11-19 21:39:02+00:00,L5,343.25,316.79,310.22,302.31,299.75,304.02,315.14,330.34,352.86,356.48,359.73,366.11,368.64,362.89,363.23,368.31,362.93,356.20,352.00,331.79,330.62,326.19,337.50,343.73,341.89,329.40,318.75,329.37,337.46,330.98,328.99,314.28,311.61,320.69,330.51,310.73,300.87,301.30,303.70,302.28,295.12,293.84,297.01,304.53
2003-11-28 21:33:21+00:00,L5,312.76,296.68,291.46,292.90,295.17,305.72,320.41,327.99,350.01,344.20,347.90,347.99,339.05,345.22,347.68,352.31,347.23,332.52,329.54,328.95,330.05,325.13,327.30,327.80,327.30,308.45,289.07,302.60,311.53,308.23,301.61,292.66,290.87,294.86,304.79,300.34,295.58,298.40,297.95,292.51,283.27,280.88,287.94,293.27
2003-12-14 21:33:26+00:00,L5,333.63,312.78,306.69,313.03,313.33,318.07,334.20,348.91,362.42,361.68,359.58,361.38,355.77,362.17,359.62,362.59,353.73,350.61,342.64,341.27,334.85,336.52,336.44,338.22,333.24,323.44,301.01,309.09,320.26,315.78,315.54,305.42,302.20,304.61,314.06,310.48,307.01,308.94,309.36,304.54,294.19,292.56,290.77,305.26
2003-12-30 21:33:36+00:00,L5,318.53,306.83,302.39,305.59,308.80,313.08,320.91,332.07,354.45,352.33,353.88,355.00,359.29,355.69,354.93,353.36,344.85,330.54,325.52,320.75,325.05,330.75,325.94,333.26,331.61,318.48,300.32,308.96,313.63,311.55,311.34,301.99,292.49,291.71,300.70,301.71,297.07,304.25,305.83,301.43,293.65,289.99,291.05,304.44
2004-01-22 21:39:52+00:00,L5,333.36,309.99,310.93,308.73,306.23,314.80,327.23,344.74,363.70,357.11,352.68,356.08,358.27,366.41,365.54,362.40,351.51,346.91,343.84,344.95,337.41,339.77,327.99,330.99,329.21,317.63,302.79,324.03,331.94,337.33,330.44,314.86,306.24,308.53,321.22,325.35,309.64,302.95,307.30,303.05,291.63,291.99,296.16,310.96
2004-02-16 21:33:48+00:00,L5,327.65,307.40,306.05,309.61,293.22,305.72,333.80,346.79,367.80,363.96,358.96,358.13,359.63,359.43,358.76,360.76,353.30,347.26,343.22,345.88,354.16,348.69,343.22,345.67,334.53,321.50,306.34,321.57,327.46,324.56,321.91,311.33,307.19,310.47,319.11,312.56,306.71,309.79,311.94,308.64,305.48,301.46,307.71,315.78
2004-02-23 21:39:37+00:00,L5,325.22,304.31,296.85,301.36,306.38,320.00,333.11,343.83,351.68,343.71,343.50,342.50,326.31,336.85,339.93,343.27,344.67,332.80,324.33,332.05,332.85,324.34,323.20,319.41,313.60,299.16,282.65,293.63,305.78,306.26,300.45,299.15,298.31,298.06,308.58,304.85,300.71,303.48,299.79,297.82,279.68,277.79,282.84,292.34
2004-03-19 21:33:59+00:00,L5,342.24,316.83,321.06,319.74,322.67,330.05,339.28,357.66,373.92,363.97,366.85,357.63,354.90,359.20,369.36,371.80,365.16,355.31,353.58,352.62,358.36,350.53,344.24,341.72,344.62,330.90,314.04,327.93,339.49,340.78,339.13,315.34,313.97,323.43,326.77,323.00,316.68,317.83,318.47,319.46,317.78,322.10,318.72,325.96
