dates,nzd0532-0000,nzd0532-0001,nzd0532-0002,nzd0532-0003,nzd0532-0004,nzd0532-0005,nzd0532-0006,nzd0532-0007,nzd0532-0008,nzd0532-0009,nzd0532-0010,nzd0532-0011,nzd0532-0012,nzd0532-0013,nzd0532-0014,nzd0532-0015,nzd0532-0016,nzd0532-0017,nzd0532-0018,nzd0532-0019,nzd0532-0020,nzd0532-0021,nzd0532-0022,nzd0532-0023,nzd0532-0024,nzd0532-0025,nzd0532-0026,nzd0532-0027,nzd0532-0028,nzd0532-0029,nzd0532-0030,nzd0532-0031,nzd0532-0032,nzd0532-0033,nzd0532-0034,nzd0532-0035,nzd0532-0036,nzd0532-0037,nzd0532-0038,nzd0532-0039,nzd0532-0040,nzd0532-0041,nzd0532-0042,nzd0532-0043,nzd0532-0044,nzd0532-0045,nzd0532-0046,nzd0532-0047,nzd0532-0048,nzd0532-0049,nzd0532-0050,nzd0532-0051,nzd0532-0052,nzd0532-0053,nzd0532-0054,nzd0532-0055,nzd0532-0056,nzd0532-0057,nzd0532-0058,nzd0532-0059,nzd0532-0060,nzd0532-0061,nzd0532-0062,nzd0532-0063,nzd0532-0064,nzd0532-0065,nzd0532-0066,nzd0532-0067,nzd0532-0068,nzd0532-0069,nzd0532-0070,nzd0532-0071,nzd0532-0072,nzd0532-0073,nzd0532-0074,nzd0532-0075,nzd0532-0076,nzd0532-0077,nzd0532-0078,nzd0532-0079,nzd0532-0080,nzd0532-0081,nzd0532-0082,nzd0532-0083,nzd0532-0084,nzd0532-0085,nzd0532-0086,nzd0532-0087,nzd0532-0088,satname
2001-11-26 22:09:21+00:00,353.94,324.17,325.66,326.68,333.94,331.28,320.11,324.66,336.69,346.05,350.87,345.79,344.53,347.31,351.59,353.45,352.15,357.60,350.53,350.57,352.44,347.40,345.87,353.88,367.76,371.91,372.15,370.21,361.22,359.07,351.86,346.07,337.79,334.53,332.94,331.13,337.69,339.49,343.00,343.29,346.01,347.83,349.35,347.96,349.60,350.46,350.56,345.97,339.35,336.36,330.28,332.09,333.60,313.43,312.92,305.60,301.50,295.41,290.01,287.44,280.92,283.39,278.35,278.77,279.08,284.92,289.35,291.11,289.09,290.62,290.94,297.15,296.07,289.76,291.33,292.30,294.15,296.66,293.66,292.14,289.86,,,,313.12,315.41,314.25,307.18,305.73,L7
2001-12-19 22:15:37+00:00,352.27,340.39,356.44,355.37,351.99,346.37,343.22,335.08,341.71,358.10,359.04,350.91,350.12,351.70,355.73,356.32,356.01,357.85,356.38,356.94,355.42,355.19,354.68,358.77,366.32,375.44,373.69,366.80,363.83,356.92,349.16,343.58,334.66,334.90,335.06,338.81,345.46,348.67,354.31,352.31,356.15,350.67,346.01,344.69,346.78,354.86,354.53,348.84,342.87,336.31,335.70,330.54,326.94,324.98,321.41,312.44,301.58,297.46,297.55,296.04,289.38,284.51,290.68,293.12,296.26,293.08,300.90,304.15,307.41,303.47,306.08,304.93,303.03,309.37,305.38,320.42,329.34,328.38,327.78,324.90,313.88,310.91,310.45,318.02,322.34,327.66,328.69,320.58,321.64,L7
2002-04-03 22:09:32+00:00,,,,,,,331.96,330.96,339.51,353.27,355.08,347.52,351.18,356.45,353.53,355.59,358.78,361.92,362.65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,L7
2002-05-21 22:09:29+00:00,345.72,300.50,318.42,324.20,321.81,320.77,318.42,315.99,323.44,333.82,337.33,339.84,336.28,339.02,337.98,347.08,343.87,349.17,337.03,342.75,343.11,337.71,341.28,346.85,354.87,355.59,357.29,356.60,344.56,341.39,334.61,330.61,326.71,322.55,320.98,322.55,320.96,328.75,332.26,333.30,331.55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,L7
2002-07-31 22:15:11+00:00,338.79,307.05,328.20,324.70,324.25,323.46,325.10,321.94,333.39,352.76,350.97,336.65,335.51,336.95,343.83,,,,,,,,,,,,,,,,,,,326.71,,,,,,,,,,,,,,,,,330.20,327.59,321.95,322.80,323.55,317.53,306.70,301.56,297.26,290.53,286.88,284.69,291.56,291.21,289.72,285.90,292.02,297.21,301.32,294.07,295.34,295.08,295.34,298.82,298.33,302.88,305.56,305.54,304.98,306.02,304.82,304.53,299.27,304.58,314.65,332.21,323.76,320.59,320.45,L7
2002-08-09 22:08:57+00:00,372.15,,,335.70,332.18,327.42,328.16,320.88,340.51,341.42,349.49,332.20,327.45,332.27,332.25,322.45,318.60,322.29,320.26,330.33,333.46,331.99,340.70,348.21,362.53,360.78,352.81,344.94,324.13,306.50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,L7
2002-09-26 22:08:32+00:00,345.24,327.22,323.20,325.50,313.93,324.07,318.93,319.76,322.70,347.19,346.27,341.34,336.41,339.13,336.49,341.78,351.98,352.53,337.57,334.49,314.45,310.42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,L7
2002-10-19 22:14:44+00:00,328.67,305.61,314.06,318.42,318.77,312.71,309.00,310.42,318.89,332.96,339.60,336.18,326.76,333.57,335.41,346.49,343.03,346.12,343.76,349.50,348.67,343.24,346.00,349.03,357.03,355.73,358.22,359.56,352.48,350.95,341.23,334.89,333.00,327.94,322.37,330.23,329.68,339.93,344.02,345.85,345.93,339.65,341.22,,,,,,,,,,,,,,,,,,,,,286.91,281.72,282.76,287.03,290.15,288.82,288.47,289.62,296.19,296.52,295.34,290.62,296.83,293.93,299.39,295.57,293.84,291.87,290.18,288.82,298.08,301.49,310.36,306.36,298.46,300.39,L7
2002-10-28 22:08:34+00:00,338.48,321.85,320.85,325.34,317.34,317.94,313.74,311.92,322.60,334.80,339.05,331.77,330.71,331.14,334.69,335.38,337.77,345.19,342.40,342.27,341.16,340.50,338.63,342.38,353.88,359.11,353.10,350.80,341.60,334.01,331.12,324.70,320.32,317.81,317.56,322.58,330.28,332.76,333.28,335.69,339.84,339.05,335.44,336.99,337.04,342.16,341.48,333.84,328.10,327.93,322.98,324.94,328.44,333.48,325.81,315.72,318.87,309.04,321.26,,316.20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,L7
2002-11-13 22:08:42+00:00,334.62,324.15,325.48,323.38,325.06,322.91,323.45,321.27,336.52,344.19,343.52,340.29,342.16,343.86,342.83,345.26,347.83,349.00,344.69,338.27,,,,,,,,,,,,,,,,,317.80,319.70,313.43,315.38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,L7
