,dates,nzd0490-0000,nzd0490-0001,nzd0490-0002,nzd0490-0003,nzd0490-0004,nzd0490-0005,nzd0490-0006,nzd0490-0007,nzd0490-0008,nzd0490-0009,nzd0490-0010,nzd0490-0011,nzd0490-0012,nzd0490-0013,nzd0490-0014,nzd0490-0015,nzd0490-0016,nzd0490-0017,nzd0490-0018,nzd0490-0019,nzd0490-0020,nzd0490-0021,nzd0490-0022,nzd0490-0023,nzd0490-0024,nzd0490-0025,nzd0490-0026,nzd0490-0027,nzd0490-0028,nzd0490-0029,nzd0490-0030,nzd0490-0031,nzd0490-0032,nzd0490-0033,nzd0490-0034,nzd0490-0035,nzd0490-0036,nzd0490-0037,nzd0490-0038,nzd0490-0039
13,2001-01-03 22:05:00+00:00,211.42455035528704,187.87767408102107,140.20836598286806,102.41568847541956,105.40796455073571,117.1821583367859,139.25130526583976,154.32199907269523,165.57427622865035,164.28402928548445,170.94112166291544,149.4689954284948,,155.63911153430712,160.1464192661626,163.07940083277518,161.44298425554263,171.99676872552166,181.10843438787373,182.25436444370206,179.0888272739277,183.1968823933882,175.0611400312775,179.61190899977564,194.55962772779782,196.8176915756944,205.0040300260536,203.20085970849607,194.8086700563252,200.49746924247202,197.27116341322153,195.111413040554,181.6593066938529,176.50110541242384,175.2643148328172,180.4878090938398,168.96089524906853,161.53718321578745,164.3651368668334,173.74248997674758
14,2001-03-08 22:04:56+00:00,,187.74167918721764,163.92219042513915,129.32978684660696,131.43069399623508,142.97652653628592,155.54701800762135,176.66763718482608,187.99928311928085,193.65196225643749,,,183.4914042814573,179.95240043529265,185.63970275581153,,175.1386959477263,,,,201.00948695398623,,,,194.390547944814,203.02630094274082,201.40639584473632,194.58566769343855,195.62021975513736,196.72568910534696,194.29515834574087,185.40099907953214,177.99449179173183,,,,161.42779359132712,155.58523872569273,152.95423371551337,155.2063306259981
15,2001-04-09 22:04:41+00:00,195.7786825997925,166.7470363797973,147.2306190457709,126.08870391422248,126.81569998941508,134.6178548796894,145.02562504398443,186.0309156255478,211.88462881108765,191.91750777822887,156.26973444750473,151.12372713278927,147.03215678266886,157.4637788662974,161.70676038199946,161.03884310054,167.67321640993472,169.0075703618775,174.31429824945286,184.22513279285982,177.01356991469595,179.06980062882735,173.75468889826007,177.05885935715415,181.32380285398688,191.1612551815433,196.88596073294187,192.59954179762485,190.8383268485008,187.4922243162227,184.81034512935582,169.75903968030266,170.56664311932747,168.65774728308756,160.94393325482812,176.05157262535585,159.65463275893677,148.6208599757051,150.50377682845763,155.44115115167108
16,2001-07-14 22:03:57+00:00,221.48909420291614,216.82665487774358,181.98645254342745,150.97809482118586,158.4410022522574,170.28826337124204,187.05410483436842,207.13654912458037,204.74434421460174,192.79352892646642,169.51157748084842,,141.5243628473617,149.72882498942027,148.82241506618692,142.60028946734803,,,,,,150.71603297849745,147.46673503782173,156.06586626513268,151.43136020201428,154.30516380518515,,,154.50422647740777,,158.54779046739566,,,,,138.34715806097037,134.46943225067383,123.09558551787306,128.51159159241138,
17,2001-08-15 22:03:26+00:00,187.63863401191395,163.99651277169812,,94.18600818330214,97.54952108828758,104.32830704958552,116.03269970636259,,152.63577855886987,141.96793603875682,142.8811219726726,137.3672699114314,132.6469344087104,147.2315900423835,,138.0843908820376,174.75606573966115,187.6289944551374,199.03477566591744,201.80958549966462,181.44337451347488,168.99635688797332,167.09452142878112,171.93090899193686,185.34166847022843,185.76506270338948,198.61895797833094,179.4429140810402,175.71120359466147,176.71156815957147,178.67307869211828,,170.4300297758869,163.98702216288456,168.56157302816592,156.34670788597833,146.65913770929015,125.73434457920766,138.28659125586984,
18,2002-02-23 22:03:31+00:00,,,,,79.07847202654709,86.03119451221302,126.02124127648212,,153.90970450925286,159.92459796324408,149.8247502964708,161.67667054561517,156.63591595463205,160.05060491750942,149.3065484835596,143.47695332573113,147.67011424565476,162.94535645187597,172.14214605571618,190.90631955560772,198.57479547386438,187.9515459403898,195.30354883731354,199.8316729376514,200.36192683886813,201.00153708334636,220.65121609261476,213.29099913761073,192.187725228672,194.55672489043604,203.44326306715746,192.0921882208839,178.5448289377751,181.5038108180449,177.4906843096025,185.89979622576138,171.9533232444506,161.82707767915525,164.86270463303663,178.64908123043728
19,2002-03-11 22:03:31+00:00,185.19178043004246,170.6416195210918,144.1537124056562,73.35302653227859,78.58071631154046,103.68201855447784,140.77894254306338,160.45647085775173,168.52864174638364,167.28664223397664,169.83119518119406,,168.94421684746789,148.21635256457805,157.07278457145136,157.55842286934507,161.93957305394298,173.43759588482806,183.04048265249963,188.80458869297294,181.70225592231375,192.78925687811284,192.47332482392903,199.35484476477217,200.1007214592823,211.73088791554906,216.96220036380873,210.53012874291264,203.85997190219535,205.49586104235976,208.87602573648456,195.08298447667718,190.5895664073019,190.3042285083207,187.14535323742535,187.01126662698636,185.62641696892592,,178.3629069997892,179.44678964731472
20,2002-04-12 22:03:25+00:00,202.66649563048693,163.4242226294662,102.62231431513152,73.92603597000132,78.44987218857582,99.60919528515211,119.53622590020008,146.1362748911882,146.92304706625342,150.95778656006456,150.51926222944917,148.51677349772444,142.7376694940277,149.6471087740109,158.40131021101138,151.73529076401286,157.32500902759176,187.8530979381876,184.75666907519442,178.8002659322487,177.09635642174794,180.81337431662416,191.9774546062477,188.97175253328265,190.5659728446374,197.64096197029374,196.297415162753,198.021294490915,198.65784079723642,193.80793710086735,192.2965360696495,187.2979246677071,179.98563508971583,,180.88939071743437,186.87373278891312,185.41750175121527,173.4308392948501,167.12215699334666,162.35873597846174
21,2002-05-14 22:03:19+00:00,210.20877357576765,142.94475601704926,107.20254455445588,94.02677842337312,98.27361100643984,110.11374340699889,115.51112420878204,132.27976404623183,149.54182072082614,150.1445179758972,130.86576150733038,141.2874900777081,148.3435707521067,143.01159523797315,156.96811530142412,160.63891226836276,162.7303599643918,,183.5600090916759,170.84913533067586,169.62921299838567,180.16793876139252,169.48200519706197,178.08612214504353,181.83705630038028,187.86280335084928,207.58893186436362,191.0720786217941,190.06860990940496,191.96011506411486,191.8056031051665,177.39664416406734,167.45984755139108,162.97888299398545,169.342355261056,172.10932838515586,165.67519945143994,149.4416718052309,152.34069480399302,141.2314120359053
22,2002-05-30 22:03:13+00:00,206.8285695556882,136.06504997528944,107.15636939747779,88.09309122037166,94.92898144828274,115.37007803651919,128.2610012272827,135.998806625298,127.64967258381313,120.45793548101211,123.45633189219785,126.83658368188141,136.99017685949036,142.95524760937334,141.8783672284233,131.8128042391128,,141.20582994495788,147.96670215329726,150.30290321854412,156.5164931697341,151.03316971491066,151.07563186759134,,143.19809901853623,,162.11989494443995,178.84194086500497,169.29534143303766,152.5465060975635,156.82895745699636,125.80472709069883,123.51806365168633,,133.40061161321887,143.26618051889346,127.65851723911635,119.5144217198112,135.82703462306694,145.1801325318972
23,2002-06-15 22:03:07+00:00,201.6886858023421,177.09249254419484,98.60612296975815,83.9646911406997,95.55123378401454,107.30900840955205,125.99171239429553,158.98656865171415,168.63298587359202,162.31133521517992,146.0142906825686,129.66086530684805,125.51977894060498,138.86369517514945,152.12549850574356,152.51337946520349,147.82763131001792,157.29816083609316,163.8615821450677,,157.36842826703403,,151.02119508807414,159.14258389634736,151.55555826255488,,152.07446585810428,,152.91618886318935,158.26084960804909,169.9155760466113,137.8919239661727,130.33342490614976,,,160.01636288900775,135.71778559388454,116.18587545537125,123.6958171540005,122.95350989143597
24,2002-08-18 22:02:45+00:00,189.2272073703347,159.05776062439588,115.26518268056742,78.30231346702114,94.1266042372269,104.94416312197504,105.04620105991495,123.06598518724509,,126.4461442505335,126.83678866289655,126.84535868824163,117.32288719552653,116.75580773061574,127.02137746147159,132.36719462207736,129.05499960525867,140.92967408867867,139.37277928125482,143.6803469175106,,160.82987829802565,170.4798989389728,174.79677285018983,180.66693731123354,,171.8701762059224,163.1712395548338,,161.6800965642156,169.4958751308182,172.5042029768377,174.91542666035576,154.34066480509023,151.36187735566358,162.33624218944092,153.25650230486926,135.74394320495227,,127.71854669170307
25,2002-11-22 22:02:45+00:00,212.8019755118425,187.55141433053473,145.03215290239405,,121.64928364512821,133.0063043268282,141.683084575293,152.58076824392157,174.78026578850378,,151.6143426487045,141.386135487248,,138.12895883625566,145.98697310999032,141.90990265150015,149.01188941288268,162.04632310776884,,168.7899721913073,166.87864336836725,174.19419401504044,173.02878603138265,166.1510258674925,171.41550045241323,184.57528347104662,192.22980752005378,192.45374214459093,,185.51161255915815,176.11961706900502,177.9010727017075,164.09406274900317,166.19279433150248,158.68102731689,161.27873891802705,155.5693690568079,146.33159289542374,145.9026884081037,152.4409642146682
26,2002-12-08 22:02:51+00:00,201.73867817546167,176.79726842133323,133.5489458835944,,,,,123.24166579210983,133.14786726181245,139.33698231787542,142.99171534959316,123.92587882327857,123.18484452063862,125.99872270449102,142.18858475177194,136.99333366920706,128.40401701630196,,138.10944719079214,142.90296440421096,,152.62870220747894,145.28100965829702,146.89950917309878,149.17705189419624,173.21781071802116,,193.78475952703738,188.74115838539393,175.35620195981113,163.7482060552062,167.22939905554273,159.45457192645063,152.54323319171104,157.99037616715273,161.79216272272188,145.8593754782109,132.05940693100237,128.94969055037728,127.71192143007175
27,2002-12-24 22:02:57+00:00,192.253109778924,183.4181408367138,148.27035242531915,,119.03279811436441,120.24515620484125,131.3687889279299,142.697821501735,147.11041084412298,163.62650350901674,159.19417905398947,140.22064085427078,135.08576867267888,139.78634350448894,,,147.56013932958493,151.91305370448507,153.54171418950895,158.26967579109984,159.34802259330334,163.40842998176942,163.37950817023705,164.69507803227987,176.75396066128866,181.15277609320742,197.19195520965167,203.8780260663029,202.54289780758495,187.10243808857726,176.66909652447444,179.64668722998576,174.42838252259415,164.41631460051525,165.9756373013427,163.3431137030166,,139.78274586641248,,144.7183752816866
28,2003-02-26 22:03:16+00:00,196.47680154052,174.68357934178678,164.3355151667421,,145.3180823351768,150.65711402923404,154.2064790938854,163.87091908447186,167.2183697411498,166.31621533780762,164.59927262372054,155.52523750811505,145.25395036795086,150.76147111646915,158.24650039123796,153.4068437532622,149.458153012311,159.7122898148063,166.71029356406723,167.25298272626054,172.39276168116984,173.46974623902648,181.55457746505687,,190.71990253551158,,212.03342711836686,207.92858767334218,,200.82446981563626,193.4989236379111,192.4598643993639,184.03379952290663,175.92628072196044,173.48710080605235,172.1124455941748,162.41692425224116,157.23992652743058,162.5594823645398,166.12909191234675
29,2003-05-01 22:03:22+00:00,,,,,,,,,,132.8885316573391,125.92595985992014,,122.1136088749157,109.17684702379682,114.66702184163202,114.79176215818589,114.20002101781174,134.69803103984,123.30417039063701,146.36111586178336,147.89161114751607,172.01297370768668,187.7172973844688,,,157.41369942301571,179.13009245640728,179.79457409745237,180.07570904148773,154.42056378383157,161.35151787762442,157.8667711347818,158.95255504695646,160.1194906651303,163.75328260811165,,130.54850900405688,,,
30,2003-08-05 22:02:59+00:00,205.74487073940082,180.21021449311118,133.02329608732498,114.15344616147922,116.03056698750183,,,152.18852142247792,158.80757754014564,165.06755312433606,155.3721615122712,143.30248065921006,134.92048628010718,134.87628754096903,130.1896897195589,136.66009387590938,134.05765774216673,,154.3709560032884,153.48228282963925,,,,148.08148918590774,,158.8731191139735,,,,169.00446212162495,168.76861409471618,,150.4557038886492,153.2365996347153,153.62039987952446,153.60039840705122,140.96659481357165,,,
31,2003-08-13 21:51:32+00:00,173.03222987741307,152.39109760316873,,109.07847368605333,117.8062034660184,119.05733861501504,131.12151572212545,155.32197549668345,158.46223387601194,170.83873928628958,163.7551220347115,153.8209756443794,153.70761044445885,161.66543440085724,,135.780813191636,132.18458921042395,140.69966183901488,,143.63555414868085,144.79088960371692,142.35186345287588,168.85031257912632,168.38729211362366,178.03405900658,185.9295810644564,,178.996122176308,190.86519248794735,188.33772765426062,,165.2971398041621,157.22631928797216,155.06883076003086,159.5064773269261,,,137.5001674313171,153.6124788939678,156.18531514183675
32,2003-08-29 21:51:49+00:00,152.02163238621608,137.51809398550495,101.07313668480614,98.76393328120135,129.5030988664841,124.31488689770909,140.78603218088284,140.2224513969101,166.41017839653534,,147.1149260151297,141.44328091520808,162.0983310036561,137.35419107292583,115.34679689142689,116.56545846591133,,135.50637366673004,130.01875697208766,124.75828061947458,130.65567718125266,159.57894194996587,168.49494745654755,181.88107187083799,181.96124897272475,,169.40152961521432,202.03706973664936,192.09551696462097,178.597526232191,191.0909341022649,150.1926343668546,150.17929364884742,175.76222551178674,,,,,178.908378366767,
