,dates,mex0127-0000,mex0127-0001,mex0127-0002
271,2001-02-12 16:40:25+00:00,222.52833766522681,236.4356530138868,238.81865229088214
272,2001-02-21 16:34:41+00:00,210.6835472661475,229.7785061064455,231.2787223104819
273,2001-02-28 16:40:32+00:00,234.3789439571873,231.84777451521873,228.51846625421885
274,2001-03-09 16:34:44+00:00,221.4474467034243,228.49888231325957,225.1030918808791
275,2001-03-17 16:44:52+00:00,223.69752484510587,230.61031918403597,225.6103696105817
276,2001-03-24 16:50:35+00:00,236.49924283885474,237.19340751935334,230.34363827921206
277,2001-04-01 16:40:29+00:00,216.7033642750001,216.23138489825158,211.04635804007475
278,2001-04-17 16:40:23+00:00,229.10915525522057,223.48024118547335,226.39740589523515
279,2001-04-26 16:34:45+00:00,219.70023723642834,225.45360008937323,214.86693796370434
280,2001-05-04 16:44:40+00:00,,,
281,2001-05-12 16:34:47+00:00,209.3083476805807,217.4465478973185,201.28957124680554
282,2001-06-13 16:34:58+00:00,204.10377706856076,211.17184470848034,202.0017053452021
283,2001-06-20 16:40:43+00:00,212.77361050172374,217.91001164523792,209.0318360936859
284,2001-06-21 16:44:05+00:00,199.15115230981752,207.14600598606782,202.94501029314944
285,2001-07-06 16:40:48+00:00,217.35916795924294,228.43425667838034,210.77789868656748
286,2001-07-30 16:49:34+00:00,184.11393604199583,196.36724805381115,201.6184337386237
287,2001-08-15 16:49:14+00:00,219.70289890737212,215.07718094025694,213.024926766366
288,2001-10-11 16:42:45+00:00,198.95663845977083,206.8712538869458,206.0621663497573
289,2001-10-18 16:48:41+00:00,225.19925198241555,229.3792085559203,230.01716647489275
290,2001-11-28 16:43:10+00:00,235.1779160150229,233.47110649838152,230.92859285886252
291,2002-01-06 16:49:07+00:00,234.46812006589641,238.80725747134724,234.5222880175724
292,2002-01-31 16:43:25+00:00,223.72867421374218,239.3414714287627,223.7279823944066
293,2002-03-27 16:49:13+00:00,225.50884752778998,226.55976868842998,216.2316746361176
294,2002-07-10 16:43:01+00:00,207.36660247072464,215.58959799626896,209.84690046923947
295,2002-07-17 16:48:44+00:00,207.59754653555783,218.76165265500126,212.46155991174263
296,2002-08-02 16:48:37+00:00,200.99069900968723,213.1546504783417,207.77412573216117
