dates,satname,nzd0237-0000,nzd0237-0001,nzd0237-0002,nzd0237-0003,nzd0237-0004,nzd0237-0005,nzd0237-0006,nzd0237-0007,nzd0237-0008,nzd0237-0009,nzd0237-0010,nzd0237-0011,nzd0237-0012,nzd0237-0013,nzd0237-0014,nzd0237-0015,nzd0237-0016,nzd0237-0017,nzd0237-0018,nzd0237-0019,nzd0237-0020,nzd0237-0021,nzd0237-0022,nzd0237-0023,nzd0237-0024,nzd0237-0025,nzd0237-0026,nzd0237-0027,nzd0237-0028,nzd0237-0029,nzd0237-0030,nzd0237-0031,nzd0237-0032,nzd0237-0033,nzd0237-0034,nzd0237-0035,nzd0237-0036,nzd0237-0037,nzd0237-0038,nzd0237-0039,nzd0237-0040,nzd0237-0041,nzd0237-0042,nzd0237-0043,nzd0237-0044,nzd0237-0045,nzd0237-0046,nzd0237-0047,nzd0237-0048,nzd0237-0049,nzd0237-0050,nzd0237-0051,nzd0237-0052,nzd0237-0053,nzd0237-0054,nzd0237-0055
2004-07-31 21:54:51+00:00,L7,278.55,283.93,295.10,,293.79,286.96,277.33,287.17,284.33,280.49,278.77,268.44,,,,,,,,,,,,,,,,,307.05,315.47,323.29,328.89,324.18,323.16,322.11,324.44,323.71,316.57,320.05,,,243.14,317.49,311.75,304.89,297.84,301.04,307.55,306.57,286.23,316.56,330.29,328.35,,,186.01
2004-08-24 21:49:18+00:00,L5,380.55,363.39,338.78,326.13,324.14,343.52,357.08,358.41,348.12,327.75,325.09,311.96,312.75,306.97,,,,,,,,,,,,,,,,,362.24,378.39,378.14,357.04,360.54,359.11,356.03,366.39,364.53,353.99,357.90,381.39,386.88,375.72,359.50,357.29,377.41,373.70,362.89,361.36,386.84,365.85,373.46,367.08,386.13,357.99
2004-09-09 21:49:43+00:00,L5,,,,,,,,363.81,350.11,332.63,316.23,305.53,303.33,299.09,297.20,303.34,322.13,336.51,348.13,351.34,351.13,355.37,351.74,343.61,345.80,335.92,354.19,340.25,338.20,346.10,364.05,363.82,366.02,358.08,353.82,349.00,353.53,359.28,343.57,347.48,366.25,389.64,387.41,369.62,356.94,349.54,364.57,375.71,373.48,369.03,388.29,379.38,365.64,354.56,358.10,356.16
2004-09-25 21:50:07+00:00,L5,319.91,322.26,315.81,311.11,302.97,304.51,311.48,310.44,305.95,298.06,289.53,281.23,271.08,267.81,268.58,272.47,284.15,294.94,297.16,304.33,314.67,313.26,310.25,297.32,294.45,288.84,306.42,296.95,312.40,317.98,333.36,336.07,337.56,330.91,330.75,327.52,320.51,318.76,323.64,330.31,341.47,348.41,353.37,339.92,325.55,315.15,325.59,332.09,346.32,340.43,346.12,342.04,335.68,341.41,333.75,330.08
2004-10-27 21:50:47+00:00,L5,290.35,301.55,305.96,303.77,295.19,287.48,279.56,279.64,277.47,278.05,275.97,266.55,256.10,250.49,250.75,256.41,262.63,250.21,244.82,227.45,239.61,250.47,253.04,199.65,239.04,261.90,265.21,278.86,298.60,310.18,319.32,311.50,315.55,315.68,316.64,314.00,311.38,310.11,314.51,321.50,322.51,325.09,323.93,319.07,303.17,291.00,308.53,310.58,315.79,297.08,308.99,321.79,325.02,332.48,330.31,319.20
2005-01-15 21:52:09+00:00,L5,,,,,,,,,,,330.22,326.16,303.83,290.03,292.53,295.29,307.71,309.08,302.54,315.35,314.11,317.63,335.38,300.33,343.43,354.19,355.09,347.96,330.08,338.39,349.70,351.48,358.17,361.50,355.12,358.77,356.37,359.75,367.55,376.93,357.62,348.50,356.61,355.65,355.43,356.07,359.41,363.50,361.37,358.13,368.57,375.94,371.87,360.05,355.84,370.83
2005-01-23 21:55:25+00:00,L7,324.47,322.88,316.84,320.21,315.87,,,,307.17,303.61,302.26,294.54,278.91,270.80,272.20,283.67,286.70,285.79,279.03,,,,292.76,278.51,306.79,319.68,322.60,328.48,322.04,320.72,327.64,331.47,334.86,,,,328.17,330.18,327.95,330.84,332.70,333.77,329.55,326.16,330.29,326.57,335.70,,,319.16,335.44,343.07,333.10,339.06,338.05,341.28
2005-02-08 21:55:35+00:00,L7,272.76,297.37,298.60,285.46,284.72,286.92,287.18,293.30,287.02,,,,260.48,254.61,252.93,260.58,262.54,267.17,255.41,247.74,253.75,246.14,,,,276.06,287.97,281.45,298.78,306.59,314.08,316.50,318.51,313.44,318.21,313.79,,,,321.41,319.51,313.73,312.43,312.51,280.64,277.06,301.50,304.39,307.67,288.78,306.72,,,326.49,329.88,324.54
2005-02-24 21:55:41+00:00,L7,303.65,314.32,310.29,302.25,300.59,298.91,295.57,,,,289.56,285.48,275.01,268.41,270.08,274.56,277.91,281.01,283.09,281.36,278.49,,,254.47,282.47,305.48,308.11,310.49,321.76,322.65,318.52,321.20,327.32,333.32,330.78,,,320.96,324.47,331.84,327.17,326.94,323.33,326.36,322.37,318.42,330.83,332.21,334.60,,,333.51,327.08,335.54,342.23,348.66
2005-03-28 21:55:42+00:00,L7,,130.28,151.39,283.29,304.90,300.04,293.87,300.50,298.44,293.80,287.40,280.38,282.38,,,280.06,278.10,268.32,271.13,287.41,288.87,287.89,292.89,291.32,292.99,309.97,319.12,,,331.86,323.11,324.75,326.22,316.89,324.82,329.26,324.82,320.22,318.98,322.10,326.73,,,322.95,320.31,311.22,324.82,327.72,331.45,321.03,333.45,338.17,335.21,344.46,337.70,
