dates,nzd0237-0000,nzd0237-0001,nzd0237-0002,nzd0237-0003,nzd0237-0004,nzd0237-0005,nzd0237-0006,nzd0237-0007,nzd0237-0008,nzd0237-0009,nzd0237-0010,nzd0237-0011,nzd0237-0012,nzd0237-0013,nzd0237-0014,nzd0237-0015,nzd0237-0016,nzd0237-0017,nzd0237-0018,nzd0237-0019,nzd0237-0020,nzd0237-0021,nzd0237-0022,nzd0237-0023,nzd0237-0024,nzd0237-0025,nzd0237-0026,nzd0237-0027,nzd0237-0028,nzd0237-0029,nzd0237-0030,nzd0237-0031,nzd0237-0032,nzd0237-0033,nzd0237-0034,nzd0237-0035,nzd0237-0036,nzd0237-0037,nzd0237-0038,nzd0237-0039,nzd0237-0040,nzd0237-0041,nzd0237-0042,nzd0237-0043,nzd0237-0044,nzd0237-0045,nzd0237-0046,nzd0237-0047,nzd0237-0048,nzd0237-0049,nzd0237-0050,nzd0237-0051,nzd0237-0052,nzd0237-0053,nzd0237-0054,nzd0237-0055,satname
2001-09-25 21:54:28+00:00,371.67,375.56,365.82,366.05,363.83,357.21,355.21,353.12,352.71,339.90,330.95,322.52,329.54,326.61,329.54,321.14,332.29,332.86,334.18,338.20,335.75,322.75,321.39,321.79,361.29,349.29,369.63,382.02,375.02,365.91,366.45,366.06,362.96,367.95,381.35,390.21,395.40,394.10,386.21,380.52,374.32,373.63,365.67,368.26,361.98,364.63,372.61,370.82,362.77,364.84,360.81,362.75,375.52,373.02,394.53,404.55,L7
2002-02-16 21:54:54+00:00,383.95,379.19,375.18,375.66,380.24,382.22,376.05,370.16,350.72,327.48,330.94,334.72,334.88,333.51,337.90,347.37,350.19,350.98,352.39,350.23,341.79,323.26,331.21,355.43,350.45,360.55,363.63,371.11,373.24,373.67,374.16,375.92,387.16,390.38,399.56,399.57,393.76,393.54,393.19,393.55,389.30,385.39,393.57,393.53,389.73,377.24,377.64,371.56,365.97,374.45,376.87,378.79,374.91,385.77,399.43,407.46,L7
2002-03-20 21:54:48+00:00,359.28,362.37,363.82,372.05,376.98,373.77,361.98,346.27,337.96,324.73,318.27,316.66,318.91,318.68,320.96,317.27,315.94,305.36,292.36,,,301.25,291.23,277.01,328.43,346.97,355.99,355.76,352.15,353.96,329.07,355.93,369.38,372.21,380.84,383.60,385.24,376.01,369.69,350.57,339.64,356.31,,,335.76,,342.86,356.27,331.25,339.89,,306.12,386.47,367.04,360.70,,L7
2002-08-27 21:54:00+00:00,342.84,347.42,,,321.08,315.25,319.78,323.44,303.80,293.67,294.16,291.95,297.53,304.21,298.99,304.70,318.40,322.99,321.86,319.94,310.95,302.01,304.69,299.21,321.26,335.65,325.01,323.29,317.91,330.70,340.17,342.94,355.73,352.30,360.15,358.79,358.31,355.00,353.64,350.39,356.37,359.84,362.53,360.07,359.39,356.18,341.77,334.14,343.82,330.61,,345.29,,354.25,358.42,366.96,L7
2002-10-14 21:53:43+00:00,373.55,370.38,365.70,356.29,347.13,333.02,334.59,338.48,331.62,321.49,313.95,308.85,319.82,335.48,336.58,325.02,329.52,330.47,351.05,354.24,359.05,326.00,350.18,314.67,324.22,337.00,350.98,359.76,357.67,349.02,352.41,358.13,357.30,351.83,361.19,363.55,368.93,371.53,382.10,383.22,371.40,360.27,353.39,359.33,362.40,370.55,376.92,362.71,359.85,364.28,385.06,377.88,387.72,375.20,362.51,360.76,L7
2003-01-18 21:54:30+00:00,368.96,350.23,357.77,349.97,348.74,349.98,339.77,342.35,321.32,317.19,324.24,320.33,311.37,309.41,305.26,308.08,318.11,312.74,309.79,318.55,321.71,320.87,326.35,326.75,287.69,345.77,341.08,335.80,340.72,347.49,355.58,353.79,358.61,362.04,364.11,367.64,365.49,365.95,372.06,371.32,368.95,368.05,368.18,359.23,370.30,353.47,356.77,352.10,361.55,345.18,355.10,369.04,353.47,364.81,361.22,370.17,L7
2003-04-08 21:54:47+00:00,361.12,363.54,355.23,353.23,347.69,337.96,339.76,332.56,334.62,324.20,309.95,306.60,307.70,315.82,319.81,313.66,316.39,316.48,322.99,332.25,323.89,313.74,314.93,317.45,320.05,340.60,346.32,357.73,354.39,354.33,346.89,351.69,349.60,359.25,370.43,375.59,378.75,385.63,375.39,362.88,352.35,348.25,361.01,372.55,365.58,364.53,359.49,350.74,358.67,365.91,366.80,362.51,375.90,368.79,365.19,372.40,L7
2003-04-24 21:54:46+00:00,356.03,358.55,354.98,348.10,343.62,343.57,342.51,336.09,334.43,329.45,316.42,310.68,315.00,317.02,314.36,308.28,313.28,310.67,321.02,334.39,327.26,316.55,314.53,316.78,326.83,335.60,348.56,352.44,353.37,352.83,356.00,350.17,355.43,368.92,377.70,380.05,379.24,381.02,377.52,368.47,364.70,346.11,354.57,364.71,363.47,363.37,360.10,351.68,351.17,349.16,352.43,355.10,375.46,368.60,372.30,355.46,L7
2003-07-29 21:54:29+00:00,347.77,,,,338.01,329.45,323.97,332.29,315.56,310.44,314.96,314.11,310.62,316.88,,,,,,,,,,,,,,324.00,340.47,,,344.06,349.61,352.59,364.18,377.46,374.75,367.77,356.12,358.36,348.42,344.73,353.92,,,336.80,340.50,338.26,329.07,303.10,320.05,347.94,,,,,L7
2003-10-25 21:44:04+00:00,360.85,363.96,376.13,353.11,345.20,342.87,340.77,338.82,323.29,318.94,327.90,324.32,309.16,313.22,317.42,312.51,304.48,298.11,315.63,328.00,319.19,301.78,289.63,277.32,326.14,338.29,333.53,323.64,338.89,348.06,349.80,351.14,354.44,360.99,363.54,368.29,369.76,378.99,377.20,371.92,366.39,362.28,370.86,357.68,359.84,337.51,346.59,342.92,349.31,331.65,339.14,363.67,353.35,362.30,370.39,381.50,L5
2003-11-18 21:54:39+00:00,351.70,358.98,359.18,356.46,348.83,339.47,,,333.09,323.22,314.12,306.81,316.57,324.33,320.87,306.09,301.44,309.38,317.74,317.53,,,317.96,288.94,319.15,322.48,354.78,372.19,360.67,353.67,359.36,373.13,372.71,359.66,,,363.72,382.16,389.24,369.63,353.21,342.88,346.01,351.25,356.70,351.95,345.09,,,,345.28,345.43,366.82,376.85,385.15,391.78,L7
2003-12-04 21:54:43+00:00,340.06,359.13,363.19,353.50,344.72,340.75,340.95,334.25,,,303.21,303.69,309.41,320.29,310.33,300.70,300.00,305.39,311.66,327.78,325.89,,,,304.23,327.13,335.69,345.11,351.67,351.35,356.47,368.67,370.84,363.82,351.30,,,,383.02,374.15,362.02,350.10,346.56,349.94,358.52,354.12,335.80,325.72,335.54,,,,350.99,374.43,374.09,383.57,L7
2004-03-01 21:45:02+00:00,341.70,355.83,359.33,352.60,346.89,339.61,335.64,330.97,329.81,305.83,289.56,295.01,303.49,323.43,328.90,323.57,307.57,307.12,303.21,316.78,322.34,324.21,353.86,,372.01,348.72,352.04,349.79,349.95,355.89,366.62,363.29,352.17,354.33,353.70,351.99,351.68,357.71,357.65,361.10,366.70,364.91,367.12,359.94,347.22,336.82,328.72,331.08,,,,,,,,,L5
2004-03-09 21:55:15+00:00,362.93,356.16,,,,345.70,350.64,351.21,332.89,312.60,306.63,304.36,300.00,311.48,321.94,313.77,,,313.81,326.45,323.13,313.31,317.36,288.03,337.33,351.10,348.82,344.50,348.96,352.06,,,358.58,356.70,362.47,362.66,361.49,364.38,362.37,356.80,360.23,374.96,372.13,,,,344.59,339.18,348.40,334.65,346.98,364.85,351.60,352.69,354.62,354.52,L7
2004-03-17 21:45:08+00:00,337.27,349.75,356.94,341.08,332.17,337.28,340.12,333.78,320.39,309.46,294.47,285.98,284.98,302.47,313.15,305.29,297.78,294.14,297.43,315.11,314.33,310.48,295.45,259.23,310.00,325.64,321.84,332.75,338.27,342.73,346.43,351.15,355.43,352.06,350.51,354.12,347.38,350.82,349.70,344.58,351.37,359.29,359.38,346.17,340.82,329.71,336.34,329.60,333.42,328.66,337.78,358.30,346.76,353.69,347.78,343.55,L5
2004-03-25 21:55:18+00:00,,,338.43,332.63,332.10,330.67,328.53,329.59,322.62,314.15,310.94,288.23,277.27,,,,301.01,290.68,290.85,298.27,,309.77,300.73,,320.95,324.92,324.57,,,,330.52,335.50,334.57,331.56,329.48,337.59,335.34,340.48,349.07,351.14,355.35,,,,352.19,337.13,331.98,320.06,325.77,310.45,321.12,328.88,324.26,347.54,348.36,,L7
2004-04-18 21:45:49+00:00,355.51,355.07,360.50,350.38,350.76,350.99,344.87,343.96,325.27,321.90,320.44,303.21,298.26,296.55,308.69,315.88,323.36,316.35,325.18,330.14,323.58,315.66,317.77,,346.40,352.13,346.20,339.30,349.48,351.13,356.92,358.50,357.51,363.92,369.13,364.17,364.42,363.12,360.99,351.76,350.97,356.30,369.59,364.75,374.10,365.62,368.86,366.93,363.76,338.35,346.49,362.02,353.87,361.94,366.41,365.86,L5
2004-05-04 21:46:16+00:00,339.04,328.44,345.30,336.14,326.19,325.11,324.60,328.72,312.11,307.51,312.25,302.45,285.38,287.06,288.63,287.81,292.12,280.57,280.79,287.32,,288.37,,,312.70,341.50,318.75,317.61,324.68,330.68,339.50,338.73,345.63,340.38,354.58,365.78,363.21,358.12,358.27,351.70,347.05,351.78,354.15,338.44,341.44,321.06,347.24,340.36,349.27,317.67,324.30,357.13,346.03,354.17,353.92,346.48,L5
2004-05-12 21:55:13+00:00,337.67,341.79,335.48,332.69,336.20,331.84,334.17,,,320.76,308.73,306.52,300.46,290.21,301.24,299.28,309.37,303.95,311.63,315.91,,,,,333.79,325.47,359.37,356.79,351.06,348.18,346.79,352.80,345.73,337.19,,,357.58,352.90,353.54,341.51,339.13,344.74,356.49,361.75,354.14,349.46,359.19,353.40,,,,340.08,363.78,357.63,372.88,369.53,L7
2004-06-05 21:47:12+00:00,304.73,306.77,318.57,328.38,328.68,312.21,307.65,311.72,307.85,298.23,297.12,286.37,280.02,280.79,,,,,,,,,,,,,,,,,323.29,333.49,318.15,306.88,,,,,,,,,,,,,333.29,338.62,351.07,,339.04,312.26,,318.30,339.70,330.02,L5
2004-07-23 21:48:33+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,351.36,348.21,,334.46,332.98,,,,,,,,,,,L5
2004-07-31 21:54:51+00:00,338.95,334.26,345.43,,331.54,330.10,320.47,330.31,317.89,314.05,316.52,306.19,,,,,,,,,,,,,,,,,337.25,342.92,350.74,354.06,351.63,353.36,355.67,362.19,361.46,354.32,357.80,,,,360.63,345.31,348.03,335.59,338.79,341.11,349.71,329.37,346.76,368.04,358.55,,,,L7
2004-08-24 21:49:18+00:00,344.55,333.39,308.78,300.42,301.64,317.81,331.37,332.70,328.12,307.75,302.59,289.46,294.75,288.97,,,,,,,,,,,,,,,,,345.88,363.39,361.78,339.04,340.54,336.61,333.53,343.89,342.03,333.99,337.90,358.89,361.17,355.72,333.79,334.79,354.91,353.70,337.18,335.65,368.84,343.35,355.46,347.08,368.13,337.99,L5
2004-09-09 21:49:43+00:00,,,,,,,,358.95,346.33,328.85,311.98,301.28,299.93,295.69,293.80,299.94,317.88,332.26,343.27,345.67,346.27,,346.88,,339.00,329.12,349.33,336.47,334.80,343.01,360.96,360.99,362.93,354.68,350.04,344.75,349.28,355.03,339.32,343.70,362.47,385.39,382.55,365.84,352.08,345.29,360.32,371.93,368.62,364.17,384.89,375.13,362.24,350.78,354.70,352.38,L5
2004-09-25 21:50:07+00:00,339.91,338.93,332.48,325.40,315.47,318.80,325.77,324.73,317.06,309.17,302.03,293.73,281.08,277.81,278.58,282.47,296.65,307.44,311.45,321.00,328.96,325.76,324.54,,314.45,308.84,320.71,308.06,322.40,327.07,342.45,344.40,346.65,340.91,341.86,340.02,333.01,331.26,336.14,341.42,352.58,360.91,367.66,351.03,339.84,327.65,338.09,343.20,360.61,354.72,356.12,354.54,345.68,352.52,343.75,341.19,L5
2004-10-27 21:50:47+00:00,345.95,347.88,352.29,343.48,329.94,327.19,319.27,319.35,308.36,308.94,310.72,301.30,283.90,278.29,278.55,284.21,297.38,284.96,284.53,273.78,279.32,285.22,292.75,245.98,294.64,317.50,304.92,309.75,326.40,335.45,344.59,334.67,340.82,343.48,347.53,348.75,346.13,344.86,349.26,352.39,353.40,359.84,363.64,349.96,342.88,325.75,343.28,341.47,355.50,336.79,336.79,356.54,352.82,363.37,358.11,350.09,L5
2005-01-15 21:52:09+00:00,,,,,,,,,,,312.72,308.66,289.83,276.03,278.53,281.29,290.21,291.58,282.54,292.02,294.11,300.13,315.38,277.00,315.43,326.19,335.09,332.40,316.08,325.66,336.97,339.81,345.44,347.50,339.56,341.27,338.87,342.25,350.05,361.37,342.06,331.00,336.61,340.09,335.43,338.57,341.91,347.94,341.37,338.13,354.57,358.44,357.87,344.49,341.84,355.27,L5
2005-01-23 21:55:25+00:00,364.47,356.21,350.17,348.78,340.87,,,,329.39,325.83,327.26,319.54,298.91,290.80,292.20,303.67,311.70,310.79,307.60,,,,321.33,311.84,346.79,359.68,351.17,350.70,342.04,338.90,345.82,348.14,353.04,,,,353.17,355.18,352.95,353.06,354.92,358.77,358.12,348.38,358.86,351.57,360.70,,,347.73,355.44,368.07,353.10,361.28,358.05,363.50,L7
2005-02-08 21:55:35+00:00,340.76,354.04,355.27,334.03,327.22,335.49,335.75,341.87,324.80,,,,294.48,288.61,286.93,294.58,305.04,309.67,303.98,304.41,302.32,288.64,,,,344.06,336.54,319.23,332.78,337.50,344.99,344.83,349.42,347.44,355.99,356.29,,,,359.19,357.29,356.23,361.00,350.29,329.21,319.56,344.00,342.17,356.24,337.35,340.72,,,364.27,363.88,362.32,L7
2005-02-24 21:55:41+00:00,358.05,359.65,355.62,341.11,334.59,337.77,334.43,,,,323.56,319.48,302.21,295.61,297.28,301.76,311.91,315.01,321.95,326.69,317.35,,,299.80,336.87,359.88,346.97,340.71,348.96,347.38,343.25,343.87,352.05,360.52,361.00,,,354.96,358.47,362.06,357.39,360.94,362.19,356.58,361.23,352.42,364.83,362.43,373.46,,,367.51,354.28,365.76,369.43,378.88,L7
2005-03-28 21:55:42+00:00,,,,310.72,328.90,327.47,321.30,327.93,319.77,315.13,311.40,304.38,301.58,,,299.26,302.10,292.32,298.56,319.41,316.30,311.89,320.32,323.32,331.39,348.37,346.55,,,349.31,340.56,340.75,343.67,336.09,346.15,353.26,348.82,344.22,342.98,343.43,348.06,,,344.28,347.74,335.22,348.82,349.05,358.88,348.46,352.65,362.17,354.41,365.79,356.90,,L7
2005-04-05 21:53:07+00:00,340.20,342.71,348.31,327.39,321.38,321.80,318.02,318.31,311.11,305.95,306.22,309.05,305.03,305.73,302.78,293.34,299.18,297.14,298.60,308.71,306.56,300.24,298.04,287.39,296.47,324.02,333.03,338.40,344.26,342.62,334.94,336.46,338.54,338.06,341.23,345.17,341.99,341.82,338.95,340.07,343.75,340.03,339.01,340.09,342.12,330.63,328.57,332.20,348.69,332.00,345.51,347.08,317.27,348.64,352.11,355.23,L5
2005-04-13 21:55:36+00:00,315.10,332.07,327.79,333.16,335.37,319.26,304.30,304.52,303.61,303.09,297.93,293.34,,,,295.95,288.30,281.87,,,,,,,,,,,,,347.62,344.17,342.32,340.67,345.08,350.90,352.37,338.67,335.04,,,,336.95,342.92,344.83,336.47,344.01,342.05,344.22,322.47,340.51,343.13,344.92,349.71,,,L7
2005-04-29 21:55:36+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,323.27,332.26,319.92,,322.75,323.87,325.36,316.63,,,,,,,,,L7
2005-06-08 21:53:33+00:00,352.24,280.46,323.45,320.98,310.54,307.25,306.99,316.35,300.41,303.48,301.81,309.99,305.33,303.28,,,,,,,,,,,,,,,316.05,322.71,329.44,337.81,339.98,330.54,340.19,346.58,349.26,344.81,342.51,336.95,339.36,346.89,345.98,,315.31,,337.50,334.04,336.39,,,,,,,,L5
2005-08-03 21:55:25+00:00,329.82,316.45,327.87,324.02,323.61,317.51,305.56,311.55,295.82,292.99,,,,299.18,295.39,299.17,302.44,303.65,277.79,,290.29,283.46,275.55,262.22,,,,323.01,320.51,328.66,334.03,336.14,337.83,335.77,339.52,346.33,351.67,347.26,,,340.89,342.18,348.39,337.42,352.92,341.10,342.18,332.23,324.10,291.71,321.15,344.61,,,346.97,342.77,L7
2005-08-19 21:55:20+00:00,360.49,,,352.34,346.01,337.11,331.55,331.63,314.61,307.21,312.90,312.07,304.76,313.91,,,,328.48,326.97,326.27,308.82,303.50,309.06,312.69,,305.97,332.94,329.53,,,,356.68,354.34,349.39,356.04,367.06,373.69,373.40,360.39,348.58,352.20,354.96,,,,361.69,362.96,354.75,348.23,341.54,341.41,356.64,346.61,359.98,364.68,371.34,L7
2005-08-27 21:54:08+00:00,,330.23,337.16,336.27,335.32,330.28,309.72,302.14,295.47,296.02,288.61,280.35,294.04,309.04,313.19,303.30,305.13,301.77,307.76,304.54,290.38,285.94,294.28,302.01,295.44,280.66,311.43,319.36,325.54,332.15,336.05,339.52,334.08,330.87,344.00,359.17,363.76,356.20,341.84,332.09,330.47,323.55,328.10,346.71,347.86,354.62,359.71,344.15,334.25,317.81,328.02,332.06,327.33,343.08,363.01,379.98,L5
2005-10-22 21:55:15+00:00,346.13,,,,353.55,347.58,339.49,320.66,311.78,314.47,322.40,329.16,328.71,328.78,329.41,,,320.47,316.55,312.75,313.42,323.49,327.94,346.05,,,348.96,355.68,350.65,,,351.39,349.13,356.07,375.90,374.65,376.00,367.11,360.87,341.08,334.34,338.99,356.12,,,350.96,356.44,358.83,348.00,326.48,347.83,355.15,352.30,361.23,374.73,376.15,L7
2005-10-30 21:54:03+00:00,341.07,341.40,343.86,332.95,328.86,321.85,319.08,314.34,300.05,308.73,317.69,322.48,316.36,311.34,306.88,308.36,305.99,302.13,294.93,285.52,287.28,289.75,294.64,308.24,281.20,,319.69,326.90,336.77,343.01,334.88,337.28,337.70,344.16,353.01,358.26,356.76,366.08,359.85,350.34,348.13,349.96,362.37,363.31,348.83,334.70,338.40,340.99,337.27,325.44,343.24,359.18,350.15,358.29,368.37,369.04,L5
2006-01-10 21:55:52+00:00,330.12,,,,327.35,331.03,322.08,319.64,308.12,312.46,311.80,312.79,313.47,312.82,307.11,,,306.09,306.58,303.02,298.18,294.49,299.75,288.83,268.69,291.46,306.93,341.03,352.81,,,351.07,344.11,344.65,346.54,358.74,365.47,366.71,359.92,346.70,343.97,348.89,354.84,,,348.82,355.66,351.40,346.39,331.18,338.77,346.48,343.72,360.38,366.89,371.85,L7
2006-01-26 21:56:00+00:00,317.05,333.45,340.96,339.85,329.43,327.33,,,,299.65,299.76,300.62,302.40,299.37,304.68,298.64,293.81,293.27,302.36,308.20,,,292.82,291.30,263.59,254.59,,,,,,,,,,,349.32,351.49,350.95,340.80,342.61,346.66,350.68,346.96,352.54,336.90,349.36,347.51,,,,348.02,336.60,351.55,355.40,359.21,L7
2006-02-03 21:56:19+00:00,356.90,354.07,348.66,351.09,347.46,340.05,341.70,336.72,334.88,328.99,334.63,335.96,337.86,334.85,331.63,310.69,312.68,324.89,340.91,351.79,359.75,352.63,,,,351.89,340.31,352.46,349.66,337.02,355.34,357.11,349.38,341.14,362.28,366.79,368.74,358.68,361.02,369.52,356.49,,,,,,,,,,,,343.57,354.71,,406.75,L5
2006-02-19 21:56:39+00:00,366.42,352.94,351.79,349.16,345.37,350.06,334.55,327.83,331.82,333.28,328.95,322.54,330.22,338.37,337.79,325.36,316.30,318.65,329.28,348.13,348.39,343.99,,,285.35,343.55,352.47,360.89,348.49,346.47,357.52,364.53,361.27,348.87,358.93,369.99,381.79,387.40,376.16,372.47,376.06,375.03,364.17,355.47,372.51,375.30,378.12,372.01,361.51,366.32,378.84,371.84,358.50,363.33,,410.39,L5
2006-03-15 21:56:08+00:00,347.53,347.36,352.30,339.37,330.85,335.14,,,,325.31,324.34,321.86,311.01,316.88,321.70,312.21,308.80,307.56,319.70,329.91,,,317.18,316.82,311.09,345.26,345.85,341.86,346.00,344.58,345.07,346.71,352.00,,,,373.05,380.45,371.00,356.59,358.49,360.44,371.13,365.48,364.94,350.09,356.85,353.57,,,354.21,367.78,357.66,368.99,367.15,373.09,L7
2006-03-31 21:56:06+00:00,351.47,340.28,348.06,339.99,329.30,,,331.87,319.32,311.78,315.53,314.15,309.49,311.47,310.81,311.63,316.45,313.17,320.85,,,312.83,313.78,315.39,301.62,333.07,336.40,333.39,345.23,349.22,348.11,347.01,,,,364.92,367.61,365.91,358.89,351.72,349.38,350.43,364.15,355.21,356.17,339.09,352.43,,,340.92,346.04,359.20,344.61,362.32,357.27,361.30,L7
2006-04-16 21:56:02+00:00,359.74,361.38,367.99,357.21,344.36,334.85,,,,323.56,325.14,318.12,312.82,315.18,320.29,324.03,328.79,329.21,334.35,332.59,,,322.60,328.87,318.78,322.68,343.50,346.20,347.81,348.81,350.86,346.40,355.50,362.54,,,,367.97,365.00,366.83,367.92,366.33,371.41,362.33,370.18,358.13,355.22,365.37,,,,367.30,364.27,377.52,374.27,371.28,L7
2006-05-18 21:56:06+00:00,,,349.14,,355.06,342.97,331.47,331.26,321.77,320.99,314.51,305.85,305.92,,,,330.94,324.51,329.97,333.29,339.43,334.70,325.44,320.59,340.03,327.75,342.11,,,337.57,335.77,356.61,350.30,357.47,376.27,378.86,377.67,368.49,373.14,371.51,371.21,,,,359.95,360.65,365.56,369.78,359.37,354.82,362.47,363.78,376.08,375.18,389.00,,L7
2006-06-19 21:56:00+00:00,325.54,338.13,335.30,,359.65,355.36,353.45,342.07,324.46,315.26,,,,,,,,,,,,,,,,,356.26,336.09,325.96,329.94,329.67,335.35,324.48,328.94,348.85,358.13,362.35,358.46,,,352.43,348.35,349.56,,326.61,,332.80,339.52,,355.94,379.40,348.39,,,,384.10,L7
2006-06-27 21:58:48+00:00,337.73,339.02,338.75,337.99,342.05,339.92,336.04,332.83,313.98,309.49,305.32,298.06,,,,,,,,,,,,,,,,,338.84,333.98,347.13,344.48,348.87,355.39,361.63,365.30,372.01,371.58,365.57,364.20,358.43,366.02,368.72,,335.60,,345.60,346.26,352.57,335.18,,,,,,,L5
