,dates,per0134-0000,per0134-0001,per0134-0002,per0134-0003,per0134-0004,per0134-0005,per0134-0006,per0134-0007,per0134-0008,per0134-0009,per0134-0010,per0134-0011,per0134-0012,per0134-0013,per0134-0014,per0134-0015,per0134-0016,per0134-0017,per0134-0018,per0134-0019,per0134-0020,per0134-0021,per0134-0022,per0134-0023,per0134-0024,per0134-0025,per0134-0026,per0134-0027,per0134-0028,per0134-0029,per0134-0030,per0134-0031,per0134-0032,per0134-0033,per0134-0034,per0134-0035,per0134-0036,per0134-0037,per0134-0038,per0134-0039,per0134-0040,per0134-0041,per0134-0042,per0134-0043,per0134-0044
169,2000-05-02 14:52:36+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
170,2000-05-03 15:03:12+00:00,161.67345081052434,146.91036694061725,136.5344325609571,128.72865566272046,125.2706254710968,125.97790151341623,124.94601829091238,126.224523386579,130.95287054869596,124.03089395755143,119.02837367195924,119.58605195282546,126.7067870323215,125.63257618401352,132.30099836341253,137.30164061132814,124.38898445221015,128.28940513893514,135.22367983718743,137.64472197175388,126.8852802631231,133.68467106357556,139.1662847590282,141.1500665340134,142.3818675006229,130.57101674930266,103.91261534493248,110.28600892094705,127.9672809437418,125.59583534573005,114.89445415846892,121.82601131733591,118.55864892852384,124.16459181024291,120.45281955262084,121.03472005261357,121.94967653399122,120.33320567208231,138.89588295431702,,,,,,
171,2000-05-11 14:46:40+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
172,2000-06-04 15:02:49+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
173,2000-07-14 14:47:57+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
174,2000-08-07 15:02:02+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
175,2000-08-15 14:48:35+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
176,2000-08-23 15:01:56+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
177,2000-08-31 14:48:56+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
178,2000-09-24 15:01:24+00:00,141.77530695299694,125.11418207031558,133.5404809342732,124.34238781746383,123.0176785215461,139.67290551860248,128.21782121576737,128.8500892644734,136.70467655084445,138.3146928167661,149.5822873275395,151.15064119848282,149.50637062427296,145.07350418261748,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
179,2000-10-10 15:01:17+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
180,2000-12-13 15:01:20+00:00,,,,,,,,,,,,,,,,,,,,,,,123.69468089701174,121.28369878282486,,,,,,,,,,,,,,,,,,,,,
181,2001-01-30 15:01:27+00:00,,155.43056717372696,,,,,,,,,114.70759259828455,,,,155.20478494899285,,,,177.21861991256227,148.732608453056,166.08999491295185,,,,,,,,,,,,,,,,,,,,,,,,
182,2001-02-15 15:01:22+00:00,146.09845103020746,128.52664445048748,124.10586764222367,126.78088990532424,130.67411508746162,127.85233959450393,139.8291682521992,136.2549580543867,136.60076520100398,135.99081769955924,140.4711095310639,139.72991350747068,141.68031567672932,135.05765866938026,134.45225240542683,131.5070400772232,136.55456254167143,141.58043437110675,139.79935995115292,145.28776486935325,145.8487868906789,145.5872689501079,151.66143250742454,148.8035470667888,141.0239805251697,151.2518041196745,145.09514063543702,139.3246601617084,130.31274818400357,131.96059251797277,138.37202583125054,130.85424799287276,132.4278772842061,133.49398057603088,125.1426289476234,114.51599940274163,112.06694985578096,116.87536356833634,117.60470872946257,120.25666128257757,115.31021226741328,108.73698379573464,74.03500270666329,,117.68292970682886
183,2001-02-22 15:07:30+00:00,173.85573795268408,158.70309385739574,156.05376859186376,158.65894752689115,153.24933273313636,167.2498048768993,159.43506792884622,163.16903357274052,158.65930261605362,165.2529020520966,164.765319503123,165.33786418027165,166.6276462808531,162.18426000098316,163.5108275596413,162.82483152506973,163.28994823887305,164.415814465433,169.450014704697,162.7249965147625,171.75147685972294,170.4457899896798,174.09610515197016,166.73802839286634,165.27167416733124,170.97368909870696,160.80634783592035,164.32979922730885,157.31326999547196,158.79362850775078,154.82472474729448,162.1245067904095,160.049048474337,151.78087406324502,154.0386839377265,153.82354441960348,147.6242037543415,143.27533174953982,144.98393791567358,141.48626987611925,150.01639378872443,131.25837674073944,,129.49025604681896,132.48811857954664
184,2001-03-11 14:51:03+00:00,153.3307359689734,139.92853746668982,136.04158566307092,138.56866378622635,147.6372917889218,146.1999585590618,146.22808712219708,142.17703815179883,152.87826262924037,155.78976786751466,148.27118794570137,145.67310808655063,142.08895604396946,155.86522683642931,151.97325311241767,149.28014549194666,153.5341339553658,152.6234338207996,141.50872700840065,157.99589019264354,152.0813673393028,157.75583054242048,157.35151695550462,160.20373568667185,161.47942169979675,154.12991547711746,153.33417397088007,149.71402389131427,149.68002717914368,145.45524607289917,132.86737991244377,144.89026197605114,131.23010253941771,138.00726589183608,145.3167686756622,123.25329143154384,129.1585477307712,117.04852527509807,122.04399355774133,126.53144059812333,130.76299137486586,108.30814649228857,73.79687450817056,,108.6125391747526
185,2001-03-19 15:01:09+00:00,,,,,,,,,,,,,,,,,147.812410164165,148.07481681834074,,,123.43574492007859,135.1230500952646,,,,,,,,,,,,,,,,,,,,,,,
186,2001-04-03 14:57:08+00:00,156.1583337257307,153.23973202041836,132.7232564638329,123.4387999138999,149.81609983760393,157.55648573338053,142.22068794336528,141.4112416912217,150.36257425949972,145.87842443123287,150.71411734151798,151.94713253757513,146.75554127955797,148.26871652841473,144.33036107526107,139.96337264259566,146.66144455242053,148.9635533775696,146.50416938484614,150.15237968536576,155.01453065120498,151.09338122818852,162.3820768438603,149.21406807759095,148.9126922164205,148.2701544486688,144.5782194564576,148.20610785929946,147.65891105780815,129.50142356680203,129.51852322842993,142.9562401334057,153.28280497356693,127.89627518446272,124.18678938260501,120.61962851113765,126.49377255659873,136.50488152143342,138.49153211073764,137.4481008309654,130.75544672127148,121.52201560099091,85.90392078202,,
187,2001-04-04 15:00:59+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
188,2001-04-20 15:01:03+00:00,,,,,,,,,,,165.76661509763719,137.66633088352813,,,101.32719319690459,,137.83468432653305,129.0354452359055,144.30038486119543,150.5271130537667,155.48509243543873,150.0459279176599,140.21146001964325,139.26496844772288,150.35367905575987,146.53681408392737,128.87045373856478,,111.64169779548499,101.16234842828887,124.54977451347125,142.87017035353614,131.87331902715584,,,,,,,,126.51493381787023,83.82209073375367,60.91548737947673,,106.72855389780769
189,2001-04-28 14:51:06+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
190,2001-05-06 15:00:59+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
