dates,satname,nzd0577-0000,nzd0577-0001,nzd0577-0002,nzd0577-0003,nzd0577-0004
2007-09-09 22:06:09+00:00,L5,224.72,227.21,231.21,222.69,224.50
2007-09-10 21:57:03+00:00,L7,217.68,222.36,226.90,,
2007-09-26 21:56:59+00:00,L7,216.87,217.86,226.14,210.68,209.69
2007-10-12 21:56:59+00:00,L7,,,,,
2007-10-19 22:02:51+00:00,L7,238.35,224.08,229.57,224.88,224.70
2007-10-28 21:57:10+00:00,L7,,,,,
2007-11-04 22:03:02+00:00,L7,221.08,222.75,228.40,213.35,219.08
2007-11-13 21:57:20+00:00,L7,,,,,215.01
2007-11-20 22:03:10+00:00,L7,233.44,224.55,230.90,217.98,215.17
2007-12-06 22:03:40+00:00,L7,214.51,212.19,217.22,207.46,208.10
2007-12-22 22:03:20+00:00,L7,205.85,209.38,211.12,206.00,202.06
2007-12-31 21:57:34+00:00,L7,,,228.66,223.18,224.96
2008-01-16 21:57:35+00:00,L7,235.43,230.56,234.31,,
2008-01-23 22:03:21+00:00,L7,210.52,209.08,210.18,206.45,202.62
2008-02-16 22:03:57+00:00,L5,225.84,218.43,227.21,217.38,221.51
2008-02-17 21:57:29+00:00,L7,219.88,221.09,224.15,215.64,227.42
2008-02-24 22:03:38+00:00,L7,215.75,209.51,215.00,210.40,
2008-02-25 21:57:37+00:00,L5,,,,,
2008-03-03 22:03:15+00:00,L5,221.50,218.95,226.32,214.60,215.31
2008-03-04 21:57:24+00:00,L7,218.73,215.29,223.95,209.23,218.76
2008-03-11 22:03:32+00:00,L7,225.31,218.10,222.60,213.23,213.22
2008-04-12 22:03:32+00:00,L7,331.48,225.99,237.43,,
2008-04-28 22:03:29+00:00,L7,,246.26,236.66,235.10,214.08
2008-05-07 21:57:16+00:00,L7,,,,,
2008-05-14 22:03:00+00:00,L7,240.83,230.84,235.21,229.80,227.99
2008-05-30 22:03:17+00:00,L7,251.62,233.55,240.35,228.97,226.35
2008-06-08 21:57:01+00:00,L7,336.02,234.51,239.78,,
2008-06-15 22:03:08+00:00,L7,336.43,229.72,,,
2008-07-01 22:02:34+00:00,L7,220.39,220.18,227.65,212.57,216.77
2008-07-17 22:02:22+00:00,L7,223.85,227.94,,,
2008-08-02 22:02:15+00:00,L7,214.42,202.83,206.83,201.44,202.15
2008-08-18 22:02:08+00:00,L7,226.94,219.00,225.36,213.60,211.53
2008-10-05 22:01:42+00:00,L7,,,230.83,224.37,221.39
2008-10-14 21:55:54+00:00,L7,,,,,215.17
2008-10-29 21:57:00+00:00,L5,217.23,219.28,226.64,219.37,216.35
2008-11-06 22:02:03+00:00,L7,,,,,229.91
2008-11-15 21:56:23+00:00,L7,217.17,215.22,224.61,,
2008-12-01 21:56:35+00:00,L7,215.65,201.05,,,
2008-12-09 21:51:18+00:00,L5,223.92,216.86,228.33,219.70,216.01
2008-12-16 21:57:17+00:00,L5,228.96,225.79,229.82,223.70,219.71
2008-12-24 22:02:35+00:00,L7,211.28,224.28,,,
2009-01-10 21:52:10+00:00,L5,214.67,218.30,215.73,210.76,204.59
2009-01-25 22:03:09+00:00,L7,206.91,208.78,211.70,207.83,
2009-01-26 21:52:36+00:00,L5,220.33,225.07,227.42,223.07,220.53
2009-02-02 21:58:34+00:00,L5,232.29,224.63,229.68,221.50,225.00
2009-02-10 22:02:52+00:00,L7,,,,,
2009-02-18 21:59:22+00:00,L5,228.62,224.79,224.99,219.09,223.49
2009-03-07 21:57:19+00:00,L7,,,,,
2009-03-14 22:03:33+00:00,L7,222.90,217.93,224.86,210.72,215.32
2009-03-23 21:57:26+00:00,L7,217.82,221.08,225.13,211.50,213.11
2009-04-08 21:57:32+00:00,L7,,,,,
2009-05-01 22:03:25+00:00,L7,230.51,225.61,228.38,220.19,221.77
2009-06-02 22:03:51+00:00,L7,249.99,231.13,237.18,230.39,227.00
2009-06-18 22:03:49+00:00,L7,248.30,240.17,,,
2009-07-20 22:03:42+00:00,L7,230.74,224.53,230.47,225.16,227.05
2009-08-05 22:03:37+00:00,L7,,,226.48,218.39,220.01
2009-08-30 21:57:24+00:00,L7,,,,,
2009-09-15 21:57:23+00:00,L7,,,,,
2009-10-24 22:03:18+00:00,L7,231.23,222.45,231.76,224.41,225.52
2009-11-02 21:57:40+00:00,L7,216.62,215.34,224.19,210.08,210.70
2009-11-18 21:57:53+00:00,L7,212.28,210.92,220.17,207.98,203.29
2009-11-25 22:03:45+00:00,L7,226.54,225.04,228.18,218.55,218.30
2009-12-04 21:58:04+00:00,L7,,,,,
2009-12-11 22:04:20+00:00,L7,221.00,226.57,,,
2009-12-20 21:58:19+00:00,L7,221.00,223.98,,,
2010-01-13 21:58:01+00:00,L5,215.07,217.22,222.30,213.38,212.43
2010-01-28 22:05:07+00:00,L7,,,210.58,202.33,203.36
2010-01-29 21:58:05+00:00,L5,213.20,210.74,218.06,212.13,203.24
2010-02-05 22:03:53+00:00,L5,339.24,229.04,232.30,222.94,219.09
2010-02-06 21:59:03+00:00,L7,334.93,225.64,,,
2010-02-13 22:05:18+00:00,L7,211.70,213.70,218.36,207.59,
2010-02-21 22:03:56+00:00,L5,360.51,226.31,226.50,222.02,221.34
2010-02-22 21:59:13+00:00,L7,,,,,
2010-04-02 22:05:13+00:00,L7,224.17,223.28,230.10,211.78,220.62
2010-04-18 22:05:13+00:00,L7,,,230.94,220.96,222.11
2010-05-04 22:05:11+00:00,L7,240.81,229.96,234.69,230.23,228.32
2010-06-14 21:59:22+00:00,L7,,,,,
2010-06-21 22:05:34+00:00,L7,344.58,238.86,240.28,233.67,229.49
2010-06-30 21:59:25+00:00,L7,,,,,
2010-07-07 22:05:37+00:00,L7,244.29,227.75,238.82,230.89,227.21
2010-07-23 22:05:14+00:00,L7,237.77,225.95,234.92,227.66,
2010-09-02 21:59:30+00:00,L7,331.27,224.07,228.36,220.00,223.26
2010-09-09 22:05:42+00:00,L7,,,,212.17,204.35
2010-09-25 22:05:17+00:00,L7,216.76,212.98,,,
2010-10-04 21:59:29+00:00,L7,221.68,223.48,226.02,219.66,210.23
2010-10-11 22:05:45+00:00,L7,226.20,220.06,226.71,211.12,216.89
2010-10-12 21:57:13+00:00,L5,338.95,228.47,237.31,218.18,214.97
2010-10-20 21:59:40+00:00,L7,210.80,209.55,213.72,206.94,205.52
2010-10-27 22:05:54+00:00,L7,,376.28,,,
2010-11-20 22:02:48+00:00,L5,206.46,212.54,215.28,208.59,203.25
2010-11-21 22:00:02+00:00,L7,196.39,202.23,205.20,194.99,203.93
2010-11-28 22:06:17+00:00,L7,237.05,231.32,,,
2010-12-14 22:06:25+00:00,L7,223.13,215.95,226.14,211.64,213.93
2010-12-30 22:06:10+00:00,L7,228.18,220.67,225.38,210.28,216.17
2010-12-31 21:57:08+00:00,L5,217.98,216.97,224.54,210.83,210.32
2011-01-07 22:02:56+00:00,L5,224.75,223.91,220.85,208.45,205.86
2011-01-08 22:00:28+00:00,L7,221.40,222.55,226.24,210.76,212.20
2011-01-15 22:06:42+00:00,L7,219.75,223.35,227.29,210.87,216.23
