dates,nzd0428-0000,nzd0428-0001,nzd0428-0002,nzd0428-0003,nzd0428-0004,nzd0428-0005,nzd0428-0006,nzd0428-0007,nzd0428-0008,nzd0428-0009,nzd0428-0010,nzd0428-0011,nzd0428-0012,nzd0428-0013,nzd0428-0014,nzd0428-0015,nzd0428-0016,nzd0428-0017,nzd0428-0018,nzd0428-0019,nzd0428-0020,nzd0428-0021,nzd0428-0022,nzd0428-0023,nzd0428-0024,nzd0428-0025,nzd0428-0026,nzd0428-0027,nzd0428-0028,nzd0428-0029,nzd0428-0030,satname
2003-11-24 21:58:27+00:00,366.42,348.67,358.12,353.53,368.22,372.66,389.31,386.44,381.89,390.10,402.96,395.13,378.57,362.06,362.42,351.99,341.82,343.04,343.04,332.56,325.66,328.42,317.74,320.23,319.91,310.00,308.23,314.06,328.60,324.41,304.18,L5
2003-12-02 22:08:38+00:00,363.13,352.52,354.90,346.70,343.81,358.16,,,368.63,364.75,386.42,390.80,374.82,366.01,351.66,341.45,333.01,334.14,328.68,323.10,314.45,,300.17,298.75,301.24,298.29,301.98,309.89,313.22,310.49,306.52,L7
2003-12-10 21:58:29+00:00,363.71,357.15,361.29,356.95,363.91,374.61,380.88,377.29,378.45,385.64,390.56,389.03,379.41,368.93,371.91,363.34,354.69,353.12,341.54,337.03,329.88,315.22,309.73,304.22,307.83,309.56,309.26,321.52,333.96,334.74,323.06,L5
2003-12-26 21:58:42+00:00,354.88,351.99,355.10,349.56,345.03,349.91,371.44,374.00,377.00,383.85,389.53,387.95,377.65,353.47,344.86,347.26,342.40,332.10,329.38,324.78,327.31,318.24,314.25,309.76,311.36,309.81,317.31,306.43,308.96,304.99,303.37,L5
2004-01-19 22:08:59+00:00,350.97,346.05,361.71,362.46,361.01,364.56,,,,382.22,385.22,380.92,376.99,357.63,352.58,352.49,334.45,331.36,319.82,325.21,321.36,,,,,,,314.67,321.35,325.73,314.37,L7
2004-01-27 21:58:50+00:00,369.69,368.63,367.96,360.04,372.82,371.91,378.37,374.35,377.65,379.50,391.60,392.15,385.63,369.77,363.46,361.53,358.10,345.26,335.11,331.82,335.14,321.04,324.92,322.65,323.05,323.91,329.58,326.03,322.42,313.41,314.18,L5
2004-02-04 22:09:05+00:00,349.30,348.60,362.56,359.05,353.43,,,,,,,,,,,,,,,,,,,,,,,,,,,L7
2004-03-23 22:09:16+00:00,370.11,359.14,357.59,350.58,344.78,,,,356.89,359.55,371.75,376.92,373.79,361.42,352.47,343.93,341.06,339.38,326.34,316.13,,,,,,,,,,,,L7
2004-04-08 22:09:12+00:00,381.83,368.66,374.13,354.92,351.95,360.73,372.29,371.26,375.38,376.30,371.33,370.39,367.92,,,353.48,347.00,341.56,336.12,,,,,,,,,,,,,L7
2004-04-24 22:09:07+00:00,,,,362.55,356.95,358.90,370.01,361.26,371.81,383.86,379.72,376.52,366.03,362.29,361.07,354.51,,,336.50,334.88,331.49,321.17,321.40,321.29,320.45,322.97,326.59,329.52,,,,L7
