dates,nzd0481-0000,nzd0481-0001,nzd0481-0002,nzd0481-0003,nzd0481-0004,nzd0481-0005,nzd0481-0006,nzd0481-0007,nzd0481-0008,satname
2009-06-18 22:04:37+00:00,302.75,337.99,345.32,348.13,352.37,365.69,369.13,369.49,380.99,L7
2009-07-20 22:04:54+00:00,320.19,336.25,,,345.48,354.87,360.73,360.11,371.91,L7
2009-08-05 22:04:48+00:00,322.46,350.99,356.77,354.97,366.97,364.29,377.62,384.83,388.91,L7
2009-08-28 22:10:33+00:00,,,,,,,,371.51,377.27,L7
2009-10-24 22:04:54+00:00,353.67,360.85,362.89,362.51,359.17,363.98,367.31,366.21,370.79,L7
2009-11-25 22:04:57+00:00,357.75,358.32,359.74,356.09,356.69,376.13,369.06,370.55,378.98,L7
2009-12-02 22:11:12+00:00,345.98,353.92,357.60,,,,,,,L7
2010-01-28 22:06:19+00:00,342.59,353.54,348.59,342.75,361.23,363.22,366.93,374.29,381.25,L7
2010-02-05 22:05:29+00:00,349.36,360.20,362.19,356.98,350.47,358.96,365.78,370.13,375.20,L5
2010-02-12 22:11:17+00:00,341.48,348.47,346.57,337.59,340.39,358.46,,,,L5
2010-05-04 22:06:46+00:00,321.00,348.86,355.22,344.59,346.50,357.34,363.75,369.47,375.17,L7
2010-06-12 22:12:31+00:00,,343.01,349.23,350.42,360.01,359.80,369.06,365.23,377.26,L7
2010-07-23 22:06:50+00:00,,352.12,354.27,349.12,,,367.96,367.79,378.87,L7
2010-08-08 22:06:24+00:00,,,,,333.91,,,,,L7
2010-08-31 22:12:39+00:00,326.15,350.99,347.15,,,,,,,L7
2010-09-25 22:06:29+00:00,343.85,351.68,355.70,347.26,347.47,,,362.87,,L7
2010-10-02 22:12:37+00:00,,,,,,,366.71,371.17,373.97,L7
2010-10-11 22:06:33+00:00,341.89,353.53,,,,361.34,363.78,364.27,373.98,L7
2010-11-03 22:12:56+00:00,338.87,349.53,351.31,344.49,,,,,,L7
2010-12-14 22:07:37+00:00,353.27,356.78,362.11,357.50,360.46,355.84,361.40,365.86,374.50,L7
2010-12-21 22:13:27+00:00,348.50,351.71,350.98,342.20,,,,,,L7
2010-12-22 22:04:05+00:00,335.66,339.06,343.53,348.94,357.07,359.44,367.43,372.68,377.77,L5
2011-01-07 22:04:32+00:00,342.85,350.62,352.81,344.87,347.83,345.58,360.51,375.26,385.68,L5
2011-01-15 22:07:54+00:00,346.96,349.16,,,346.09,359.35,357.09,365.79,373.93,L7
2011-01-31 22:07:36+00:00,349.06,347.55,354.38,348.16,349.36,361.96,363.95,365.89,373.50,L7
2011-02-08 22:04:11+00:00,351.97,349.95,353.20,348.51,350.17,359.38,362.53,363.68,377.17,L5
2011-02-15 22:10:22+00:00,345.21,336.38,331.67,323.90,319.23,336.47,344.36,353.91,359.65,L5
2011-02-16 22:08:03+00:00,352.01,354.90,358.31,346.59,347.35,357.64,358.21,363.91,372.04,L7
2011-03-03 22:10:20+00:00,338.41,343.20,341.29,337.52,348.54,349.15,356.32,359.88,362.18,L5
2011-03-12 22:04:31+00:00,345.11,347.25,353.36,348.40,348.16,357.02,363.15,365.11,375.57,L5
2011-03-28 22:04:02+00:00,337.42,350.95,358.20,353.03,349.94,359.94,362.42,363.36,374.24,L5
2011-04-05 22:07:50+00:00,333.62,339.89,343.91,336.98,,,,365.26,379.43,L7
2011-04-12 22:14:00+00:00,,,,,,,366.72,366.52,375.43,L7
2011-04-28 22:14:00+00:00,,,,,352.68,350.33,359.77,355.59,363.67,L7
2011-05-23 22:08:11+00:00,,,,,346.02,356.98,359.80,362.70,369.23,L7
2011-05-30 22:13:59+00:00,,,,,,,,358.28,368.20,L7
2011-06-08 22:08:12+00:00,310.58,359.09,368.67,365.18,364.55,375.22,373.27,,,L7
2011-06-15 22:13:58+00:00,281.88,,345.94,336.67,343.46,351.08,354.75,,,L7
2011-07-01 22:13:54+00:00,,,331.18,329.89,343.99,352.02,354.99,355.53,373.04,L7
2011-07-10 22:07:44+00:00,306.06,345.23,356.92,354.39,353.09,,,370.83,372.30,L7
2011-07-17 22:13:54+00:00,,,,,,360.05,366.33,364.13,376.60,L7
2011-07-26 22:07:41+00:00,308.17,350.32,357.15,355.48,357.68,366.65,365.48,,,L7
2011-08-02 22:13:50+00:00,,,,354.69,354.85,355.73,355.25,351.25,361.21,L7
2011-08-11 22:08:01+00:00,329.29,348.81,347.99,344.42,349.43,365.38,361.69,366.99,391.26,L7
2011-08-27 22:07:59+00:00,339.40,358.19,364.53,363.48,364.82,367.49,368.41,365.21,371.60,L7
2011-11-06 22:13:51+00:00,,,,,337.95,347.69,349.57,350.84,363.39,L7
2011-11-15 22:08:10+00:00,350.41,358.91,356.56,352.78,355.06,354.33,361.52,,,L7
2011-12-24 22:14:19+00:00,346.12,353.63,,,,,,,,L7
2012-01-02 22:08:37+00:00,354.50,360.88,356.87,353.19,347.36,370.13,366.50,369.33,378.38,L7
2012-02-19 22:08:20+00:00,355.01,361.31,356.15,352.51,349.87,365.63,367.44,368.86,,L7
2012-03-13 22:14:29+00:00,340.09,363.21,360.96,359.23,358.54,,,,,L7
2012-04-23 22:08:28+00:00,,354.90,358.92,349.55,357.60,362.95,376.22,372.80,,L7
2012-08-29 22:09:28+00:00,344.13,351.94,355.81,351.07,,370.39,373.83,374.92,383.33,L7
2012-09-21 22:15:53+00:00,344.00,348.76,349.39,347.20,343.43,362.08,364.91,367.01,,L7
2012-11-08 22:16:15+00:00,349.32,356.80,360.38,,,,,,,L7
2012-11-24 22:16:23+00:00,,,,,,,360.35,361.30,365.73,L7
2012-12-10 22:16:25+00:00,349.04,351.46,354.08,351.23,353.03,369.96,,,,L7
2012-12-19 22:10:19+00:00,347.56,356.17,361.48,359.01,352.30,357.28,361.84,354.52,365.27,L7
2013-01-04 22:10:46+00:00,352.49,358.54,361.78,356.16,355.75,359.45,358.11,353.53,364.61,L7
2013-02-21 22:10:46+00:00,351.23,359.43,358.05,349.01,346.21,359.77,362.39,363.93,371.99,L7
2013-02-28 22:16:31+00:00,,,,,,351.36,356.23,359.79,367.46,L7
2013-04-01 22:16:26+00:00,336.04,347.96,354.31,343.17,,,,,,L7
2013-04-17 22:16:21+00:00,330.89,350.05,354.86,346.81,348.53,351.85,359.33,,,L7
2013-04-18 22:16:01+00:00,328.62,335.70,336.38,334.02,333.99,,,,,L8
2013-05-03 22:16:17+00:00,338.33,350.03,,,,,,,,L7
2013-05-11 22:22:18+00:00,317.39,337.06,338.32,330.84,342.61,355.26,350.02,352.07,364.81,L8
2013-05-19 22:16:15+00:00,316.96,342.62,350.44,340.16,349.08,356.71,350.70,350.33,365.29,L7
2013-05-27 22:22:26+00:00,,337.71,346.26,335.61,344.45,359.01,359.82,358.40,370.90,L8
2013-06-04 22:16:04+00:00,299.63,352.59,356.50,355.72,357.92,366.56,,,,L7
2013-06-05 22:16:15+00:00,,338.93,347.84,341.80,347.85,350.56,,,,L8
