dates,satname,nzd0011-0000,nzd0011-0001,nzd0011-0002,nzd0011-0003,nzd0011-0004,nzd0011-0005,nzd0011-0006,nzd0011-0007,nzd0011-0008,nzd0011-0009,nzd0011-0010,nzd0011-0011,nzd0011-0012,nzd0011-0013,nzd0011-0014,nzd0011-0015,nzd0011-0016,nzd0011-0017,nzd0011-0018,nzd0011-0019,nzd0011-0020,nzd0011-0021,nzd0011-0022,nzd0011-0023,nzd0011-0024,nzd0011-0025,nzd0011-0026,nzd0011-0027,nzd0011-0028,nzd0011-0029,nzd0011-0030,nzd0011-0031,nzd0011-0032,nzd0011-0033,nzd0011-0034,nzd0011-0035,nzd0011-0036,nzd0011-0037,nzd0011-0038,nzd0011-0039,nzd0011-0040,nzd0011-0041,nzd0011-0042,nzd0011-0043,nzd0011-0044,nzd0011-0045,nzd0011-0046,nzd0011-0047,nzd0011-0048,nzd0011-0049,nzd0011-0050,nzd0011-0051,nzd0011-0052,nzd0011-0053,nzd0011-0054,nzd0011-0055,nzd0011-0056,nzd0011-0057,nzd0011-0058,nzd0011-0059,nzd0011-0060,nzd0011-0061,nzd0011-0062,nzd0011-0063,nzd0011-0064,nzd0011-0065,nzd0011-0066,nzd0011-0067,nzd0011-0068,nzd0011-0069,nzd0011-0070,nzd0011-0071,nzd0011-0072,nzd0011-0073,nzd0011-0074,nzd0011-0075,nzd0011-0076,nzd0011-0077,nzd0011-0078,nzd0011-0079,nzd0011-0080,nzd0011-0081,nzd0011-0082,nzd0011-0083,nzd0011-0084,nzd0011-0085,nzd0011-0086,nzd0011-0087,nzd0011-0088,nzd0011-0089,nzd0011-0090,nzd0011-0091,nzd0011-0092,nzd0011-0093,nzd0011-0094,nzd0011-0095
2002-11-13 22:05:30+00:00,L7,425.48,426.55,430.83,424.04,435.73,431.49,435.26,435.65,442.69,437.75,437.72,430.41,431.72,,410.44,425.70,426.68,419.35,417.33,413.37,416.87,413.97,408.84,423.23,413.96,414.93,407.94,406.88,411.64,403.19,396.67,399.76,402.58,397.40,402.06,405.08,,393.35,400.04,389.73,393.54,391.99,385.11,402.12,384.35,375.43,392.10,398.43,390.34,360.98,382.99,383.82,378.08,389.17,389.45,391.41,394.52,400.51,405.80,,,,,,,,,,,,,,,,,,400.63,415.05,419.45,416.65,409.97,405.23,411.72,,413.37,426.94,429.77,419.47,411.08,418.68,430.50,420.02,384.28,392.32,392.31,412.47
2003-01-16 22:06:02+00:00,L7,419.25,417.48,416.34,402.56,411.05,410.48,426.08,425.85,427.93,424.45,431.47,419.98,419.66,406.01,403.94,417.40,417.67,407.78,408.14,407.41,407.22,405.50,404.68,409.12,404.70,406.02,396.09,393.77,397.63,390.89,389.48,392.52,390.54,387.98,389.84,392.50,383.68,391.23,398.20,392.90,385.92,381.48,384.93,399.93,388.96,377.85,382.26,380.41,370.25,355.80,365.96,366.39,369.74,379.08,382.21,390.29,396.10,405.09,400.43,399.40,400.78,402.69,400.94,404.12,404.35,400.40,398.07,391.90,388.00,383.39,382.78,387.95,394.80,403.40,397.86,398.21,401.01,398.51,402.16,405.14,404.58,406.93,401.06,380.92,388.26,393.96,400.25,404.19,412.84,420.92,422.17,417.81,388.11,382.27,380.31,409.98
2003-08-28 22:05:57+00:00,L7,381.28,385.30,375.30,363.00,383.23,379.48,387.55,374.86,383.37,370.99,374.35,377.33,393.42,370.91,353.97,374.62,386.45,373.56,364.16,364.66,363.04,345.76,348.89,359.33,340.24,348.85,353.68,352.74,358.33,346.78,354.02,357.85,366.49,352.22,361.44,345.77,325.36,338.21,345.44,346.01,351.74,332.87,319.05,344.77,319.27,325.24,,,,,,,,,,363.39,377.31,395.18,402.81,354.81,354.09,358.53,358.02,362.73,362.46,366.35,369.56,374.10,386.61,,,,,,,353.59,368.61,369.61,,,,,360.83,344.32,324.23,347.25,357.39,361.79,365.07,359.71,,363.28,314.85,329.97,319.45,352.79
2003-11-16 22:06:11+00:00,L7,446.67,449.24,455.94,443.19,451.15,445.16,444.75,440.45,447.22,449.31,453.49,452.63,457.66,445.26,424.13,426.26,424.23,425.23,432.50,427.29,429.93,421.31,421.02,420.58,417.72,420.33,423.45,424.01,423.96,419.64,414.81,421.82,424.12,417.64,416.88,415.90,390.49,418.25,413.89,409.40,413.78,401.63,395.41,404.69,396.11,387.91,400.58,404.24,391.49,391.17,405.34,393.13,393.70,399.52,395.83,402.66,405.09,404.70,411.33,421.40,422.58,422.67,422.81,417.44,415.35,416.73,414.52,418.92,418.84,413.55,418.08,417.22,417.21,417.05,411.73,409.41,411.00,417.82,415.02,411.50,408.56,405.83,403.39,400.66,424.73,437.63,442.35,439.25,432.63,427.10,426.80,436.94,395.08,399.40,393.26,410.96
2003-12-26 21:56:18+00:00,L5,400.99,398.58,401.30,399.28,404.41,407.40,410.27,421.40,420.41,417.27,413.59,412.03,422.57,412.96,403.16,403.08,400.03,389.64,386.71,383.25,385.66,372.52,375.84,382.42,390.40,391.18,391.98,395.70,395.13,390.64,382.40,384.31,382.40,372.71,373.02,365.43,347.58,359.53,359.24,362.02,366.39,371.51,372.51,376.09,372.81,365.18,370.04,374.39,372.20,366.21,363.42,356.74,361.94,364.53,362.78,365.91,359.60,358.62,368.36,381.31,385.38,391.59,394.20,394.36,389.69,389.45,396.52,399.01,389.83,387.01,386.33,387.00,382.07,377.07,370.74,371.99,386.28,395.34,391.13,396.61,396.26,394.31,384.49,369.75,389.16,397.61,402.76,405.65,404.58,404.46,401.05,391.62,356.85,357.21,361.48,374.83
2004-01-19 22:06:35+00:00,L7,423.16,428.58,420.00,416.74,419.38,417.37,418.36,415.83,424.05,420.23,423.13,420.49,428.11,416.10,409.03,417.95,424.31,415.41,407.51,406.80,399.46,393.48,393.51,399.19,399.88,399.51,393.33,401.38,403.60,395.57,389.88,392.29,385.27,378.08,384.45,380.31,352.07,374.71,375.84,379.96,377.32,371.02,373.10,390.25,379.18,373.26,377.40,379.07,369.17,363.96,378.38,371.46,374.76,386.80,388.56,382.02,382.59,376.46,371.94,376.76,386.52,390.18,390.59,393.43,399.81,406.88,400.69,399.20,396.30,394.46,393.16,398.66,398.78,390.11,388.50,386.60,389.71,393.50,395.69,394.50,397.59,394.85,395.20,369.88,378.73,396.55,411.06,421.08,418.10,419.73,417.82,411.74,376.85,378.55,374.27,392.30
2004-02-04 22:06:41+00:00,L7,408.62,414.90,406.26,397.74,413.84,408.66,413.70,407.97,419.93,410.19,413.50,413.49,418.95,400.52,390.55,403.49,409.29,391.96,385.54,383.84,384.12,377.28,372.40,376.64,386.50,387.73,375.74,387.11,397.11,388.76,379.93,379.25,382.87,374.00,383.24,374.83,347.87,368.75,371.33,375.19,369.20,368.67,357.65,375.57,370.16,351.70,371.61,375.99,353.64,343.86,365.06,351.61,352.12,363.25,367.58,378.10,366.75,364.01,371.22,370.33,383.13,384.48,387.55,385.48,388.87,393.96,398.19,402.07,401.01,396.67,398.04,400.13,398.90,382.36,373.42,378.35,384.95,391.59,395.39,394.62,396.23,393.33,384.16,354.78,378.97,401.76,406.13,410.23,411.15,411.25,413.19,401.55,371.64,361.29,364.12,380.02
2004-03-23 22:06:52+00:00,L7,383.23,390.82,385.13,365.33,393.52,385.29,384.14,384.91,399.02,383.35,378.89,380.18,392.31,349.76,347.98,378.64,370.56,364.98,357.72,363.58,366.95,354.94,344.72,363.51,346.91,352.46,360.36,371.31,374.78,359.77,351.78,360.13,365.12,355.56,357.84,349.95,,,342.12,350.40,350.58,314.76,298.00,339.17,316.54,315.44,340.41,352.05,332.33,312.42,343.65,331.01,328.83,342.72,341.38,356.10,348.00,343.49,354.42,350.77,343.69,365.36,367.28,364.28,371.28,366.39,369.76,375.47,373.97,372.19,369.13,372.05,370.34,360.71,341.73,345.64,353.34,356.52,372.05,375.52,370.15,367.49,345.40,318.04,345.69,368.50,380.30,383.06,390.34,390.89,389.71,385.78,336.61,344.52,348.36,371.71
2004-05-18 21:58:14+00:00,L5,433.88,433.49,424.25,418.32,430.92,423.40,432.34,435.28,437.56,427.24,424.22,427.73,431.88,417.18,411.60,425.36,434.66,425.26,415.50,412.92,415.67,409.41,407.04,413.12,400.24,397.99,398.55,401.21,403.58,396.00,389.51,394.96,398.07,401.12,409.81,406.37,386.35,390.19,391.72,392.79,396.46,382.51,362.75,384.78,,368.89,388.04,389.59,374.66,363.31,382.99,384.89,382.20,389.29,385.72,396.56,390.41,391.80,397.15,397.82,399.10,401.37,402.46,403.34,400.79,401.89,401.81,409.28,412.68,418.19,415.18,415.08,410.08,407.50,400.64,403.13,408.93,417.66,420.58,418.06,415.27,411.37,400.65,367.89,394.28,408.21,420.61,424.64,422.33,419.83,417.55,417.88,376.19,370.28,372.74,387.75
2004-05-26 22:06:45+00:00,L7,470.64,459.58,470.18,462.08,470.63,470.74,475.59,467.90,468.95,480.72,475.66,485.26,495.81,490.81,470.30,478.37,479.10,466.43,461.78,457.52,465.53,455.17,446.20,440.33,440.74,429.38,434.33,432.21,432.34,432.98,432.59,434.87,449.87,451.41,440.74,441.27,422.83,441.08,427.47,439.06,438.89,421.24,419.77,429.37,415.52,416.33,427.33,432.28,427.44,414.28,422.79,412.69,414.43,419.48,415.00,418.48,426.89,433.50,441.27,436.20,442.00,439.93,441.31,435.23,448.11,460.05,461.26,462.56,475.82,477.19,486.08,458.93,467.64,464.71,467.60,468.87,471.13,475.91,470.18,468.43,459.53,460.91,452.01,424.19,477.46,477.72,478.41,458.24,458.32,454.24,463.10,474.93,,422.09,410.92,433.62
