,dates,per0156-0000,per0156-0001,per0156-0002,per0156-0003,per0156-0004,per0156-0005,per0156-0006,per0156-0007,per0156-0008,per0156-0009,per0156-0010,per0156-0011,per0156-0012,per0156-0013,per0156-0014,per0156-0015,per0156-0016,per0156-0017,per0156-0018,per0156-0019,per0156-0020,per0156-0021,per0156-0022,per0156-0023,per0156-0024,per0156-0025,per0156-0026,per0156-0027,per0156-0028,per0156-0029,per0156-0030,per0156-0031,per0156-0032,per0156-0033,per0156-0034,per0156-0035,per0156-0036,per0156-0037,per0156-0038,per0156-0039,per0156-0040,per0156-0041,per0156-0042,per0156-0043,per0156-0044,per0156-0045,per0156-0046,per0156-0047,per0156-0048,per0156-0049,per0156-0050,per0156-0051,per0156-0052,per0156-0053,per0156-0054,per0156-0055,per0156-0056,per0156-0057,per0156-0058,per0156-0059,per0156-0060,per0156-0061,per0156-0062,per0156-0063,per0156-0064,per0156-0065,per0156-0066,per0156-0067,per0156-0068,per0156-0069,per0156-0070,per0156-0071,per0156-0072,per0156-0073,per0156-0074,per0156-0075,per0156-0076,per0156-0077,per0156-0078,per0156-0079,per0156-0080,per0156-0081,per0156-0082,per0156-0083,per0156-0084,per0156-0085,per0156-0086,per0156-0087,per0156-0088,per0156-0089,per0156-0090,per0156-0091,per0156-0092,per0156-0093,per0156-0094,per0156-0095,per0156-0096,per0156-0097,per0156-0098,per0156-0099,per0156-0100,per0156-0101,per0156-0102,per0156-0103,per0156-0104,per0156-0105,per0156-0106,per0156-0107,per0156-0108,per0156-0109
10,1986-10-28 14:30:05+00:00,32.021964588352745,57.97782409045779,53.540304236366985,74.60548192509563,81.2386344597444,70.14951510184609,72.87440153406027,92.79413978824425,84.95976397312948,103.25713643298457,99.47204898835875,110.49793536311117,112.40558592418469,115.69699096817064,130.51090447478072,,131.78161124760618,133.86294196658284,123.06308368395943,127.88696360265814,136.82705060608828,143.44992847685967,156.53616552353878,139.17278476043998,122.44266178569063,123.3663251981991,129.06111905813796,127.51879116266164,110.8990620797182,110.99074675285995,98.93368273881005,118.3783351911027,117.40584555486704,99.0167155956652,123.68189732449132,110.86986680271015,96.01859348900467,114.65027195121836,100.09002431328156,121.03859564997674,113.6205931183724,125.97350504636415,126.79961987959803,123.1251656502757,127.44979196052752,131.3165260119544,142.4784870535626,145.1541886226171,145.59036327352715,128.82279419037187,124.32510201625139,142.1124455361086,143.82817217381265,150.87780551731436,139.99059229649833,136.57487296755636,153.51146953842448,158.7718917145949,137.8697736076012,157.5161554460059,142.15339266714824,158.6416869089042,133.71669237494723,146.82641367200193,150.3865053847163,140.67871322008915,144.81573297372802,146.39574225279765,151.06149691392957,160.3879463064875,163.06262952102628,164.1328298118589,162.26256266439148,159.66221397111445,167.64805313641008,161.54182717103774,159.35888574291323,164.31798947431386,166.77665289736822,162.39372988020756,161.60795272735047,165.44529994620672,169.982963479855,165.9804039466323,160.7842132063521,173.09100949592948,172.45660087812044,169.38128523743458,171.963898439027,174.82810373184157,170.94836656243265,168.49545768701128,168.4289273172513,171.91506627544888,172.7721171490561,172.26847099987944,176.36244735907619,177.27723523930345,173.67201676135736,172.7742735419306,174.73667409750536,171.03160418857766,172.49338679286333,168.0912763175235,162.98489740857067,161.6357839218804,160.52465298761336,,,141.3006035108284
11,1986-12-15 14:29:44+00:00,,,48.79035409855933,,,,,,129.75935362705147,108.43873905845552,104.2891518091491,89.01127455497138,84.68826423019495,108.65991956301151,,142.58039480387103,118.81885099044649,,148.14901307409218,127.55217580025251,155.46409207610182,152.15467281370076,166.8121815942624,168.65984987931637,159.93148974239705,153.57025178173384,123.85496037961396,144.60085510148,148.58536990063095,134.9650830942091,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,198.46535320943596,,,,,198.39707264542966,,,,,198.03179531261284,198.8213869401711,188.74894479457012,,,,,,182.81345607914554,173.45585753567326,159.04208387632414,175.60151112853313,161.9082924821433,155.17634997117568,148.44168798594944
12,1986-12-31 14:30:37+00:00,,,,,,,,,,,,,,,,,,,155.5807543008627,149.9481642855371,166.19931072044307,173.55873381282652,160.000194642299,154.8647495065022,147.43133961140612,135.71771068945398,133.99163987915423,115.03297756016443,124.54133793896607,124.21834330616034,120.04579925124746,111.94607213887863,94.18242738778224,97.65656091827267,100.03726304041903,98.23652754439357,94.40075015191569,76.33123394532988,80.41614528022788,82.82949116269813,69.73148246340106,,96.11277164346741,113.71302765448235,,,,109.73187808349248,,120.41508332588745,126.83731829317178,125.82597584421235,113.27822337083772,,,,,,119.63283295847867,,109.92977523339357,122.43097132762797,119.98967803502072,,,,111.62005160180627,,,,,,,144.07915006640044,156.6454378161482,154.48713443100095,160.1041136410087,159.45529016539425,164.88011445329224,164.6434292452608,161.91240198532847,163.74432618842678,166.3938899825002,158.91918072512576,156.25530962909505,162.51052620909576,164.73025128107884,164.93254628901582,162.88140382138198,168.1129278450539,165.43988951808933,165.7751090542521,163.01759129058766,166.72617497536254,159.82060333794158,165.63307988086495,169.3612426384439,171.34039545107586,166.796895358636,168.06411847374906,163.06268200122793,161.74005183413854,162.67026374601056,161.46859376402602,158.58898834282593,154.57349730036125,151.76347374409676,141.12315729944757,134.04945903685507,120.72673997886882
13,1987-03-05 14:32:51+00:00,58.83003584503605,68.30684506340262,70.46020411950693,75.33237508821918,82.66052795133947,101.0663922063035,107.1328105364478,104.34183498405193,115.71111027171294,120.55180098486117,131.1626999596051,133.05554609726124,134.47434204996495,144.49073205858303,148.68020404610914,147.84209010040922,146.80669971658057,150.04145721805668,154.3714908837906,164.41233632884007,160.05211106690166,160.306940571487,160.58399628556916,153.7235931371253,145.2909277698527,146.69304777508188,145.23108575912136,146.51395337650038,138.84126539851374,127.00114625321189,133.2206182513765,129.34066931709168,118.378496757591,119.55581160099173,121.19679915552132,118.18869456305906,125.16725086065702,124.94783950198594,126.87921789924826,132.02999979424996,136.76388389077653,137.37292042638606,141.58202834537096,150.40166758932517,149.61673999855864,150.5727241179729,162.39467123788717,164.59776613592913,163.37810116255022,161.03450537519484,165.18786250525358,156.73170844883532,165.64235285855108,162.42347921005643,165.9681832848237,157.39924755365755,159.49120715402032,167.01205854632101,167.31747158820028,156.79174715540094,160.04295944761506,158.17217840824512,157.88841119722588,163.81830281687846,161.35849847295242,160.64811042361106,162.5491525749807,166.29778177703872,162.86972443720484,165.27364347003063,158.46908038434435,165.34762859336072,163.88078293766088,173.74797432413814,173.65473693037305,170.69769451299862,171.84749614185372,172.91275800009888,177.13074516030093,176.15603616381046,176.20677846718854,173.9760210325856,175.66658960941888,175.52723329628162,181.36169503210164,178.85051245533032,178.15853800781312,177.8585854525693,176.32453986113342,181.20877920882887,175.6585470422621,177.29301326260426,178.606653370658,175.597374651879,176.26746017040594,176.7815245139149,171.7363640120836,180.4575244810783,180.97253957324563,179.51762605715123,175.9981153928296,173.90087695550247,172.5946726177218,165.42733390197353,163.87017135313158,165.97266053181633,163.50564415926513,149.0770850820101,142.24306308528554,136.49256497172811
14,1987-04-06 14:33:59+00:00,73.52468389227124,68.81948218974526,69.81651672581904,78.57695436434156,83.36193285142492,89.16218446963562,101.80628052511454,100.94461870228768,104.74955568681898,114.85831880942936,120.05880755293451,130.52718884354687,130.34714697017301,135.64028402576807,136.27400276494998,142.18717661945047,151.66844831943394,145.14031966175133,155.77026598762546,151.1820985298146,164.77301079206288,162.5129148106368,152.99388185687303,155.5610486724606,144.08718206443564,142.16413394024838,136.40592131615335,134.54231120196485,132.08946750953152,133.34749670158232,121.24370158446494,129.88128263707517,123.59146925386587,122.99343105277921,114.98620135132096,121.75967444599058,117.84840021584408,113.71192194176776,116.70193485631265,119.61939743901142,125.52102274130925,129.64017298370385,139.67130969726796,135.75302408477594,146.5863247992744,145.10809624462078,146.18915522400158,150.99721707995585,157.89965979391695,156.88707331030625,158.2698860511465,162.01437405533056,158.63408083981508,160.42083683592324,157.4498543040278,159.5510649354043,161.72055337513206,157.0551687088532,155.74557375628834,157.37901610311684,152.15842647319118,152.37985491377813,162.1677062866775,160.82463023837167,163.53653716294139,156.0999495233385,154.80063670293825,161.94835193877338,164.67609140419046,163.94746256096576,167.62898658935154,159.88464451263792,164.95199082281525,162.61261575320646,163.88551461239433,161.55176365229156,164.64155893309749,170.83081057854315,164.66671224319344,169.6274117862687,166.25332478656054,173.05251553222092,172.58748043050173,171.70463528673267,166.81052058893795,167.49323142471897,169.18109025720432,181.44994919982906,174.72308513655054,178.83962856902906,177.48244935951143,175.28391843598243,175.7060505805358,176.93591137431454,178.63997971095498,173.59835165256797,177.43194160644455,173.6842466250041,177.50769958010142,175.94982206960267,180.21277593443537,177.68178515321674,172.13248223603748,171.4131640304684,167.70850763045948,164.7704090072203,165.41148013805415,159.32485099874043,148.85159572561793,138.08794777336195
15,1987-05-24 14:35:24+00:00,49.91625068331687,45.81638155407574,73.49097746187805,67.8820566133144,58.792989999512265,55.810795611700996,75.69795336727734,95.89187430312343,98.4270402120222,101.42615194259474,96.24777082823685,125.29997276579559,128.73924768525015,126.34618316376145,126.94412188194627,116.03358819104142,119.44255182573788,139.08588496561376,132.58384241230266,139.31448790195543,137.81895351741287,147.60955141988336,159.100348909322,144.21610117665188,144.683996717629,143.71758647137247,109.23604573307091,111.9559284059852,138.01619771363548,128.99655456741732,120.6680771465929,123.40300244713285,113.35216352640336,102.84342054999928,104.58246487250317,110.55048541473582,110.98012164197628,100.52185552164825,105.57182314244724,108.74895296543187,122.90556338552506,121.36936952853031,134.27874754203754,136.1143417705865,136.8437147116925,140.64257143663465,126.0580778938639,146.18674626143945,137.06098569516521,152.11475669154729,144.41731580448914,153.35637161109392,151.2746509301743,149.39504949288593,147.65102667726958,147.6078221915262,146.04336390952213,139.12469854017334,150.67900830447493,153.09379176733333,152.41482428923268,154.91267967306442,152.05903238584037,144.92706649541097,154.6611849193263,154.76688179036768,145.91719229850185,157.61516857650375,149.90557355105898,151.35372665618362,159.26597261822968,157.4183134738687,162.32849815206347,154.32187954829152,156.49177323992956,154.689951071232,162.06955393963682,165.33940640229852,160.37955040464212,171.8745543984001,166.06587407898112,177.95110202487163,176.38462357518554,166.60114475942885,172.35602311269272,172.8539629243888,170.7511431445289,166.02864109906352,174.11011384370477,167.48941986971485,172.9326023827939,169.29770478005932,169.8277260744417,170.70465012575139,173.20548595102824,170.98011853409122,178.78387473868335,178.73378442681815,176.4876158471693,172.11453110201666,178.25910601035633,173.41224841095044,170.8619939983765,175.75026660270592,169.72581129131896,173.37612361221093,163.69539165242793,162.933939330834,150.06416687423558,141.06947100203527
16,1987-06-09 14:35:23+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,1987-12-18 14:39:56+00:00,58.185331289102585,44.15832504815762,,40.06119279772463,63.55675016333883,73.57414777256272,70.86869207971861,83.80851618842212,92.86854387676186,95.80353566693451,81.57001790004517,91.02548435412952,108.64480829749637,116.71602348553672,122.5561545822271,125.82274083036117,123.31399979176541,119.4189041624322,108.31738218368733,116.12386561283387,124.76107815043463,139.07236449120606,136.91607022866987,126.73242769394616,134.53918276373858,128.470862530985,129.5280932984112,115.31474204533299,102.17261820250326,111.23045545626141,109.52922379106307,112.80022151822918,115.83877898794294,99.58280104237875,92.92132226815254,85.80646488108911,77.82111876445632,94.34505489860018,99.46908895301004,104.44040283939972,109.36843680779756,103.64810755490272,110.34997979645388,131.5123307397906,139.9318046993752,139.19627697073042,136.27323626835164,131.39527562407676,131.53998891026515,130.4767825554407,120.97858197650035,133.9747045022403,141.2476160732353,137.76509781643793,146.1501481915866,141.5745416353507,129.1164802876797,137.25412954777383,140.18938453491674,149.10207586655702,155.03416040210112,157.96849121485272,151.36262837479094,145.1203716322418,149.99865575507894,151.0466912655731,143.67613088477208,151.27455340977687,155.4333438263095,153.62457920841916,154.77165917351337,155.02089663881694,151.82311411272542,154.8845519583303,158.38674976397192,151.6241829274007,159.44440159461303,153.8493741729101,157.91980956133185,155.51674833150852,161.31400284040797,167.21413828203455,161.27198846959655,154.6524005806157,155.66609246289653,164.52769670344554,158.16163651633374,163.80230388930914,162.15511826764458,163.50414539609145,164.24657274152838,165.66588474072458,161.22205401004686,160.63202970095708,154.79808985844667,155.23406502602828,159.60210285628716,162.28882573586912,165.6777417795248,170.28492269103282,168.95166435439182,163.41369524465304,159.757613458776,158.06115967647983,157.7070599600558,153.67613317271707,153.3981290555755,146.7493085067927,138.01020894493922,123.31837218793368
18,1988-01-03 14:39:48+00:00,69.5364770208554,76.33252254359863,62.408500361268594,61.79021373142153,,,95.31353724859277,100.0776292945725,117.77868046402588,112.76717388312585,93.95355176133715,87.84778402065876,118.74610810327327,125.42548741118165,139.1658942631112,132.06219504878248,142.73487900849264,117.98750077103588,142.37581112482934,123.9076547841375,122.22662815636438,143.2110575420433,151.5027642481378,152.12427867314287,121.01371897736368,139.45699861458837,138.8359720533463,139.54386032881217,117.25444420366222,111.63334308381839,115.68766208599467,133.70724713685186,121.66731051981165,125.31415193983938,113.40566545074708,118.43427565459119,79.23318375328515,86.99714541143857,120.32290662867996,113.16695778292932,119.06818620688222,120.74414158822528,107.80983383090059,129.76831541770514,142.2361647472645,140.0631208942043,135.55117462835264,138.63721826808145,141.49049982663135,146.91834421095197,132.61645329126546,129.9851755992792,149.09790406710047,142.65067096489383,156.5794862289889,156.35329388312178,158.77309052607205,140.08724987832983,145.88830477064226,153.42713634278672,151.66072311924708,166.3052636464602,160.58724044592466,,,,,,,,,,,204.5246348716669,211.35130814748842,,,,,162.1207735913663,155.15583660210328,,,,,,,191.37937864434429,163.15159136801435,164.37384159469178,161.17217857143746,159.25287860420212,167.90576806517544,,,,,,,,,,,,,149.85539444989882,148.96124916058085,158.1508882292083,150.7342531994203,133.74955383941167
19,1988-02-04 14:40:48+00:00,71.7880056917944,56.33575346417373,54.58422605501264,67.52559494111843,91.31283133312328,91.471611897429,108.16923970693743,109.24609095170189,113.2784392653072,120.32630340103802,125.12970180380103,117.69795744506371,127.05591990742695,131.15821029139403,136.34751898352476,135.29534943029967,132.4812306386839,135.22565063609795,129.28919926772045,141.36881536415268,154.44577000242495,160.58702364417718,153.0641867117471,138.0464632141248,153.13812574155014,145.3496466995435,140.6960622438389,135.32305641116827,127.26309700046299,127.61005103881305,118.4846458564794,131.28685786414394,122.67830151648293,125.94850717235794,121.05252524587841,106.37858746641396,110.1691270393492,112.6143429381346,121.89167886402673,127.13573892949121,130.5337040047649,133.19955121027513,128.53773931951588,135.56292759374523,140.55363454200736,142.22586008784938,159.4025052008734,150.5228836545179,146.30947618730477,158.03938648536777,149.61583838472802,157.86069587215695,151.96934063095458,152.33178553025041,157.39639377922185,162.42919869163384,151.424794265696,164.63752714284018,169.59651399582046,167.70824279034954,160.5319312067813,159.87351311557933,165.87549909467825,162.01097399876838,160.390169339393,157.39254709149833,169.6850410012684,163.24767810123896,165.46376080838928,161.1475124724353,167.0348401355998,163.82737698237864,169.14702375164563,170.35198169649334,177.3040851334909,179.5688118330014,173.40526939496593,172.33294429595463,170.54556163937173,165.98946027365477,158.20940721936074,174.7624742497683,170.27191601925216,174.03368754685485,166.81480147600382,174.17918991148377,170.64845259729998,167.44105042597005,170.2806628153788,167.23515483043397,171.16652515872775,165.39137328256928,170.4080849147013,168.41686399140067,170.69333627910143,170.7117700966667,173.96335330188285,171.1866280853578,170.82538353944847,174.13791525276903,170.07618960740007,174.78718429321094,171.31506163738067,174.58318613473654,163.36130719882308,163.34834807470403,156.78698791202243,155.99458409529157,142.97835667072818,130.49344803000452
20,1988-03-07 14:41:12+00:00,78.40182302868045,70.69533961077431,60.91475428165977,83.02322521950649,97.10879774105545,85.18163109672328,97.78897026455815,106.16394340819451,112.64530959132236,121.1116421765073,138.46085876353447,140.12382523717358,144.67804830331346,156.17714239587218,164.17922354449644,171.602136401639,157.97714245395105,160.21674000031797,145.11150036313464,152.27551662038402,164.31060033709107,170.2282118079089,172.58570499664074,177.20825864273567,157.8143151718306,155.27310157725094,153.84902590809685,139.86331675585546,130.33935651053025,130.1185063405505,143.17058166701668,124.18027293713251,115.20261716632918,123.81721492489795,119.17714454868627,124.20105532980136,114.24283457857993,119.32703503507724,135.8204688212457,151.27344883902907,141.35424828802257,159.38442794917887,161.41020340973506,174.02328823050183,163.840323884285,167.03375781300414,178.91263932018103,165.86608520474627,170.1294375029071,159.11492682880842,165.63061215466738,168.7499268772545,167.87831899233348,169.72946224571504,179.36149329847643,189.47406106454457,178.95171234657045,186.92616366706784,196.0413245638955,177.203675827884,177.2656530650883,179.89438692856422,180.56051037587196,189.69681132577472,176.9192990904558,178.29812348970913,174.34473706113965,171.3663806803053,165.46933007190285,164.5950094255997,163.24949440097745,180.46244458003503,181.76808505121167,176.04587149783268,170.84335724437727,177.89317737790824,184.7769897297595,190.13549675483924,183.6137357171728,179.18277891720692,191.55193047957007,191.6779319851355,193.12208540058242,196.40648889057007,188.33025045113834,195.35019445929888,214.05643782878178,197.3045225098557,194.72011780190402,192.99616382537522,190.29538961085538,188.88327497764877,200.09427434971644,199.3381818179956,192.8624584116564,181.95979110255297,189.2226224900714,,,,,,,,,,,,,
21,1988-03-23 14:40:56+00:00,49.930271859774,47.5292906312292,55.05972479595437,67.03510338063084,72.4877045275111,79.1337653816816,80.99309079252183,85.75544139316303,88.68598398106704,95.2039039950076,113.71061039513123,122.273828631509,128.13555469095053,127.0940965942287,128.44918627852067,131.97702328595463,133.38045389592594,131.78067805594114,137.4072101465891,142.0564698478807,144.25582511302298,146.23997408350078,151.0727039168569,141.62340658491274,142.36318894020295,134.86959449709613,133.97097286845752,126.66774572927348,131.021948949579,125.97205657299244,123.71984983856181,123.31836056797114,119.57033905108571,108.39615993121302,105.28826858118319,106.02280672764441,112.76199163979675,116.11705805812922,116.36884975662699,123.27180647703601,131.56183657409946,135.26733320412328,134.41211615036067,130.212504459577,148.24367769590552,142.67487511345212,157.3337456197692,157.22852577415804,150.58510665614958,151.33095914492404,154.5983808088715,153.36273597584437,156.84058387505593,158.71771362405812,161.4099504130151,145.79169008583764,158.15609073626476,165.5710169474287,159.32371686676782,157.84728417591558,157.36511466048896,152.548043230055,149.58409276338102,168.26298979655948,166.26825099998743,162.85049788492236,158.8243683471442,160.68122944206237,160.96494161357998,158.73995643618645,167.2500184961971,161.47213266148407,165.7339332196468,160.17690932593067,165.98371285992684,158.23138340261983,168.56129632627744,163.34035798899657,167.6690250865302,171.4547359018983,164.6395310157521,174.36840042295714,170.66191491005685,185.33487633822062,176.66362442392705,177.9114562359777,181.84532840618544,175.01123388734283,181.54196490933532,175.42355189784388,174.93239268865165,172.31518799725282,170.6427140712568,169.74992878024975,173.36335437686438,172.45870260180988,175.5027048011998,178.41069029367642,183.60793651455808,174.2561917643182,179.18936492125025,178.25378467233486,179.6170578026893,174.82651877925363,177.07483240541487,173.81586670534327,171.28812447406486,160.6020119497268,146.34504010287068,145.32116422781056
