dates,nzd0024-0000,nzd0024-0001,nzd0024-0002,nzd0024-0003,nzd0024-0004,nzd0024-0005,nzd0024-0006,nzd0024-0007,nzd0024-0008,nzd0024-0009,nzd0024-0010
2004-02-28 21:56:35+00:00,161.7759736040114,160.75034871941196,167.51116971526167,177.2509064174876,184.1481368992451,182.46932606510558,179.6579805192633,177.66155196539123,183.17015323187798,186.44601201450357,192.1236655776428
2004-04-16 21:57:19+00:00,179.70337690587834,183.19103423126188,192.84907865702414,197.43860877707056,198.11572075741813,186.1374590773381,179.99453997804883,191.13747134631504,198.83802578131568,202.2798696108883,201.96901961915907
2004-04-25 21:51:23+00:00,,227.34719143330048,,,,,,,91.94104363142961,,
2004-05-03 22:00:35+00:00,164.26389963948506,189.31783263090418,195.72984831225915,208.35894452702775,,,,,,,
2004-05-18 21:58:14+00:00,152.10254016365465,165.46094408957697,174.65264268416902,180.63964017639537,183.80765970634937,182.8100378669094,179.1805110946051,192.82470687365887,194.97809731706025,200.83457741495133,206.2672159880576
2004-05-26 22:06:45+00:00,,,,187.64273257611825,187.42478968237373,,,,,,
2004-06-11 22:06:38+00:00,160.91893263159037,175.99681611375289,184.27176607874944,190.50634822017085,194.3549170435563,194.65092307066305,,,,,
2004-06-12 21:52:47+00:00,162.9078666750451,181.56906028475936,185.69803579358722,191.35197657628404,190.65349306977893,196.7925535416901,185.83244512568314,195.1163178430944,197.77197443944527,201.56572904148024,208.13959517083194
2004-06-19 21:59:10+00:00,155.26282355193482,171.72742556583134,181.9085722932922,182.60310821482588,187.0338215426855,183.38525494837046,182.0431615347824,189.04525220614673,,,
2004-07-06 22:00:24+00:00,,,,,,,,,,,
2004-07-13 22:06:34+00:00,139.98218744946004,153.44423519221357,158.5434117855968,,,,161.2218589254678,165.7025330888409,175.92655632612454,182.2310138678931,187.9719744025161
2004-07-29 22:06:27+00:00,151.0846332146943,,,,175.24421737468327,176.05413330793095,170.8498278030357,173.5720859349112,182.80873062536983,187.20445474150074,196.3074186278285
2004-07-30 21:54:04+00:00,171.93858898220208,187.32566998600223,188.76942194698702,186.10925451125595,188.64050436042916,186.84727039412508,183.73839105939797,182.92240493104018,188.7300241670464,192.3794263477743,217.9125136320738
