dates,nzd0595-0000,nzd0595-0001,nzd0595-0002,nzd0595-0003,nzd0595-0004,nzd0595-0005,nzd0595-0006,nzd0595-0007,nzd0595-0008,nzd0595-0009,nzd0595-0010,nzd0595-0011,nzd0595-0012,nzd0595-0013,nzd0595-0014,nzd0595-0015,nzd0595-0016,nzd0595-0017,nzd0595-0018,nzd0595-0019,nzd0595-0020,nzd0595-0021,nzd0595-0022,nzd0595-0023,nzd0595-0024,nzd0595-0025,nzd0595-0026,nzd0595-0027,nzd0595-0028,nzd0595-0029,nzd0595-0030,nzd0595-0031,nzd0595-0032,nzd0595-0033,nzd0595-0034,nzd0595-0035,nzd0595-0036,nzd0595-0037,nzd0595-0038,nzd0595-0039,nzd0595-0040,nzd0595-0041,nzd0595-0042,nzd0595-0043,nzd0595-0044,nzd0595-0045,nzd0595-0046,nzd0595-0047,nzd0595-0048,nzd0595-0049,nzd0595-0050,nzd0595-0051,nzd0595-0052,nzd0595-0053,nzd0595-0054,nzd0595-0055,nzd0595-0056,nzd0595-0057,nzd0595-0058,nzd0595-0059,nzd0595-0060,nzd0595-0061,nzd0595-0062,nzd0595-0063,nzd0595-0064,nzd0595-0065,nzd0595-0066,nzd0595-0067,nzd0595-0068,nzd0595-0069,nzd0595-0070,nzd0595-0071,nzd0595-0072,nzd0595-0073,nzd0595-0074,nzd0595-0075,nzd0595-0076,nzd0595-0077,nzd0595-0078,nzd0595-0079,nzd0595-0080,nzd0595-0081,nzd0595-0082,nzd0595-0083,nzd0595-0084,nzd0595-0085,nzd0595-0086,nzd0595-0087,nzd0595-0088,nzd0595-0089,nzd0595-0090,nzd0595-0091,nzd0595-0092,nzd0595-0093,nzd0595-0094,nzd0595-0095,nzd0595-0096,nzd0595-0097,nzd0595-0098,nzd0595-0099,nzd0595-0100,nzd0595-0101,nzd0595-0102,nzd0595-0103,nzd0595-0104,nzd0595-0105,nzd0595-0106,nzd0595-0107,satname
2000-10-29 22:17:19+00:00,,,319.14,247.79,235.34,382.25,393.97,385.27,248.57,253.69,228.04,224.96,249.72,251.52,252.13,236.38,395.18,,240.32,215.22,209.18,217.70,218.22,219.45,225.89,228.74,232.24,230.18,229.84,216.50,241.98,233.51,231.10,217.50,208.98,224.66,228.44,228.33,240.25,231.69,236.71,230.80,219.08,229.70,241.61,260.25,264.93,253.95,247.28,241.24,241.22,225.35,242.03,232.35,240.72,232.73,225.35,220.48,238.38,237.00,241.00,238.99,236.89,227.68,216.05,214.79,229.42,226.45,223.86,229.42,236.25,239.44,242.80,241.66,250.03,257.75,245.55,232.72,223.14,223.60,215.74,218.42,239.13,247.12,230.53,233.71,230.77,225.96,225.04,222.57,232.60,230.46,237.91,226.74,262.52,231.02,211.68,226.41,203.01,210.19,213.39,215.87,227.13,218.88,222.06,224.97,229.35,230.16,L7
2000-12-25 22:11:38+00:00,,380.40,330.86,247.79,237.12,386.99,,,239.78,233.72,213.92,216.04,250.85,257.44,257.87,238.64,388.16,309.84,244.79,217.52,219.62,224.25,222.66,222.63,229.99,229.37,235.50,236.35,229.45,221.28,242.52,236.40,237.13,221.39,219.18,230.15,229.21,230.76,243.12,234.37,240.09,229.64,221.56,231.24,240.61,264.19,269.61,254.69,248.87,240.26,242.01,226.11,240.17,233.84,242.06,239.67,231.51,222.71,238.68,238.81,243.16,239.05,235.76,230.21,217.88,215.70,224.68,218.13,216.21,220.05,228.62,242.07,243.50,244.21,252.27,259.27,243.73,234.23,232.12,228.43,220.32,228.05,241.30,249.16,241.96,235.07,236.28,228.95,225.81,223.22,230.88,231.51,238.59,229.00,267.01,232.04,213.56,236.77,223.40,223.22,223.27,224.59,229.22,221.96,227.85,225.76,229.18,230.02,L7
2001-02-11 22:11:12+00:00,,380.40,330.86,246.64,235.40,386.99,,,237.09,229.58,212.03,216.97,246.87,254.57,253.30,235.39,388.16,309.84,239.24,207.68,215.81,219.98,219.34,218.74,225.71,224.66,233.07,231.20,224.70,217.14,239.23,231.96,233.82,219.42,215.11,225.91,223.23,226.25,237.84,227.62,240.09,225.20,217.30,227.12,240.61,264.19,269.61,254.69,245.13,237.68,242.01,223.26,235.89,233.84,238.00,237.54,227.64,219.07,235.88,236.45,237.65,235.71,233.26,228.57,213.31,215.13,222.56,219.35,212.71,216.38,226.47,237.60,239.76,240.72,252.27,259.27,241.08,230.73,227.58,228.43,215.77,223.41,237.08,249.16,235.80,235.07,236.28,228.95,219.23,221.13,227.89,230.00,234.73,224.66,267.01,229.41,210.22,236.77,219.33,217.98,219.69,221.41,225.47,219.48,223.80,222.41,223.70,225.30,L7
2001-03-06 22:17:18+00:00,,377.61,330.86,245.12,241.90,384.30,386.82,385.68,242.96,240.32,217.73,221.00,249.35,256.37,256.82,238.12,410.31,309.84,246.53,218.81,219.69,223.47,222.56,223.25,229.78,229.11,234.88,235.91,229.65,221.75,244.44,237.25,238.63,222.03,220.07,230.18,228.51,229.06,242.44,232.13,246.85,228.71,223.19,232.67,247.16,276.30,274.77,264.46,249.30,241.67,246.17,228.01,240.30,243.11,244.20,241.61,233.33,224.80,242.55,243.51,240.52,243.14,240.61,235.55,221.48,221.38,230.50,227.00,220.68,226.59,236.77,243.42,246.52,246.21,260.05,267.61,248.21,238.14,234.28,240.47,217.62,225.93,238.99,251.96,238.63,237.66,246.73,232.07,219.21,222.24,227.53,231.75,237.55,228.70,278.68,234.63,216.56,243.33,225.40,221.63,223.98,224.87,227.12,219.13,226.91,224.41,224.52,226.61,L7
2001-03-22 22:17:09+00:00,,377.61,330.86,246.70,242.31,384.30,386.82,385.68,244.52,247.50,221.82,224.39,250.85,256.60,256.32,237.37,429.75,309.84,247.51,223.66,219.71,223.37,222.03,224.13,230.68,228.30,234.88,238.58,232.54,223.52,246.06,239.46,241.06,222.51,220.91,231.18,229.83,228.78,242.96,232.49,246.39,228.97,223.43,233.38,250.17,280.29,278.85,265.13,250.08,242.40,246.17,229.63,240.84,244.57,246.52,242.38,234.65,227.08,244.87,245.52,242.84,245.50,242.88,238.72,224.35,222.84,232.67,230.58,224.10,231.61,241.13,244.80,247.60,247.96,261.30,269.44,251.30,239.43,235.71,240.47,217.62,225.93,238.99,251.96,238.63,237.66,246.73,232.07,219.21,222.24,227.53,233.21,238.37,229.08,275.19,233.86,216.56,243.33,225.40,221.63,223.98,224.87,227.12,219.13,226.91,224.41,224.52,226.61,L7
2001-04-07 22:17:01+00:00,,377.61,336.24,247.18,243.22,383.96,404.43,392.38,245.53,257.67,228.76,231.62,243.91,262.57,254.77,238.86,434.57,309.84,243.46,220.28,220.89,221.96,222.06,224.23,229.59,227.18,236.60,241.06,233.18,224.60,246.80,245.53,243.32,226.50,225.88,236.53,232.37,229.88,244.50,237.91,248.50,228.84,223.28,232.05,254.79,295.82,287.92,266.95,249.29,242.75,243.11,231.91,239.96,253.21,248.08,242.01,239.31,227.43,246.83,249.21,249.37,253.21,244.80,243.05,225.46,226.02,236.14,238.67,228.24,242.92,250.98,248.08,250.34,249.89,262.67,270.54,257.83,239.93,236.06,246.00,213.64,216.40,237.15,243.75,221.26,234.45,250.91,228.69,212.68,220.54,224.45,233.57,236.85,229.88,278.84,232.98,217.53,237.53,219.50,209.65,214.09,216.76,219.70,217.53,223.66,213.65,208.44,210.74,L7
2001-04-16 22:10:54+00:00,,377.61,336.24,245.78,242.26,383.96,404.43,392.38,245.41,254.32,227.56,229.09,245.36,260.95,255.04,237.25,434.57,309.84,241.42,221.14,219.45,220.79,221.51,224.30,226.70,226.95,235.93,240.10,231.62,223.69,244.48,243.21,241.20,224.40,224.11,233.52,230.41,228.76,240.87,235.65,243.53,229.82,222.67,231.58,249.89,295.82,287.92,263.14,247.38,242.81,243.11,230.42,237.64,253.21,246.76,240.54,239.31,226.15,244.33,245.66,245.58,251.10,243.42,240.99,225.30,224.98,234.41,236.42,228.29,240.81,250.98,248.08,247.80,246.63,259.59,265.56,257.83,237.88,234.11,244.07,216.55,216.17,236.37,243.79,215.21,237.33,245.41,231.86,217.59,221.39,225.30,234.21,236.36,227.75,273.70,232.55,218.79,232.35,213.38,209.53,213.04,216.13,221.04,219.24,221.74,213.47,211.98,215.33,L7
2001-07-05 22:10:09+00:00,,377.04,337.69,249.92,244.97,376.02,404.24,368.09,246.40,259.68,232.43,237.46,247.54,267.74,257.77,239.84,446.47,,240.54,225.51,218.03,220.98,222.21,226.08,227.97,228.47,237.12,236.01,230.54,223.11,248.74,244.00,243.48,224.08,223.21,236.19,233.82,230.96,240.98,235.45,243.97,230.91,223.12,233.21,257.47,307.67,298.93,267.40,249.38,247.31,244.85,233.67,240.77,261.52,247.93,242.75,245.40,224.12,249.55,247.98,246.20,252.99,248.19,246.21,230.96,227.81,239.54,240.47,231.21,245.01,259.98,255.79,247.57,249.30,265.13,270.53,265.83,241.13,237.55,252.45,211.45,207.83,227.12,243.87,201.02,243.07,239.92,238.20,212.65,218.36,221.91,235.32,239.54,231.29,275.00,235.94,221.31,221.99,196.98,200.47,205.82,209.86,215.90,226.77,224.63,211.04,226.10,215.46,L7
2001-11-26 22:09:45+00:00,,379.26,356.36,262.82,245.09,359.90,386.64,334.16,263.13,262.31,238.40,247.22,260.17,284.87,267.96,244.44,435.76,,,,,,,,,,,,,,263.10,,,,,258.24,256.60,250.31,258.89,253.32,249.49,234.28,230.98,239.18,259.18,308.66,306.95,,261.18,260.70,,,262.43,271.70,,248.52,267.87,,268.37,,,,257.34,258.78,242.01,,249.53,249.48,228.12,,283.16,287.36,,263.94,274.70,279.98,287.21,,241.68,248.43,,,,,,,,,,,,,252.81,248.92,,248.26,,,,,,,,241.70,244.86,238.70,249.06,250.42,L7
2001-12-19 22:15:37+00:00,232.06,379.26,317.58,254.42,239.62,299.29,333.81,297.18,253.32,253.12,227.62,236.88,252.89,273.53,260.00,240.03,435.76,206.35,223.69,200.90,202.28,207.60,211.26,207.36,218.01,213.72,228.35,218.96,214.21,212.71,247.84,223.87,225.96,214.84,213.71,235.57,233.26,232.13,242.75,234.83,234.97,226.83,220.39,230.94,243.30,280.29,277.25,242.50,250.12,246.21,231.12,224.37,244.98,249.95,236.58,240.32,243.43,215.76,251.37,235.61,232.13,237.42,244.15,242.90,224.44,218.27,235.94,237.78,220.81,218.26,256.43,256.34,232.91,250.75,257.10,263.84,264.08,223.70,230.60,234.60,214.38,213.78,232.67,225.30,224.14,227.60,214.85,220.93,210.50,222.00,225.89,229.31,242.69,231.22,,235.88,208.11,205.62,221.94,210.69,213.39,216.16,217.67,232.32,235.14,230.32,238.09,236.00,L7
2002-02-14 22:10:05+00:00,214.31,,278.69,245.63,233.02,277.16,273.49,262.83,249.46,243.81,224.21,223.46,252.32,257.12,252.05,232.91,,206.35,223.69,200.90,202.28,207.60,211.26,207.36,218.01,216.09,228.21,218.96,221.54,218.44,236.54,234.88,232.34,221.57,215.03,223.33,218.74,220.75,237.91,220.13,224.44,218.47,212.85,225.20,227.45,264.54,252.68,247.70,241.54,236.56,235.02,226.94,231.54,234.00,236.65,235.97,228.31,215.76,234.37,235.61,232.13,237.42,230.97,227.03,206.87,218.27,224.81,227.22,215.37,222.12,237.38,232.00,239.25,240.62,241.57,249.13,250.90,229.88,223.03,223.08,218.93,218.73,235.18,228.41,229.00,223.75,211.00,220.93,210.50,222.00,225.89,229.31,232.57,213.53,,212.88,210.90,205.62,221.94,210.69,213.39,216.16,217.67,224.06,223.06,230.32,228.40,236.00,L7
2002-03-18 22:09:33+00:00,214.31,,261.80,237.62,233.02,277.16,273.49,247.03,238.65,230.54,217.20,219.20,249.18,254.27,250.63,228.44,,200.80,215.92,195.20,204.16,206.88,211.74,208.62,216.96,216.74,228.05,220.04,216.55,211.43,234.39,230.83,228.25,219.29,215.58,218.23,213.27,214.90,227.29,208.23,213.43,208.64,200.82,216.46,210.93,264.54,252.68,247.70,232.33,236.56,235.02,215.36,221.43,219.49,223.59,229.70,224.73,209.69,224.83,222.86,232.13,228.38,226.16,218.34,199.03,216.34,224.95,228.44,214.17,220.76,234.90,232.97,238.62,240.90,241.53,248.89,243.44,228.52,222.73,219.52,217.69,217.46,236.27,229.85,227.63,222.08,212.25,222.34,213.95,224.84,225.95,230.43,231.28,220.45,246.10,218.33,209.73,202.39,218.97,212.05,214.40,215.88,221.51,222.64,220.85,227.25,224.84,231.04,L7
2002-03-25 22:15:47+00:00,214.31,,261.80,242.00,231.89,266.82,267.80,234.96,238.65,216.95,217.20,216.83,246.90,254.07,252.16,228.44,,200.80,215.92,195.20,204.16,206.88,211.74,208.62,216.96,216.74,228.05,226.36,224.39,214.95,238.60,235.78,230.72,219.87,217.34,221.01,217.14,217.41,228.79,215.33,219.28,216.45,200.82,216.46,210.93,264.54,252.68,247.70,232.33,236.56,235.02,215.36,221.43,219.49,223.59,229.70,224.73,209.69,230.98,229.86,237.88,233.34,232.49,224.18,210.32,216.34,224.95,227.60,218.74,225.75,236.22,234.70,238.62,240.90,241.53,248.89,245.19,228.52,227.66,225.56,222.79,221.09,240.51,238.25,235.41,229.51,223.41,229.45,223.76,224.05,227.57,230.90,231.97,225.21,246.10,218.33,209.73,202.39,218.97,212.05,214.40,215.88,221.51,222.64,220.85,227.25,224.84,231.04,L7
2002-05-21 22:09:29+00:00,214.31,,255.28,240.26,226.55,258.11,260.47,233.11,236.52,218.55,214.24,216.37,245.12,251.56,249.36,225.81,,209.26,219.61,205.16,205.26,201.73,211.74,208.62,203.67,216.74,224.38,225.41,223.41,212.23,233.28,235.78,230.72,219.87,211.68,219.21,216.52,216.50,225.32,213.07,219.80,217.67,201.66,214.69,212.19,264.54,242.79,242.72,230.42,230.19,235.02,212.58,221.01,220.27,220.73,224.57,222.17,208.96,226.48,225.41,232.11,228.54,232.49,223.25,213.53,215.93,221.15,224.99,220.45,226.55,235.82,233.10,234.73,236.57,239.18,244.52,241.63,221.23,223.70,225.56,222.28,219.13,240.51,237.44,235.41,227.02,233.84,236.69,227.25,218.33,225.05,228.93,228.91,223.97,257.50,229.28,212.57,208.23,218.45,206.14,212.59,214.52,224.60,220.59,220.48,224.73,222.83,229.81,L7
2002-07-08 22:09:35+00:00,196.57,,223.05,238.82,224.02,230.66,234.93,206.66,225.32,201.26,205.32,212.85,241.23,247.92,246.78,220.84,,210.72,217.58,207.29,206.75,198.79,212.22,209.89,196.50,218.25,223.06,227.56,225.71,212.11,233.45,239.75,232.31,221.54,211.17,227.27,226.47,217.13,224.99,212.25,219.63,217.24,198.94,212.03,207.11,277.16,240.41,242.83,227.55,229.42,238.92,208.65,218.84,217.63,215.45,222.06,223.23,205.56,223.85,222.01,232.10,225.58,233.25,222.00,215.76,214.75,220.75,224.72,222.19,228.63,237.35,242.68,247.72,245.52,251.67,255.26,248.14,229.62,224.74,227.16,232.30,220.46,243.13,240.47,250.24,226.87,246.33,248.73,239.55,228.41,234.17,237.89,227.70,227.44,257.50,244.25,220.32,226.24,211.91,213.00,219.55,219.15,236.61,217.12,227.51,234.36,217.25,235.93,L7
2002-07-31 22:15:11+00:00,196.57,368.99,223.05,238.82,224.02,230.66,234.93,206.66,236.10,216.71,212.28,217.22,242.38,250.12,248.03,225.90,,214.06,222.90,210.20,205.85,205.42,213.14,206.18,185.46,218.25,226.17,228.89,226.62,213.60,236.15,239.64,231.36,218.52,210.08,227.06,227.41,220.73,229.06,219.28,224.24,220.29,204.51,218.13,215.24,280.03,250.39,247.79,233.58,236.05,238.92,213.60,225.62,221.86,221.01,226.02,224.85,213.48,230.93,225.94,237.58,232.06,237.02,225.83,217.14,216.54,223.41,225.63,222.19,228.63,237.35,242.68,247.72,245.52,251.67,255.26,248.14,229.62,224.74,227.16,232.30,221.81,245.65,243.44,250.24,226.26,246.33,246.98,239.01,230.03,235.18,238.60,232.23,227.10,254.62,244.55,220.94,226.24,211.91,213.00,219.55,219.15,236.61,217.12,227.51,234.36,217.25,235.93,L7
2002-10-03 22:14:41+00:00,,368.99,229.21,233.33,210.53,223.27,231.17,223.83,248.22,270.68,234.20,234.84,250.85,256.80,254.71,237.03,457.08,231.65,242.64,235.77,215.72,217.84,227.42,225.99,199.09,256.88,234.37,235.69,234.59,220.76,240.32,253.41,244.50,220.20,210.59,233.63,238.34,232.37,239.80,236.98,242.64,234.67,222.42,233.80,227.81,302.56,266.32,258.87,248.66,242.88,266.59,229.36,244.04,240.85,241.70,234.82,231.42,229.73,245.14,237.09,246.95,245.50,254.40,239.40,231.76,224.53,230.32,227.20,233.59,242.57,244.77,252.70,258.10,253.45,270.90,271.95,256.79,240.61,207.84,269.75,247.65,230.46,264.37,256.52,279.32,234.91,276.89,258.25,249.59,237.68,241.99,246.02,238.16,230.26,258.88,262.57,231.95,245.25,221.44,221.86,226.05,229.21,243.81,224.99,241.76,242.82,241.09,246.75,L7
