dates,satname,nzd0595-0000,nzd0595-0001,nzd0595-0002,nzd0595-0003,nzd0595-0004,nzd0595-0005,nzd0595-0006,nzd0595-0007,nzd0595-0008,nzd0595-0009,nzd0595-0010,nzd0595-0011,nzd0595-0012,nzd0595-0013,nzd0595-0014,nzd0595-0015,nzd0595-0016,nzd0595-0017,nzd0595-0018,nzd0595-0019,nzd0595-0020,nzd0595-0021,nzd0595-0022,nzd0595-0023,nzd0595-0024,nzd0595-0025,nzd0595-0026,nzd0595-0027,nzd0595-0028,nzd0595-0029,nzd0595-0030,nzd0595-0031,nzd0595-0032,nzd0595-0033,nzd0595-0034,nzd0595-0035,nzd0595-0036,nzd0595-0037,nzd0595-0038,nzd0595-0039,nzd0595-0040,nzd0595-0041,nzd0595-0042,nzd0595-0043,nzd0595-0044,nzd0595-0045,nzd0595-0046,nzd0595-0047,nzd0595-0048,nzd0595-0049,nzd0595-0050,nzd0595-0051,nzd0595-0052,nzd0595-0053,nzd0595-0054,nzd0595-0055,nzd0595-0056,nzd0595-0057,nzd0595-0058,nzd0595-0059,nzd0595-0060,nzd0595-0061,nzd0595-0062,nzd0595-0063,nzd0595-0064,nzd0595-0065,nzd0595-0066,nzd0595-0067,nzd0595-0068,nzd0595-0069,nzd0595-0070,nzd0595-0071,nzd0595-0072,nzd0595-0073,nzd0595-0074,nzd0595-0075,nzd0595-0076,nzd0595-0077,nzd0595-0078,nzd0595-0079,nzd0595-0080,nzd0595-0081,nzd0595-0082,nzd0595-0083,nzd0595-0084,nzd0595-0085,nzd0595-0086,nzd0595-0087,nzd0595-0088,nzd0595-0089,nzd0595-0090,nzd0595-0091,nzd0595-0092,nzd0595-0093,nzd0595-0094,nzd0595-0095,nzd0595-0096,nzd0595-0097,nzd0595-0098,nzd0595-0099,nzd0595-0100,nzd0595-0101,nzd0595-0102,nzd0595-0103,nzd0595-0104,nzd0595-0105,nzd0595-0106,nzd0595-0107
2000-10-29 22:17:19+00:00,L7,359.99,234.63,245.67,246.84,231.59,239.46,233.60,230.54,246.16,243.34,213.24,220.85,243.42,254.68,252.70,238.19,451.49,218.46,262.21,235.35,222.13,221.42,222.24,225.26,229.98,230.23,231.71,244.95,239.01,227.44,243.40,249.55,239.21,,,,,,,,,,,236.85,250.46,298.13,288.19,264.55,252.15,246.84,247.79,223.12,250.52,255.68,253.90,241.43,240.51,236.01,250.13,247.01,250.96,253.28,243.48,229.12,223.44,214.37,233.36,233.46,227.92,243.55,261.87,253.51,254.69,254.64,264.44,270.09,268.24,242.96,242.86,245.45,231.95,232.88,256.55,258.53,257.86,250.35,236.68,239.59,239.30,233.96,239.21,239.83,244.11,235.94,282.09,229.70,225.87,268.05,246.24,231.76,229.42,227.74,235.04,222.80,238.50,242.08,246.79,242.21
2000-12-25 22:11:38+00:00,L7,,382.55,344.73,302.64,246.41,405.58,333.02,,,325.91,,311.53,293.45,280.93,270.12,250.19,461.21,319.40,314.89,302.15,241.11,236.47,231.13,234.18,240.07,239.09,245.27,272.86,253.65,240.62,257.03,258.03,253.01,228.13,231.49,247.60,242.31,242.53,264.39,261.10,255.92,233.06,235.44,249.23,266.71,314.17,308.63,279.17,262.85,249.37,256.41,244.43,258.36,266.64,261.38,252.76,255.91,247.37,256.35,257.84,264.70,262.50,251.66,257.70,240.58,234.55,,284.25,,310.37,291.60,274.04,272.73,270.58,282.16,290.09,271.31,251.02,246.82,259.55,245.87,250.64,269.20,268.40,246.93,264.56,268.11,257.22,245.22,234.57,239.43,241.42,247.22,247.11,298.48,249.18,234.85,253.01,243.98,236.11,238.71,242.14,244.92,241.09,263.39,279.29,291.02,309.56
2001-02-11 22:11:12+00:00,L7,219.52,232.37,237.42,248.53,233.30,238.86,226.60,224.10,235.55,238.84,220.06,229.75,240.27,254.87,242.79,231.51,413.79,222.03,240.66,221.50,213.03,214.88,215.74,217.89,225.96,222.76,231.29,230.59,229.33,217.89,240.10,237.87,237.22,218.04,207.53,225.19,217.85,224.44,235.30,227.37,232.49,223.68,221.89,230.20,243.05,299.67,,257.34,243.76,243.33,,230.72,240.47,242.07,243.69,244.27,230.70,226.21,245.51,248.28,241.62,244.02,242.42,239.37,223.90,225.25,234.10,234.34,225.85,237.85,252.51,244.10,249.93,252.16,259.10,269.48,262.97,245.75,237.35,245.19,230.09,232.68,252.70,245.78,248.33,247.50,246.84,238.62,230.09,231.36,235.94,240.19,235.42,228.94,247.87,233.59,222.39,232.44,227.85,220.64,227.75,229.13,232.73,224.43,236.10,241.48,245.10,243.55
2001-03-06 22:17:18+00:00,L7,,370.02,381.35,383.50,271.01,366.13,372.05,374.39,256.13,261.93,231.18,227.44,242.80,256.29,252.82,234.20,368.46,220.68,242.04,224.17,216.55,218.02,223.23,221.20,230.49,229.47,234.59,231.40,228.19,227.62,245.20,234.41,237.52,221.90,220.62,222.78,224.71,218.78,230.62,227.75,230.35,231.63,219.20,233.94,241.36,274.20,258.27,254.56,248.07,236.46,231.14,228.35,229.54,232.24,234.47,236.51,226.89,217.76,239.58,237.47,235.64,241.74,241.15,239.44,224.01,225.52,232.94,230.45,223.60,227.19,230.59,232.51,238.51,237.31,247.03,253.91,240.43,236.44,232.30,230.35,,,,,,,,,,,,227.41,229.96,221.02,238.02,239.08,225.23,,,,,,,,,,,
2001-03-22 22:17:09+00:00,L7,363.40,293.52,257.61,251.64,243.38,253.10,241.88,228.28,249.38,271.73,235.33,235.87,256.42,255.31,250.77,230.33,450.62,237.21,247.50,234.09,216.45,219.41,216.15,225.54,231.54,218.93,232.71,247.80,242.08,228.77,252.21,245.56,251.50,223.55,223.28,232.85,232.54,224.00,241.68,229.74,239.16,226.91,220.17,232.73,256.21,285.48,286.13,261.76,251.10,242.97,,234.84,238.67,244.42,255.05,243.43,237.39,233.95,253.85,252.70,251.34,252.78,251.95,250.99,232.71,227.53,239.40,242.55,232.88,244.96,251.84,247.05,248.14,252.50,260.81,271.83,260.02,240.42,237.54,,,,,,,,,,,,,237.12,239.09,225.96,246.70,225.58,,,,,,,,,,,,
2001-04-07 22:17:01+00:00,L7,,313.71,330.94,252.64,241.90,375.90,425.27,401.54,,292.99,256.91,253.66,,288.47,275.24,264.58,463.03,366.16,325.37,503.12,236.85,242.30,240.47,245.03,247.15,250.26,257.28,302.86,346.68,,265.01,277.95,267.00,244.42,251.20,263.10,254.58,248.52,260.64,254.54,256.79,237.77,231.56,239.55,271.22,321.53,310.38,283.69,259.96,261.22,,257.65,255.38,275.08,273.20,255.82,268.17,291.61,265.72,282.12,285.14,292.59,265.84,263.80,245.00,244.74,259.82,263.26,253.34,291.79,288.82,274.18,274.94,269.04,,,285.53,264.48,260.98,269.64,,,,,,,,,,,,,250.85,253.51,654.30,242.87,,,,,,,,,,,,
2001-04-16 22:10:54+00:00,L7,211.02,225.83,246.63,237.38,233.72,240.46,244.18,225.03,242.11,228.24,215.72,212.10,247.17,246.10,251.36,222.21,224.87,215.53,223.06,205.94,203.78,206.78,212.64,216.74,200.07,216.27,227.48,226.70,213.65,211.64,223.09,219.11,219.87,211.10,211.54,211.50,212.62,216.18,214.75,215.69,212.45,227.72,210.27,218.58,206.73,205.08,226.81,230.10,228.46,235.19,,212.14,212.51,213.50,227.63,224.21,215.66,210.42,219.20,214.23,211.68,229.16,225.79,221.14,211.94,213.37,217.14,220.27,218.37,216.24,220.85,214.58,220.11,214.62,233.25,231.64,224.57,211.56,208.43,217.71,211.31,201.49,220.03,227.87,178.37,224.40,217.52,222.20,216.34,215.94,219.25,230.43,224.83,203.78,220.94,222.54,211.42,203.32,182.56,196.75,198.70,204.05,213.87,216.89,201.97,199.11,200.39,208.51
2001-07-05 22:10:09+00:00,L7,354.71,381.26,347.50,264.82,247.09,266.72,410.00,324.23,,,,266.88,313.62,306.51,274.76,257.37,462.43,388.49,370.51,501.38,,270.87,89.39,128.96,146.56,123.20,,311.69,353.07,,268.43,,,265.70,279.07,263.24,262.31,255.31,264.60,259.47,257.49,239.28,237.65,246.45,272.51,324.66,320.28,,266.51,266.41,,,270.43,280.59,,253.85,273.58,295.10,275.64,,,,264.01,264.11,250.90,,255.68,252.96,235.39,,293.16,296.25,293.40,272.83,284.70,289.98,297.21,,251.68,261.76,372.27,368.87,404.51,305.77,284.37,400.42,443.87,420.77,410.90,,,,258.96,256.92,659.89,253.59,384.19,362.83,388.15,168.84,,275.83,307.47,254.18,264.33,,270.80,
2001-11-26 22:09:45+00:00,L7,,,363.16,346.06,340.99,349.10,356.98,339.27,259.08,248.81,229.87,224.42,254.38,259.50,257.26,227.62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,223.75,215.14,218.45,213.64,227.28
2001-12-19 22:15:37+00:00,L7,256.39,237.10,243.69,249.67,237.80,248.42,239.37,231.80,247.17,256.09,224.53,221.82,250.81,257.50,251.03,238.15,409.21,222.57,236.96,225.23,211.41,216.73,218.56,217.79,230.18,225.89,234.19,230.19,227.48,222.44,242.30,237.14,237.19,218.49,218.58,222.03,220.35,223.08,237.03,227.57,235.05,228.50,221.98,235.96,251.76,281.13,271.87,260.75,248.78,242.15,241.55,236.54,242.12,244.42,251.18,241.85,229.42,227.93,247.64,248.88,246.73,249.59,243.14,236.76,223.09,225.22,233.58,232.44,226.78,236.51,247.94,241.53,249.13,253.79,257.75,265.94,259.21,241.95,237.77,245.10,232.63,232.03,250.92,246.16,248.47,251.93,244.05,241.79,231.36,232.43,237.12,238.43,243.80,228.13,244.49,233.22,224.33,229.95,238.16,226.91,227.99,229.43,232.27,223.29,233.95,240.20,240.50,242.44
2002-02-14 22:10:05+00:00,L7,230.24,232.31,233.86,250.29,236.94,246.35,238.42,228.37,246.77,242.02,228.02,231.31,258.41,262.81,256.73,241.83,,,,,,,,,,235.29,236.15,,247.23,237.64,253.98,264.24,254.25,233.35,223.07,246.37,241.98,240.17,263.65,239.47,248.62,230.20,232.72,246.07,261.14,317.56,291.49,278.16,257.50,255.82,253.35,246.34,255.75,262.23,256.91,253.28,252.07,,,,,-46.61,,,64.18,,242.80,237.12,235.58,251.22,270.31,261.13,268.04,266.10,268.89,275.82,286.09,261.32,251.79,259.06,248.72,248.93,262.94,260.37,267.52,253.58,247.55,,,,,,,,178.67,215.74,236.12,,,,,,,,243.35,,,
2002-03-18 22:09:33+00:00,L7,,43.76,215.03,225.49,124.31,173.97,192.69,208.80,210.13,203.76,204.38,212.40,245.33,252.83,253.79,222.47,231.89,212.58,222.33,215.51,215.78,215.90,220.02,221.03,228.92,231.04,233.96,233.12,220.75,207.82,240.48,236.91,232.07,218.62,221.88,217.77,213.48,212.95,217.18,196.43,207.03,198.71,189.77,213.15,203.89,229.83,,,224.31,207.87,,205.20,216.81,207.82,213.08,227.58,228.71,216.62,229.47,224.29,,232.33,234.34,220.05,208.52,221.85,237.24,237.67,225.96,237.54,249.45,252.23,254.69,258.79,260.95,267.90,248.01,245.28,241.63,238.41,234.73,234.42,257.94,255.04,250.89,244.73,245.96,246.04,239.69,238.83,238.01,241.29,242.00,242.97,298.10,239.63,224.72,225.16,233.32,230.73,231.02,229.77,240.95,230.22,233.73,240.60,243.72,243.41
2002-03-25 22:15:47+00:00,L7,,,,250.29,224.79,222.90,235.82,175.28,152.99,146.39,,199.89,230.84,244.42,249.04,,,,,,,,,,,,,224.09,230.28,212.59,238.31,233.00,223.22,216.76,216.17,217.24,214.88,212.82,219.45,221.70,217.43,227.76,,,,,,,,,,,,,,,,,225.65,226.22,224.23,227.10,229.00,222.94,211.34,,,216.66,214.80,216.46,215.92,218.34,,164.65,,,226.20,,218.20,211.36,213.85,207.73,229.00,235.72,226.42,219.46,218.10,215.96,215.68,208.60,215.88,219.72,218.41,215.32,,,,,,,,,,,,,,
2002-05-21 22:09:29+00:00,L7,212.82,222.52,223.91,228.03,205.23,209.14,214.86,211.36,222.71,208.88,191.24,205.95,228.62,229.41,225.26,205.17,214.72,202.63,207.73,189.73,194.22,178.18,114.52,127.74,159.41,141.28,204.91,206.25,200.20,187.20,197.85,168.62,170.72,175.62,181.96,198.77,198.92,199.59,196.27,187.71,200.65,209.30,186.48,190.14,180.63,178.16,187.67,206.26,210.57,202.31,,186.56,198.56,199.05,190.95,195.05,199.35,189.84,193.71,192.80,199.37,196.46,185.91,206.34,199.62,204.99,193.45,205.32,208.03,203.29,207.73,203.13,199.49,200.03,205.63,204.91,200.87,172.86,181.34,125.12,193.70,184.77,174.36,203.90,173.98,181.74,233.16,228.14,207.43,186.03,201.19,209.79,203.45,199.04,198.22,247.98,197.56,184.57,193.86,170.76,187.76,192.55,209.59,200.29,192.49,190.68,181.45,195.81
2002-07-08 22:09:35+00:00,L7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,303.18,,569.62,255.73,248.20,253.93,,,,,,,,,,,,,369.68,,,,,,,,,,,,,,,544.28,524.24,,,,,,264.34,275.99,264.47,279.45,280.68,263.55,247.28,309.79,323.79,254.48,273.43,294.74,326.72,270.15,257.61,261.26,257.63,248.24,256.60,256.22,260.12,,,382.13,278.07,230.21,246.34,193.44,222.39,226.26,222.78,245.68,,248.72,254.79,,249.15
2002-07-31 22:15:11+00:00,L7,358.57,369.14,350.97,317.39,364.91,345.07,374.02,372.01,268.59,279.01,233.49,234.95,247.17,259.22,253.32,241.35,368.69,221.41,234.09,217.03,204.44,219.06,214.36,202.89,163.89,147.92,235.74,233.33,230.83,219.97,247.32,239.87,228.99,209.59,205.89,226.37,232.55,235.49,245.76,247.86,243.27,232.88,221.74,236.99,240.66,284.10,271.34,258.45,252.06,249.75,,228.97,246.58,235.21,238.31,238.30,230.14,229.80,252.71,238.25,249.13,252.01,245.05,237.74,221.97,220.40,231.82,229.56,,,,,,,,,,,,,,227.95,253.95,256.19,218.15,224.78,234.12,240.86,237.71,236.94,239.70,241.82,246.28,226.67,250.87,246.15,224.06,213.32,,,,,,,,,,
2002-10-03 22:14:41+00:00,L7,,,,,,391.52,405.81,390.44,,289.32,255.88,247.55,261.83,262.76,265.63,244.66,386.41,224.45,248.10,230.89,222.37,230.14,230.18,234.37,239.12,239.21,245.73,235.32,234.75,227.25,247.94,248.24,244.17,225.67,229.98,230.04,232.41,235.90,247.51,243.21,242.19,235.71,224.19,236.29,251.26,279.82,270.28,259.65,255.48,246.74,251.45,237.70,245.18,241.85,254.05,243.26,234.93,234.71,251.02,242.23,250.54,253.19,246.58,246.26,227.23,228.29,233.52,228.53,220.62,228.85,228.81,234.61,242.82,239.85,264.62,267.26,242.94,238.69,236.62,234.42,231.78,226.41,249.04,249.75,239.83,228.54,235.45,235.20,233.84,235.58,232.54,241.24,232.59,223.27,232.33,244.91,220.62,220.85,221.00,216.43,213.72,226.48,225.77,221.42,221.07,219.99,230.07,223.28
2002-10-19 22:14:44+00:00,L7,,,,,,,,412.69,,332.42,282.90,274.38,270.41,260.84,256.95,245.87,450.97,335.20,275.85,243.78,226.31,225.62,229.77,229.92,239.95,235.41,242.20,252.45,240.47,231.49,251.33,253.09,248.41,224.26,225.63,235.06,238.29,236.25,254.22,250.19,249.42,234.73,225.73,247.38,262.24,303.26,289.83,267.36,257.43,251.64,253.24,243.88,262.02,249.83,257.06,249.73,239.12,233.01,255.20,253.41,252.26,254.46,252.67,251.32,233.59,230.35,246.12,249.59,234.24,253.59,251.45,244.40,252.88,257.72,268.74,278.90,260.06,243.68,242.70,247.54,233.23,230.31,252.17,251.16,248.93,243.47,233.88,242.39,235.09,236.14,238.14,241.44,242.03,234.30,281.33,240.25,225.20,227.24,228.42,220.10,224.27,215.14,232.05,220.41,233.43,239.71,240.23,226.41
2002-10-28 22:08:34+00:00,L7,211.09,228.39,233.08,234.33,224.68,230.85,237.24,223.10,235.53,215.54,210.00,209.04,244.97,243.10,251.22,218.57,226.24,219.23,223.70,215.84,204.22,211.11,209.60,212.48,213.24,221.48,229.63,217.11,221.78,221.75,223.74,219.06,219.46,214.26,204.62,212.16,210.79,218.25,213.91,212.61,214.55,222.26,210.59,218.08,215.10,210.93,229.56,230.96,235.91,224.12,224.54,210.19,220.44,214.80,222.13,228.25,224.40,212.49,220.84,220.98,216.79,229.99,224.41,225.39,212.30,,,,,,,,,,,,442.56,,,,,,227.67,201.90,218.64,219.01,220.74,218.02,215.78,212.13,221.06,225.63,224.36,208.09,215.06,215.53,208.93,212.42,213.09,211.63,202.40,209.93,215.14,211.62,204.78,203.30,209.29,205.71
