,dates,usa_CA_0256-0000,usa_CA_0256-0001,usa_CA_0256-0002
51,1988-07-14 18:28:44+00:00,223.86896825541677,216.53568342939315,221.58732826036893
52,1988-08-15 18:28:46+00:00,238.47461801993424,225.1331419808238,231.34962387564656
53,1988-08-24 18:22:38+00:00,239.60292762389193,229.0537048992959,239.28275182555083
54,1988-09-16 18:28:46+00:00,241.44693734687343,218.812886381562,224.77667837075091
55,1988-10-18 18:28:35+00:00,226.77562330469328,217.25424602927137,230.68797399231462
56,1989-03-20 18:20:53+00:00,232.97680259615944,233.93401916921889,237.29746722699107
57,1989-04-05 18:20:59+00:00,236.8852505881619,229.15682484352902,233.35372624260057
58,1989-05-14 18:26:34+00:00,225.0845210206776,211.73329745934993,215.65536711285557
59,1989-05-23 18:20:15+00:00,232.44509119805323,222.2343707513325,232.31229980730362
60,1989-06-08 18:19:59+00:00,230.78440832896447,219.97101332639912,220.2681200392261
61,1989-07-01 18:25:42+00:00,227.74732479010657,209.35400410332375,219.35266068443497
62,1989-07-10 18:19:20+00:00,236.19879956626937,226.52268835624653,228.048151048568
63,1989-07-17 18:25:22+00:00,223.13028705221143,208.37894307614553,218.11807133584597
64,1989-07-26 18:19:01+00:00,242.3419863109572,230.33379865110976,234.57758578138348
65,1989-08-02 18:25:02+00:00,242.84454286942932,221.89265611907695,232.70061786067146
66,1989-10-05 18:23:38+00:00,,,
67,1989-10-30 18:16:35+00:00,227.40665389118806,219.79946591050722,224.1026705813886
68,1989-11-06 18:22:38+00:00,216.53220133167525,209.30301155922928,216.81044739602518
69,1989-12-01 18:15:43+00:00,223.0107011860934,218.5391106090015,214.87620768558577
70,1990-03-23 18:12:06+00:00,213.95909763435571,208.5242700951029,218.92027394481784
71,1990-04-24 18:12:05+00:00,213.23740151654155,208.90242267518084,219.4434276727264
72,1990-05-01 18:18:07+00:00,227.24572091748547,218.03269928607244,221.0695655806055
73,1990-05-17 18:18:18+00:00,220.63881724412585,210.01984979840654,213.57745143071105
