,dates,aus0298-0000,aus0298-0001,aus0298-0002,aus0298-0003,aus0298-0004,aus0298-0005,aus0298-0006,aus0298-0007,aus0298-0008,aus0298-0009,aus0298-0010,aus0298-0011,aus0298-0012,aus0298-0013,aus0298-0014
38,1989-05-27 23:12:52+00:00,250.3708051342502,244.69980989065235,237.65279897884716,232.9852904282163,232.48776761996913,232.54094365841223,218.50701881917976,221.10759331902125,214.10313939883207,219.9580926330489,192.49469750142444,202.53031315466046,233.35825467514817,239.527353053196,233.56414649186732
39,1989-06-12 23:12:29+00:00,244.22866302835206,241.8081970240454,225.47936211229043,225.79961616215027,225.97226149238642,219.23590885808764,211.2516599572234,195.87060820997718,204.71452787574566,208.59892168904784,188.35002836447202,200.9280773971052,228.63130196822098,235.64935362280886,226.25651285327316
40,1989-07-14 23:11:53+00:00,241.9713292813079,241.27919040405604,221.03651800132732,215.37688125867646,225.44825196201703,219.3442566294764,213.67807603713297,206.41062059766466,210.06199734438715,212.67997851457383,216.186495334324,219.51207814579996,225.6215484855906,218.81460242280852,228.14050337168914
41,1989-07-30 23:11:35+00:00,228.48128050874416,225.84390762550058,214.56285431412596,205.52224318587773,204.8520773838238,207.64433676945353,203.39028634275596,205.57155305490065,200.4934665883304,207.69982110550316,205.04160956891818,211.78692645236202,226.03697688865572,218.23757205947055,221.48660634044285
42,1989-08-06 23:17:36+00:00,232.09781733129518,239.04878204790822,226.41232424987743,213.99260452394753,207.44614390292352,207.28699498654137,207.28550095595293,207.1455879784962,215.17175870596904,218.73709568269166,209.59178341224109,216.49827847781944,238.46938876918188,212.79788986053023,210.02359299182461
43,1989-08-15 23:11:11+00:00,231.3706067251628,234.71804578420804,219.8478867604146,216.2935415454403,211.16602756554371,202.81344422090413,206.20434230339424,204.75917900407552,202.93206859709773,210.4949722503968,219.20561738534306,219.03866123859564,236.33197622440574,223.3617616710951,217.08521978053258
44,1989-09-07 23:16:52+00:00,237.07815076858037,231.8125550658889,230.11091622524452,231.5026670980309,232.18612174884925,211.46167865635644,215.94022933922292,211.36525617680556,204.64636357105957,219.96054602258445,227.3110987567208,228.90614480191846,246.97758517018934,230.95639899124546,217.99752406734876
45,1989-09-16 23:10:20+00:00,244.92805324012974,240.96420030901726,231.46027038068465,230.61458698490458,237.13281673250594,219.86441499903648,211.2416290665516,211.90474239764043,216.74737452602383,229.04232882429213,228.5823321774461,235.9847946338762,242.25394834134562,228.90543999493966,205.80441053325904
46,1989-09-23 23:16:26+00:00,237.40471800750782,242.44685682398526,232.52950717781818,220.988467372433,232.01492288002788,224.34134006798018,200.02173561570234,213.24922109953994,207.25746598848596,226.3709206035573,226.41462318938554,223.12263972802958,240.54677218786216,218.54689266203812,209.22718175654813
47,1989-10-02 23:10:11+00:00,232.49713492879457,229.2207756780268,219.34476064585257,218.56683792274342,221.61402949456036,213.15362396861102,205.7398254407333,204.9241983571144,209.16149868554277,218.4332371612908,221.53448689720568,226.17038833056375,238.51066352114918,220.58454789447512,213.06477846405068
48,1989-10-09 23:16:07+00:00,236.40511178988856,230.183917222573,222.5133116432062,210.6856837857393,224.26179421113466,215.70765565242547,206.1247092214573,213.7496224416578,218.13423766983612,224.2191483806538,217.42989503809892,232.4645615088675,239.24955431797108,225.09789111197017,209.102491138054
49,1989-10-18 23:09:27+00:00,232.95828629627653,223.50821165859801,216.44263208288842,222.2222267612227,228.3772823619567,220.6693459848803,216.12142659556994,219.61562654976277,219.68140625742518,223.51940139678194,215.17815548667784,224.47731544397533,230.14532090556122,227.41732012483416,210.0824510910316
50,1989-12-21 23:07:46+00:00,235.6532329756459,229.60972063637536,227.60970921828024,230.1075642812149,226.8314781909583,208.85805245052813,202.08694902673224,212.14417132989672,228.5166149642034,242.29712479171914,238.9874288365366,221.19743839942686,241.6194380452702,216.85112695793612,203.60121261962863
51,1990-03-02 23:11:39+00:00,240.9711572916122,234.6006081931541,223.94596341249425,226.60269228489818,229.7277056128776,217.21701921659323,220.52125114675002,211.33918424786935,216.60458138268947,221.13128864566656,211.30563204789414,217.30769473463192,214.35449961891462,202.9813910587632,233.32509838915703
52,1990-03-11 23:05:10+00:00,241.34309357668735,242.2553826310852,221.43934663406142,220.6942717192068,228.9873812901523,220.90066476835278,213.30906784542256,216.63183209942846,218.72316432594764,224.28529654688725,216.55573605136615,216.03871347561068,211.02673079091534,196.873098527148,224.93875216249512
53,1990-04-03 23:10:42+00:00,215.67018021165126,222.53782158958091,213.50903961871268,209.83328057628614,244.7698236507164,235.20410154136806,214.690386233826,209.37652867626707,219.85832967315568,212.16739961212366,213.52123465774503,204.6951178066462,200.01668199273806,185.35682364819067,196.32134256330536
54,1990-04-12 23:04:42+00:00,237.23136883557953,249.05632551421488,234.51870145874742,238.84769284430095,251.88546099228697,238.15587742807313,227.8342153772388,216.88163835818239,222.24611611589674,216.94790254650917,217.25588046428388,208.76097229509443,212.6354545340433,209.20586397561394,220.8067612617747
55,1990-07-24 23:10:45+00:00,237.60558254773863,227.60959883098744,230.8857074647562,232.24095127922183,239.56868968548744,247.513491479456,228.9044101797797,221.34497847525205,223.64406196320786,231.12986162260117,222.94901705336045,221.4397378073322,220.9493010551646,242.96170434029872,265.71516818008314
56,1990-08-09 23:10:40+00:00,229.83041121395527,219.2542550548527,213.19422618890755,215.2902663806662,228.0575872930938,228.82232140116244,223.5790211724007,209.88037646849457,214.99043942228218,217.93356483868007,213.96386597975322,218.48058150890733,229.2851639924369,238.05056841752798,256.4069398400684
57,1990-09-03 23:04:21+00:00,224.71423306919095,216.77599439112566,215.779153917715,219.673438684693,231.08018433287774,222.67272901108686,215.61791897398194,202.43618152285904,208.78839979396074,224.0992232251983,229.41478679629617,,240.78953368986907,236.40772441345072,249.02309451375086
58,1990-09-10 23:10:32+00:00,228.81502043380323,227.98462943440086,224.46367812745663,231.50244700593512,234.14648253108962,235.0493060821234,225.9491628000049,209.56095909829716,213.43525670704534,231.7700304984177,243.79774347113258,252.72542947262932,261.07371992259965,246.89865014410438,248.13615940273075
59,1990-09-19 23:04:17+00:00,229.4644369228066,232.21697191756758,224.0802910561599,226.44499628707356,240.02532730793467,228.13941696852396,219.17803575615957,218.854184759083,224.42519851649297,235.51414133897896,241.79679325128095,,255.14164962040388,247.12840868640492,255.82945094974286
60,1990-09-26 23:10:25+00:00,233.10968090623172,231.87369257813987,230.84228253434918,222.77898060092917,240.84229900879265,229.58887759924286,224.3474810464284,227.72191208757988,224.0912599181443,247.94496910833098,245.77427851319,248.1558157224264,256.4845073201686,259.7000067647085,264.13903878764
61,1990-10-21 23:04:03+00:00,224.03949185501563,211.56394346519482,206.71024776920297,212.29770925772033,221.76670224952238,207.83523128612217,202.4101462823257,210.58128118889806,217.13522917570629,226.6633170322005,234.93259566329058,,234.07667067911734,229.60767974085286,237.6442916029065
62,1990-10-28 23:10:10+00:00,219.79184569634353,216.41422735273247,221.29386216014342,223.50012568621204,229.62255116486375,224.08405212348055,218.17015889685433,214.85942671587492,217.54347614877062,237.3221475034293,237.7111446689942,247.84745921025132,247.24099204052675,236.43636258110678,240.4329496600276
63,1990-11-13 23:10:11+00:00,216.5560371257404,213.76874437600563,213.8090915755734,214.32714832362538,220.40608632277468,213.19536296718618,210.32959007023535,211.48103575340608,220.24512510297188,231.56564818981929,228.41359565433098,226.90764166787972,234.10323657097973,223.4076653657156,230.20987517473048
64,1990-12-24 23:04:08+00:00,209.48128185557283,221.00444963575376,196.53915837075235,200.56705498571213,220.14539225018277,212.62388504871666,207.81116525025735,211.4377981801209,219.34085659589803,219.7092154624233,222.84824682452154,,232.06050005535675,220.81325837860646,233.0628130131538
65,1991-01-09 23:04:34+00:00,223.47733843549906,225.74749502530292,209.4972678862817,215.78452629049303,231.06192907054933,215.1285128696213,213.4506605027857,218.2084614778167,220.4126433589599,219.1422384941264,219.98827286271728,233.38120179679092,229.27491307955052,205.29889532776036,218.86212733830536
66,1991-01-25 23:05:02+00:00,223.51984294429073,226.67701696848786,213.5082093774054,221.9507063433346,229.03530689449667,220.35459623972858,209.1981345448375,223.05985514024997,218.48667403719844,216.7727466535896,227.6794403120582,233.93902867047765,220.84352376490907,208.74223346319246,223.58476908512367
67,1991-02-17 23:11:34+00:00,218.23927391379218,204.3428924816828,203.28571684405225,215.27567427988174,222.58212612919252,213.2453901432897,208.21488019240667,214.1602428766276,211.01113964158017,206.68501256221398,200.74670324680957,,217.27681215017518,206.48339997935298,209.45402113087204
68,1991-03-21 23:12:14+00:00,209.84205355347808,216.40386836908414,210.00723829210116,212.9912393377653,213.56046408670278,210.11462675173698,207.84049824742988,213.20865979589718,209.26386715963804,218.2158521685668,216.83339475154435,216.84642180687797,226.80309363089867,200.23816891911127,199.87112245147708
69,1991-04-15 23:06:27+00:00,222.09828862681297,224.5776717185001,218.61597663836594,218.94713219118657,226.6507080279377,225.27152940523771,217.9694690800845,218.4432340584038,223.30333078633686,216.8884179981933,217.29547058847265,214.83854960797507,224.37271761630143,211.7346928029846,214.10238335255985
70,1991-06-25 23:13:45+00:00,211.02594365289065,202.59774243414026,205.21109735324316,204.5631967331543,224.4792609774051,226.29625405990092,216.23189477232876,216.41409239273614,217.4868404305463,227.10850813254768,222.9283906141901,,241.7045774770564,204.6650988321906,
71,1991-07-20 23:07:55+00:00,208.96936436610224,202.85674260333695,194.0049821947732,213.1249460825383,226.14832027850844,213.43762133019987,200.74068030525513,206.53735173792342,205.60511838550337,202.35598988008027,207.79912619252963,,206.62095499070162,192.54320897730707,
72,1991-07-27 23:14:10+00:00,194.205440696858,198.07602372383283,201.03801772940656,205.30225613316807,222.58034868835395,221.3926767381544,210.68450807241342,199.88905662721947,205.93015891806465,207.9374569579614,211.22903564444778,,209.6646897203008,184.47213035441712,
73,1991-08-05 23:08:01+00:00,199.58502002035524,215.03698583138933,224.78911961937249,209.73995448407993,224.33774450570422,233.49267882732082,212.65925746100905,193.76559742048394,204.44868284729563,201.886047947393,209.6014798866731,,225.6259069537687,194.5337135317826,162.59193744954112
74,1991-08-12 23:14:12+00:00,205.4169176813085,208.8022258819336,214.9331522286509,215.3578348832136,223.41914548680094,227.72436201223786,216.10110854571496,198.91787160136525,207.1698603855944,203.1937503393472,205.32118057308267,,215.82437504502886,182.88611057307492,
75,1991-08-21 23:08:05+00:00,199.73394322934072,207.21329966360233,218.8138397319538,216.81740505461298,220.1535528400439,221.13726895731733,221.26575326386336,208.19730009226438,204.6323256047342,208.75088979554212,202.0774552826011,,223.75971612295953,195.7225627834385,
76,1991-08-28 23:14:21+00:00,206.070885593285,211.9410684361368,221.90051355090634,224.48610040094556,234.68563389871161,219.22614250451613,218.32355297881315,214.6936050885147,211.25359362130453,208.56206969335727,,,221.50850531595955,196.2037693573683,
