dates,nzd0384-0000,nzd0384-0001,nzd0384-0002,nzd0384-0003,nzd0384-0004,nzd0384-0005,nzd0384-0006,nzd0384-0007,nzd0384-0008,nzd0384-0009,nzd0384-0010,nzd0384-0011,nzd0384-0012,nzd0384-0013,nzd0384-0014,nzd0384-0015,nzd0384-0016,nzd0384-0017,nzd0384-0018,nzd0384-0019,nzd0384-0020,nzd0384-0021,nzd0384-0022,nzd0384-0023,nzd0384-0024,nzd0384-0025,nzd0384-0026,nzd0384-0027,nzd0384-0028,nzd0384-0029,nzd0384-0030,nzd0384-0031,nzd0384-0032,nzd0384-0033,nzd0384-0034,nzd0384-0035,nzd0384-0036,nzd0384-0037,nzd0384-0038,nzd0384-0039,nzd0384-0040,nzd0384-0041,nzd0384-0042,nzd0384-0043,nzd0384-0044,nzd0384-0045,nzd0384-0046,nzd0384-0047,nzd0384-0048,nzd0384-0049,nzd0384-0050,nzd0384-0051,nzd0384-0052,nzd0384-0053,nzd0384-0054,nzd0384-0055,nzd0384-0056,nzd0384-0057,nzd0384-0058,nzd0384-0059,nzd0384-0060,nzd0384-0061,nzd0384-0062,nzd0384-0063,nzd0384-0064,nzd0384-0065,nzd0384-0066,nzd0384-0067,nzd0384-0068,nzd0384-0069,nzd0384-0070,nzd0384-0071,nzd0384-0072,nzd0384-0073,satname
2001-12-30 21:55:49+00:00,300.11,284.87,281.54,279.19,273.17,270.36,268.19,269.88,273.37,277.90,280.74,288.63,289.38,291.92,289.84,288.76,284.27,282.76,282.36,282.69,281.28,287.51,287.20,288.81,305.63,307.13,312.31,311.03,310.80,310.65,311.83,309.83,313.66,316.20,317.38,326.10,326.42,325.84,319.38,316.65,315.30,324.87,323.78,312.81,317.47,321.78,318.40,314.53,318.39,321.38,323.23,319.93,332.08,333.73,338.38,340.21,337.90,334.23,329.34,326.37,332.46,347.09,339.51,345.40,348.25,344.69,343.46,344.98,336.03,348.97,351.38,354.97,343.63,345.62,L7
2002-02-16 21:56:06+00:00,330.88,308.55,293.60,292.70,296.93,297.77,289.53,286.12,290.32,290.69,295.02,296.26,300.87,299.03,301.33,301.48,299.15,294.77,282.98,287.68,294.09,300.14,303.55,313.00,319.20,319.12,320.07,320.48,318.09,314.64,321.67,319.75,320.72,317.90,329.28,332.13,336.55,341.55,330.77,329.87,334.21,337.37,342.57,338.37,338.23,336.73,331.25,323.48,315.14,320.02,324.00,318.23,323.96,336.25,339.29,334.06,333.94,334.15,332.33,333.07,332.63,329.67,328.99,331.43,338.49,334.30,340.72,,,,,339.53,341.51,331.54,L7
2002-05-07 21:56:03+00:00,,,,286.27,286.25,288.41,284.02,284.63,293.12,285.23,288.39,288.45,294.95,297.48,295.68,297.70,292.29,291.99,291.13,292.00,289.81,293.13,292.12,301.94,309.90,313.91,316.03,317.43,316.40,318.69,319.55,323.72,326.57,328.33,320.36,328.02,336.78,335.65,339.03,332.44,332.61,336.02,336.98,329.78,330.98,334.45,336.15,330.27,329.52,326.77,330.52,335.15,336.13,337.63,346.38,345.26,347.30,341.23,335.98,338.41,342.17,347.52,350.43,344.68,340.60,331.79,321.47,317.56,313.97,323.20,328.24,331.31,325.56,334.66,L7
2002-08-11 21:55:24+00:00,306.71,300.07,298.10,293.67,293.24,293.34,300.07,300.80,305.31,308.69,308.20,309.46,311.48,311.84,313.90,308.89,303.39,306.67,303.24,301.18,298.13,299.10,299.07,305.03,317.63,323.89,327.86,327.35,329.36,326.88,319.52,325.62,328.68,330.92,332.98,345.59,345.79,350.49,356.83,350.09,341.80,345.84,349.10,345.45,337.69,336.33,335.26,338.75,328.72,330.38,335.90,338.19,346.94,348.43,359.29,356.39,350.16,344.13,337.70,332.12,341.06,349.48,349.11,350.29,354.44,346.61,336.19,345.71,343.05,345.73,355.45,352.28,353.49,345.37,L7
2002-08-27 21:55:12+00:00,307.17,295.27,288.74,272.97,280.79,278.27,276.38,276.84,279.52,287.25,290.88,296.03,295.84,299.31,278.61,273.11,271.44,276.89,284.63,288.80,291.80,286.81,296.46,300.88,301.02,302.26,314.42,321.10,313.21,319.03,317.04,315.50,326.80,326.40,330.42,329.17,331.57,337.41,337.33,336.35,339.12,343.44,335.03,333.68,331.61,331.62,327.32,323.40,326.96,315.04,318.02,330.59,341.47,337.54,341.25,339.90,331.63,336.90,330.21,323.66,335.13,335.33,326.53,326.33,336.70,337.41,339.58,337.06,336.31,337.74,342.08,334.76,343.36,335.80,L7
2002-09-12 21:55:07+00:00,335.93,316.30,308.42,311.61,305.55,300.33,289.98,289.82,297.47,299.65,301.78,304.30,312.72,309.94,310.07,306.85,307.77,305.19,302.31,302.06,306.79,305.17,312.11,322.87,328.07,330.43,333.75,331.88,334.84,338.89,334.48,340.63,339.39,336.77,340.81,345.56,349.06,346.11,345.75,347.94,354.31,357.17,355.53,348.78,337.97,340.09,340.11,339.71,336.75,330.98,335.23,338.45,343.67,352.47,363.82,359.66,358.12,352.92,347.78,345.17,346.51,344.26,346.18,347.04,352.84,350.45,344.90,340.32,349.26,343.06,355.98,346.31,350.20,345.64,L7
2002-10-14 21:54:55+00:00,308.71,297.92,295.94,291.91,296.92,298.39,290.57,289.43,294.23,296.02,302.82,302.68,300.17,307.55,307.56,306.23,301.29,300.51,294.14,295.66,294.39,300.08,306.63,307.94,315.57,325.44,331.42,330.31,331.01,327.34,329.17,330.93,326.49,329.04,342.89,339.90,344.18,343.92,346.76,345.36,347.62,345.45,345.74,342.54,336.45,337.67,334.71,334.99,333.25,335.57,332.14,335.28,342.16,346.19,348.17,350.04,348.40,347.30,346.21,342.89,340.54,348.42,348.26,344.99,350.25,341.92,337.90,338.06,341.32,335.50,347.66,338.74,339.72,340.26,L7
2002-10-30 21:55:01+00:00,323.49,305.49,302.46,303.18,302.65,297.34,295.62,295.35,298.92,303.08,304.54,311.04,309.23,311.44,312.37,308.25,309.72,305.13,301.56,305.38,306.02,307.10,315.31,317.22,321.98,326.02,328.70,334.15,329.39,332.88,338.03,334.96,341.66,343.82,344.64,345.02,351.52,349.55,350.88,356.26,356.43,357.03,355.07,351.19,354.15,347.77,347.41,343.39,344.41,344.12,344.10,343.63,351.83,355.97,361.57,360.57,356.50,360.90,351.12,352.31,353.92,355.92,358.53,353.25,359.53,352.11,353.13,343.64,339.95,346.84,354.81,349.95,348.15,342.67,L7
2003-01-02 21:55:34+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,318.37,,,L7
2003-01-18 21:55:42+00:00,302.30,287.34,291.54,281.95,279.92,280.40,281.12,278.69,285.72,288.98,290.91,297.00,298.42,302.97,301.83,298.88,297.64,294.30,292.31,285.83,284.67,288.87,298.26,305.95,310.64,317.82,322.95,321.75,321.86,324.08,322.76,328.47,329.09,328.89,330.02,331.59,332.79,338.30,338.80,338.26,340.33,346.61,348.07,334.74,332.52,334.56,332.60,326.52,325.27,324.87,330.06,329.46,338.00,348.21,346.80,348.68,344.31,338.98,339.03,334.46,341.91,340.10,336.16,337.66,344.76,337.43,338.27,332.88,325.85,327.09,344.22,344.15,345.95,343.80,L7
