dates,nzd0426-0000,nzd0426-0001,nzd0426-0002,nzd0426-0003,nzd0426-0004,nzd0426-0005,nzd0426-0006,nzd0426-0007,nzd0426-0008,nzd0426-0009,nzd0426-0010,nzd0426-0011,nzd0426-0012,nzd0426-0013,nzd0426-0014,nzd0426-0015,nzd0426-0016,nzd0426-0017,nzd0426-0018,nzd0426-0019,nzd0426-0020,nzd0426-0021,nzd0426-0022,nzd0426-0023,nzd0426-0024,nzd0426-0025,nzd0426-0026,nzd0426-0027,nzd0426-0028,nzd0426-0029,nzd0426-0030,nzd0426-0031,nzd0426-0032,nzd0426-0033,nzd0426-0034,nzd0426-0035,nzd0426-0036,nzd0426-0037,nzd0426-0038,nzd0426-0039,nzd0426-0040,satname
2006-10-23 22:09:36+00:00,366.07,,,,378.81,364.31,353.20,349.55,370.34,356.25,359.51,359.05,358.79,350.02,360.01,358.40,357.94,365.91,369.80,,371.14,372.48,374.81,375.03,379.94,376.74,380.97,384.35,395.66,397.89,403.74,417.94,416.58,422.07,,412.31,401.35,401.82,396.92,391.47,392.72,L7
2006-10-31 22:14:17+00:00,377.03,405.93,407.88,405.63,401.31,390.70,371.51,368.82,386.46,372.58,371.53,383.56,376.14,376.31,383.93,386.84,379.17,384.68,384.68,389.23,393.15,392.04,394.43,397.46,401.55,400.62,403.68,406.89,416.23,420.19,425.11,424.97,430.86,431.25,428.14,429.46,425.52,423.13,422.85,421.43,415.16,L5
2006-11-08 22:09:50+00:00,359.43,392.51,393.90,388.77,384.82,370.06,354.44,355.25,365.47,350.53,352.29,356.89,355.00,344.18,355.07,357.73,351.59,356.22,366.92,366.10,358.68,363.11,363.01,379.03,378.70,382.09,379.45,379.50,387.83,392.23,396.25,400.89,415.42,414.90,406.10,406.61,409.48,413.91,413.17,407.47,396.11,L7
2007-01-11 22:10:12+00:00,388.85,413.45,418.18,426.30,417.76,398.47,381.66,367.42,378.60,363.13,363.87,373.42,376.65,370.44,380.70,,,377.74,373.78,369.50,375.45,384.69,386.46,397.41,394.30,391.78,396.31,401.24,416.77,416.43,,,435.28,439.61,437.97,438.94,436.87,439.59,433.63,425.98,426.55,L7
2007-02-04 22:14:57+00:00,384.28,399.91,404.86,408.26,405.61,390.26,379.84,369.79,385.03,371.63,371.84,374.89,382.67,375.89,377.89,372.63,367.51,372.81,376.60,377.22,374.95,377.59,376.94,389.91,396.24,391.15,392.01,396.62,400.55,405.08,404.14,411.22,420.26,425.72,416.62,417.11,419.25,425.39,424.80,419.73,414.98,L5
2007-02-28 22:10:28+00:00,395.35,411.98,413.91,420.14,409.90,403.44,400.00,400.86,417.95,406.18,408.40,,,383.19,392.33,395.45,395.59,388.06,392.51,395.20,395.29,403.88,402.77,410.69,416.58,415.75,423.30,,,425.10,430.51,443.37,443.75,439.99,432.23,427.01,419.71,426.48,426.87,426.88,422.22,L7
2007-04-01 22:10:31+00:00,406.58,430.45,438.15,443.24,428.12,435.45,425.50,427.42,438.08,428.97,443.06,415.56,,,,428.73,416.21,414.78,418.84,413.00,410.79,407.48,409.15,419.68,409.60,419.11,428.72,416.64,446.16,433.56,457.18,477.51,476.51,,,,,466.41,464.99,449.28,,L7
2007-05-03 22:10:25+00:00,380.70,388.09,400.95,401.81,396.24,384.17,380.15,375.76,393.80,,393.21,382.97,,,394.81,391.31,387.56,384.71,389.53,389.90,390.69,384.52,391.29,392.36,398.10,393.57,399.58,395.43,,412.26,414.48,430.65,426.66,431.46,426.42,422.73,412.63,414.73,413.81,409.58,403.52,L7
2007-07-06 22:10:13+00:00,389.41,402.91,413.52,423.00,420.39,402.21,391.51,387.21,396.63,,374.23,376.82,376.82,374.47,397.43,391.81,379.93,390.55,389.85,380.96,377.92,385.14,393.26,392.78,396.51,,386.95,393.47,409.22,410.25,416.86,420.78,432.26,434.05,432.31,427.48,428.76,413.23,,,419.67,L7
2007-08-23 22:09:58+00:00,390.89,406.40,408.53,,,405.74,401.34,389.50,393.56,378.59,379.18,376.44,375.16,370.56,379.25,378.25,375.38,383.63,382.16,379.88,,381.17,382.66,390.09,389.02,393.33,393.42,389.13,396.99,400.60,404.38,417.40,414.05,418.01,,,417.16,417.39,413.65,409.37,404.80,L7
