,dates,mex0169-0000,mex0169-0001,mex0169-0002,mex0169-0003,mex0169-0004,mex0169-0005
569,2014-12-08 17:06:42+00:00,230.2881539136354,227.08318997592679,228.79822931432597,230.91206386033846,228.7556932001246,226.52662712009558
570,2014-12-15 17:12:52+00:00,234.0502323798396,231.43285074880887,233.43105192695108,235.75322977611367,229.28609292207884,233.63921348524863
571,2014-12-16 17:05:05+00:00,222.213977312973,225.48461964163053,219.7609258582415,225.550844337987,,
572,2014-12-31 17:12:23+00:00,241.35269554391854,235.0185181424748,237.82096557656487,235.6184511461108,228.95005288470674,228.43727068668446
573,2015-01-01 17:05:06+00:00,231.45006940684613,227.8525481906067,231.79919909578405,229.9250857779584,226.8501900442159,222.7625525497601
574,2015-01-16 17:12:47+00:00,237.7428854022388,234.84350351492554,232.2940229977311,235.94107454575368,228.7600733126199,223.85799626307494
575,2015-01-17 17:05:08+00:00,231.66350751890687,237.1447319608572,235.3954338298525,236.88789396754186,228.83070294260875,229.7692995081543
576,2015-01-24 17:11:22+00:00,,,,,221.56492407891002,225.9631353727743
577,2015-02-09 17:11:27+00:00,238.2636464092932,240.49130263179262,237.9267830425095,234.69995719751665,231.6873877199262,232.83750783108286
578,2015-02-18 17:05:20+00:00,240.51009882345414,243.39208853782384,237.82310956596626,242.51495468278097,228.31481828281557,232.1813903355558
579,2015-02-25 17:11:36+00:00,,,,,,
580,2015-02-26 17:06:22+00:00,238.1225921925294,241.41110103587386,240.62183380960846,236.6132223391395,232.97739217294256,231.14225513369465
581,2015-03-06 17:05:28+00:00,,,,,,
582,2015-03-13 17:11:42+00:00,,,,,,
583,2015-03-22 17:05:37+00:00,247.42495716655702,,,,,
584,2015-03-29 17:11:49+00:00,234.87456720720283,229.28422010608494,230.2759003198495,236.89181698874822,234.47374453302513,231.53020222765377
585,2015-04-07 17:05:44+00:00,238.0786191846199,229.10344177838158,234.54319882759543,235.68974713702926,,
586,2015-04-15 17:05:58+00:00,229.5576497597457,226.29916531792514,224.1461029850405,236.19845839478174,226.77404549384403,232.3048889804803
587,2015-04-22 17:12:07+00:00,242.59563655736903,229.4010201412823,236.1456380522553,243.90284982545128,235.63148631206857,232.33804496090193
588,2015-04-23 17:05:50+00:00,,224.39527703636963,224.57552698409344,228.72709235773874,223.68970548488525,223.57153606555715
589,2015-05-01 17:05:48+00:00,244.35034908207118,234.7587730397402,236.17600121537464,241.4635580408108,231.32228554450316,229.53355971112106
590,2015-05-17 17:05:36+00:00,237.0643730740313,230.41810206535405,232.78052948081088,239.1659146078076,237.4621900891922,241.67851737031296
591,2015-05-25 17:06:02+00:00,,,,218.05054282346686,212.74060166134896,215.42586488757343
592,2015-06-02 17:05:43+00:00,215.53389522759105,211.23167058241904,211.37645621858735,219.78300928093068,212.81878934220452,217.853670601889
593,2015-06-10 17:06:11+00:00,224.65295095081805,218.4031243661956,222.15824455262063,,,
594,2015-06-18 17:05:53+00:00,227.32127194075758,217.6119947988851,216.42579131802148,226.55594815673697,219.95993025315826,230.88374574917646
595,2015-06-25 17:12:05+00:00,229.80518416535483,213.5395397680014,212.87486834389344,219.1150094779941,218.64185028404233,221.6161614097281
596,2015-06-26 17:06:11+00:00,,,,,,
597,2015-07-04 17:06:01+00:00,225.8380574375949,225.01951563523903,220.47757968536976,231.46261221578237,222.99724682712957,222.38092884999338
598,2015-07-19 17:12:31+00:00,,,,,,
599,2015-07-28 17:06:20+00:00,,,,,,
600,2015-08-04 17:12:34+00:00,,,,,,
