,dates,chi0023-0000,chi0023-0001,chi0023-0002,chi0023-0003,chi0023-0004
23,1989-03-23 14:11:21+00:00,188.46850256994446,177.73906056720622,184.84322788344164,191.65433087075508,197.3204991290492
24,1989-04-24 14:11:18+00:00,,168.44157976729602,174.81263926900456,181.86803318110825,184.94009370712268
25,1989-05-10 14:11:05+00:00,185.69429665149306,171.28545989210883,185.24824464956356,188.6193572082981,196.07694458053035
26,1989-05-26 14:10:48+00:00,187.1683300593048,164.99284874229602,175.6748424400022,185.8002283828483,187.94382323114783
27,1989-09-15 14:07:51+00:00,,188.7517921330978,197.55737123177303,202.4542376891005,206.75121983941332
28,1989-12-20 14:05:45+00:00,199.60405576740203,190.82806940675735,190.54131185904066,195.20139627087465,206.55835955010917
29,1990-01-21 14:04:45+00:00,207.9571044305398,200.69354500859112,194.55410856406857,194.05427822304227,196.67506776346082
30,1990-02-22 14:03:42+00:00,212.59590530759337,206.76854477164053,204.8377636875406,215.38637266732917,215.19409423564815
31,1990-03-10 14:03:08+00:00,,191.6229213912719,193.84941403777984,199.96622487938734,204.41364831705292
32,1990-04-11 14:02:37+00:00,186.48610772195474,172.62774519053377,175.66878123790775,198.68807307585237,195.93203514270786
33,1990-05-13 14:02:42+00:00,187.10361081093095,169.01977410606136,181.7204496124669,198.52158381020925,201.79632079086448
34,1990-06-30 14:02:11+00:00,205.10065597840634,195.2846117898801,196.81351242032216,,
35,1990-09-02 14:01:53+00:00,200.0617221037904,181.54668556673997,186.3092044175352,196.39451929285133,202.74563373620805
36,1990-12-07 14:01:42+00:00,,,,176.61539121713912,207.80198185727508
37,1990-12-23 14:01:39+00:00,199.83851387855756,183.89263716695143,189.79727807505103,199.17281061172233,202.02895690333025
38,1991-01-08 14:02:28+00:00,198.37852993958285,185.58708903075404,187.31560950136551,200.00857455935065,206.933159970795
39,1991-02-09 14:03:06+00:00,200.8644625805265,191.10463396573135,194.13455046486854,197.14540538491104,196.36515109444966
40,1991-03-29 14:04:00+00:00,199.1303878961414,185.15728504779733,187.73581166655026,198.2425791510795,201.7591591957314
