dates,satname,nzd0360-0000,nzd0360-0001,nzd0360-0002,nzd0360-0003,nzd0360-0004,nzd0360-0005,nzd0360-0006,nzd0360-0007,nzd0360-0008,nzd0360-0009,nzd0360-0010,nzd0360-0011,nzd0360-0012,nzd0360-0013,nzd0360-0014,nzd0360-0015,nzd0360-0016,nzd0360-0017,nzd0360-0018,nzd0360-0019,nzd0360-0020,nzd0360-0021,nzd0360-0022,nzd0360-0023,nzd0360-0024,nzd0360-0025,nzd0360-0026,nzd0360-0027,nzd0360-0028,nzd0360-0029,nzd0360-0030,nzd0360-0031,nzd0360-0032,nzd0360-0033,nzd0360-0034,nzd0360-0035,nzd0360-0036,nzd0360-0037,nzd0360-0038,nzd0360-0039,nzd0360-0040,nzd0360-0041,nzd0360-0042,nzd0360-0043,nzd0360-0044,nzd0360-0045,nzd0360-0046,nzd0360-0047,nzd0360-0048,nzd0360-0049,nzd0360-0050,nzd0360-0051,nzd0360-0052,nzd0360-0053,nzd0360-0054,nzd0360-0055,nzd0360-0056,nzd0360-0057,nzd0360-0058,nzd0360-0059,nzd0360-0060,nzd0360-0061,nzd0360-0062,nzd0360-0063,nzd0360-0064,nzd0360-0065,nzd0360-0066,nzd0360-0067,nzd0360-0068,nzd0360-0069,nzd0360-0070,nzd0360-0071,nzd0360-0072,nzd0360-0073,nzd0360-0074
2000-05-17 21:59:19+00:00,L7,347.98,351.90,351.03,350.30,341.67,339.57,340.74,336.88,345.42,341.16,329.21,338.97,341.02,342.63,340.91,344.70,337.07,342.80,353.15,361.15,357.64,363.21,368.52,367.66,369.31,362.07,358.28,359.02,353.64,350.93,348.12,345.91,353.96,363.89,369.39,363.23,358.51,365.02,371.32,375.12,375.39,383.12,374.05,373.16,375.70,380.36,378.57,379.81,374.75,381.52,369.41,364.22,363.26,370.90,355.16,349.52,359.23,354.53,357.60,365.29,366.87,356.91,343.28,342.22,351.86,346.73,,,,,,,,,
2000-06-18 21:59:03+00:00,L7,342.39,347.71,345.52,343.01,336.45,337.72,337.77,331.00,341.71,334.23,325.14,328.49,330.69,333.75,336.23,337.31,342.01,342.95,,,357.68,363.87,368.04,364.19,361.16,358.48,352.44,351.60,348.90,346.62,341.99,342.51,350.88,357.97,359.53,348.81,345.82,352.08,360.23,360.03,361.15,367.39,362.72,356.10,362.34,363.47,362.28,,,,354.37,352.34,351.60,362.25,353.76,340.10,340.69,343.73,345.89,350.31,346.92,337.22,326.57,327.51,337.60,335.15,338.64,328.70,316.51,283.17,263.67,262.83,254.31,248.59,248.95
2000-08-05 21:58:20+00:00,L7,344.09,349.44,345.39,345.61,338.04,336.84,338.55,335.23,343.18,342.07,330.96,335.11,334.10,338.31,337.46,341.29,343.15,344.15,350.75,358.15,361.56,361.13,368.16,365.10,365.38,359.24,353.12,350.39,345.86,345.75,342.61,344.79,348.48,359.31,363.87,354.76,351.87,355.21,365.86,367.75,369.63,376.27,369.31,363.59,368.25,371.19,365.31,365.46,362.12,364.54,355.71,356.96,359.40,364.03,357.38,346.01,348.61,348.88,345.00,353.78,350.04,341.01,333.63,333.72,343.04,333.60,340.27,327.49,,,,,,,
2000-11-25 21:57:34+00:00,L7,347.10,354.07,352.66,350.17,344.69,337.82,338.00,341.12,350.64,347.11,338.97,339.91,341.90,343.34,345.85,340.41,345.89,347.52,353.68,366.31,365.50,369.65,370.73,367.75,368.42,363.79,360.93,360.42,351.79,350.96,351.25,351.31,354.51,369.41,373.25,363.01,361.32,364.94,371.22,371.26,374.26,378.17,372.21,369.22,369.36,376.89,373.53,372.48,370.56,374.50,368.76,373.66,369.37,370.34,357.94,352.09,354.11,351.95,351.04,356.82,353.91,348.79,340.30,337.61,343.87,342.15,340.30,339.97,328.62,301.30,284.66,272.69,257.87,250.96,248.88
2000-12-11 21:57:36+00:00,L7,347.85,349.63,349.52,348.34,343.37,337.73,334.83,334.86,346.32,342.88,334.30,329.80,336.21,340.83,333.48,335.22,331.68,335.59,344.49,349.24,349.46,351.58,355.78,360.06,357.18,357.32,352.07,358.61,349.15,353.04,349.78,349.56,351.20,363.31,363.65,360.03,355.26,356.11,366.43,367.17,373.22,378.91,367.43,365.44,370.18,372.41,369.51,372.82,368.64,378.53,366.92,370.95,362.61,369.87,360.81,346.58,349.39,341.07,343.64,352.68,350.44,344.37,336.89,338.69,343.59,342.16,338.78,339.40,324.73,294.61,270.48,262.47,254.93,248.76,245.62
2001-02-13 21:57:39+00:00,L7,,,,351.09,344.65,339.30,337.12,340.43,346.59,339.92,338.49,333.83,336.79,335.88,339.05,340.42,337.28,341.19,350.11,361.49,360.46,359.82,364.16,361.65,353.87,358.78,352.05,355.68,347.32,348.98,349.95,347.63,348.22,359.87,364.74,357.73,353.42,358.07,365.62,365.89,368.05,372.38,368.57,363.43,365.77,377.63,375.14,369.82,369.20,371.26,367.17,361.33,358.11,365.40,353.76,344.43,343.94,342.67,345.79,350.82,345.99,341.83,330.58,329.10,334.04,330.12,332.96,330.21,316.71,300.17,278.33,281.40,269.58,267.42,266.04
2001-05-20 21:57:04+00:00,L7,350.23,356.84,353.02,354.49,351.25,348.28,353.80,346.92,358.61,351.38,344.97,345.21,344.55,346.58,347.95,345.35,347.25,354.29,362.42,372.20,373.74,373.04,375.27,377.38,375.51,368.61,370.61,366.12,362.88,359.38,357.19,356.30,362.94,371.54,378.93,372.35,364.77,364.17,375.38,377.68,379.39,383.42,382.32,378.06,378.65,385.51,386.95,381.42,379.90,380.80,371.14,370.71,367.27,371.96,370.20,355.43,356.12,354.06,357.97,362.52,353.86,349.00,340.78,341.86,348.51,346.11,,,,,,,,,
2001-06-05 21:56:52+00:00,L7,350.60,353.81,350.52,348.40,342.69,342.24,344.54,334.19,342.01,336.53,331.14,332.66,332.49,334.38,333.16,337.20,337.95,345.97,356.40,358.11,359.15,362.83,368.39,362.76,359.62,360.47,352.83,359.56,353.86,353.84,348.66,348.62,353.33,366.13,368.95,355.42,356.76,364.15,368.70,370.38,371.30,375.83,375.17,369.23,371.39,377.21,370.19,375.32,370.21,375.78,365.96,370.03,367.62,370.55,366.16,346.40,346.29,347.87,346.02,352.42,348.04,345.53,340.24,337.88,346.69,346.00,345.79,342.36,323.35,,,,,,
2001-07-07 21:56:36+00:00,L7,344.87,348.33,343.82,342.69,337.23,341.52,343.97,340.22,347.31,335.98,338.75,332.83,330.53,337.31,334.30,334.90,339.17,343.59,357.87,367.99,366.38,369.98,373.48,367.47,367.76,362.60,360.99,360.17,354.43,351.47,350.62,349.94,358.95,368.77,372.13,361.08,353.97,360.39,364.88,364.01,369.75,378.00,367.96,365.35,367.23,370.23,368.23,369.34,364.29,372.08,361.24,365.76,360.82,,,,,,,,,,,,,,,,,,,,,,
2001-08-08 21:56:12+00:00,L7,350.33,351.73,346.58,346.85,340.38,341.37,339.83,336.31,341.91,335.78,326.10,327.73,330.58,333.03,338.35,337.56,337.44,342.56,348.91,362.25,359.71,363.04,366.93,361.69,357.65,359.79,355.46,359.67,351.97,347.15,345.82,347.72,349.85,360.76,361.34,352.12,352.99,357.98,364.59,368.10,368.13,375.37,368.64,363.99,363.70,369.95,366.02,363.26,361.48,365.45,358.42,356.18,359.47,367.97,356.79,346.14,342.08,340.96,337.03,340.39,340.26,338.25,329.02,334.51,341.75,340.72,335.73,329.72,309.78,288.88,266.78,261.01,255.88,249.38,244.16
2001-08-24 21:56:00+00:00,L7,356.01,357.82,353.45,350.23,342.03,343.16,342.30,339.52,345.91,341.16,333.07,331.44,336.33,341.17,346.32,345.61,344.52,351.75,357.29,365.45,366.98,367.09,370.39,366.66,361.44,359.81,356.31,360.87,352.99,349.81,351.03,350.89,350.89,363.77,368.00,358.62,358.29,358.36,367.84,370.37,375.06,375.73,368.23,367.57,366.81,370.20,366.38,363.06,361.18,365.78,358.35,357.58,362.80,371.97,359.93,347.06,346.83,328.87,338.54,340.00,338.88,338.09,332.55,330.68,338.45,337.87,336.50,332.83,311.55,287.65,274.39,271.64,264.26,256.45,260.63
2001-09-25 21:55:40+00:00,L7,339.10,347.63,343.31,344.41,340.38,338.87,339.03,337.95,346.66,343.74,330.14,330.01,330.90,336.17,330.98,332.70,334.24,342.43,348.90,355.82,359.01,355.67,361.60,360.84,359.12,357.18,355.41,356.49,348.93,346.39,347.11,344.99,347.38,358.73,364.77,357.35,352.78,355.99,366.07,368.43,368.10,369.95,365.47,357.28,359.80,368.69,365.73,361.47,361.13,363.75,357.05,357.65,359.37,365.01,367.79,348.71,342.44,337.46,337.61,343.40,340.02,337.21,328.91,331.87,340.95,335.61,333.17,334.06,323.18,299.71,284.11,282.48,267.81,266.58,264.60
2001-10-11 21:55:21+00:00,L7,350.25,352.71,350.05,347.85,340.92,341.50,342.41,340.43,348.36,342.45,333.80,329.89,337.43,339.60,342.89,340.07,344.70,350.50,357.56,364.48,362.02,364.99,370.21,367.08,368.41,365.85,364.51,359.81,352.29,351.59,356.27,355.14,358.64,368.21,375.13,365.67,365.46,364.40,372.58,377.51,374.18,383.96,370.97,367.28,369.33,381.07,376.14,373.79,367.00,375.74,368.69,371.12,371.74,376.34,375.57,352.81,349.70,344.57,346.76,350.11,353.40,345.57,340.36,343.30,349.47,341.71,341.69,340.29,312.17,289.43,275.05,276.71,266.01,259.36,260.21
2001-12-14 21:55:53+00:00,L7,329.94,335.88,334.31,333.43,328.61,330.74,325.38,324.01,328.96,329.34,320.55,324.87,329.35,328.78,334.87,330.58,330.02,329.76,336.36,343.63,343.35,340.72,347.24,354.66,351.59,352.25,348.79,349.08,345.53,339.15,335.51,338.45,343.02,351.87,357.06,349.34,344.73,347.86,358.29,362.09,361.28,362.77,360.76,354.73,354.30,361.31,358.99,359.62,355.86,360.60,357.08,356.59,355.89,363.85,348.26,335.92,336.79,332.66,331.75,337.62,340.88,339.98,328.86,332.52,339.56,341.40,343.18,328.79,304.84,278.03,262.96,261.05,259.55,250.05,248.66
2001-12-30 21:55:49+00:00,L7,343.75,349.04,345.04,346.23,341.33,337.61,338.81,337.34,342.35,340.37,335.00,331.06,334.84,336.24,334.15,336.23,338.44,346.51,352.80,360.33,361.08,361.35,363.47,363.28,360.93,361.91,360.14,359.87,350.81,348.70,347.71,349.67,351.44,364.92,370.49,358.86,356.39,361.85,366.61,369.09,370.33,375.89,366.17,361.27,362.05,371.96,367.59,365.02,363.15,370.39,362.74,366.70,363.56,368.92,359.76,347.28,347.16,341.35,341.01,348.13,348.66,345.26,339.04,340.61,350.37,349.82,349.72,343.66,316.94,292.04,269.86,272.85,263.29,255.28,256.33
2002-01-15 21:55:59+00:00,L7,351.79,354.92,349.55,350.04,341.97,341.98,342.48,339.37,344.61,342.95,334.42,337.42,338.78,342.49,343.95,340.19,342.48,350.55,357.72,366.93,363.22,369.39,370.87,368.73,368.05,367.41,367.32,364.89,357.75,354.99,354.78,353.10,358.35,371.05,377.84,370.76,365.80,369.66,373.72,375.67,376.69,382.29,374.30,368.25,367.48,375.01,375.45,373.86,369.42,378.40,367.86,371.94,366.40,377.63,371.10,354.21,351.19,346.81,344.59,353.73,351.85,346.53,343.65,349.62,356.75,351.63,361.08,338.64,310.79,289.51,271.60,270.30,264.25,254.50,255.84
2002-03-04 21:56:09+00:00,L7,347.58,351.07,344.09,343.94,334.49,338.69,335.26,327.25,339.22,338.72,,,,,,,,,,,,,367.37,364.29,362.20,360.88,,,,,,,,,365.33,353.69,353.51,358.61,366.12,367.40,369.41,373.45,367.26,357.38,360.41,368.90,361.14,365.32,360.01,368.43,361.86,361.03,363.20,370.25,354.04,344.99,345.85,341.13,339.65,343.97,344.89,344.28,343.48,345.36,352.22,343.07,339.28,327.22,313.41,287.49,282.11,280.72,271.51,260.71,263.82
2002-05-07 21:56:03+00:00,L7,349.47,351.28,347.88,348.63,342.61,339.32,339.15,331.94,343.81,342.63,332.34,334.87,328.98,333.39,341.68,339.80,346.42,351.65,358.67,369.01,369.48,371.27,372.25,369.14,365.83,362.73,359.76,361.49,355.18,350.55,347.83,348.23,354.85,365.47,367.95,357.45,357.56,363.94,368.68,370.14,365.56,368.15,362.22,355.54,360.79,368.60,361.91,367.13,368.39,372.98,361.89,365.49,363.64,373.33,359.31,341.36,342.01,341.24,341.82,348.71,353.46,350.45,345.63,340.37,343.84,338.57,341.68,341.29,320.31,302.09,287.12,285.32,267.08,266.68,263.36
2002-06-24 21:55:40+00:00,L7,348.77,354.97,348.82,353.54,347.83,342.21,338.60,334.65,339.59,339.72,332.81,331.11,341.48,339.76,344.69,342.40,344.87,349.93,357.34,367.71,368.81,369.49,371.41,369.66,372.89,369.10,367.58,366.71,358.70,354.96,349.17,350.55,352.98,365.41,369.40,356.72,355.82,365.14,368.53,371.75,369.74,372.12,366.13,359.85,363.14,369.21,366.93,366.69,367.09,373.23,365.76,365.99,361.65,367.79,354.99,346.65,340.66,341.33,338.18,348.58,350.56,345.93,340.44,343.08,348.95,341.27,341.14,341.30,317.73,297.48,272.39,280.09,260.61,256.27,
2002-08-27 21:55:12+00:00,L7,333.32,340.08,336.96,335.77,324.39,324.89,328.00,324.16,334.27,325.64,320.44,320.44,325.35,323.44,327.34,326.49,330.36,335.86,338.36,343.19,348.45,347.05,353.82,355.20,355.30,357.28,352.37,352.52,344.24,339.35,336.76,336.09,338.70,354.87,354.82,348.65,340.08,349.76,356.71,357.88,359.30,364.11,353.26,349.32,354.80,356.31,350.44,353.33,353.91,362.03,353.35,352.59,355.44,360.32,347.50,335.46,329.45,330.52,327.23,332.59,328.98,326.62,322.74,327.48,334.01,327.41,325.62,324.95,315.31,303.48,271.52,266.91,261.60,255.90,256.19
2002-09-12 21:55:07+00:00,L7,345.78,350.33,344.92,345.31,339.30,335.96,336.56,332.93,339.28,331.58,332.20,329.82,330.43,329.46,333.65,336.07,339.54,344.66,353.04,355.28,360.89,360.43,365.98,364.26,361.90,362.55,357.40,359.45,349.61,341.97,338.34,343.87,344.42,359.16,358.46,355.67,351.45,357.06,362.98,360.80,358.02,365.31,354.57,350.77,353.29,359.80,357.23,358.59,359.56,366.42,358.29,359.14,359.86,362.46,355.61,341.05,335.89,336.66,331.66,338.88,335.88,335.14,329.27,332.31,336.94,332.41,333.28,334.59,326.52,302.51,295.48,265.22,260.54,253.88,253.96
2002-10-14 21:54:55+00:00,L7,347.57,350.47,347.50,345.20,342.32,338.42,334.92,335.05,340.10,339.71,337.61,331.27,338.23,337.00,336.48,338.50,339.35,344.08,353.53,364.23,362.63,364.12,368.27,364.84,364.94,364.20,363.66,363.21,352.66,349.11,348.47,350.66,350.99,364.23,369.91,358.19,354.41,360.60,367.40,367.16,368.22,368.34,364.00,356.43,359.07,368.81,363.82,365.22,366.58,370.86,366.80,364.54,364.66,370.88,360.48,347.54,342.37,340.91,337.88,344.46,343.45,341.67,337.45,341.78,347.11,341.19,336.85,341.86,342.57,339.31,315.36,281.57,267.16,268.37,265.51
2002-10-30 21:55:01+00:00,L7,346.62,351.80,348.11,350.61,341.90,339.87,338.03,339.47,348.58,342.57,340.00,335.78,340.65,340.89,341.76,339.24,342.49,346.72,353.81,365.14,362.97,364.52,369.65,365.21,367.38,364.61,364.83,362.81,355.76,353.53,349.95,348.96,351.05,363.92,368.42,360.28,358.13,360.99,368.94,366.05,368.02,368.28,362.14,355.59,356.25,366.08,360.18,360.75,363.19,367.54,360.29,359.41,362.23,368.89,353.40,344.13,338.00,337.89,335.33,340.84,339.56,338.36,335.74,335.84,343.30,338.51,336.84,340.77,335.77,334.94,316.07,281.44,266.55,267.50,264.16
2003-01-02 21:55:34+00:00,L7,334.62,342.68,338.99,340.94,339.21,335.80,332.98,334.14,338.62,338.19,335.94,332.41,332.60,333.01,328.53,332.53,331.83,339.80,342.40,349.84,348.04,353.58,357.95,360.39,353.94,358.71,352.76,354.17,347.14,339.64,338.81,342.70,342.01,353.57,355.75,349.55,341.84,353.16,355.10,357.68,358.95,364.04,353.82,352.55,355.99,361.49,358.26,358.83,361.77,364.66,360.00,358.40,358.80,362.36,354.39,334.49,330.47,333.11,328.81,337.76,336.20,338.76,335.15,333.73,339.23,338.74,334.41,335.21,331.85,325.44,273.74,275.24,264.36,258.18,256.56
2003-01-18 21:55:42+00:00,L7,339.97,347.24,342.41,343.09,340.47,337.93,334.95,334.30,341.75,340.45,332.11,336.07,331.51,338.58,336.89,335.02,336.60,341.69,350.13,353.26,358.64,362.19,368.24,363.30,360.34,362.04,361.90,361.15,354.03,353.13,350.04,350.40,349.87,361.35,367.85,359.97,353.53,358.46,365.42,364.64,368.44,370.03,364.94,359.71,363.49,369.06,360.68,361.69,362.55,369.84,360.56,361.67,360.40,367.57,355.06,343.57,343.50,339.19,336.74,340.53,339.33,339.73,337.26,338.26,344.49,340.61,336.86,341.64,337.20,332.42,279.31,274.80,267.34,258.96,255.59
2003-02-19 21:55:54+00:00,L7,347.55,352.97,349.45,351.23,346.04,344.49,342.88,340.04,348.95,348.37,340.75,339.74,344.32,345.34,346.19,340.21,345.94,345.96,360.11,365.89,371.61,370.09,373.30,368.91,370.16,367.09,365.12,364.04,355.88,355.73,354.11,350.03,354.03,366.35,375.93,363.02,361.95,363.00,371.17,368.63,373.59,371.76,367.82,365.40,364.18,371.33,367.77,366.31,371.19,371.97,365.22,361.61,362.31,366.67,352.95,338.07,335.77,336.76,337.71,341.00,345.21,345.00,335.66,340.47,345.87,341.25,341.45,339.26,333.78,335.89,284.37,272.26,262.88,254.97,261.43
2003-03-23 21:55:52+00:00,L7,337.72,347.63,344.62,344.45,339.13,337.80,334.79,334.75,341.46,340.39,331.91,331.11,333.25,339.16,337.00,338.26,334.33,335.99,342.41,351.88,349.93,348.88,357.21,359.16,352.86,360.20,354.12,357.17,350.30,344.62,342.51,344.90,343.08,356.59,357.71,354.01,350.39,353.50,352.38,359.59,360.12,364.53,352.56,348.64,352.45,358.96,355.33,352.99,356.38,361.78,354.99,353.10,352.59,353.01,339.27,332.13,323.63,326.25,321.59,328.10,330.33,332.30,329.30,330.68,334.16,330.34,332.10,329.41,318.47,300.24,277.25,274.21,266.02,259.07,267.02
2003-04-08 21:55:59+00:00,L7,346.65,349.81,345.49,343.77,338.26,338.13,336.38,333.03,341.48,336.14,329.84,322.71,329.44,334.27,330.80,333.08,335.89,334.15,350.86,355.92,356.14,358.34,366.21,361.57,360.47,362.11,355.87,359.51,349.93,342.79,343.23,345.06,348.11,360.51,366.56,357.19,350.74,355.03,362.32,360.95,361.91,366.06,358.65,356.50,357.18,362.00,356.49,356.64,356.13,361.99,355.40,355.00,357.16,359.80,339.80,333.94,332.99,331.86,330.91,338.82,336.07,336.88,328.99,334.28,342.97,337.15,337.95,338.06,337.22,293.07,269.98,268.33,261.04,254.40,251.97
2003-04-24 21:55:58+00:00,L7,337.72,345.67,340.30,340.30,330.05,333.05,331.72,327.70,336.33,329.85,323.58,323.84,326.65,331.24,332.16,328.59,332.66,333.20,341.00,348.14,354.49,354.15,362.97,361.47,358.95,358.40,351.56,354.96,349.32,343.26,339.35,340.60,,,,,,,,,,,,,,,,,,,,,,,,333.37,331.38,327.60,324.92,338.04,335.40,338.53,331.08,337.78,342.10,339.02,338.15,339.57,332.63,299.43,278.49,276.01,264.79,265.55,261.13
2003-07-21 21:43:45+00:00,L5,343.34,348.82,342.09,342.37,334.43,335.72,334.77,331.02,336.85,337.39,326.82,325.63,328.99,331.91,337.30,335.47,334.66,333.95,345.44,358.31,352.79,358.48,365.71,363.84,362.39,361.20,358.72,357.65,352.73,336.85,334.27,334.30,341.01,353.89,354.57,347.66,344.77,356.67,363.37,366.44,361.42,367.54,358.06,349.92,356.31,362.25,358.72,359.60,357.82,360.87,357.85,355.84,357.89,355.15,344.52,329.37,324.63,329.78,331.72,337.62,338.40,336.75,334.55,337.70,344.84,344.50,344.54,342.78,310.11,284.02,,,,,
2003-07-29 21:55:41+00:00,L7,343.28,351.96,346.49,348.36,,,340.53,335.09,340.84,342.67,334.78,332.18,329.71,331.08,338.17,339.70,339.03,339.48,,351.69,350.39,354.55,361.46,361.80,356.37,359.05,356.49,360.08,355.57,347.00,347.13,347.18,,359.95,366.84,351.03,347.23,354.99,359.96,361.31,362.59,364.22,355.81,354.80,356.89,359.97,355.54,,,,,,,,341.72,333.47,325.79,327.46,327.45,335.19,338.23,342.70,338.39,343.99,347.19,344.77,341.48,342.22,315.44,,,,,,
