,dates,nzd0032-0000,nzd0032-0001,nzd0032-0002,nzd0032-0003
210,2010-11-27 22:07:24+00:00,170.38114980368633,159.5732318166924,148.98570239482189,142.03362580399397
211,2011-01-06 22:10:49+00:00,144.74010278917066,,,
212,2011-01-14 22:07:31+00:00,164.52712105198526,162.2467978961767,159.81061341939352,151.80107242944317
213,2011-01-15 22:04:42+00:00,166.65280268807444,,,
214,2011-02-07 22:11:00+00:00,,,132.6933929272094,
215,2011-02-15 22:07:34+00:00,,,,
216,2011-02-23 22:11:05+00:00,108.08108090936564,144.86227254448897,129.54210547331965,124.19226383532208
217,2011-03-11 22:11:09+00:00,105.3768432833882,131.79961606871603,131.8005081451386,129.38273390105806
218,2011-03-12 22:01:19+00:00,,,,
219,2011-03-27 22:11:11+00:00,,,,133.14754916714747
220,2011-03-28 22:01:14+00:00,,,,
221,2011-04-12 22:11:12+00:00,,,,
222,2011-04-21 22:05:00+00:00,,,,
223,2011-05-30 22:11:11+00:00,,,131.5746910954347,122.0927791639411
224,2011-07-17 22:11:06+00:00,,144.69338427266592,126.5673353694436,117.96124594291597
225,2011-07-26 22:04:54+00:00,203.1848069600718,196.7524987015766,166.52486193974812,155.42705862968353
226,2011-08-11 22:04:49+00:00,,,,
227,2011-08-18 22:10:59+00:00,,,,
228,2011-08-19 22:00:12+00:00,144.49671109302164,140.01500570624347,138.14197378937584,127.04727738540284
229,2011-09-04 22:00:03+00:00,,,,
230,2011-09-12 22:04:41+00:00,,,127.26233772228828,124.68711116689164
231,2011-09-19 22:10:52+00:00,,,,
232,2011-10-21 22:10:56+00:00,176.5640741575391,174.43482682043918,154.14460199077112,141.7061921054794
233,2011-11-22 22:11:15+00:00,165.8248902263408,161.20381495963824,149.54777842553074,139.37009831972316
234,2011-12-01 22:05:09+00:00,,,,
235,2012-01-18 22:05:25+00:00,140.54788806524806,152.45715841688644,142.61147420132605,129.15597279526418
236,2012-01-25 22:11:35+00:00,,,,
237,2012-02-10 22:11:42+00:00,111.75737429738516,133.96905367635634,125.23772290842442,114.96855791903296
238,2012-04-23 22:05:40+00:00,136.4268453995507,141.23744014293007,127.26420737815938,109.82403488633986
239,2012-05-09 22:06:03+00:00,135.6235376948269,149.20530290201998,131.17973201258215,121.37399796521802
240,2012-05-16 22:12:19+00:00,,180.26043909560696,158.733950034665,145.49275162831285
241,2012-06-01 22:11:59+00:00,164.25279664002693,162.12481202051598,140.07493393760512,130.78224720591902
242,2012-10-16 22:07:10+00:00,160.35118468775977,152.09910258331092,140.46567948700942,126.74992581483662
243,2012-11-17 22:07:23+00:00,164.65235638371922,162.5690777285845,,
