dates,sar2332-0000,sar2332-0001,sar2332-0002,sar2332-0003,satname
2014-06-02 10:03:08+00:00,229.68,201.9,227.31666666666663,241.95333333333335,L7
2014-06-18 10:03:08+00:00,223.89,199.895,219.76666666666665,235.46333333333337,L7
2014-08-21 10:03:22+00:00,222.1933333333333,198.54,210.7166666666667,216.1766666666667,L7
2014-09-06 10:03:23+00:00,224.8,198.36,214.2675,222.28250000000003,L7
2014-10-08 10:03:40+00:00,225.042,197.37,214.2675,228.03400000000002,L7
2014-10-24 10:03:49+00:00,225.042,197.37,217.88400000000001,228.03400000000002,L7
2014-12-11 10:04:09+00:00,226.156,196.77,221.464,237.57799999999997,L7
2015-01-12 10:04:18+00:00,227.41,195.68666666666664,224.3875,248.96400000000003,L7
2015-01-28 10:04:23+00:00,236.262,195.68666666666664,227.3,257.9216666666667,L7
2015-03-17 10:04:43+00:00,240.185,193.41,234.67666666666665,275.32,L7
2015-04-02 10:04:49+00:00,236.106,193.41,227.27499999999998,279.65,L7
2015-04-18 10:04:57+00:00,236.272,200.49,224.358,274.706,L7
2015-05-04 10:05:03+00:00,235.13166666666666,199.79000000000002,220.686,267.65333333333336,L7
2015-06-05 10:05:17+00:00,234.45000000000002,198.61,219.3516666666667,263.71,L7
2015-06-21 10:05:21+00:00,231.31428571428572,197.775,212.72,262.4266666666667,L7
2015-07-07 10:05:26+00:00,231.01624999999999,197.73600000000002,212.18142857142857,257.4642857142857,L7
2015-08-08 10:05:33+00:00,225.90375,197.89000000000001,208.77428571428572,243.43000000000004,L7
2015-08-16 10:05:27+00:00,225.90375,197.89000000000001,212.82375,243.43000000000004,L8
2015-09-25 10:05:42+00:00,225.01125,200.25,212.91666666666666,239.32571428571427,L7
2015-12-30 10:07:06+00:00,227.4875,204.02,218.73999999999995,233.865,L7
2016-04-04 10:07:54+00:00,227.91,205.435,218.86,243.69,L7
2016-04-20 10:08:02+00:00,228.59666666666666,207.65,220.75,240.35999999999999,L7
2016-05-06 10:08:07+00:00,227.075,205.285,218.825,240.26749999999998,L7
2016-05-22 10:08:10+00:00,227.63600000000002,204.86599999999999,218.94,237.808,L7
2016-06-23 10:08:18+00:00,228.04666666666665,205.05166666666665,218.02833333333334,237.37333333333333,L7
2016-07-09 10:08:17+00:00,225.585,202.09,218.67000000000002,237.02999999999997,L7
2016-07-25 10:08:20+00:00,225.585,202.00285714285715,217.46833333333336,237.02999999999997,L7
2016-08-10 10:08:21+00:00,225.585,202.00285714285715,217.46833333333336,244.36142857142858,L7
2016-09-19 10:05:58+00:00,225.585,205.3175,220.11571428571432,244.36142857142858,L8
2016-09-27 10:08:29+00:00,227.11142857142858,205.1977777777778,221.10750000000002,246.26125,L7
2016-10-05 10:06:00+00:00,227.74714285714285,205.12222222222223,222.32875,247.91375,L8
2016-10-29 10:08:25+00:00,230.34714285714287,205.13,222.8725,248.36375,L7
2016-11-30 10:08:15+00:00,232.00799999999998,206.01125000000002,222.85857142857142,247.20428571428573,L7
2016-12-24 10:05:58+00:00,231.91799999999998,206.0157142857143,224.42333333333332,246.61142857142858,L8
2017-03-06 10:07:51+00:00,233.73200000000003,209.03333333333333,224.04833333333332,232.21333333333334,L7
2017-03-30 10:05:19+00:00,233.19,204.61399999999998,222.166,229.265,L8
2017-04-07 10:08:01+00:00,234.08800000000002,205.02799999999996,220.53000000000003,231.91333333333333,L7
2017-04-23 10:08:08+00:00,231.6866666666667,204.83,219.11333333333334,228.47714285714284,L7
2017-05-25 10:08:15+00:00,227.19166666666663,201.48166666666668,215.6266666666667,225.50571428571428,L7
2017-07-12 10:08:24+00:00,226.59,200.455,215.71333333333337,226.55666666666664,L7
2017-07-28 10:08:23+00:00,226.09857142857143,200.70714285714286,213.8814285714286,222.32,L7
2017-08-13 10:08:20+00:00,225.0825,201.20375,213.09500000000003,221.66125,L7
2017-08-29 10:08:21+00:00,225.48333333333335,201.49666666666667,213.03444444444446,223.03444444444443,L7
2017-09-14 10:08:19+00:00,226.22,201.10444444444445,213.51250000000002,228.68666666666664,L7
2017-09-30 10:08:20+00:00,225.3025,200.89444444444445,209.61374999999998,226.49555555555557,L7
2017-10-24 10:06:02+00:00,224.75,201.17125000000001,207.77714285714288,229.42374999999998,L8
2017-11-01 10:08:22+00:00,226.68124999999998,201.38444444444445,208.7375,230.9811111111111,L7
