dates,nzd0120-0000,nzd0120-0001,nzd0120-0002,nzd0120-0003,nzd0120-0004,nzd0120-0005,nzd0120-0006,nzd0120-0007,nzd0120-0008,nzd0120-0009,nzd0120-0010,nzd0120-0011,nzd0120-0012,nzd0120-0013,nzd0120-0014,nzd0120-0015,nzd0120-0016,nzd0120-0017,nzd0120-0018,nzd0120-0019,nzd0120-0020,nzd0120-0021,nzd0120-0022,nzd0120-0023,nzd0120-0024,nzd0120-0025,nzd0120-0026,nzd0120-0027,nzd0120-0028,nzd0120-0029,nzd0120-0030,nzd0120-0031,nzd0120-0032,satname
2006-03-31 21:55:42+00:00,348.12,350.35,361.20,363.24,364.06,345.98,350.65,354.86,358.30,386.29,395.70,394.16,,375.22,373.13,370.12,373.12,355.27,368.56,376.93,372.60,374.94,377.92,394.22,387.24,387.25,,,379.38,383.65,388.35,401.91,394.67,L7
2006-05-02 21:55:41+00:00,336.73,,,,,,,,,,,,,,,,,351.10,350.65,363.68,363.01,363.19,367.52,377.04,377.08,374.64,360.16,360.37,359.89,358.31,367.98,381.73,375.98,L7
2006-05-26 21:57:54+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,351.43,,370.28,,L5
2006-06-27 21:58:24+00:00,342.98,342.89,337.34,330.37,343.00,343.15,351.60,369.01,373.50,387.24,390.77,387.50,374.22,362.92,359.76,363.97,356.27,342.71,353.67,363.90,368.65,366.05,368.55,385.04,385.14,383.50,374.91,375.38,374.81,373.62,386.96,405.79,385.18,L5
2006-07-05 21:55:30+00:00,351.76,351.40,,345.98,342.78,342.03,355.02,359.95,375.55,,,,,358.17,362.11,,,345.11,352.56,361.19,363.27,356.94,362.91,372.86,373.56,374.02,369.37,367.70,371.52,367.96,374.72,389.56,382.32,L7
2006-07-21 21:55:21+00:00,,,,,,,,,,,,,,,,,,,342.08,341.45,349.25,350.08,,361.40,371.18,373.71,365.27,357.11,362.27,369.41,377.12,377.17,368.35,L7
2006-09-07 21:55:13+00:00,358.61,363.72,352.54,335.09,341.94,337.90,347.14,,377.38,385.50,390.95,393.63,379.66,376.29,367.50,370.04,359.82,369.52,372.51,367.59,,362.06,372.20,375.31,378.45,383.08,378.48,366.79,371.84,380.62,382.76,384.51,376.74,L7
2006-10-09 21:55:00+00:00,360.01,366.66,351.47,335.18,337.51,344.63,349.85,360.70,364.30,387.67,384.76,376.35,370.50,375.13,366.43,362.12,353.62,354.00,362.48,370.16,370.42,372.69,380.08,387.19,400.59,400.29,385.34,371.73,369.80,383.43,381.77,388.02,379.56,L7
2006-10-25 21:55:17+00:00,,,,,,,,,,,,403.93,399.97,402.43,392.22,395.14,377.19,381.72,388.70,390.72,379.38,403.63,398.79,402.11,417.43,415.36,399.36,385.37,388.93,391.58,405.36,403.15,390.14,L7
2007-01-29 21:55:57+00:00,374.35,378.68,373.08,352.28,351.95,368.08,384.51,390.47,,411.49,,,,,,,,,,,,396.69,413.91,408.97,414.23,408.15,404.05,396.49,394.55,387.33,404.54,407.53,389.29,L7
