,dates,chi0093-0000,chi0093-0001,chi0093-0002,chi0093-0003,chi0093-0004,chi0093-0005
18,1988-02-26 14:06:49+00:00,199.98204215216273,194.97016662341875,207.2774052972288,180.89551645208306,195.11555175258385,219.61875216545434
19,1988-03-04 14:12:39+00:00,201.88751808090416,201.28390291792758,208.03997166146033,196.18490889397356,210.4326488428239,234.12976024796723
20,1988-03-29 14:06:41+00:00,,,,,,
21,1988-04-21 14:12:59+00:00,190.7348477450045,190.6539669030893,205.65386172376935,180.231016022891,199.86821354639446,
22,1988-05-16 14:07:27+00:00,189.35165243894855,,209.19813404105173,182.58302928758658,109.73988009809882,
23,1988-06-08 14:13:22+00:00,193.2242161690572,197.74515472711943,206.41704050145583,176.14118555690462,103.74037985402154,
24,1988-06-17 14:07:39+00:00,198.0713369802083,,210.33421389454998,180.4796424394127,102.90460971811913,
25,1988-07-03 14:07:19+00:00,,,213.97115973298176,183.6453096680157,114.92055050473037,
26,1988-10-14 14:13:24+00:00,,209.7970014587438,211.59750894251349,191.89196149949092,214.01325204225702,232.45912165803793
27,1988-11-08 14:07:39+00:00,201.4475150817834,193.24781070403645,205.3513488678173,180.6878591649492,199.20212669409923,222.08146439248637
28,1988-11-15 14:13:25+00:00,202.363451259814,198.50662118011644,204.3729822656078,178.12979335735798,204.19829886920093,229.363553854922
29,1988-11-24 14:07:15+00:00,198.90116045648796,203.4065307347389,204.36119677919822,192.01556132434612,216.985960130748,238.41083597472343
30,1988-12-01 14:13:24+00:00,202.85411674601568,192.76014973936736,204.56474408457368,182.21076374435054,201.4128042643208,223.1900184307682
31,1988-12-17 14:13:10+00:00,192.95802582817123,194.36220796602527,199.3975421275898,175.54988518509185,200.32732964642304,220.45848731756632
32,1988-12-26 14:06:58+00:00,194.61306917970694,202.62428215053663,203.9542746328912,189.21365023373818,225.12728326304233,235.9000849444402
33,1989-01-27 14:06:38+00:00,200.81825963923458,206.53502225042286,212.11585579055986,191.3800380881658,246.07071546860482,243.79813556716707
34,1989-02-28 14:06:26+00:00,189.82263838251157,196.40063692571928,202.24752976253603,177.8237657447677,206.12638213727362,223.93708175957698
35,1989-03-07 14:12:26+00:00,195.24887024522334,204.3492587920894,210.0042764118384,184.5946814473539,205.6054125703416,227.94757183821287
36,1989-04-17 14:06:04+00:00,194.13961470668107,191.57214719150394,211.35692056624217,183.44469722671062,199.41829387006396,215.29286136077735
37,1989-04-24 14:11:42+00:00,203.71504629232064,203.29818537320767,212.6072937918124,188.928111292523,216.23531749579348,
38,1989-05-03 14:05:50+00:00,193.7205836281557,201.51799212231126,210.53389642883977,190.25982639660702,215.98174012023972,
39,1989-08-30 14:09:14+00:00,,,,180.44108206450167,,
40,1989-09-15 14:08:39+00:00,202.65754985788556,215.8720214838632,219.38651969905257,192.17133382058043,217.01404974897835,234.62771898101428
41,1989-09-24 14:02:47+00:00,196.97771049201432,193.41624620955827,206.1108621821869,179.74423478629984,202.26956310008939,222.55207304943875
42,1989-11-27 14:00:36+00:00,213.64581684759315,217.17214786649998,225.02676232892,196.76438546064696,214.7709918464825,236.8469418960305
43,1989-12-13 14:00:35+00:00,197.8708313155932,201.25098288878127,205.2839203244847,182.064598641341,207.79944659722702,223.9654577236772
44,1989-12-20 14:06:09+00:00,211.79464979723548,207.49538393492114,211.29695180254052,187.20378869449675,211.25010295843714,231.34516000850456
45,1990-01-14 13:59:09+00:00,,199.3642868415826,,167.32852030152242,,
46,1990-01-21 14:05:09+00:00,190.0281816964352,188.39224806669273,207.50776637563206,181.30578181953587,203.03203255104128,221.34907878130616
47,1990-01-30 13:59:04+00:00,189.7994356296322,179.04375583334235,200.67447718088192,175.80812117668864,177.73466761134395,204.8689345968056
48,1990-02-06 14:04:37+00:00,202.52175111076832,198.91585497134548,210.85351239458987,177.8907646391859,210.0094984578735,227.50094424041373
49,1990-02-15 13:58:08+00:00,206.12027176232885,207.8337802162568,215.9960391959223,185.55279970297485,206.49309563850716,226.0332679385831
