,dates,aus0027-0000,aus0027-0001,aus0027-0002,aus0027-0003,aus0027-0004
328,2011-07-03 23:35:38+00:00,160.62449770770897,181.83727843271666,171.03039022497728,191.14307384466434,177.51659128182064
329,2011-07-11 23:31:17+00:00,,170.20229480180168,,198.98351749566106,182.74456747884796
330,2011-07-19 23:35:37+00:00,,,173.21399919808403,202.09797595481524,189.89341683975007
331,2011-07-27 23:31:07+00:00,,195.20104579555874,,201.41237515804974,184.58540910250036
332,2011-08-12 23:30:58+00:00,156.695528887819,182.57417654775455,177.71864456851972,196.88097590801502,187.19643049952745
333,2011-08-28 23:30:50+00:00,161.78946237706324,212.79364329675653,182.96025782233016,201.82194009430665,187.51664576823356
334,2011-09-13 23:30:39+00:00,175.89710004347117,224.07181047686706,185.57420389925664,203.75204629607308,192.00002191306012
335,2011-09-21 23:35:23+00:00,194.71441996601877,240.98761151582016,,198.852542826763,187.03405052366787
336,2011-09-29 23:30:21+00:00,182.21799177575463,212.77041632955735,193.7502063827908,210.8994255099681,191.48789327699816
337,2011-10-15 23:30:08+00:00,184.11402978057595,208.5036337726866,188.45235360524748,222.76351460493862,195.19210750600118
338,2011-10-23 23:35:28+00:00,197.90803460596493,213.50531260753664,193.3104071567771,197.2690704953529,183.71415063564703
339,2011-11-08 23:35:37+00:00,199.6256714126031,209.3179086087511,184.0396693363576,204.20646460567957,187.11198454207786
340,2011-12-10 23:35:53+00:00,189.55153748118715,197.101337212178,189.51228648355126,200.45521119612727,190.26468479880953
341,2012-02-12 23:36:14+00:00,175.43662676683067,199.89350822037557,188.248808168692,210.31923489926155,191.36045948833547
342,2012-02-28 23:36:14+00:00,195.14202098738684,185.3876989299265,178.9107701399277,201.68297508001325,192.49829586944162
343,2012-03-31 23:36:13+00:00,153.11617705165114,179.07570432760912,172.97033350393164,198.4652875648186,183.72893026454244
344,2012-05-02 23:36:37+00:00,149.68125382844187,172.19877425773723,182.1539587378936,192.38283189538845,182.9185151046782
345,2012-05-18 23:36:49+00:00,153.94609070184603,175.41347836977914,183.95676704520588,183.77573850425622,190.06513549416096
346,2012-06-03 23:36:28+00:00,153.67364015672356,176.9875664953711,167.97871211086374,187.64448749852292,179.57978849429855
347,2012-06-19 23:36:34+00:00,,181.0237627630694,172.4219394361047,191.9453705477454,184.05554394815056
348,2012-07-05 23:36:46+00:00,161.3111429742809,180.0098254177896,175.59115982140545,186.08463091460604,176.49874422169796
349,2012-08-06 23:37:09+00:00,,,,,
350,2012-09-23 23:37:39+00:00,,,176.2699670505062,,
351,2012-10-09 23:37:45+00:00,,,179.5556809677791,203.42265749851288,187.212125675942
352,2012-10-25 23:37:57+00:00,158.7711169538515,183.83766399980678,176.72950681079877,204.22800603415163,
353,2012-12-28 23:38:16+00:00,180.37748692132195,202.00837301114748,196.287555953575,214.4749278527911,195.1137490568486
354,2013-01-13 23:38:15+00:00,187.6795599432818,210.3065589010383,201.35599838052792,215.65663521046065,197.414184501354
355,2013-01-29 23:38:19+00:00,173.57342552486054,198.6313390488974,186.99061252166067,198.08652186194786,181.08506680190172
356,2013-04-19 23:38:04+00:00,184.15299095536903,178.0492151002814,,197.9077323974229,182.00605701571152
357,2013-04-27 23:43:52+00:00,162.7024300384889,191.44243140088494,187.5814848692285,195.41245965144654,183.9507942962071
358,2013-06-14 23:44:05+00:00,183.23179082962903,212.651717780443,169.66729996026217,191.22453940460815,177.86573141120147
359,2013-06-30 23:44:05+00:00,193.12199331212952,203.53059294576047,,197.72747755066916,
360,2013-07-08 23:37:32+00:00,209.8899118625957,202.17435938675928,176.63715495264296,188.63140810654755,179.6361959354562
361,2013-07-16 23:44:05+00:00,251.22731331696212,,,193.78291011494156,181.61170395497894
362,2013-07-24 23:37:26+00:00,,,,,
363,2013-08-01 23:44:07+00:00,228.89795809614853,216.13018234228272,175.56953868075755,190.53000911062426,181.24507698434527
364,2013-08-09 23:37:19+00:00,210.5872531152716,217.869965176603,181.36135003444363,193.94381203176982,180.48617699183643
365,2013-08-17 23:44:08+00:00,217.227108944184,,,197.23213333465958,185.37564212552905
366,2013-08-25 23:37:31+00:00,217.76157131808995,216.99899001347248,178.17368299909631,205.40049314636374,188.07372798244424
367,2013-09-02 23:44:09+00:00,209.09418014155378,220.23825228117082,189.6757656243739,191.1190146366711,178.42831995509536
368,2013-09-10 23:37:43+00:00,221.1531526064451,236.22874822183587,196.70878475345603,199.42114141504527,
369,2013-09-18 23:44:04+00:00,213.80114433502789,231.35377569454602,183.57293751662635,205.4605737658343,191.86965529914784
370,2013-09-26 23:37:52+00:00,223.01849224524324,258.7514514113317,180.92056167154544,,
371,2013-10-04 23:44:00+00:00,214.95377012258368,230.84596262362788,187.18677804561742,204.83839273807408,187.92430008561155
372,2013-10-12 23:38:06+00:00,,248.72629955672397,,200.82531079233806,191.6740824189276
373,2013-10-20 23:43:56+00:00,220.35628676445717,240.21310648865662,191.38903933379058,207.68047652611483,185.9715836884863
374,2013-10-28 23:38:11+00:00,221.78224672993974,251.87628162648835,179.06831733218297,197.2999522199038,182.2205226433065
375,2013-11-21 23:43:42+00:00,241.26801756152034,236.30284503770199,184.55438946122345,195.881111098045,180.42587762981992
376,2013-12-07 23:43:44+00:00,231.96712041566812,213.6041514382085,183.87787193118987,206.10446497215716,185.92868161159535
377,2013-12-15 23:38:27+00:00,223.25431183648493,199.77483270697883,186.66779777245927,205.67326324279054,188.75442904261854
378,2013-12-23 23:43:34+00:00,220.99885546179607,197.5474987550386,184.29557540255428,211.99122653411595,190.17528603199221
379,2014-01-16 23:38:44+00:00,187.27163152110936,200.86084134617,190.7627878727744,200.80334758061855,182.09571759336103
380,2014-03-13 23:42:38+00:00,162.54371357697153,184.6922886509337,183.62369875030583,200.68202659851238,186.63548712979
381,2014-04-14 23:42:05+00:00,165.2197437058266,187.7765079042235,176.04969342558545,190.1366020035677,181.26148533985045
382,2014-05-08 23:39:22+00:00,,,165.6965879929425,190.2932352788089,177.50844273079397
383,2014-05-24 23:39:29+00:00,168.19533573940691,,169.91813417950303,199.64189549545304,
