dates,nzd0301-0000,nzd0301-0001,nzd0301-0002,nzd0301-0003,nzd0301-0004,nzd0301-0005,nzd0301-0006,nzd0301-0007,nzd0301-0008,nzd0301-0009,nzd0301-0010,nzd0301-0011,nzd0301-0012,nzd0301-0013,nzd0301-0014,nzd0301-0015,nzd0301-0016,nzd0301-0017,nzd0301-0018,nzd0301-0019,nzd0301-0020,nzd0301-0021,nzd0301-0022,nzd0301-0023,nzd0301-0024,nzd0301-0025,nzd0301-0026,nzd0301-0027,nzd0301-0028,nzd0301-0029,nzd0301-0030,nzd0301-0031,nzd0301-0032,nzd0301-0033,nzd0301-0034,nzd0301-0035,nzd0301-0036,nzd0301-0037,nzd0301-0038,nzd0301-0039,nzd0301-0040,nzd0301-0041,nzd0301-0042,nzd0301-0043,nzd0301-0044,nzd0301-0045,nzd0301-0046,nzd0301-0047,nzd0301-0048,nzd0301-0049,nzd0301-0050,nzd0301-0051,nzd0301-0052,nzd0301-0053,nzd0301-0054,nzd0301-0055,nzd0301-0056,nzd0301-0057,nzd0301-0058,nzd0301-0059,nzd0301-0060,nzd0301-0061,nzd0301-0062,nzd0301-0063,nzd0301-0064,nzd0301-0065,nzd0301-0066,nzd0301-0067,nzd0301-0068,nzd0301-0069,nzd0301-0070,nzd0301-0071,nzd0301-0072,nzd0301-0073,nzd0301-0074,nzd0301-0075,nzd0301-0076,nzd0301-0077,satname
2000-08-14 21:51:44+00:00,368.34,365.31,360.20,352.99,345.56,341.77,334.36,330.94,326.08,322.14,322.38,321.77,319.17,310.96,308.59,306.54,304.71,304.71,303.85,304.88,305.96,307.23,308.67,309.98,315.48,316.99,316.55,322.86,322.74,326.79,320.18,321.14,314.02,308.52,310.45,312.37,313.36,313.42,310.05,312.06,312.72,316.84,322.91,326.06,321.80,319.39,317.39,314.95,310.68,311.06,324.04,313.68,315.26,314.03,309.42,308.88,308.26,304.29,313.42,317.49,330.06,331.33,333.34,333.02,336.32,339.14,347.66,348.18,356.11,354.04,352.00,348.91,347.06,345.73,341.19,334.75,329.21,316.96,L7
2000-09-15 21:51:13+00:00,,,,,,353.29,348.45,344.56,342.42,336.78,327.51,324.93,321.65,319.75,321.82,321.91,320.33,316.66,316.26,314.90,317.45,322.09,317.20,316.32,319.74,318.92,317.64,323.20,321.72,328.73,330.58,332.48,326.05,316.09,320.13,318.83,315.57,320.39,316.95,316.42,317.38,320.33,324.24,332.57,327.88,327.35,321.95,321.02,321.44,313.43,319.54,310.28,322.90,315.90,313.63,311.82,314.88,307.53,312.94,321.38,327.43,330.99,331.82,332.81,342.14,345.56,355.77,362.91,371.76,,,,,360.95,364.18,344.25,,,L7
2000-09-22 21:57:17+00:00,360.69,363.01,366.99,365.02,363.07,356.31,349.49,345.01,339.32,338.48,332.33,326.76,323.78,324.80,322.78,320.96,315.34,310.07,309.80,314.88,317.32,323.39,324.11,320.64,322.92,324.89,327.64,330.73,333.73,335.45,330.27,325.87,325.36,319.64,319.29,320.98,317.75,318.52,321.62,321.33,326.25,324.80,326.71,334.80,331.30,335.44,341.45,347.18,337.18,327.00,323.61,322.20,317.63,315.40,305.38,,,,,,,,,,,,,,,,,,,347.14,359.58,360.14,355.25,350.60,L7
2000-11-25 21:57:10+00:00,370.45,365.60,362.15,357.75,355.24,352.26,346.82,342.29,338.45,333.51,328.92,316.64,313.29,310.76,317.17,314.81,312.11,308.53,306.63,306.51,308.30,310.88,312.46,310.43,312.92,314.13,319.38,322.39,324.30,329.95,327.65,322.06,317.63,314.48,317.16,320.81,317.11,320.02,320.42,321.70,322.78,329.64,338.18,341.55,334.85,327.49,320.12,319.31,322.14,312.87,315.19,306.11,313.08,309.32,303.85,299.67,303.31,299.05,308.48,316.41,322.47,321.74,322.07,328.08,339.96,340.84,349.03,356.12,362.04,361.46,360.15,357.27,355.38,357.88,357.24,345.81,351.57,351.78,L7
2000-12-04 21:50:58+00:00,379.68,385.66,370.82,370.69,372.65,369.50,355.86,353.01,358.62,352.41,341.61,331.01,325.64,335.54,336.82,329.30,326.81,329.65,334.37,333.28,325.38,332.37,320.89,326.78,327.60,327.99,337.19,334.75,334.18,335.60,326.87,334.99,347.19,346.87,339.92,337.15,340.80,341.65,343.68,349.35,352.96,351.06,356.77,362.40,343.84,344.53,353.88,352.64,353.10,338.23,332.71,334.01,342.43,337.65,341.63,335.59,337.19,344.17,349.90,352.81,350.81,356.61,363.07,372.55,374.32,372.13,365.21,372.15,374.95,375.72,375.61,379.44,372.62,368.20,366.15,367.06,363.41,358.54,L7
2001-01-12 21:57:18+00:00,367.04,365.93,361.63,358.55,345.94,344.98,351.52,352.04,341.92,333.93,327.29,323.60,331.67,325.24,318.88,312.66,315.00,313.83,307.36,300.17,299.37,313.94,312.89,307.29,311.70,312.58,322.14,328.67,321.42,335.92,334.52,329.01,322.65,315.88,316.74,317.23,311.08,318.57,317.98,324.34,323.13,323.06,323.58,326.25,327.73,331.37,327.14,322.20,323.72,322.65,318.78,304.97,,,284.29,309.06,314.14,315.66,318.11,313.29,326.21,331.30,341.86,340.72,340.59,344.92,349.21,356.22,359.61,355.81,352.79,351.11,345.74,351.61,347.83,346.84,345.24,341.01,L7
2001-01-21 21:51:10+00:00,362.83,364.80,358.41,351.86,343.47,341.45,343.78,341.53,333.00,328.39,325.78,323.76,323.14,320.28,312.25,311.13,311.33,309.70,304.35,295.63,302.74,308.11,308.36,313.45,314.26,311.36,316.80,323.96,321.09,329.13,330.20,323.74,319.48,313.83,314.95,315.16,312.79,317.51,318.70,321.87,318.90,318.52,322.57,328.09,327.04,327.41,324.54,320.93,321.51,322.14,324.25,321.42,320.17,314.66,311.08,308.00,307.44,302.80,309.64,315.93,320.76,327.01,330.68,335.40,340.97,343.28,346.35,347.61,349.92,348.65,346.25,343.44,344.48,346.64,344.73,341.31,339.79,336.28,L7
2001-02-06 21:51:02+00:00,375.14,371.99,365.88,358.87,353.13,352.43,348.22,346.20,337.50,334.87,331.51,331.44,330.22,319.39,318.64,319.69,319.68,316.22,308.22,310.31,310.56,310.61,313.79,316.23,319.81,318.78,320.28,332.04,328.18,337.98,339.36,332.42,324.77,317.61,320.63,321.33,322.17,323.38,322.89,324.66,317.40,326.64,332.84,337.54,336.62,333.46,327.48,331.02,325.04,323.69,330.06,319.14,326.94,319.64,316.88,308.43,311.03,309.54,315.26,312.15,320.92,314.50,321.52,327.90,333.60,335.41,345.50,349.86,355.71,352.33,349.37,350.92,348.93,356.46,353.30,347.56,348.83,344.94,L7
2001-02-13 21:57:15+00:00,382.62,378.26,363.37,359.47,358.88,355.08,356.02,348.77,344.26,337.99,334.05,337.58,327.07,320.67,316.70,320.56,319.15,312.21,314.66,321.30,319.09,309.90,328.30,321.76,318.82,332.15,327.31,331.65,338.21,343.35,337.71,323.05,317.49,320.39,317.25,328.13,329.86,320.64,342.78,335.09,325.89,338.12,344.62,362.26,354.58,357.95,356.05,353.28,346.07,342.11,339.54,333.75,339.69,325.25,313.90,313.16,333.52,349.12,340.80,342.55,345.29,339.17,348.82,344.99,349.60,351.42,357.47,360.68,352.58,348.05,351.39,355.87,358.27,355.88,358.80,355.49,354.47,344.33,L7
2001-03-10 21:50:58+00:00,375.09,368.79,366.30,365.17,367.22,368.38,366.57,362.44,359.83,351.61,343.54,337.08,335.80,327.69,329.68,327.83,320.70,320.68,318.59,315.59,315.85,320.76,323.95,329.02,330.62,331.68,327.14,338.10,345.11,355.47,350.21,341.34,333.17,324.67,321.84,320.32,323.97,322.88,323.90,327.84,328.30,335.27,348.11,354.46,351.11,353.51,345.82,349.20,344.25,339.91,340.79,335.60,336.85,327.63,323.24,318.52,326.43,320.76,326.25,331.48,342.23,343.19,342.89,344.78,355.17,349.09,359.25,358.66,360.27,359.36,357.42,359.47,357.01,361.59,360.58,352.52,353.57,348.86,L7
2001-06-30 21:50:00+00:00,353.81,353.01,354.19,358.80,355.79,,,,,,,,,,,,,,,,309.46,308.86,298.29,306.37,,,,,,,,,,,,,,,,,,,,,,,,,,,311.55,312.33,309.89,304.21,310.14,312.69,317.17,307.77,308.12,316.89,321.56,329.65,330.99,321.53,,,,320.54,334.19,339.09,354.30,356.56,356.43,,,,,,L7
2001-07-07 21:56:12+00:00,,,,,,,,,,,,,,,,,,,,,,,314.70,314.58,327.42,,,,,,,,,,,,,,,,,,,,,,,,,317.00,316.41,310.23,315.67,,,,,,,,,,,,,,,,,,363.03,365.92,358.05,,,,,,L7
2001-08-17 21:49:28+00:00,360.72,361.06,359.92,361.25,356.08,350.81,346.20,349.71,348.50,347.36,342.76,338.80,334.39,326.86,330.32,328.52,324.06,320.86,322.40,322.59,322.14,320.60,322.21,319.21,326.33,319.66,328.37,334.10,334.02,340.09,338.19,332.80,323.77,317.98,317.34,320.65,322.04,324.98,324.51,330.61,332.73,336.56,339.84,342.51,340.90,333.49,328.17,328.92,325.28,314.15,321.89,320.34,325.92,309.21,,,,,,,,,,326.54,333.35,333.07,343.72,354.52,362.08,,,,,367.62,364.96,352.13,353.19,344.07,L7
2001-09-09 21:55:24+00:00,388.17,382.37,378.51,372.41,365.44,363.34,358.77,353.41,353.91,347.47,346.54,336.75,335.19,336.97,337.71,339.58,343.72,332.83,319.96,327.37,323.50,323.23,323.52,325.63,323.59,330.54,338.69,351.17,343.06,338.26,333.52,329.62,324.39,343.70,342.94,346.02,331.92,324.29,,365.92,361.70,374.14,,376.64,378.56,,353.97,347.02,348.29,326.55,360.32,358.11,347.36,,339.07,343.11,345.46,342.62,325.22,322.21,324.56,334.49,337.78,356.39,360.88,,369.36,372.12,384.24,387.14,388.70,387.82,382.30,379.32,379.28,382.45,375.94,380.85,L7
2001-09-18 21:49:05+00:00,367.84,367.74,361.46,351.97,349.70,344.00,337.56,333.80,336.22,335.25,331.08,327.67,324.05,320.73,323.19,323.90,321.30,319.34,323.75,320.89,314.17,315.94,315.86,318.09,321.48,315.34,323.36,329.55,329.63,330.74,330.61,323.21,317.23,308.87,308.66,312.02,315.72,317.90,323.21,324.47,326.44,333.59,339.89,343.37,,334.65,323.25,316.87,306.31,306.52,309.43,304.68,309.44,303.44,302.92,301.14,304.76,299.82,309.17,319.86,332.30,331.42,329.37,325.36,329.95,327.91,338.38,342.13,355.39,357.86,356.77,346.67,344.92,352.11,354.21,344.75,342.15,337.47,L7
2001-09-25 21:55:16+00:00,389.75,384.46,375.37,372.18,367.16,361.76,360.49,361.89,357.82,349.22,345.35,347.61,345.75,346.63,346.14,348.20,347.81,337.30,333.59,328.74,328.15,329.56,325.92,325.52,327.03,329.22,337.16,340.70,341.73,342.28,339.85,335.49,330.34,329.50,329.62,330.94,331.99,333.04,344.86,345.97,352.35,360.30,359.65,374.36,376.35,367.34,342.85,334.71,329.69,334.71,335.76,333.01,334.89,331.68,328.38,329.49,328.08,330.32,333.11,333.43,336.78,345.65,345.09,342.59,346.49,346.49,349.84,357.76,363.61,371.25,377.16,368.43,367.00,369.91,369.05,357.60,362.89,348.34,L7
2001-11-05 21:49:02+00:00,401.33,387.82,378.14,369.44,361.54,361.13,357.72,353.46,351.73,355.13,341.28,338.96,340.52,345.73,343.42,341.82,341.74,337.55,341.18,339.04,335.09,329.34,325.71,320.75,322.94,324.84,330.46,332.43,331.96,352.24,335.40,334.87,324.24,323.58,326.04,329.51,351.53,357.72,359.44,357.58,358.75,360.12,362.13,365.01,366.92,359.68,345.18,338.63,339.53,331.83,321.04,321.18,318.86,315.70,314.55,320.02,320.10,322.98,326.56,332.96,334.26,339.04,343.60,341.37,346.55,341.21,344.26,353.43,352.51,357.39,363.66,364.39,361.84,356.24,352.31,354.18,351.73,346.26,L7
2001-12-30 21:55:25+00:00,388.83,371.06,353.10,342.74,337.29,336.22,336.92,333.35,333.53,327.21,322.21,309.77,310.78,310.41,319.85,324.32,319.17,308.68,310.07,311.53,317.69,312.06,304.24,303.62,304.64,304.29,309.65,316.49,321.96,322.76,322.51,321.96,316.81,311.70,310.14,311.26,,318.28,318.32,312.40,312.99,319.77,324.07,324.86,322.86,321.77,315.31,309.89,302.15,299.42,301.35,291.68,297.38,294.17,295.35,296.16,302.05,297.19,304.82,314.69,323.84,323.19,316.27,315.58,318.26,318.43,325.08,331.65,342.48,346.41,346.77,340.80,338.99,342.45,342.87,338.46,342.51,332.64,L7
2002-02-09 21:49:33+00:00,392.05,387.82,375.17,367.14,363.61,358.21,358.51,355.59,351.95,347.37,343.90,340.32,338.89,339.37,341.81,339.90,340.76,333.93,332.04,332.66,336.28,339.28,337.04,332.18,336.68,334.36,337.19,342.11,342.70,348.57,346.72,352.78,347.71,344.93,350.01,347.74,351.36,347.86,349.38,351.56,349.23,349.39,352.94,357.88,360.31,356.95,352.48,342.49,333.13,326.59,323.69,315.90,319.59,320.81,319.01,314.88,316.70,315.31,324.70,331.80,339.48,342.58,337.56,341.60,341.88,338.38,346.48,349.23,358.98,365.95,367.69,363.02,358.50,358.21,358.22,349.51,352.13,353.40,L7
2002-02-16 21:55:42+00:00,394.70,381.08,366.74,362.21,364.55,366.23,355.42,355.34,352.51,347.88,342.90,338.43,334.77,334.71,335.59,340.46,341.65,333.65,326.05,327.75,328.47,329.33,327.98,325.97,326.22,328.68,330.12,336.80,341.56,348.92,345.07,,,,,,,,,,,,,,,,357.14,354.92,347.60,333.01,324.59,314.45,316.58,323.69,329.86,327.50,324.27,326.64,334.62,338.74,344.09,346.88,348.67,343.09,340.54,342.68,341.78,345.00,352.28,357.54,366.21,373.12,372.74,365.81,360.65,356.17,350.85,335.40,L7
2002-03-04 21:55:45+00:00,384.97,376.35,358.24,357.81,349.97,350.06,349.67,346.41,342.83,339.14,329.08,325.23,325.92,328.35,324.46,322.70,320.64,320.38,315.33,314.73,321.92,317.31,323.72,337.21,331.01,321.66,,327.74,326.16,331.29,326.88,326.95,326.97,335.68,346.53,341.16,327.84,337.08,326.17,316.56,324.14,343.57,332.58,352.45,351.44,344.90,340.67,342.19,325.71,340.25,322.70,311.50,306.41,309.10,318.99,320.56,314.33,320.53,331.39,331.94,330.72,331.20,350.85,348.43,334.42,349.77,342.40,348.45,339.88,351.74,372.96,371.00,370.82,374.44,354.96,348.34,343.23,336.23,L7
2002-03-13 21:49:32+00:00,,,,359.73,368.76,357.50,352.24,342.58,345.18,343.46,342.00,337.64,341.57,343.04,342.66,342.77,336.16,,,,,330.24,335.21,,,,,,,365.54,,,,,,,353.21,342.38,,,,337.57,336.68,343.80,342.97,339.69,337.04,333.95,325.70,320.61,326.40,309.19,306.54,306.02,302.34,303.34,313.29,304.32,,,,,332.48,320.20,327.12,331.81,338.32,341.79,362.86,369.88,,,,,,,,,L7
2002-04-14 21:49:26+00:00,384.55,373.28,361.39,356.40,346.00,345.30,343.43,343.93,336.27,336.80,328.44,325.83,325.98,325.29,327.96,328.14,322.43,321.85,324.57,328.37,326.73,327.08,327.71,327.97,329.83,329.04,334.45,337.16,340.64,337.78,332.77,326.31,325.10,321.04,328.12,329.23,330.54,336.05,331.85,327.06,322.06,333.89,342.03,349.39,347.20,339.24,335.72,329.16,321.33,319.53,321.81,311.25,312.29,307.46,308.68,306.67,303.26,306.30,317.27,330.23,332.49,329.17,325.86,325.92,336.41,339.86,341.75,345.92,356.26,357.53,361.72,363.61,360.18,359.86,355.95,348.69,349.79,343.31,L7
2002-05-16 21:49:21+00:00,378.30,369.10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,L7
2002-05-23 21:55:30+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,365.46,298.67,,284.32,,,289.99,271.03,,,280.92,,,,,,,,,,,,,,,,,,,,,,,,L7
2002-08-20 21:48:46+00:00,368.84,363.30,355.31,353.38,338.56,341.51,331.05,330.90,325.41,326.37,325.89,321.99,320.88,316.77,320.55,319.52,314.79,310.15,309.63,310.09,307.07,307.42,303.80,307.97,308.46,313.25,316.08,324.68,329.69,340.44,335.00,328.02,323.95,326.46,328.74,328.16,320.16,316.65,314.12,308.59,310.11,315.41,321.40,331.40,328.12,321.73,307.15,305.36,309.96,313.48,307.67,293.08,298.31,297.11,300.22,301.62,305.07,305.01,309.18,309.58,323.21,321.87,327.07,325.52,331.44,330.98,336.54,334.30,340.46,342.17,339.45,334.54,329.86,341.63,341.96,334.47,336.58,327.98,L7
2002-09-12 21:54:43+00:00,373.37,374.44,366.31,350.20,346.98,340.42,339.89,341.92,339.61,335.69,331.27,328.27,324.64,324.05,317.88,314.24,306.57,309.91,309.01,310.81,309.22,308.88,310.33,309.12,314.07,311.13,316.05,316.10,322.99,323.09,313.37,311.87,319.18,316.60,316.13,321.88,318.01,310.31,309.08,309.99,312.02,315.68,350.93,344.53,325.11,316.40,310.23,304.87,300.15,299.08,297.63,303.90,293.68,302.42,312.58,305.10,310.86,303.16,300.34,307.90,311.24,320.25,323.97,318.47,315.18,319.72,313.02,315.41,337.23,327.29,340.08,354.29,346.21,342.65,340.85,344.57,338.15,331.44,L7
2002-09-21 21:48:25+00:00,371.29,365.82,361.08,351.52,335.12,332.83,333.62,333.48,334.74,333.88,328.00,326.10,323.19,318.49,316.37,314.92,314.54,307.08,305.30,303.11,305.76,304.90,302.95,300.92,305.78,303.76,306.32,314.66,320.74,321.61,319.09,317.32,312.08,305.66,308.54,309.64,304.50,308.58,300.49,300.37,305.20,318.32,326.38,332.98,328.70,320.45,313.12,309.37,309.83,308.37,307.61,296.45,303.08,298.38,299.09,291.02,294.93,289.99,295.43,305.57,316.56,317.49,320.73,325.88,330.84,333.30,336.95,342.71,344.76,345.99,343.06,336.76,330.54,325.45,330.96,,,,L7
2002-10-14 21:54:31+00:00,381.75,379.60,372.87,368.98,366.19,352.70,346.43,359.19,358.35,346.77,346.09,339.83,344.55,344.68,338.89,345.44,339.95,334.98,334.60,331.08,329.49,329.19,319.26,320.72,322.31,324.65,334.49,343.12,336.08,338.14,330.68,335.85,336.91,336.37,333.20,332.65,329.02,333.18,330.94,341.43,332.08,341.83,350.03,363.76,358.99,350.35,341.37,341.92,325.08,319.28,338.49,327.37,318.07,320.73,317.01,320.82,317.88,321.86,331.01,344.68,347.54,356.79,,363.44,354.14,355.08,355.58,343.77,342.78,347.49,358.32,367.77,369.76,365.28,357.79,355.58,345.27,360.36,L7
2002-11-08 21:48:32+00:00,379.43,367.90,364.99,358.71,344.74,338.57,329.68,332.39,331.13,331.05,326.92,324.59,321.68,320.54,321.02,318.23,314.88,311.71,310.44,313.90,308.53,304.16,305.15,303.45,300.41,302.33,312.57,314.30,319.41,318.94,318.93,317.32,313.91,317.59,314.24,321.47,322.98,320.36,320.26,315.13,316.58,321.52,331.82,332.02,325.66,313.78,313.67,324.23,321.27,300.22,297.12,305.94,300.38,300.45,302.90,301.67,302.57,299.57,301.67,309.37,314.27,320.42,316.43,,323.39,332.38,333.64,336.93,334.40,336.65,344.24,343.89,342.26,339.69,338.48,339.12,340.40,332.39,L7
2002-12-26 21:48:59+00:00,381.65,379.64,363.04,364.02,356.95,346.25,339.80,343.50,340.04,334.07,346.27,332.79,324.36,331.76,329.71,320.32,,,,,,,,,,,,,,,,,329.26,326.46,312.30,308.23,312.48,312.11,327.69,322.22,317.89,333.89,334.62,329.21,318.14,305.80,317.83,316.85,297.84,317.85,329.35,329.80,322.02,324.42,306.01,300.48,302.79,306.47,318.56,328.61,309.43,329.08,349.60,362.83,353.50,351.83,349.31,340.26,325.63,338.02,352.37,352.85,359.12,357.94,348.35,344.05,341.03,348.22,L7
2003-01-02 21:55:10+00:00,387.79,384.20,378.35,381.11,365.51,358.91,352.44,355.09,352.39,351.84,351.30,347.59,341.39,339.45,345.58,331.72,329.35,326.72,327.61,321.54,318.47,318.44,320.51,323.46,326.61,320.97,323.79,327.71,329.68,341.21,343.10,342.75,338.82,335.38,331.47,329.13,330.48,334.56,337.16,349.89,347.85,351.58,360.44,357.85,345.08,337.75,340.25,332.96,323.47,321.70,330.98,331.64,343.73,333.99,326.79,313.04,314.74,311.17,311.52,319.85,325.59,329.18,330.53,337.53,345.27,345.97,347.52,351.51,357.14,358.29,355.75,356.13,353.80,358.83,365.06,356.79,355.34,347.80,L7
2003-02-28 21:49:20+00:00,370.78,374.27,370.37,365.18,353.69,351.35,348.61,348.37,338.55,327.60,327.56,323.39,317.91,311.65,317.87,314.83,311.81,312.80,315.27,309.42,310.26,306.98,309.84,309.98,311.11,307.78,307.62,313.32,321.85,327.19,323.01,318.90,321.05,316.52,318.40,320.74,321.84,323.13,324.59,321.57,322.42,332.71,338.02,339.47,331.19,323.41,314.53,311.90,306.87,304.10,300.50,301.47,304.54,301.01,298.86,294.33,300.23,298.11,306.79,314.17,320.32,320.60,325.53,323.31,332.30,337.84,342.82,349.69,353.31,352.35,347.41,342.75,341.66,343.83,345.63,337.35,339.48,341.85,L7
