dates,satname,nzd0301-0000,nzd0301-0001,nzd0301-0002,nzd0301-0003,nzd0301-0004,nzd0301-0005,nzd0301-0006,nzd0301-0007,nzd0301-0008,nzd0301-0009,nzd0301-0010,nzd0301-0011,nzd0301-0012,nzd0301-0013,nzd0301-0014,nzd0301-0015,nzd0301-0016,nzd0301-0017,nzd0301-0018,nzd0301-0019,nzd0301-0020,nzd0301-0021,nzd0301-0022,nzd0301-0023,nzd0301-0024,nzd0301-0025,nzd0301-0026,nzd0301-0027,nzd0301-0028,nzd0301-0029,nzd0301-0030,nzd0301-0031,nzd0301-0032,nzd0301-0033,nzd0301-0034,nzd0301-0035,nzd0301-0036,nzd0301-0037,nzd0301-0038,nzd0301-0039,nzd0301-0040,nzd0301-0041,nzd0301-0042,nzd0301-0043,nzd0301-0044,nzd0301-0045,nzd0301-0046,nzd0301-0047,nzd0301-0048,nzd0301-0049,nzd0301-0050,nzd0301-0051,nzd0301-0052,nzd0301-0053,nzd0301-0054,nzd0301-0055,nzd0301-0056,nzd0301-0057,nzd0301-0058,nzd0301-0059,nzd0301-0060,nzd0301-0061,nzd0301-0062,nzd0301-0063,nzd0301-0064,nzd0301-0065,nzd0301-0066,nzd0301-0067,nzd0301-0068,nzd0301-0069,nzd0301-0070,nzd0301-0071,nzd0301-0072,nzd0301-0073,nzd0301-0074,nzd0301-0075,nzd0301-0076,nzd0301-0077
2000-08-05 21:57:56+00:00,L7,,,,,,,,,,,,,,,,,,,,,316.27,328.80,319.78,318.38,322.07,327.31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000-08-14 21:51:44+00:00,L7,353.77,350.74,345.63,338.42,334.23,328.17,320.76,316.37,310.39,306.45,306.69,306.08,303.48,297.36,291.59,290.85,289.02,289.02,288.16,289.19,290.27,290.23,291.67,292.98,296.93,301.30,300.86,305.86,305.74,308.24,299.78,300.74,293.62,291.52,291.90,291.97,292.96,290.75,289.65,291.66,294.17,296.44,302.51,305.66,301.40,298.99,300.39,296.40,293.68,294.06,303.64,300.08,294.86,295.48,292.42,295.28,291.26,292.96,299.82,298.94,307.39,312.78,318.77,318.45,315.92,320.59,324.99,325.51,330.61,331.37,333.45,331.91,331.37,323.06,318.52,316.20,306.54,296.56
2000-09-15 21:51:13+00:00,L7,,,,,,342.09,337.25,332.56,329.50,323.86,314.59,312.01,308.73,308.55,307.82,308.99,307.41,303.74,303.34,301.98,304.53,308.09,303.20,302.32,304.47,306.00,304.72,309.20,307.72,313.46,313.78,315.68,309.25,302.09,304.86,302.03,298.77,301.72,300.15,299.62,302.11,303.53,307.44,315.77,311.08,310.55,307.95,305.75,307.44,299.43,302.74,299.08,306.10,300.63,299.63,300.62,300.88,298.20,301.74,306.11,308.76,315.72,319.82,320.81,325.34,330.29,337.10,344.24,350.76,643.74,574.38,555.10,549.11,342.28,345.51,328.98,,
2000-09-22 21:57:17+00:00,L7,365.98,368.30,372.28,370.31,367.18,361.24,354.42,350.30,345.01,344.17,338.02,332.45,329.47,329.73,328.95,326.65,321.03,315.76,315.49,320.57,323.01,329.56,330.28,326.81,329.65,330.58,333.33,336.90,339.90,342.18,337.67,333.27,332.76,325.81,326.02,328.38,325.15,326.74,329.02,328.73,332.98,332.20,334.11,342.20,338.70,342.84,347.62,353.91,343.35,333.17,331.01,327.13,325.03,322.13,311.55,,,,,,,,,,,,,,,,,145.34,189.94,355.36,367.80,366.87,363.47,358.00
2000-11-25 21:57:10+00:00,L7,354.88,350.03,346.58,342.18,343.13,337.73,332.29,326.72,321.68,316.74,312.15,299.87,296.52,296.23,299.00,298.04,295.34,291.76,289.86,289.74,291.53,292.71,294.29,292.26,293.10,297.36,302.61,304.22,306.13,310.13,305.85,300.26,295.83,296.31,297.34,299.01,295.31,295.80,298.62,299.90,302.96,307.84,316.38,319.75,313.05,305.69,301.95,299.49,303.97,294.70,293.39,291.58,291.28,289.50,285.68,285.14,285.14,286.94,293.95,296.59,298.25,301.92,306.50,312.51,318.16,321.02,324.81,331.90,334.79,337.24,340.33,339.10,338.61,333.66,333.02,325.99,327.35,329.98
2000-12-04 21:50:58+00:00,L7,386.82,392.80,377.96,377.83,378.21,376.17,362.53,360.15,366.31,360.10,349.30,338.70,333.33,342.21,345.15,336.99,334.50,337.34,342.06,340.97,333.07,340.70,329.22,335.11,336.69,335.68,344.88,343.08,342.51,344.69,336.87,344.99,357.19,355.20,349.01,347.15,350.80,352.76,353.68,359.35,362.05,361.06,366.77,372.40,353.84,354.53,362.21,361.73,361.43,346.56,342.71,340.68,352.43,346.74,349.96,342.26,345.52,349.73,356.57,361.90,361.92,365.70,370.21,379.69,384.32,381.22,376.32,383.26,387.45,386.83,384.70,387.77,380.31,379.31,377.26,376.15,374.52,368.54
2001-01-12 21:57:18+00:00,L7,363.61,362.50,358.20,355.12,343.27,341.78,348.32,348.61,338.23,330.24,323.60,319.91,327.98,322.04,314.88,308.97,311.31,310.14,303.67,296.48,295.68,309.94,308.89,303.29,307.34,308.89,318.45,324.67,317.42,331.56,329.72,324.21,317.85,311.88,312.38,312.43,306.28,313.24,313.18,319.54,318.77,318.26,318.78,321.45,322.93,326.57,323.14,317.84,319.72,318.65,313.98,301.77,260.39,252.75,280.29,305.86,310.14,312.99,314.91,308.93,320.88,326.94,338.43,337.29,335.79,340.56,343.88,350.89,353.61,350.48,348.43,347.11,342.05,346.28,342.50,342.48,339.91,336.21
2001-01-21 21:51:10+00:00,L7,353.54,355.51,349.12,342.57,336.25,332.78,335.11,332.24,323.00,318.39,315.78,313.76,313.14,311.61,301.42,301.13,301.33,299.70,294.35,285.63,292.74,297.28,297.53,302.62,302.44,301.36,306.80,313.13,310.26,317.31,317.20,310.74,306.48,303.00,303.13,302.16,299.79,303.07,305.70,308.87,307.08,305.52,309.57,315.09,314.04,314.41,313.71,309.11,310.68,311.31,311.25,312.75,307.17,302.84,300.25,299.33,296.61,295.58,300.97,304.11,306.32,315.19,321.39,326.11,327.97,331.46,331.91,333.17,333.67,334.21,334.43,332.61,334.48,332.20,330.29,329.49,325.35,323.28
2001-02-06 21:51:02+00:00,L7,359.57,356.42,350.31,343.30,341.02,337.90,333.69,330.63,320.73,318.10,314.74,314.67,313.45,304.86,300.47,302.92,302.91,299.45,291.45,293.54,293.79,292.44,295.62,298.06,299.99,302.01,303.51,313.87,310.01,318.16,317.56,310.62,302.97,299.44,300.81,299.53,300.37,299.16,301.09,302.86,297.58,304.84,311.04,315.74,314.82,311.66,309.31,311.20,306.87,305.52,308.26,304.61,305.14,299.82,298.71,293.90,292.86,297.43,300.73,292.33,296.70,294.68,305.95,312.33,311.80,315.59,321.28,325.64,328.46,328.11,329.55,332.75,332.16,332.24,329.08,327.74,324.61,323.14
2001-02-13 21:57:15+00:00,L7,390.48,386.12,371.23,367.33,364.99,362.41,363.35,356.63,352.72,346.45,342.51,346.04,335.53,328.00,325.87,329.02,327.61,320.67,323.12,329.76,327.55,319.07,337.47,330.93,328.82,340.61,335.77,340.82,347.38,353.35,348.71,334.05,328.49,329.56,327.25,339.13,340.86,332.86,353.78,346.09,335.89,349.12,355.62,373.26,365.58,368.95,365.22,363.28,355.24,351.28,350.54,341.08,350.69,335.25,323.07,320.49,342.69,355.23,348.13,352.55,357.51,349.17,356.68,352.85,360.60,361.42,369.69,372.90,366.33,360.27,361.39,365.04,366.73,368.10,371.02,365.49,366.69,355.33
2001-03-10 21:50:58+00:00,L7,359.80,353.50,351.01,349.88,355.33,354.11,352.30,347.15,343.37,335.15,327.08,320.62,319.34,313.42,311.85,311.37,304.24,304.22,302.13,299.13,299.39,302.93,306.12,311.19,311.17,315.22,310.68,320.27,327.28,336.02,328.81,319.94,311.77,306.84,302.39,298.92,302.57,299.10,302.50,306.44,308.85,313.87,326.71,333.06,329.71,332.11,327.99,329.75,326.42,322.08,319.39,321.33,315.45,308.18,305.41,304.25,308.60,308.87,311.98,312.03,318.45,323.74,327.60,329.49,333.77,329.64,335.47,334.88,333.52,335.58,337.97,341.64,340.55,337.81,336.80,333.07,329.79,327.46
2001-06-30 21:50:00+00:00,L7,354.81,354.01,355.19,359.80,356.57,,,,,,,,,,,,,,,,310.54,310.03,299.46,307.54,,,,,,,,,,,,,,,,,,,,,,,,,,170.18,312.95,313.26,311.29,305.48,311.31,313.62,318.34,308.55,309.05,318.16,323.12,330.92,331.99,322.53,153.80,158.53,177.93,322.10,335.94,340.65,355.57,357.73,357.51,196.80,200.76,212.25,216.50,221.60
2001-07-07 21:56:12+00:00,L7,,,,,,,,,,,,,,,,,,,,,,,303.03,302.91,314.69,,,,,,,,,,,,,,,,,,,,,,,,,305.33,302.41,300.90,301.67,154.65,,,,,,,,,,,,,,,,,350.30,354.25,347.28,196.44,200.71,203.99,216.43,216.77
2001-08-17 21:49:28+00:00,L7,344.15,344.49,343.35,344.68,343.19,335.34,330.73,333.14,330.65,329.51,324.91,320.95,316.54,311.39,310.99,310.67,306.21,303.01,304.55,304.74,304.29,301.27,302.88,299.88,305.24,301.81,310.52,314.77,314.69,319.00,314.99,309.60,300.57,298.65,296.25,297.45,298.84,299.20,301.31,307.41,311.64,313.36,316.64,319.31,317.70,310.29,308.84,307.83,305.95,294.82,298.69,304.87,302.72,288.12,622.74,538.20,644.20,631.70,645.99,566.61,524.42,580.15,652.65,309.97,310.15,311.98,317.94,328.74,333.08,612.16,626.29,619.98,642.77,341.84,339.18,331.04,327.41,320.87
2001-09-09 21:55:24+00:00,L7,395.03,389.23,385.37,379.27,370.77,369.74,365.17,360.27,361.29,354.85,353.92,344.13,342.57,343.37,345.71,346.96,351.10,340.21,327.34,334.75,330.88,331.23,331.52,333.63,332.32,337.92,346.07,359.17,351.06,346.99,343.12,339.22,333.99,351.70,351.67,355.62,341.52,334.96,,375.52,370.43,383.74,392.84,386.24,388.16,400.14,361.97,355.75,356.29,334.55,369.92,364.51,356.96,361.34,347.07,349.51,353.46,347.95,331.62,330.94,335.23,343.22,344.64,363.25,370.48,384.55,380.03,382.79,396.24,397.81,397.43,395.82,389.68,389.99,389.95,391.18,386.61,390.45
2001-09-18 21:49:05+00:00,L7,351.84,351.74,345.46,335.97,337.26,329.07,322.63,317.80,318.99,318.02,313.85,310.44,306.82,305.80,304.52,306.67,304.07,302.11,306.52,303.66,296.94,297.27,297.19,299.42,301.12,298.11,306.13,310.88,310.96,310.38,308.21,300.81,294.83,290.20,288.30,289.62,293.32,293.01,300.81,302.07,306.08,311.19,317.49,320.97,313.84,312.25,304.58,296.51,287.64,287.85,287.03,289.75,287.04,283.08,284.25,286.21,286.09,287.38,294.24,299.50,307.41,311.06,313.37,309.36,307.55,307.55,313.49,317.24,327.39,332.97,336.41,328.00,327.69,327.22,329.32,324.39,317.26,315.07
2001-09-25 21:55:16+00:00,L7,395.04,389.75,380.66,377.47,371.27,366.69,365.42,367.18,363.51,354.91,351.04,353.30,351.44,351.56,352.31,353.89,353.50,342.99,339.28,334.43,333.84,335.73,332.09,331.69,333.76,334.91,342.85,346.87,347.90,349.01,347.25,342.89,337.74,335.67,336.35,338.34,339.39,341.26,352.26,353.37,359.08,367.70,367.05,381.76,383.75,374.74,349.02,341.44,335.86,340.88,343.16,337.94,342.29,338.41,334.55,334.42,334.25,334.43,338.04,340.16,345.00,352.38,350.38,347.88,353.89,353.22,358.06,365.98,372.86,379.47,383.89,374.60,372.69,378.13,377.27,364.33,371.11,355.74
2001-11-05 21:49:02+00:00,L7,402.76,389.25,379.57,370.87,362.65,362.46,359.05,354.89,353.27,356.67,342.82,340.50,342.06,347.06,345.09,343.36,343.28,339.09,342.72,340.58,336.63,331.01,327.38,322.42,324.76,326.38,332.00,334.10,333.63,354.06,337.40,336.87,326.24,325.25,327.86,331.51,353.53,359.94,361.44,359.58,360.57,362.12,364.13,367.01,368.92,361.68,346.85,340.45,341.20,333.50,323.04,322.51,320.86,317.52,316.22,321.35,321.77,324.09,327.89,334.78,336.48,340.86,345.03,342.80,348.55,343.03,346.48,355.65,355.01,359.61,365.48,366.06,363.38,358.46,354.53,356.00,353.95,348.26
2001-12-30 21:55:25+00:00,L7,373.26,355.49,337.53,327.17,325.18,321.69,322.39,317.78,316.76,310.44,305.44,293.00,294.01,295.88,301.68,307.55,302.40,291.91,293.30,294.76,300.92,293.89,286.07,285.45,284.82,287.52,292.88,298.32,303.79,302.94,300.71,300.16,295.01,293.53,290.32,289.46,289.17,294.06,296.52,290.60,293.17,297.97,302.27,303.06,301.06,299.97,297.14,290.07,283.98,281.25,279.55,277.15,275.58,274.35,277.18,281.63,283.88,285.08,290.29,294.87,299.62,303.37,300.70,300.01,296.46,298.61,300.86,307.43,315.23,322.19,326.95,322.63,322.22,318.23,318.65,318.64,318.29,310.84
2002-02-09 21:49:33+00:00,L7,381.76,377.53,364.88,356.85,355.61,348.61,348.91,345.30,340.87,336.29,332.82,329.24,327.81,329.77,329.81,328.82,329.68,322.85,320.96,321.58,325.20,327.28,325.04,320.18,323.59,323.28,326.11,330.11,330.70,335.48,332.32,338.38,333.31,332.93,336.92,333.34,336.96,331.86,334.98,337.16,336.14,334.99,338.54,343.48,345.91,342.55,340.48,329.40,321.13,314.59,309.29,306.30,305.19,307.72,307.01,305.28,304.70,307.31,315.10,318.71,323.48,329.49,327.27,331.31,327.48,325.29,330.48,333.23,340.98,349.95,354.60,351.02,347.42,342.21,342.22,336.42,336.13,339.00
2002-02-16 21:55:42+00:00,L7,393.70,380.08,365.74,361.21,363.77,365.30,354.49,354.34,351.43,346.80,341.82,337.35,333.69,333.78,334.42,339.38,340.57,332.57,324.97,326.67,327.39,328.16,326.81,324.80,324.95,327.60,329.04,335.63,340.39,347.65,343.67,,,,,,,,,,,,,,,,355.97,353.65,346.43,331.84,323.19,313.52,315.18,322.42,328.69,326.57,323.10,325.86,333.69,337.47,342.53,345.61,347.67,342.09,339.14,341.41,340.22,343.44,350.53,355.98,364.94,371.95,371.66,364.25,359.09,354.90,349.29,334.00
2002-03-04 21:55:45+00:00,L7,392.26,383.64,365.53,365.10,355.64,356.86,356.47,353.70,350.68,346.99,336.93,333.08,333.77,335.15,332.96,330.55,328.49,328.23,323.18,322.58,329.77,325.81,332.22,345.71,340.28,329.51,,336.24,334.66,340.56,337.08,337.15,337.17,344.18,355.80,351.36,338.04,348.41,336.37,326.76,333.41,353.77,342.78,362.65,361.64,355.10,349.17,351.46,334.21,348.75,332.90,318.30,316.61,318.37,327.49,327.36,322.83,326.20,338.19,341.21,342.05,340.47,358.14,355.72,344.62,359.04,353.73,359.78,352.63,363.07,382.23,379.50,378.67,385.77,366.29,357.61,354.56,346.43
2002-03-13 21:49:32+00:00,L7,,,,345.16,357.43,343.90,338.64,328.01,329.49,327.77,326.31,321.95,325.88,329.44,325.66,327.08,320.47,,,,,313.24,318.21,,,538.07,,,490.64,346.99,388.34,,,,590.87,,332.81,319.71,,642.68,621.82,317.17,316.28,323.40,322.57,319.29,320.04,315.40,308.70,303.61,306.00,295.59,286.14,287.47,285.34,289.74,296.29,292.99,643.82,629.56,577.86,384.68,317.91,305.63,306.72,313.26,315.65,319.12,337.36,347.21,433.68,486.28,586.29,614.77,593.49,577.38,,
2002-04-14 21:49:26+00:00,L7,373.26,361.99,350.10,345.11,337.22,334.77,332.90,332.64,324.12,324.65,316.29,313.68,313.83,314.76,314.79,315.99,310.28,309.70,312.42,316.22,314.58,313.91,314.54,314.80,315.47,316.89,322.30,323.99,327.47,323.42,316.97,310.51,309.30,307.87,313.76,313.43,314.74,318.49,316.05,311.26,307.70,318.09,326.23,333.59,331.40,323.44,322.55,314.80,308.16,306.36,306.01,300.72,296.49,293.10,295.51,296.14,290.09,297.52,306.74,315.87,314.93,314.81,314.57,314.63,320.61,325.50,324.19,328.36,336.51,339.97,347.36,350.44,348.03,342.30,338.39,334.33,332.23,327.51
2002-05-16 21:49:21+00:00,L7,378.30,369.10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002-05-23 21:55:30+00:00,L7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,654.75,548.76,506.36,465.09,351.86,285.07,248.23,271.96,249.19,225.16,276.39,261.96,242.02,196.99,269.59,177.36,165.69,179.61,649.54,597.56,394.82,463.78,476.10,267.49,224.70,,,,,,,,,,,,,
2002-08-20 21:48:46+00:00,L7,357.13,351.59,343.60,341.67,329.45,330.58,320.12,319.19,312.79,313.75,313.27,309.37,308.26,305.84,306.88,306.90,302.17,297.53,297.01,297.47,294.45,293.75,290.13,294.30,293.55,300.63,303.46,311.01,316.02,325.53,318.60,311.62,307.55,312.79,313.83,311.76,303.76,298.43,297.72,292.19,295.20,299.01,305.00,315.00,311.72,305.33,293.48,290.45,296.29,299.81,291.27,282.15,281.91,282.20,286.55,290.69,291.40,295.90,298.25,294.67,304.99,306.96,315.36,313.81,315.04,316.07,318.32,316.08,319.96,323.95,324.54,320.87,317.24,323.41,323.74,319.56,318.36,311.58
2002-09-12 21:54:43+00:00,L7,382.08,383.15,375.02,358.91,353.76,348.55,348.02,350.63,348.99,345.07,340.65,337.65,334.02,332.18,328.05,323.62,315.95,319.29,318.39,320.19,318.60,319.05,320.50,319.29,325.16,320.51,325.43,326.27,333.16,334.18,325.57,324.07,331.38,326.77,327.22,334.08,330.21,323.87,321.28,322.19,323.11,327.88,363.13,356.73,337.31,328.60,320.40,315.96,310.32,309.25,309.83,312.03,305.88,313.51,322.75,313.23,321.03,309.94,308.47,318.99,324.80,331.34,332.68,327.18,327.38,330.81,326.58,328.97,352.48,340.85,351.17,364.46,355.59,356.21,354.41,355.66,351.71,343.64
2002-09-21 21:48:25+00:00,L7,355.86,350.39,345.65,336.09,323.12,318.43,319.22,318.05,318.12,317.26,311.38,309.48,306.57,304.09,298.37,298.30,297.92,290.46,288.68,286.49,289.14,286.90,284.95,282.92,286.14,287.14,289.70,296.66,302.74,301.97,297.49,295.72,290.48,287.66,288.90,288.04,282.90,284.58,278.89,278.77,285.56,296.72,304.78,311.38,307.10,298.85,295.12,289.73,291.83,290.37,286.01,282.05,281.48,278.74,281.09,276.62,276.93,277.99,281.03,285.93,292.56,297.85,305.30,310.45,309.24,313.66,312.95,318.71,317.76,321.99,323.42,318.76,313.92,301.45,306.96,240.41,,
2002-10-14 21:54:31+00:00,L7,385.89,383.74,377.01,373.12,369.41,356.57,350.30,363.33,362.81,351.23,350.55,344.29,349.01,348.55,343.72,349.90,344.41,339.44,339.06,335.54,333.95,334.02,324.09,325.55,327.58,329.11,338.95,347.95,340.91,343.41,336.48,341.65,342.71,341.20,338.47,338.45,334.82,339.62,336.74,347.23,337.35,347.63,355.83,369.56,364.79,356.15,346.20,347.19,329.91,324.11,344.29,331.24,323.87,326.00,321.84,324.69,322.71,325.08,334.88,349.95,353.98,362.06,369.34,367.58,359.94,360.35,362.02,350.21,350.03,353.93,363.59,372.60,374.22,371.72,364.23,360.85,351.71,366.16
2002-11-08 21:48:32+00:00,L7,379.86,368.33,365.42,359.14,345.07,338.97,330.08,332.82,331.59,331.51,327.38,325.05,322.14,320.94,321.52,318.69,315.34,312.17,310.90,314.36,308.99,304.66,305.65,303.95,300.96,302.79,313.03,314.80,319.91,319.49,319.53,317.92,314.51,318.09,314.79,322.07,323.58,321.03,320.86,315.73,317.13,322.12,332.42,332.62,326.26,314.38,314.17,324.78,321.77,300.72,297.72,306.34,300.98,301.00,303.40,302.07,303.07,299.90,302.07,309.92,314.94,320.97,316.86,318.64,323.99,332.93,334.31,337.60,335.15,337.32,344.79,344.39,342.72,340.36,339.15,339.67,341.07,332.99
2002-12-26 21:48:59+00:00,L7,392.79,390.78,374.18,375.16,365.62,356.65,350.20,354.64,352.04,346.07,358.27,344.79,336.36,342.16,342.71,332.32,,,,,,,,,,,,,,,,,344.86,339.46,326.48,323.83,328.08,329.44,343.29,337.82,332.07,349.49,350.22,344.81,333.74,321.40,330.83,331.03,310.84,330.85,344.95,340.20,337.62,338.60,319.01,310.88,315.79,315.14,328.96,342.79,326.76,343.26,360.74,373.97,369.10,366.01,366.64,357.59,345.13,355.35,366.55,365.85,371.12,375.27,365.68,358.23,358.36,363.82
2003-01-02 21:55:10+00:00,L7,372.65,369.06,363.21,365.97,353.73,344.78,338.31,339.95,336.08,335.53,334.99,331.28,325.08,325.32,327.91,315.41,313.04,310.41,311.30,305.23,302.16,300.77,302.84,305.79,307.34,304.66,307.48,310.04,312.01,321.94,321.90,321.55,317.62,317.71,312.20,307.93,309.28,311.00,315.96,328.69,328.58,330.38,339.24,336.65,323.88,316.55,322.58,313.69,305.80,304.03,309.78,317.51,322.53,314.72,309.12,298.91,297.07,299.39,297.39,300.58,302.03,309.91,315.39,322.39,324.07,326.70,323.96,327.95,330.64,334.73,336.48,338.46,337.49,335.27,341.50,337.52,331.78,326.60
