dates,satname,nzd0348-0000,nzd0348-0001,nzd0348-0002,nzd0348-0003,nzd0348-0004,nzd0348-0005,nzd0348-0006,nzd0348-0007,nzd0348-0008,nzd0348-0009,nzd0348-0010,nzd0348-0011,nzd0348-0012,nzd0348-0013,nzd0348-0014,nzd0348-0015,nzd0348-0016,nzd0348-0017,nzd0348-0018,nzd0348-0019,nzd0348-0020,nzd0348-0021,nzd0348-0022,nzd0348-0023,nzd0348-0024,nzd0348-0025,nzd0348-0026,nzd0348-0027,nzd0348-0028,nzd0348-0029,nzd0348-0030
2006-07-22 21:54:10+00:00,L5,372.85,366.69,359.61,358.32,357.60,368.64,367.19,365.37,356.89,348.76,355.37,354.46,352.62,354.00,352.54,356.57,360.54,363.54,372.70,365.39,367.12,352.94,334.08,319.29,307.71,311.82,319.80,333.80,329.23,317.23,334.35
2006-07-30 21:50:44+00:00,L7,361.82,355.03,354.60,358.54,362.77,367.60,362.27,360.13,355.73,,,357.10,354.77,348.83,350.90,349.88,348.60,356.77,361.91,355.89,362.48,344.26,328.89,316.94,,,317.69,327.10,325.81,309.06,324.37
2006-08-15 21:50:43+00:00,L7,346.42,340.81,339.14,341.90,348.21,352.19,343.95,339.70,,,342.04,343.91,336.00,335.11,338.04,340.82,339.39,344.35,348.13,347.45,350.33,336.27,316.47,,,,305.12,313.10,312.96,295.42,311.51
2006-08-23 21:54:35+00:00,L5,376.08,364.37,359.25,360.55,356.80,365.08,360.19,353.78,348.81,350.08,360.57,357.45,351.28,352.07,354.45,357.79,361.59,363.01,371.52,365.72,364.19,351.22,327.19,314.74,309.96,314.08,322.90,337.57,329.74,318.41,335.23
2006-08-31 21:50:40+00:00,L7,,,343.88,346.78,351.99,358.61,354.85,350.78,343.86,344.60,348.88,349.80,344.09,343.75,343.13,343.43,,,347.07,349.34,353.63,340.54,320.57,307.52,301.86,301.02,308.60,319.00,315.71,301.92,312.80
2006-09-16 21:50:34+00:00,L7,362.37,354.89,352.04,349.94,354.09,365.37,360.70,357.92,358.65,,,353.95,347.89,348.90,348.47,347.24,347.24,352.35,361.51,365.98,369.54,355.03,328.10,314.94,,,,324.42,319.95,309.12,322.42
2006-10-10 21:55:08+00:00,L5,353.28,351.16,348.57,344.19,352.32,362.05,360.11,355.29,353.01,342.18,348.04,349.64,346.85,341.08,338.58,342.38,343.63,345.91,350.67,353.01,359.61,347.31,322.75,309.74,299.13,300.98,308.60,317.43,313.51,298.73,313.67
2006-11-20 21:49:20+00:00,L5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006-11-27 21:55:35+00:00,L5,351.07,344.84,343.84,344.14,350.36,359.74,361.08,355.73,352.24,351.65,355.58,352.44,349.47,348.08,332.01,337.65,341.27,343.38,344.27,349.89,350.16,337.04,313.76,305.77,302.36,306.40,312.93,323.12,320.59,297.86,305.95
2007-01-22 21:51:19+00:00,L7,354.47,346.84,344.73,347.23,350.02,362.24,360.87,351.42,348.73,351.66,351.62,348.74,,,335.54,336.73,,,,,,,,,,,,,,,
