dates,nzd0215-0000,nzd0215-0001,nzd0215-0002,nzd0215-0003,nzd0215-0004,nzd0215-0005,nzd0215-0006,nzd0215-0007,nzd0215-0008,nzd0215-0009,nzd0215-0010,nzd0215-0011,nzd0215-0012,nzd0215-0013,nzd0215-0014,nzd0215-0015,nzd0215-0016,nzd0215-0017,nzd0215-0018,nzd0215-0019,nzd0215-0020,nzd0215-0021,nzd0215-0022,nzd0215-0023,nzd0215-0024,nzd0215-0025,nzd0215-0026,nzd0215-0027,nzd0215-0028,nzd0215-0029,nzd0215-0030,nzd0215-0031,nzd0215-0032,nzd0215-0033,nzd0215-0034,nzd0215-0035,nzd0215-0036,nzd0215-0037,nzd0215-0038,nzd0215-0039,nzd0215-0040,nzd0215-0041,nzd0215-0042,nzd0215-0043,nzd0215-0044,nzd0215-0045,nzd0215-0046,nzd0215-0047,nzd0215-0048,nzd0215-0049,nzd0215-0050,nzd0215-0051,nzd0215-0052,nzd0215-0053,nzd0215-0054,nzd0215-0055,nzd0215-0056,nzd0215-0057,nzd0215-0058,nzd0215-0059,nzd0215-0060,nzd0215-0061,nzd0215-0062,nzd0215-0063,nzd0215-0064,nzd0215-0065,nzd0215-0066,nzd0215-0067,nzd0215-0068,nzd0215-0069,nzd0215-0070,nzd0215-0071,nzd0215-0072,satname
2003-07-15 21:42:14+00:00,412.36,389.51,386.64,378.09,372.31,369.11,370.95,382.19,390.45,397.98,381.78,378.11,,,,,378.68,379.11,373.13,386.54,389.74,404.13,378.95,411.98,406.97,396.19,391.97,395.00,395.41,391.28,379.51,366.66,364.34,357.00,358.30,358.46,,,,,,387.31,377.70,375.15,385.33,395.01,409.59,422.86,416.36,404.95,395.95,382.82,377.38,375.61,371.79,369.51,378.88,384.49,390.59,401.46,406.08,432.11,424.58,413.87,399.50,387.84,388.90,402.43,400.28,408.47,415.24,428.98,441.87,L7
2003-08-16 21:42:04+00:00,422.33,384.41,376.44,357.07,342.57,346.44,356.40,369.26,371.53,372.34,360.62,355.86,364.72,368.87,377.45,,,,,386.86,388.49,399.30,391.05,397.04,397.33,387.38,383.57,382.60,384.70,375.00,367.07,363.11,359.55,347.75,340.32,351.84,347.52,352.92,346.03,362.76,,,,382.75,389.79,399.19,414.39,424.65,418.32,404.30,395.75,377.29,374.65,373.65,363.37,367.52,380.27,376.82,390.52,408.56,411.19,431.14,421.39,408.86,399.09,391.18,390.88,401.88,403.92,408.90,417.33,429.23,445.31,L7
2003-09-25 21:31:19+00:00,428.71,382.85,372.15,359.16,346.78,365.55,371.83,375.10,385.87,383.40,370.42,363.46,366.09,366.63,374.92,361.13,356.55,355.06,361.36,372.88,379.93,388.80,386.52,378.60,378.38,370.25,379.26,396.62,400.55,383.38,366.56,358.81,344.72,331.90,333.67,336.56,331.10,340.19,345.67,355.06,367.86,371.04,364.51,355.98,368.10,388.68,394.65,411.74,400.85,398.25,387.28,365.89,361.44,354.12,350.46,351.16,356.39,366.08,377.87,383.35,390.79,408.70,412.52,402.03,394.89,372.69,371.99,381.99,385.27,389.17,402.90,404.54,417.35,L5
2003-11-04 21:42:03+00:00,,407.51,397.22,388.77,376.21,376.81,370.73,374.20,393.80,408.77,405.98,406.78,392.34,386.81,399.13,389.41,,,,,,,,425.43,446.01,444.09,420.95,385.76,385.16,393.02,390.09,386.42,386.70,389.67,362.17,369.95,371.46,376.82,379.38,392.48,399.01,412.54,,,,,,431.92,448.45,423.72,412.11,401.80,387.69,365.26,367.16,347.93,359.30,385.05,408.25,416.59,436.75,461.97,437.53,451.15,448.02,,390.07,398.77,423.17,400.22,416.03,428.08,452.37,L7
2003-11-20 21:42:19+00:00,428.47,401.59,387.49,373.99,357.42,352.20,360.49,363.29,378.41,382.37,396.09,387.60,386.89,,,,380.45,381.39,385.96,403.31,421.98,411.47,405.09,420.92,430.40,430.20,399.84,376.76,388.44,382.08,368.90,363.52,370.86,371.73,362.08,356.54,365.82,377.09,,,,,408.60,387.95,389.25,425.83,435.06,426.99,433.69,406.98,399.56,396.31,380.21,358.57,350.90,343.71,350.21,362.08,397.43,397.91,406.85,440.15,417.27,438.64,456.73,403.57,400.32,403.88,400.08,402.01,416.83,433.85,449.03,L7
2003-12-06 21:42:22+00:00,,,,,,366.91,382.40,391.57,374.81,389.00,397.71,395.92,393.52,408.42,417.29,409.25,411.98,392.58,390.28,393.77,402.38,,,,,415.14,400.93,382.86,382.46,374.79,367.19,369.44,370.70,371.99,361.49,358.07,355.09,367.97,369.12,381.73,381.05,387.09,383.36,379.20,388.43,413.17,,,,,394.88,387.61,378.09,363.41,348.32,349.47,353.49,361.90,386.44,406.24,409.02,427.10,417.97,410.01,417.76,392.41,387.78,398.53,394.66,395.90,407.85,417.35,430.93,L7
2003-12-30 21:32:24+00:00,423.61,391.41,379.42,373.14,357.50,348.38,365.12,390.71,412.90,399.55,394.44,396.77,399.85,395.69,402.38,406.95,399.39,390.61,396.82,415.51,437.22,437.84,414.66,415.27,399.90,389.64,384.26,380.90,378.56,371.40,372.43,379.38,377.81,379.34,367.91,360.27,368.42,375.57,378.90,372.12,380.70,382.42,385.67,380.56,385.79,399.51,403.16,412.70,405.87,402.37,386.14,371.48,366.35,358.48,351.97,353.62,360.55,381.76,398.93,396.31,414.54,428.85,421.57,417.69,416.06,397.75,396.93,410.26,409.03,400.78,406.19,415.57,433.29,L5
2004-01-23 21:42:42+00:00,423.73,395.91,383.95,371.62,374.03,380.82,380.30,380.78,383.69,,,396.14,404.92,398.68,403.21,391.91,389.67,379.71,383.76,390.10,410.11,427.99,414.13,419.97,409.91,396.03,392.53,389.86,389.37,378.68,360.60,364.28,,,,,359.02,367.05,371.87,369.98,368.66,375.13,378.06,371.55,379.81,396.82,404.84,420.54,418.17,399.40,389.44,374.83,371.71,366.72,365.85,360.28,366.86,366.45,383.98,,,,,,,,,,,,,,,L7
2004-02-24 21:42:45+00:00,,407.19,392.56,377.77,367.09,380.84,388.19,394.10,395.73,393.01,371.13,380.36,396.03,404.36,409.73,407.12,399.69,396.50,397.47,,,390.53,384.86,404.80,415.13,406.69,398.32,385.34,386.97,375.86,367.06,363.63,368.93,370.77,360.65,360.96,364.31,373.95,377.59,381.58,379.23,387.85,384.15,,,,,,424.98,408.93,398.95,376.41,368.34,363.48,363.71,361.66,364.83,371.89,383.05,399.88,409.42,428.78,421.91,411.52,401.12,388.37,385.63,399.64,400.22,397.28,412.73,418.06,441.40,L7
2004-03-27 21:42:57+00:00,432.54,384.32,,,,359.92,368.66,385.02,393.61,391.15,374.45,379.66,406.37,413.43,404.12,397.16,401.97,403.53,404.47,408.74,415.78,420.47,413.62,410.08,409.48,,,,393.57,384.28,374.11,355.77,355.42,359.31,352.95,357.40,359.81,371.19,378.18,382.29,387.65,396.52,395.45,393.94,391.64,407.19,414.49,426.97,423.85,,,,,376.04,367.78,365.96,376.05,388.76,407.29,418.80,420.72,439.27,427.62,420.55,409.22,399.58,400.78,415.69,414.69,424.29,420.13,419.89,433.76,L7
