,dates,jap0154-0000,jap0154-0001,jap0154-0002,jap0154-0003,jap0154-0004,jap0154-0005,jap0154-0006,jap0154-0007,jap0154-0008
11,1986-04-09 00:35:13+00:00,171.3088960885371,161.10327003225078,158.2267845843765,168.43041073043617,171.8082563135066,173.08197023061282,170.14834534755363,164.64645506254104,169.13365522177466
12,1986-04-16 00:41:14+00:00,160.50457033749385,152.360022601808,153.45157860184008,149.11883110052145,154.30471629234268,156.22314506896896,152.03131455991223,149.583087638821,148.65136445363112
13,1986-05-27 00:33:59+00:00,176.95774320619904,184.38692101468814,186.5480233935207,182.88255691508806,181.5713177956531,178.0422891618297,175.2332460235766,172.6241333104024,163.8244649152415
14,1986-06-12 00:33:30+00:00,177.97106289016668,174.95394722790746,173.3173369815837,169.50426584115803,171.26576749049707,178.3692882261849,175.53668948626876,170.3171060148232,168.51168208847486
15,1986-07-30 00:31:53+00:00,172.86133850975983,165.26801496165044,157.91121297766392,156.2857967704607,164.49122453528733,165.32025259101164,161.68414622189027,155.41730558735972,148.91568359627018
16,1986-10-18 00:29:08+00:00,162.1977583298022,163.5423034361641,167.79659415659015,166.95516653672001,165.8338660689541,164.73245598216323,156.44533144178723,147.90128882412532,141.59654572060091
17,1986-11-10 00:34:29+00:00,158.17011423977587,154.20151700833546,148.05142696943784,153.28065563471344,148.59638096805477,148.06741063669375,145.10378354125885,131.04967954379384,130.122966298156
18,1987-01-13 00:35:28+00:00,153.87187883323128,157.23728666831775,155.77842045170442,146.78299012872134,148.5318833803425,147.94557526363423,142.1817908159469,127.77810309121831,119.51408141436985
19,1987-02-14 00:36:34+00:00,156.14158869623253,158.18961827805592,160.48686479072921,158.56498148084182,156.80164222299,155.91924285562615,154.57214001236665,158.13211985621467,153.89360911853504
20,1987-03-02 00:37:11+00:00,147.31226296304618,155.37872661099823,152.20995173063267,157.30482873890008,153.0932679846935,149.62952762381838,153.82152590936704,151.6131963192925,146.9110322029088
21,1987-03-18 00:37:47+00:00,155.31438293669396,157.07872987482162,159.18923413681983,153.78860267858246,153.43466172699146,150.94408192849977,149.84186310853445,145.2363407501872,140.04658567155525
22,1987-04-28 00:32:58+00:00,176.83400104631332,176.98118370286278,172.83262084587622,157.77025440083548,148.0199668289273,147.63489451448447,144.2162816964256,144.11351008774452,147.86745822304218
23,1987-05-05 00:39:21+00:00,179.3712555568241,172.99532552094558,166.6036252145193,159.29721183746085,156.01655050654776,146.9464704321889,135.2008306614661,126.13995179887377,120.79659875213613
24,1987-05-21 00:39:47+00:00,190.2602625569367,190.65205054165995,180.8790917168282,166.37686597380412,159.9608211805966,152.79055690168735,147.7184941613766,142.9509855568649,137.28406567469912
25,1987-06-06 00:40:10+00:00,174.9872331572082,171.81431418060703,169.32278166967552,155.39913946267515,,,,,
26,1987-06-22 00:40:32+00:00,171.38043516377627,167.64781615904263,161.37431566598946,158.0091938478791,146.81617726066906,143.6302396630365,135.22994305797067,128.74902184978882,121.43955352918923
27,1987-07-24 00:41:10+00:00,186.71049360003025,187.53325001482585,176.85933500663486,177.9147963789716,172.01855593628733,159.1984107882147,153.6948242836075,147.27302925292958,142.2705309232208
28,1987-08-09 00:41:41+00:00,197.11067517508008,190.72570301431762,187.57269106852118,181.9785912722812,173.37162349631072,165.73335101798838,158.57979732720366,158.67275928762274,142.09301318055884
29,1987-12-15 00:44:22+00:00,148.2295206519231,143.64282759779869,139.40581130641797,139.7960995891421,133.56014734555512,137.05813839482454,136.0711756007398,132.85875219189936,135.15776473535905
30,1988-01-09 00:38:35+00:00,,,,,,,,,
31,1988-01-25 00:38:53+00:00,161.59077182819306,151.6854736427095,154.7670505793663,155.06428475665308,153.33426928600423,152.3250005169179,149.4130129727702,148.1576664489897,149.92921643018556
32,1988-02-10 00:39:10+00:00,152.99381166232743,150.14143701321888,143.4538490018687,140.97744763634853,140.7253931098876,138.9110670200405,140.27887429118567,139.75062244879447,139.58308490136864
33,1988-07-26 00:46:33+00:00,161.31365445936126,161.28850572610108,160.49930894372585,163.56625087468046,158.57232670850945,149.76591905911158,143.33372333500435,135.09373903119695,129.62879375179145
34,1988-11-08 00:40:15+00:00,178.95965650807352,172.7917281928233,167.727825557965,163.94957466024613,157.9554076588442,153.21543598237037,145.41996427897328,145.5452452422193,139.57662863261427
