,dates,chi0110-0000,chi0110-0001,chi0110-0002,chi0110-0003,chi0110-0004,chi0110-0005,chi0110-0006,chi0110-0007,chi0110-0008,chi0110-0009
1088,2020-04-06 14:36:43+00:00,162.87897059899987,,,168.8446842931337,,56.844935842622576,74.8832029522348,97.56629675463387,,
1089,2020-04-13 14:42:51+00:00,160.63907680788154,176.7008821479538,,174.03252695192413,,48.125266546843946,83.84386146900792,95.39500797774255,,
1090,2020-04-14 14:12:24+00:00,74.65951998245166,59.171553804380835,,,,,48.94965496456507,67.21600572148135,63.59504998604355,
1091,2020-04-21 14:18:10+00:00,74.32851446700374,,,,,,44.91453912939822,52.51057642368036,58.87062801612435,
1092,2020-05-07 14:17:13+00:00,72.39455169636275,62.15644044904987,51.2229548952515,31.08628641911107,,,,53.225914020463414,59.17155265854237,
1093,2020-05-15 14:42:39+00:00,74.70869241320426,57.896485226108666,58.762447035399425,42.70279365152315,,39.472130857492,48.648263643297014,61.268755990100146,59.989951428536884,
1094,2020-05-31 14:42:44+00:00,77.38268573408413,59.71566434520588,59.76949424530352,54.087137740844994,,25.344825454028935,46.71129893918149,65.60775566996385,61.50063072938022,
1095,2020-06-01 14:09:31+00:00,50.03778474352273,50.799021451857726,84.51846223370508,,,,,,,
1096,2020-06-17 14:08:35+00:00,68.80688772974096,59.265162514640735,54.7515805940632,,,,,,48.885943630919385,
1097,2020-08-19 14:43:17+00:00,78.7377645387098,70.6599267251894,63.359122175595665,50.354638031983974,,30.897273683273568,46.089861524558394,67.61252799560431,62.20156769876428,
1098,2020-08-20 14:04:38+00:00,69.49631007619917,52.06621725924097,51.88417824296623,35.313277363411785,,-1.5762361531197246,,,,
1099,2020-09-21 14:02:32+00:00,156.95210098804623,,,,,,,,,
1100,2020-09-29 14:37:22+00:00,174.08308433580783,175.4473626146572,182.68677672003145,174.74124273448314,155.2907817682214,,,,181.2440094715165,193.6625058205404
1101,2020-10-06 14:43:34+00:00,187.12919217243817,181.14163914676294,178.54728618459302,164.01176728837763,151.70818245406477,,,,181.64179033912373,200.26323740990807
1102,2020-10-07 14:01:31+00:00,,,,,139.43824745832805,,,109.9552647301133,,179.22872344635036
1103,2020-10-14 14:07:15+00:00,,,,,,51.543546500738096,51.67011877101271,,,
1104,2020-10-15 14:37:23+00:00,,,,,,,,,,187.47355231450837
1105,2020-10-30 14:06:12+00:00,160.62942262450719,,,,140.11434034307987,,156.78178315057428,,,185.4053915205292
1106,2020-10-31 14:37:22+00:00,,,,,,,,,,
1107,2020-11-07 14:43:32+00:00,171.92665587504666,175.96694756846514,182.88197267348107,174.10051742179576,150.5942735429337,180.60166754816223,165.25259255514754,179.17635990690417,182.89801210027315,200.23674334830235
1108,2020-11-16 14:37:21+00:00,,,,,,,,,,192.8190175960767
1109,2020-12-01 14:03:57+00:00,,171.52198439801683,,,,179.78674540403014,171.74184182666494,,182.806231246395,189.83382722749374
1110,2020-12-02 14:37:24+00:00,188.55616571315386,180.5846092031676,189.61845974131174,176.386042153318,151.64236133875642,182.06059422096206,183.16123510528382,195.80591336365853,202.83708374834416,203.38212231857779
1111,2020-12-09 14:43:35+00:00,181.00718694185068,173.88735855962898,180.98821389955657,177.71323187307104,151.125659822168,180.97992673281178,172.98341527590208,172.67931899800743,185.15317448879898,204.41883962662786
1112,2020-12-10 13:57:06+00:00,,,,,,169.92232953916067,160.97737146487594,173.70102732600063,196.6173531762226,194.23646456206018
1113,2020-12-26 13:55:55+00:00,,,,,,,,,,
1114,2021-01-02 14:01:37+00:00,,,,,,,,,213.38146849917797,194.89994767410127
1115,2021-01-03 14:37:19+00:00,189.6926987639045,185.21212422837758,193.62645343304388,181.13139156128054,170.40750952641798,186.92812083122442,187.09585247838544,198.49670480712106,207.49383146186932,207.20931578211278
1116,2021-01-10 14:43:27+00:00,176.31893256017702,168.6242232175249,180.5051931430159,170.7816742155416,155.41280698344988,177.65221826813183,166.22969529886936,173.69512217719438,183.2677799345892,196.65840608506429
1117,2021-01-18 14:00:29+00:00,172.38691649116154,168.51719635359353,,,,185.7124293571069,180.82606258690697,,184.7755676260501,196.0852444827435
1118,2021-01-19 14:37:12+00:00,191.17840681643145,193.12587128284247,198.53958728253548,189.25156506110844,180.6012565397128,192.70065374606727,189.14826864269412,202.8192440285586,212.1403037082128,206.65059195170454
1119,2021-01-26 14:43:22+00:00,182.33997967858863,176.90051420617283,186.57713584264917,174.47994397527572,166.16049550327747,182.62897995418598,165.2048568439812,,182.6287081463409,195.32811439332428
1120,2021-01-27 13:53:39+00:00,,,,,,,167.30475950518863,,,189.40583325344983
1121,2021-02-03 13:59:19+00:00,,,,,,,,,,
1122,2021-02-04 14:37:10+00:00,189.02746019550526,188.30228064601107,196.08789421620713,193.67218308153798,185.63695517630964,193.43107710969366,195.63267707928827,207.44452985302473,,212.04012934874459
1123,2021-02-11 14:43:20+00:00,192.9888890545041,195.9670001561956,201.43660056174363,192.82237038899362,196.80162466572938,189.53551712484625,196.31302741455005,203.06604005208538,209.79102546003685,204.97317700902263
1124,2021-02-12 13:52:28+00:00,,,,,,,,,,
1125,2021-02-19 13:58:07+00:00,,,,,,,,,,
1126,2021-02-20 14:37:06+00:00,190.86115590020367,193.79248074318062,197.75359018507035,197.43009680358577,182.89274562805946,199.23669273697925,192.55159593997092,206.98060685789795,215.05587878034993,210.56440241860662
1127,2021-02-27 14:43:14+00:00,180.47656097669545,174.16221958738214,175.4865977476014,173.7467342137622,182.02289421307069,181.90939126205208,167.30867364802168,,180.19517234956783,189.3923530414122
1128,2021-02-28 13:51:15+00:00,,,,,,,,,,
1129,2021-03-07 13:56:53+00:00,,,,,,,,,,
1130,2021-03-15 14:43:05+00:00,177.1843657796573,175.81783150590653,177.96114380588747,181.6532175283067,172.21018733543892,180.6942757037816,181.66289488416805,109.93520339256426,,185.66401995840818
1131,2021-03-16 13:50:00+00:00,,,,,,,,,,
1132,2021-03-23 13:55:37+00:00,,,,,,,,57.451726812789715,,
1133,2021-03-24 14:36:52+00:00,191.74053549089297,194.98820282164678,192.3011082677915,197.91941248617752,202.24990627643993,194.43138925634702,200.3939193161173,,190.29236201110734,203.91681002545468
1134,2021-04-17 13:47:22+00:00,,,,,,,,51.49769397851479,55.70786042482843,
1135,2021-04-25 14:36:39+00:00,,171.00539608767184,,169.765989981566,,47.125628475008284,67.45598182513017,86.54911693390088,72.06884984336392,
1136,2021-05-02 14:42:46+00:00,,,71.7633749155421,,27.072672154951178,38.49840749830518,47.01166191044441,62.26873434884022,64.20763711975661,
1137,2021-05-19 13:44:40+00:00,,48.659165657819386,51.59929456978114,31.029578620931083,12.492575481042788,19.69421646351138,,,,
1138,2021-05-26 13:50:15+00:00,124.65166629815718,,,,,14.421746716406883,36.331436512566896,32.22443437253758,25.72899770699977,
1139,2021-06-19 14:43:05+00:00,73.75089255391539,57.20395416877445,58.31225405273451,32.62822676151722,16.313998519022764,36.9222701201831,46.958621938575135,53.862493562661975,60.47537759416721,
1140,2021-06-28 14:36:57+00:00,72.14840517224098,47.227208286927784,63.550442890073256,71.52039938627608,,61.732342886791656,,,,
1141,2021-08-06 14:43:20+00:00,,,,,21.56183632486602,32.04753260106334,51.43898905385243,,,
