,dates,jap0006-0000,jap0006-0001,jap0006-0002,jap0006-0003,jap0006-0004,jap0006-0005,jap0006-0006,jap0006-0007,jap0006-0008,jap0006-0009,jap0006-0010
24,1992-08-26 00:11:06+00:00,111.1263914984119,108.41077599545368,113.76615182197116,129.18350539660005,127.93570649112372,124.30065037737364,115.47315862590817,106.84636269273639,104.27213241028616,97.01014893963293,98.02301202367862
25,1992-09-18 00:16:33+00:00,,,,,,,,,,,
26,1992-10-13 00:10:13+00:00,151.76406882393874,146.72573366156632,146.1496020157369,145.0576974608899,141.12339330156314,130.09667214823796,117.35313730864024,111.38358382446951,109.35977265506537,104.31307114168114,105.175367661225
27,1992-10-29 00:10:04+00:00,145.9799572988923,139.860259364659,132.11769444023147,141.4927635203106,140.51645406657292,125.9155527418662,122.47026711116757,120.76853270579849,109.90555541623226,108.97946047032855,107.95452907826235
28,1994-01-11 00:16:20+00:00,,,,,,,,,,,
29,1994-06-20 00:13:19+00:00,132.3758587640662,124.52475458354641,123.39292655466215,130.71078538544182,128.0355147186959,114.80866672315206,98.77834083370742,104.68606368432542,105.36238329788301,104.3065225476865,109.62343103587618
30,1994-10-26 00:10:12+00:00,144.7421516400743,135.31693001652732,133.86464750037146,140.9791816647341,148.53059323024107,136.64149650802113,129.31350128675587,125.01528245370835,113.25269902728644,121.55514732411973,119.07984195319159
31,1995-01-23 00:00:59+00:00,,,,,,,,,,,
32,1995-06-07 00:01:03+00:00,,,,,,,,,,,
33,1996-10-15 00:13:47+00:00,138.97868953744697,127.4048611462893,128.15367496389024,142.3777263169719,146.9843192755315,139.05199617419814,134.8102130145406,131.419203761839,124.73084260417474,125.76160092644662,125.25540140913913
34,1998-01-06 00:30:10+00:00,,,,,,,,,,,
35,1998-01-22 00:30:30+00:00,,,,,,,,,,,
36,1998-05-14 00:31:55+00:00,178.4473275492004,149.20606858201043,135.4328285682663,144.56977993640552,138.11210498512943,129.54138745682934,119.0985101496333,108.50562799919162,110.85810842418806,113.75971720085808,113.71676127755464
